#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 20 56  MM   MM   MM   2.0     6   5.1  68     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 19 56  MM   MM   MM   2.0    11   5.3  76     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 19 26  MM   MM   MM   1.9     6   5.2  58     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 18 56  MM   MM   MM   2.0    11   5.3  85     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 18 26  MM   MM   MM   2.0     6   5.1  57     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 17 56  MM   MM   MM   2.2     6   5.4  65     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 17 26  MM   MM   MM   2.0    11   5.2  78     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 16 56  MM   MM   MM   2.0     8   5.4  80     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 16 26  MM   MM   MM   2.1     6   5.4  66     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 15 56  MM   MM   MM   2.0    10   5.4  90     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 15 26  MM   MM   MM   2.1    11   5.4  94     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 14 56  MM   MM   MM   2.0    10   5.4  80     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 14 26  MM   MM   MM   2.0    11   5.6  86     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 13 56  MM   MM   MM   2.0    11   5.5  82     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 13 26  MM   MM   MM   2.0    11   5.6  99     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 12 56  MM   MM   MM   2.0     6   5.5  66     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 12 26  MM   MM   MM   2.0    10   5.6  85     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 11 56  MM   MM   MM   2.1    11   5.7  79     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 11 26  MM   MM   MM   2.1    11   5.4  82     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 10 56  MM   MM   MM   2.2    11   5.4  80     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 10 26  MM   MM   MM   2.0    11   5.6  79     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 09 56  MM   MM   MM   1.9     7   5.3  73     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 09 26  MM   MM   MM   2.1    11   5.7  90     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 08 56  MM   MM   MM   1.9    12   5.4  87     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 08 26  MM   MM   MM   2.0    11   5.6  85     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 07 56  MM   MM   MM   2.1    11   5.7  82     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 07 26  MM   MM   MM   2.1    10   5.7  92     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 06 56  MM   MM   MM   1.9    11   5.4  85     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 06 26  MM   MM   MM   2.0    11   5.4  87     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 05 56  MM   MM   MM   2.0     7   5.3  80     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 05 26  MM   MM   MM   2.1    11   5.5  89     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 04 56  MM   MM   MM   2.1    11   5.5  83     MM    MM  20.6    MM   MM   MM    MM
2023 09 28 04 26  MM   MM   MM   2.2     6   5.5  68     MM    MM  20.5    MM   MM   MM    MM
2023 09 28 03 56  MM   MM   MM   2.2    12   5.9  94     MM    MM  20.6    MM   MM   MM    MM
2023 09 28 03 26  MM   MM   MM   2.2    11   5.6  86     MM    MM  20.6    MM   MM   MM    MM
2023 09 28 02 56  MM   MM   MM   2.3    12   5.9 100     MM    MM  20.6    MM   MM   MM    MM
2023 09 28 02 26  MM   MM   MM   2.2     7   5.7  79     MM    MM  20.6    MM   MM   MM    MM
2023 09 28 01 56  MM   MM   MM   2.4    12   6.0  93     MM    MM  20.6    MM   MM   MM    MM
2023 09 28 01 26  MM   MM   MM   2.5    12   6.1  93     MM    MM  20.7    MM   MM   MM    MM
2023 09 28 00 56  MM   MM   MM   2.3    12   5.8  87     MM    MM  20.7    MM   MM   MM    MM
2023 09 28 00 26  MM   MM   MM   2.3    11   5.9  90     MM    MM  20.7    MM   MM   MM    MM
2023 09 27 23 56  MM   MM   MM   2.2     6   5.7  55     MM    MM  20.7    MM   MM   MM    MM
2023 09 27 23 26  MM   MM   MM   2.3     6   5.8  55     MM    MM  20.7    MM   MM   MM    MM
2023 09 27 22 56  MM   MM   MM   2.3     7   5.7  71     MM    MM  20.7    MM   MM   MM    MM
2023 09 27 22 26  MM   MM   MM   2.3    11   5.8  89     MM    MM  20.7    MM   MM   MM    MM
2023 09 27 21 56  MM   MM   MM   2.2     7   5.7  69     MM    MM  20.7    MM   MM   MM    MM
2023 09 27 21 26  MM   MM   MM   2.2    12   5.8  87     MM    MM  20.7    MM   MM   MM    MM
2023 09 27 20 56  MM   MM   MM   2.2    11   5.6  93     MM    MM  20.7    MM   MM   MM    MM
2023 09 27 20 26  MM   MM   MM   2.3    11   5.6  78     MM    MM  20.7    MM   MM   MM    MM
2023 09 27 19 56  MM   MM   MM   2.3    11   5.7  86     MM    MM  20.8    MM   MM   MM    MM
2023 09 27 19 26  MM   MM   MM   2.2    11   5.6  92     MM    MM  20.7    MM   MM   MM    MM
