#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 20 30 120  8.0   MM    MM    MM    MM  MM 1020.2  17.7  19.9  13.6   MM   MM    MM
2023 09 28 19 30 130  7.0   MM    MM    MM    MM  MM 1020.8  17.8  20.0  13.2   MM   MM    MM
2023 09 28 18 30 120  8.0   MM    MM    MM    MM  MM 1021.7  17.0    MM  13.2   MM   MM    MM
2023 09 28 17 30 130  7.0   MM    MM    MM    MM  MM 1022.6  17.3  19.9  13.2   MM   MM    MM
2023 09 28 16 30 130  8.0   MM    MM    MM    MM  MM 1023.2  18.0  19.9  12.1   MM   MM    MM
2023 09 28 15 30 140  8.0   MM    MM    MM    MM  MM 1023.4  17.8  19.9  12.5   MM   MM    MM
2023 09 28 14 30 130  8.0   MM    MM    MM    MM  MM 1023.4  18.1  19.9  11.5   MM   MM    MM
2023 09 28 13 30 130  9.0   MM    MM    MM    MM  MM 1022.8  17.2    MM  12.6   MM   MM    MM
2023 09 28 12 30 150  8.0   MM    MM    MM    MM  MM 1022.2  17.5  19.9  11.5   MM   MM    MM
2023 09 28 11 30 130  9.0   MM    MM    MM    MM  MM 1021.5  18.0  19.9  11.4   MM   MM    MM
2023 09 28 10 30 140  8.0   MM    MM    MM    MM  MM 1020.9  17.8  19.9  11.2   MM   MM    MM
2023 09 28 09 30 130 10.0   MM    MM    MM    MM  MM 1021.0  17.6  19.9  11.8   MM   MM    MM
2023 09 28 08 30 140 10.0   MM    MM    MM    MM  MM 1021.2  18.1    MM  11.1   MM   MM    MM
2023 09 28 07 30 140  9.0   MM    MM    MM    MM  MM 1021.9  18.1    MM  11.2   MM   MM    MM
2023 09 28 06 30 130  9.0   MM    MM    MM    MM  MM 1023.0  18.3  19.9  10.0   MM   MM    MM
2023 09 28 05 30 140  9.0   MM    MM    MM    MM  MM 1023.5  18.5  19.9  10.7   MM   MM    MM
2023 09 28 04 30 140  9.0   MM    MM    MM    MM  MM 1023.5  18.5    MM  11.1   MM   MM    MM
2023 09 28 03 30 140  9.0   MM    MM    MM    MM  MM 1023.5  18.2  19.9  12.3   MM   MM    MM
2023 09 28 02 30 140  9.0   MM    MM    MM    MM  MM 1023.1  18.4    MM  11.4   MM   MM    MM
2023 09 28 01 30 140  9.0   MM    MM    MM    MM  MM 1022.8  18.3  19.9  11.7   MM   MM    MM
2023 09 28 00 30 140  9.0   MM    MM    MM    MM  MM 1022.4  18.2  19.9  12.5   MM   MM    MM
2023 09 27 23 30 140  9.0   MM    MM    MM    MM  MM 1022.1  18.3  19.9  12.1   MM   MM    MM
2023 09 27 22 30 150  9.0   MM    MM    MM    MM  MM 1022.0  18.0  19.9  12.6   MM   MM    MM
2023 09 27 21 30 150  8.0   MM    MM    MM    MM  MM 1022.1  18.4  19.9  12.1   MM   MM    MM
2023 09 27 20 30 150  8.0   MM    MM    MM    MM  MM 1022.5  18.6  19.9  11.5   MM   MM    MM
2023 09 27 19 30 130  8.0   MM    MM    MM    MM  MM 1022.9  18.8  19.9   9.9   MM   MM    MM
2023 09 27 18 30 130  8.0   MM    MM    MM    MM  MM 1023.8  18.6  19.9  10.9   MM   MM    MM
2023 09 27 17 30 140  7.0   MM    MM    MM    MM  MM 1024.7  18.3  19.9  11.2   MM   MM    MM
