#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 10  MM   MM   MM   2.0     7   6.3  98     MM    MM    MM    MM   MM   MM    MM
2023 09 28 21 00 100  6.0  8.0    MM    MM    MM  MM 1019.8  25.6  26.2  21.7   MM +0.3    MM
2023 09 28 20 50 100  5.0  7.0   2.2    12   6.5  34 1019.8  25.6  26.2  21.8   MM   MM    MM
2023 09 28 20 40 100  6.0  7.0   2.2    MM   6.5  34 1019.9  25.6  26.1  21.6   MM   MM    MM
2023 09 28 20 30 100  6.0  8.0    MM    MM    MM  MM 1019.8  25.6  26.1  21.4   MM   MM    MM
2023 09 28 20 20 100  7.0  8.0   2.1    11   6.4  31 1019.9  25.7  26.1  21.6   MM   MM    MM
2023 09 28 20 10 100  7.0  9.0   2.1    MM   6.4  31 1019.9  25.7  26.1  21.6   MM   MM    MM
2023 09 28 20 00 100  7.0  9.0    MM    MM    MM  MM 1019.9  25.7  26.1  21.3   MM +0.9    MM
2023 09 28 19 50 100  6.0  8.0   2.3     7   6.5  93 1019.9  25.6  26.1  21.3   MM   MM    MM
2023 09 28 19 40  90  6.0  8.0    MM    MM    MM  MM 1019.9  25.5  26.1  21.0   MM   MM    MM
2023 09 28 19 30 100  6.0  8.0    MM    MM    MM  MM 1019.9  25.5  26.1  20.9   MM   MM    MM
2023 09 28 19 20 100  6.0  9.0   2.3    11   6.4  32 1019.9  25.5    MM  20.8   MM   MM    MM
2023 09 28 19 10 110  6.0  8.0   2.3    MM   6.4  32 1019.9  25.5  26.1  20.7   MM   MM    MM
2023 09 28 19 00 100  6.0  8.0    MM    MM    MM  MM 1019.9  25.4  26.1  20.2   MM +1.4    MM
2023 09 28 18 50 100  6.0  8.0   2.2     7   6.4  80 1019.9  25.5  26.1  20.3   MM   MM    MM
2023 09 28 18 40 100  6.0  8.0    MM    MM    MM  MM 1019.8  25.5  26.1  20.2   MM   MM    MM
2023 09 28 18 30 100  6.0  9.0    MM    MM    MM  MM 1019.8  25.4  26.1  19.7   MM   MM    MM
2023 09 28 18 20 100  6.0  8.0   2.2     8   6.3 100 1019.7  25.4  26.1  19.7   MM   MM    MM
2023 09 28 18 10 100  6.0  8.0   2.2    MM   6.3 100 1019.6  25.4  26.1  19.5   MM   MM    MM
2023 09 28 18 00 100  6.0  8.0    MM    MM    MM  MM 1019.5  25.4  26.1  19.8   MM +1.6    MM
2023 09 28 17 50 100  7.0  9.0   2.2     8   6.3 112 1019.4  25.3  26.1  19.7   MM   MM    MM
2023 09 28 17 40  90  7.0  9.0    MM    MM    MM  MM 1019.4  25.4  26.1  19.9   MM   MM    MM
2023 09 28 17 30  90  7.0  9.0    MM    MM    MM  MM 1019.3  25.4  26.1  19.6   MM   MM    MM
2023 09 28 17 20  90  6.0  8.0   2.1    12   6.1  55 1019.2  25.4  26.1  18.8   MM   MM    MM
2023 09 28 17 10  90  7.0  8.0    MM    MM    MM  MM 1019.1  25.4  26.1  19.6   MM   MM    MM
2023 09 28 17 00  90  6.0  8.0    MM    MM    MM  MM 1019.0  25.5  26.1  19.9   MM +1.5    MM
2023 09 28 16 50  90  7.0  8.0   2.0     8   5.9  85 1019.0  25.4  26.1  20.0   MM   MM    MM
2023 09 28 16 40  90  7.0  9.0    MM    MM    MM  MM 1018.9  25.3  26.1  20.6   MM   MM    MM
2023 09 28 16 30 110  7.0  9.0    MM    MM    MM  MM 1018.9  25.3  26.1  20.7   MM   MM    MM
2023 09 28 16 20 110  7.0  9.0   2.2     8   6.3 105 1018.7  25.2  26.1  20.6   MM   MM    MM
2023 09 28 16 10 110  8.0 10.0   2.2    MM   6.3 105 1018.7  25.2  26.1  20.6   MM   MM    MM
2023 09 28 16 00 110  8.0 10.0    MM    MM    MM  MM 1018.5  25.3  26.1  20.6   MM +0.9    MM
2023 09 28 15 50 110  8.0 10.0   2.0     8   6.0 109 1018.4  25.3  26.1  20.5   MM   MM    MM
2023 09 28 15 40 110  8.0 10.0   2.0    MM   6.0 109 1018.3  25.3  26.1  20.6   MM   MM    MM
2023 09 28 15 30 110  8.0 11.0    MM    MM    MM  MM 1018.3  25.3  26.1  20.9   MM   MM    MM
2023 09 28 15 20 100  8.0 11.0   2.0     7   6.0 105 1018.0  25.3  26.1  21.3   MM   MM    MM
2023 09 28 15 10 110  8.0 10.0   2.0    MM   6.0 105 1017.9  25.3  26.1  21.4   MM   MM    MM
2023 09 28 15 00 110  8.0 10.0    MM    MM    MM  MM 1017.9  25.3  26.1  21.5   MM -0.0    MM
2023 09 28 14 50 110  8.0 10.0   2.2    13   6.4  38 1018.0  25.4  26.1  21.6   MM   MM    MM
2023 09 28 14 40 100  8.0 10.0    MM    MM    MM  MM 1017.8  25.5  26.1  21.6   MM   MM    MM
2023 09 28 14 30 110  8.0 10.0    MM    MM    MM  MM 1017.8  25.4  26.1  21.4   MM   MM    MM
2023 09 28 14 20 110  8.0  9.0   2.1     8   6.1 111 1017.8  25.5  26.1  21.4   MM   MM    MM
2023 09 28 14 10 110  8.0 10.0    MM    MM    MM  MM 1017.6  25.5  26.1  21.1   MM   MM    MM
2023 09 28 14 00 110  8.0 10.0   2.1    MM   6.1 111 1017.5  25.5  26.0  21.1   MM -0.9    MM
2023 09 28 13 50 100  8.0 10.0   2.1    13   5.9  45 1017.5  25.5  26.1  21.0   MM   MM    MM
2023 09 28 13 40 100  9.0 11.0    MM    MM    MM  MM 1017.4  25.5  26.1  21.0   MM   MM    MM
2023 09 28 13 30 100  8.0 11.0    MM    MM    MM  MM 1017.5  25.5  26.1  21.4   MM   MM    MM
2023 09 28 13 20 100  9.0 11.0   2.2    13   6.2  40 1017.5  25.5  26.1  21.2   MM   MM    MM
2023 09 28 13 10 110  8.0 11.0   2.2    MM   6.2  40 1017.6  25.6  26.1  21.4   MM   MM    MM
2023 09 28 13 00 110  8.0 10.0    MM    MM    MM  MM 1017.6  25.5  26.1  21.3   MM -1.3    MM
2023 09 28 12 50 110  8.0 11.0   2.1     7   6.0 108 1017.6  25.5  26.1  21.2   MM   MM    MM
2023 09 28 12 40 110  8.0  9.0    MM    MM    MM  MM 1017.6  25.4  26.1  21.4   MM   MM    MM
2023 09 28 12 30 110  7.0  9.0    MM    MM    MM  MM 1017.8  25.4  26.1  21.6   MM   MM    MM
2023 09 28 12 20 110  7.0 10.0   2.2     8   6.2 106 1017.9  25.5  26.1  21.6   MM   MM    MM
2023 09 28 12 10 110  8.0 10.0   2.2    MM   6.2 106 1018.0  25.5  26.1  21.4   MM   MM    MM
2023 09 28 12 00 110  8.0 11.0    MM    MM    MM  MM 1018.0  25.5  26.1  21.4   MM -1.5    MM
2023 09 28 11 50 110  8.0 10.0   2.3    13   6.2  39 1018.1  25.5  26.1  21.4   MM   MM    MM
2023 09 28 11 40 110  9.0 10.0    MM    MM    MM  MM 1018.2  25.6  26.1  21.2   MM   MM    MM
2023 09 28 11 30 110  9.0 11.0    MM    MM    MM  MM 1018.2  25.5  26.1  21.1   MM   MM    MM
2023 09 28 11 20 110  9.0 11.0   2.3    14   6.1  51 1018.3  25.5  26.1  21.0   MM   MM    MM
2023 09 28 11 10 110  9.0 11.0   2.3    MM   6.1  51 1018.3  25.6    MM  21.1   MM   MM    MM
2023 09 28 11 00 110  9.0 12.0    MM    MM    MM  MM 1018.4  25.6  26.1  21.0   MM -1.3    MM
2023 09 28 10 50 110  9.0 12.0   2.3     7   6.0 109 1018.5  25.6  26.1  21.1   MM   MM    MM
2023 09 28 10 40 110 10.0 12.0    MM    MM    MM  MM 1018.6  25.6  26.1  21.2   MM   MM    MM
2023 09 28 10 30 110 10.0 12.0    MM    MM    MM  MM 1018.7  25.6  26.1  21.1   MM   MM    MM
2023 09 28 10 20 110 10.0 12.0   2.2    14   6.0  42 1018.8  25.6  26.1  21.2   MM   MM    MM
2023 09 28 10 10 110 10.0 12.0   2.2    MM   6.0  42 1018.8  25.7  26.1  21.1   MM   MM    MM
2023 09 28 10 00 110 10.0 13.0    MM    MM    MM  MM 1018.9  25.7  26.1  20.8   MM -0.7    MM
2023 09 28 09 50 100 10.0 13.0   2.3    14   6.1  38 1019.0  25.7  26.1  21.1   MM   MM    MM
2023 09 28 09 40 100 10.0 12.0   2.3    MM   6.1  38 1019.2  25.7  26.1  21.2   MM   MM    MM
2023 09 28 09 30 100 10.0 12.0    MM    MM    MM  MM 1019.2  25.7  26.1  21.2   MM   MM    MM
2023 09 28 09 20 100 10.0 12.0   2.2     6   5.8 102 1019.4  25.7  26.1  21.1   MM   MM    MM
2023 09 28 09 10 100 10.0 12.0    MM    MM    MM  MM 1019.4  25.7  26.1  21.0   MM   MM    MM
2023 09 28 09 00 100 10.0 12.0    MM    MM    MM  MM 1019.5  25.7  26.1  20.8   MM +0.0    MM
2023 09 28 08 50 100 10.0 13.0   2.1    14   5.8  53 1019.6  25.7  26.1  20.7   MM   MM    MM
2023 09 28 08 40 100  9.0 12.0    MM    MM    MM  MM 1019.6  25.7  26.1  20.8   MM   MM    MM
2023 09 28 08 30 100 10.0 12.0    MM    MM    MM  MM 1019.7  25.7  26.1  20.5   MM   MM    MM
2023 09 28 08 20  90 11.0 13.0   2.2    14   5.8  75 1019.7  25.7  26.1  20.3   MM   MM    MM
2023 09 28 08 10  90 11.0 13.0   2.2    MM   5.8  75 1019.7  25.8  26.1  20.5   MM   MM    MM
2023 09 28 08 00  90 11.0 14.0    MM    MM    MM  MM 1019.7  25.8  26.1  20.4   MM +0.9    MM
2023 09 28 07 50  90 10.0 13.0   2.1     7   6.0  98 1019.7  25.9  26.1  20.6   MM   MM    MM
2023 09 28 07 40  90 11.0 14.0    MM    MM    MM  MM 1019.6  25.9  26.1  20.7   MM   MM    MM
2023 09 28 07 30  90 11.0 14.0    MM    MM    MM  MM 1019.6  25.9  26.1  20.9   MM   MM    MM
2023 09 28 07 20  80 10.0 12.0   2.1    15   6.2  55 1019.6  25.9  26.1  21.1   MM   MM    MM
2023 09 28 07 10  80 10.0 11.0   2.1    MM   6.2  55 1019.6  25.8  26.1  21.0   MM   MM    MM
2023 09 28 07 00  80  9.0 12.0    MM    MM    MM  MM 1019.6  25.9  26.1  21.0   MM +1.4    MM
2023 09 28 06 50  80  9.0 12.0   2.1     7   6.0 109 1019.6  25.8  26.1  20.8   MM   MM    MM
2023 09 28 06 40  80  9.0 11.0   2.1    MM   6.0 109 1019.6  25.8  26.1  21.0   MM   MM    MM
2023 09 28 06 30  90  9.0 11.0    MM    MM    MM  MM 1019.6  25.9  26.1  21.0   MM   MM    MM
2023 09 28 06 20  80  9.0 11.0   2.0    14   6.1  41 1019.6  25.8  26.1  20.8   MM   MM    MM
2023 09 28 06 10  90  9.0 11.0   2.0    MM   6.1  41 1019.4  25.8  26.1  20.7   MM   MM    MM
2023 09 28 06 00  90  9.0 11.0    MM    MM    MM  MM 1019.3  25.8  26.1  20.5   MM +1.3    MM
2023 09 28 05 50  90  9.0 11.0   2.0    14   6.2  46 1019.2  25.8  26.1  20.7   MM   MM    MM
2023 09 28 05 40  90  9.0 11.0    MM    MM    MM  MM 1019.2  25.8  26.1  20.4   MM   MM    MM
2023 09 28 05 30  80  9.0 11.0    MM    MM    MM  MM 1019.0  25.8  26.1  20.6   MM   MM    MM
2023 09 28 05 20  80  9.0 11.0   2.2     7   6.3 100 1019.0  25.8  26.1  20.9   MM   MM    MM
2023 09 28 05 10  80  9.0 10.0   2.2    MM   6.3 100 1018.9  25.8  26.2  20.9   MM   MM    MM
2023 09 28 05 00  90  9.0 10.0    MM    MM    MM  MM 1018.8  25.8  26.2  20.9   MM +1.1    MM
2023 09 28 04 50  90  9.0 11.0   1.9    15   6.1  37 1018.7  25.8  26.2  21.1   MM   MM    MM
2023 09 28 04 40  90  9.0 11.0    MM    MM    MM  MM 1018.6  25.8  26.2  21.0   MM   MM    MM
2023 09 28 04 30  90  9.0 11.0    MM    MM    MM  MM 1018.5  25.8  26.2  20.9   MM   MM    MM
2023 09 28 04 20  90  9.0 11.0   1.9    15   6.3  28 1018.4  25.8  26.2  20.8   MM   MM    MM
2023 09 28 04 10  90  9.0 11.0   1.9    MM   6.3  28 1018.3  25.8  26.2  21.1   MM   MM    MM
2023 09 28 04 00  80  8.0 11.0    MM    MM    MM  MM 1018.2  25.8  26.2  21.2   MM -0.0    MM
2023 09 28 03 50  80  9.0 11.0   1.9    15   6.2  42 1018.2  25.8  26.2  21.0   MM   MM    MM
2023 09 28 03 40  80  8.0 10.0    MM    MM    MM  MM 1018.1  25.8  26.2  21.4   MM   MM    MM
2023 09 28 03 30  90  8.0 10.0    MM    MM    MM  MM 1018.2  25.8  26.2  20.9   MM   MM    MM
2023 09 28 03 20  80  8.0 10.0   2.0     7   6.2  99 1018.0  25.7  26.3  21.1   MM   MM    MM
