#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 20 30 100  6.0   MM    MM    MM    MM  MM 1019.2  26.1  26.7  20.9   MM   MM    MM
2023 09 28 19 30 110  5.0   MM    MM    MM    MM  MM 1019.4  25.6  26.6  20.7   MM   MM    MM
2023 09 28 18 30 140  6.0   MM    MM    MM    MM  MM 1019.3  24.2  26.6  20.9   MM   MM    MM
2023 09 28 17 30 130  5.0   MM    MM    MM    MM  MM 1018.5  25.2  26.6  21.1   MM   MM    MM
2023 09 28 16 30 120  6.0   MM    MM    MM    MM  MM 1018.0  25.0  26.6  21.1   MM   MM    MM
2023 09 28 15 30 100  7.0   MM    MM    MM    MM  MM 1017.7  25.8  26.6  20.6   MM   MM    MM
2023 09 28 14 30 100  7.0   MM    MM    MM    MM  MM 1017.5  25.8  26.6  20.6   MM   MM    MM
2023 09 28 13 30 100  7.0   MM    MM    MM    MM  MM 1017.8  25.8  26.6  20.6   MM   MM    MM
2023 09 28 12 30 100  7.0   MM    MM    MM    MM  MM 1018.0  25.8  26.6  20.6   MM   MM    MM
2023 09 28 11 30 110  8.0   MM    MM    MM    MM  MM 1018.1  26.0  26.6  20.6   MM   MM    MM
2023 09 28 10 30 100  9.0   MM    MM    MM    MM  MM 1018.4  26.1  26.7  20.3   MM   MM    MM
2023 09 28 09 30 100 10.0   MM    MM    MM    MM  MM 1018.7  26.2  26.6  20.4   MM   MM    MM
2023 09 28 08 30 100  9.0   MM    MM    MM    MM  MM 1019.1  26.1  26.6  20.5   MM   MM    MM
2023 09 28 07 30 100 10.0   MM    MM    MM    MM  MM 1018.9  26.2  26.6  20.7   MM   MM    MM
2023 09 28 06 30  90 10.0   MM    MM    MM    MM  MM 1018.4  26.3  26.6  21.0   MM   MM    MM
2023 09 28 05 30  80  9.0   MM    MM    MM    MM  MM 1017.9  26.2  26.6  20.7   MM   MM    MM
2023 09 28 03 30  90  8.0   MM    MM    MM    MM  MM 1017.1  26.3  26.6  20.6   MM   MM    MM
2023 09 28 02 30  90  8.0   MM    MM    MM    MM  MM 1017.1  26.4  26.7  20.9   MM   MM    MM
2023 09 28 01 30  90  8.0   MM    MM    MM    MM  MM 1017.2  26.5  26.7  20.9   MM   MM    MM
