#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 00 190  9.3   MM   3.0    MM     7  MM 1001.8  13.2    MM  10.9    5 +1.5    MM
2023 09 28 20 00 190  9.8   MM   3.2    MM     7  MM 1001.8  13.1    MM  10.9    5 +2.9    MM
2023 09 28 19 00 200  8.8   MM   3.7    MM     8  MM 1001.0  12.9    MM  10.9    5 +3.1    MM
2023 09 28 18 00 220 10.8   MM   3.5    MM    MM  MM 1000.3  13.8    MM  11.1    5 +3.5    MM
2023 09 28 17 00 230 11.3   MM   3.8    MM     7  MM  998.9  13.7    MM  12.2    5 +3.7    MM
2023 09 28 16 00 210 11.8   MM   3.4    MM     7  MM  997.9  13.6    MM  12.0    5 +4.0    MM
2023 09 28 15 00 210 12.9   MM   3.2    MM     6  MM  996.8  14.0    MM  12.2    5 +3.8    MM
2023 09 28 14 00 220 12.9   MM   3.2    MM     7  MM  995.2  14.0    MM  12.5    5 +3.4    MM
2023 09 28 13 00 210 12.4   MM   3.0    MM     7  MM  993.9  13.4    MM  12.7    5 +2.1    MM
2023 09 28 12 00 210 10.8   MM   3.0    MM    MM  MM  992.9  13.3    MM  12.9    5 +0.6    MM
2023 09 28 11 00 190  7.7   MM   2.8    MM     7  MM  991.9  13.6    MM  13.1    2 -1.0    MM
2023 09 28 10 00 130  8.2   MM   2.8    MM     7  MM  991.7  13.3    MM  12.8    1 -2.0    MM
2023 09 28 09 00 150 11.8   MM   3.0    MM     7  MM  992.4  13.6    MM  13.0    2 -3.2    MM
2023 09 28 08 00 130 11.8   MM   2.8    MM     6  MM  992.9  13.8    MM  12.9    2 -4.2    MM
2023 09 28 07 00 120 14.9   MM   2.8    MM     6  MM  993.8  13.6    MM  12.4    2 -5.5    MM
2023 09 28 06 00 110 14.4   MM   2.4    MM     5  MM  995.6  13.9    MM  10.7    5 -5.9    MM
2023 09 28 05 00 120 15.4   MM   2.2    MM     5  MM  997.1  13.3    MM  11.2    5 -6.5    MM
2023 09 28 04 00 100 14.4   MM   2.0    MM     5  MM  999.3  12.2    MM  11.3    2 -6.2    MM
2023 09 28 03 00 110 12.4   MM   1.9    MM     5  MM 1001.5  12.7    MM  11.8    1 -5.4    MM
2023 09 28 02 00 120 12.4   MM   1.7    MM     5  MM 1003.7  13.0    MM  11.8    2 -4.5    MM
2023 09 28 01 00 120 11.3   MM   1.6    MM     5  MM 1005.5  12.8    MM  11.7    5 -3.9    MM
2023 09 28 00 00 120 10.8   MM   1.7    MM     5  MM 1007.0  12.7    MM  11.5   11 -3.4    MM
2023 09 27 23 00 120  9.3   MM   1.7    MM     5  MM 1008.2  12.6    MM  11.2   11 -2.5    MM
2023 09 27 22 00 130  8.8   MM   1.7    MM     5  MM 1009.4  12.9    MM  11.3   11 -2.1    MM
2023 09 27 21 00 140  9.3   MM   1.5    MM     6  MM 1010.4  12.7    MM  11.1   11 -1.8    MM
