#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 34  80  2.1  3.1    MM    MM    MM  MM 1016.4   9.8    MM   7.9   MM   MM    MM
2023 09 28 21 24  90  2.1  3.1    MM    MM    MM  MM 1016.4   9.5    MM   8.1   MM   MM    MM
2023 09 28 21 14 120  3.1  4.1    MM    MM    MM  MM 1016.3   9.3    MM   8.2   MM   MM    MM
2023 09 28 21 04 130  3.6  4.1    MM    MM    MM  MM 1016.3   9.2    MM   8.0   MM   MM    MM
2023 09 28 20 54 120  3.1  4.1    MM    MM    MM  MM 1016.4   9.2    MM   8.2   MM   MM    MM
2023 09 28 20 44 110  3.1  4.6    MM    MM    MM  MM 1016.3   9.3    MM   8.1   MM   MM    MM
2023 09 28 20 34 110  3.1  4.1    MM    MM    MM  MM 1016.3   9.3    MM   7.9   MM   MM    MM
2023 09 28 20 24 110  3.1  4.1    MM    MM    MM  MM 1016.3   9.1    MM   7.9   MM   MM    MM
2023 09 28 20 14 110  3.1  4.1    MM    MM    MM  MM 1016.2   9.2    MM   8.0   MM   MM    MM
2023 09 28 20 04 110  3.1  4.1    MM    MM    MM  MM 1016.2   9.2    MM   8.0   MM   MM    MM
2023 09 28 19 54 120  3.1  4.1    MM    MM    MM  MM 1016.1   9.1    MM   7.9   MM   MM    MM
2023 09 28 19 44 110  3.1  4.1    MM    MM    MM  MM 1016.2   9.0    MM   8.1   MM   MM    MM
2023 09 28 19 34 100  2.6  4.1    MM    MM    MM  MM 1016.2   9.0    MM   8.2   MM   MM    MM
2023 09 28 19 24 120  2.6  3.6    MM    MM    MM  MM 1016.1   8.9    MM   8.2   MM   MM    MM
2023 09 28 19 14 120  3.6  4.1    MM    MM    MM  MM 1016.0   8.8    MM   8.3   MM   MM    MM
2023 09 28 19 03 120  3.6  4.6    MM    MM    MM  MM 1016.0   8.8    MM   8.2   MM   MM    MM
2023 09 28 18 54 120  3.6  4.6    MM    MM    MM  MM 1015.9   8.8    MM   8.2   MM   MM    MM
2023 09 28 18 34 120  2.6  4.1    MM    MM    MM  MM 1015.9   9.0    MM   8.3   MM   MM    MM
2023 09 28 18 24 120  2.1  3.1    MM    MM    MM  MM 1015.9   9.0    MM   8.2   MM   MM    MM
2023 09 28 18 14 120  2.1  2.6    MM    MM    MM  MM 1015.9   8.9    MM   8.3   MM   MM    MM
2023 09 28 18 04 120  2.1  2.6    MM    MM    MM  MM 1015.8   8.6    MM   8.4   MM   MM    MM
2023 09 28 17 53 120  1.5  2.1    MM    MM    MM  MM 1015.8   8.6    MM   8.2   MM   MM    MM
2023 09 28 17 44 110  1.0  1.5    MM    MM    MM  MM 1015.8   8.5    MM   8.3   MM   MM    MM
2023 09 28 17 34 130  1.0  1.5    MM    MM    MM  MM 1015.7   8.4    MM   8.3   MM   MM    MM
2023 09 28 17 24 140  1.0  1.5    MM    MM    MM  MM 1015.7   8.4    MM   8.2   MM   MM    MM
2023 09 28 17 14 140  1.5  2.1    MM    MM    MM  MM 1015.6   8.2    MM   8.1   MM   MM    MM
2023 09 28 17 04 130  1.5  2.1    MM    MM    MM  MM 1015.7   8.2    MM   8.2   MM   MM    MM
2023 09 28 16 54 140  1.5  2.1    MM    MM    MM  MM 1015.6   8.2    MM   8.2   MM   MM    MM
2023 09 28 16 44 120  1.5  2.1    MM    MM    MM  MM 1015.6   8.2    MM   8.2   MM   MM    MM
2023 09 28 16 34 140  1.0  1.5    MM    MM    MM  MM 1015.6   8.2    MM   8.2   MM   MM    MM
2023 09 28 16 24 140  0.5  1.0    MM    MM    MM  MM 1015.6   8.2    MM   8.2   MM   MM    MM
2023 09 28 16 14 130  0.5  1.0    MM    MM    MM  MM 1015.6   8.2    MM   8.2   MM   MM    MM
2023 09 28 16 04 140  0.5  1.0    MM    MM    MM  MM 1015.5   8.2    MM   8.2   MM   MM    MM
2023 09 28 15 53 120  0.5  0.5    MM    MM    MM  MM 1015.5   8.2    MM   8.2   MM   MM    MM
2023 09 28 15 44 130  0.5  1.0    MM    MM    MM  MM 1015.4   8.2    MM   8.2   MM   MM    MM
2023 09 28 15 33 110  0.5  1.0    MM    MM    MM  MM 1015.4   8.2    MM   8.2   MM   MM    MM
2023 09 28 15 24  90  0.5  1.0    MM    MM    MM  MM 1015.3   8.2    MM   8.2   MM   MM    MM
2023 09 28 15 14  80  0.5  1.0    MM    MM    MM  MM 1015.3   8.2    MM   8.2   MM   MM    MM
2023 09 28 15 04 160  0.5  1.0    MM    MM    MM  MM 1015.3   8.2    MM   8.2   MM   MM    MM
2023 09 28 14 54 170  1.0  1.0    MM    MM    MM  MM 1015.2   8.2    MM   8.2   MM   MM    MM
2023 09 28 14 44 150  1.0  1.5    MM    MM    MM  MM 1015.2   8.2    MM   8.2   MM   MM    MM
2023 09 28 14 34 130  1.0  1.5    MM    MM    MM  MM 1015.2   8.3    MM   8.3   MM   MM    MM
2023 09 28 14 24 100  0.5  1.0    MM    MM    MM  MM 1015.2   8.3    MM   8.3   MM   MM    MM
2023 09 28 14 14  MM  0.0  0.5    MM    MM    MM  MM 1015.1   8.3    MM   8.3   MM   MM    MM
2023 09 28 14 03  MM  0.0  1.0    MM    MM    MM  MM 1015.0   8.4    MM   8.4   MM   MM    MM
2023 09 28 13 54  MM  0.0  0.5    MM    MM    MM  MM 1014.9   8.5    MM   8.5   MM   MM    MM
2023 09 28 13 44 130  0.5  1.0    MM    MM    MM  MM 1014.9   8.5    MM   8.5   MM   MM    MM
2023 09 28 13 34  MM  0.0  0.5    MM    MM    MM  MM 1014.8   8.5    MM   8.5   MM   MM    MM
2023 09 28 13 24  MM  0.0  0.5    MM    MM    MM  MM 1014.8   8.4    MM   8.4   MM   MM    MM
2023 09 28 13 13  MM  0.0  0.5    MM    MM    MM  MM 1014.8   8.4    MM   8.4   MM   MM    MM
2023 09 28 13 04  20  0.5  1.0    MM    MM    MM  MM 1014.7   8.4    MM   8.4   MM   MM    MM
2023 09 28 12 54  30  0.5  1.0    MM    MM    MM  MM 1014.6   8.5    MM   8.5   MM   MM    MM
2023 09 28 12 43  MM  0.0  0.5    MM    MM    MM  MM 1014.6   8.5    MM   8.5   MM   MM    MM
2023 09 28 12 34  MM  0.0  1.0    MM    MM    MM  MM 1014.5   8.4    MM   8.4   MM   MM    MM
2023 09 28 12 24  40  0.5  1.0    MM    MM    MM  MM 1014.5   8.4    MM   8.4   MM   MM    MM
2023 09 28 12 14  30  0.5  1.0    MM    MM    MM  MM 1014.4   8.5    MM   8.5   MM   MM    MM
2023 09 28 12 03  90  0.5  1.0    MM    MM    MM  MM 1014.4   8.5    MM   8.5   MM   MM    MM
2023 09 28 11 54  80  0.5  1.0    MM    MM    MM  MM 1014.3   8.5    MM   8.4   MM   MM    MM
2023 09 28 11 44 140  1.0  1.5    MM    MM    MM  MM 1014.3   8.5    MM   8.4   MM   MM    MM
2023 09 28 11 33 170  1.0  1.5    MM    MM    MM  MM 1014.2   8.5    MM   8.4   MM   MM    MM
2023 09 28 11 24 160  1.5  2.1    MM    MM    MM  MM 1014.1   8.5    MM   8.4   MM   MM    MM
2023 09 28 11 13 160  2.6  3.1    MM    MM    MM  MM 1014.0   8.5    MM   8.4   MM   MM    MM
2023 09 28 11 04 160  2.6  3.6    MM    MM    MM  MM 1014.0   8.5    MM   8.3   MM   MM    MM
2023 09 28 10 54 170  3.1  4.6    MM    MM    MM  MM 1013.9   8.5    MM   8.2   MM   MM    MM
2023 09 28 10 43 170  3.1  3.6    MM    MM    MM  MM 1013.8   8.5    MM   8.2   MM   MM    MM
2023 09 28 10 33 150  2.6  3.6    MM    MM    MM  MM 1013.7   8.6    MM   8.3   MM   MM    MM
2023 09 28 10 24 150  3.1  5.1    MM    MM    MM  MM 1013.6   8.8    MM   8.2   MM   MM    MM
2023 09 28 10 14 130  3.1  5.1    MM    MM    MM  MM 1013.6   8.9    MM   8.1   MM   MM    MM
2023 09 28 10 04 120  4.1  6.7    MM    MM    MM  MM 1013.5   9.0    MM   8.1   MM   MM    MM
2023 09 28 09 54 120  4.1  5.7    MM    MM    MM  MM 1013.3   9.1    MM   8.0   MM   MM    MM
2023 09 28 09 44 120  4.1  6.2    MM    MM    MM  MM 1013.3   9.1    MM   8.1   MM   MM    MM
2023 09 28 09 34 120  4.1  5.7    MM    MM    MM  MM 1013.2   9.0    MM   8.1   MM   MM    MM
2023 09 28 09 24 110  4.1  5.7    MM    MM    MM  MM 1013.1   9.0    MM   8.1   MM   MM    MM
2023 09 28 09 14 120  4.1  6.7    MM    MM    MM  MM 1013.0   9.0    MM   8.2   MM   MM    MM
2023 09 28 09 04 120  4.6  6.2    MM    MM    MM  MM 1012.9   9.1    MM   8.2   MM   MM    MM
2023 09 28 08 53 120  4.6  6.2    MM    MM    MM  MM 1012.8   9.1    MM   8.2   MM   MM    MM
2023 09 28 08 43 110  4.6  7.2    MM    MM    MM  MM 1012.7   9.1    MM   8.2   MM   MM    MM
2023 09 28 08 34 120  5.1  7.2    MM    MM    MM  MM 1012.5   9.1    MM   8.2   MM   MM    MM
2023 09 28 08 14 120  5.1  8.2    MM    MM    MM  MM 1012.3   9.2    MM   8.2   MM   MM    MM
2023 09 28 08 04 120  5.1  7.7    MM    MM    MM  MM 1012.2   9.3    MM   8.2   MM   MM    MM
2023 09 28 07 53 120  5.1  7.2    MM    MM    MM  MM 1012.1   9.3    MM   8.2   MM   MM    MM
2023 09 28 07 44 120  5.7  8.8    MM    MM    MM  MM 1011.9   9.3    MM   8.3   MM   MM    MM
2023 09 28 07 34 110  5.1  7.7    MM    MM    MM  MM 1011.8   9.3    MM   8.3   MM   MM    MM
2023 09 28 07 23 110  5.7  8.2    MM    MM    MM  MM 1011.7   9.4    MM   8.3   MM   MM    MM
2023 09 28 07 14 110  5.7  8.8    MM    MM    MM  MM 1011.6   9.4    MM   8.3   MM   MM    MM
2023 09 28 07 03 110  5.1  7.7    MM    MM    MM  MM 1011.5   9.4    MM   8.3   MM   MM    MM
2023 09 28 06 54 110  5.1  8.8    MM    MM    MM  MM 1011.4   9.4    MM   8.4   MM   MM    MM
2023 09 28 06 43 110  5.7  8.2    MM    MM    MM  MM 1011.2   9.4    MM   8.3   MM   MM    MM
2023 09 28 06 34 120  5.7  7.7    MM    MM    MM  MM 1011.0   9.5    MM   8.4   MM   MM    MM
2023 09 28 06 23 120  5.1  7.7    MM    MM    MM  MM 1010.9   9.5    MM   8.5   MM   MM    MM
2023 09 28 06 14 120  5.7  9.3    MM    MM    MM  MM 1010.8   9.6    MM   8.5   MM   MM    MM
2023 09 28 06 04 120  5.1  6.7    MM    MM    MM  MM 1010.6   9.6    MM   8.5   MM   MM    MM
2023 09 28 05 54 120  4.6  6.7    MM    MM    MM  MM 1010.5   9.6    MM   8.5   MM   MM    MM
2023 09 28 05 43 120  5.1  7.2    MM    MM    MM  MM 1010.4   9.6    MM   8.5   MM   MM    MM
2023 09 28 05 33 120  5.7  7.7    MM    MM    MM  MM 1010.2   9.6    MM   8.6   MM   MM    MM
2023 09 28 05 23 110  4.6  7.7    MM    MM    MM  MM 1010.1   9.7    MM   8.6   MM   MM    MM
2023 09 28 05 14 120  6.2  8.8    MM    MM    MM  MM 1010.0   9.8    MM   8.7   MM   MM    MM
2023 09 28 05 04 120  6.7 10.3    MM    MM    MM  MM 1009.8   9.9    MM   8.7   MM   MM    MM
2023 09 28 04 54 120  5.1  7.7    MM    MM    MM  MM 1009.7   9.9    MM   8.7   MM   MM    MM
2023 09 28 04 44 120  5.7  8.8    MM    MM    MM  MM 1009.5   9.9    MM   8.7   MM   MM    MM
2023 09 28 04 34 120  6.2  9.8    MM    MM    MM  MM 1009.4   9.9    MM   8.7   MM   MM    MM
2023 09 28 04 24 120  6.2  9.3    MM    MM    MM  MM 1009.2  10.0    MM   8.8   MM   MM    MM
2023 09 28 04 14 120  6.7  9.3    MM    MM    MM  MM 1009.1  10.0    MM   8.8   MM   MM    MM
2023 09 28 04 04 120  7.2 10.8    MM    MM    MM  MM 1008.9  10.1    MM   8.8   MM   MM    MM
2023 09 28 03 54 120  7.2 10.8    MM    MM    MM  MM 1008.8  10.2    MM   8.8   MM   MM    MM
2023 09 28 03 44 120  7.2 10.8    MM    MM    MM  MM 1008.6  10.2    MM   8.8   MM   MM    MM
2023 09 28 03 34 120  7.2 10.3    MM    MM    MM  MM 1008.4  10.3    MM   8.8   MM   MM    MM
2023 09 28 03 24 120  7.2 10.8    MM    MM    MM  MM 1008.3  10.3    MM   8.8   MM   MM    MM
2023 09 28 03 14 110  7.2 10.3    MM    MM    MM  MM 1008.1  10.3    MM   8.9   MM   MM    MM
2023 09 28 03 04 120  8.2 12.4    MM    MM    MM  MM 1007.9  10.3    MM   8.9   MM   MM    MM
2023 09 28 02 53 120  7.7 12.4    MM    MM    MM  MM 1007.8  10.3    MM   9.0   MM   MM    MM
2023 09 28 02 44 120  7.7 11.3    MM    MM    MM  MM 1007.5  10.3    MM   9.0   MM   MM    MM
2023 09 28 02 34 120  8.2 12.4    MM    MM    MM  MM 1007.3  10.3    MM   8.9   MM   MM    MM
2023 09 28 02 23 120  8.2 13.4    MM    MM    MM  MM 1007.2  10.4    MM   9.0   MM   MM    MM
2023 09 28 02 12 120  8.8 13.4    MM    MM    MM  MM 1006.9  10.3    MM   9.0   MM   MM    MM
2023 09 28 02 03 120  8.8 12.9    MM    MM    MM  MM 1006.6  10.3    MM   9.0   MM   MM    MM
2023 09 28 01 53 120  9.8 13.9    MM    MM    MM  MM 1006.4  10.3    MM   9.1   MM   MM    MM
2023 09 28 01 43 120  8.8 12.9    MM    MM    MM  MM 1006.3  10.2    MM   9.1   MM   MM    MM
2023 09 28 01 33 120  9.3 13.4    MM    MM    MM  MM 1006.1  10.2    MM   9.1   MM   MM    MM
2023 09 28 01 23 120  8.8 12.9    MM    MM    MM  MM 1005.9  10.2    MM   9.1   MM   MM    MM
2023 09 28 01 12 120  9.8 15.4    MM    MM    MM  MM 1005.6  10.1    MM   9.0   MM   MM    MM
2023 09 28 01 02 120  9.8 14.4    MM    MM    MM  MM 1005.4  10.3    MM   9.1   MM   MM    MM
2023 09 28 00 52 120  9.3 14.4    MM    MM    MM  MM 1005.3  10.4    MM   9.0   MM   MM    MM
2023 09 28 00 42 120  9.8 14.9    MM    MM    MM  MM 1005.1  10.6    MM   9.0   MM   MM    MM
2023 09 28 00 32 120  9.3 13.9    MM    MM    MM  MM 1004.9  10.6    MM   9.0   MM   MM    MM
2023 09 28 00 22 120  9.8 14.4    MM    MM    MM  MM 1004.6  10.9    MM   8.9   MM   MM    MM
2023 09 28 00 12 120 10.3 16.0    MM    MM    MM  MM 1004.4  10.9    MM   8.9   MM   MM    MM
2023 09 27 23 52 110  9.3 14.9    MM    MM    MM  MM 1004.1  11.2    MM   8.9   MM   MM    MM
2023 09 27 23 42 120  9.8 16.5    MM    MM    MM  MM 1003.9  11.1    MM   9.0   MM   MM    MM
2023 09 27 23 32 120  9.3 13.9    MM    MM    MM  MM 1003.7  11.2    MM   9.1   MM   MM    MM
2023 09 27 23 23 120  8.2 16.0    MM    MM    MM  MM 1003.5  11.0    MM   9.3   MM   MM    MM
2023 09 27 23 13 120  9.3 17.0    MM    MM    MM  MM 1003.3  11.1    MM   9.4   MM   MM    MM
2023 09 27 23 02 120 10.3 16.0    MM    MM    MM  MM 1003.0  11.0    MM   9.4   MM   MM    MM
2023 09 27 22 53 120 10.3 14.4    MM    MM    MM  MM 1002.7  11.1    MM   9.4   MM   MM    MM
2023 09 27 22 42 110 10.3 16.5    MM    MM    MM  MM 1002.6  11.1    MM   9.5   MM   MM    MM
2023 09 27 22 32 120 11.3 17.5    MM    MM    MM  MM 1002.4  11.4    MM   9.4   MM   MM    MM
2023 09 27 22 22 120 11.8 17.5    MM    MM    MM  MM 1002.2  11.5    MM   9.4   MM   MM    MM
2023 09 27 22 12 120 10.8 14.9    MM    MM    MM  MM 1002.1  11.4    MM   9.5   MM   MM    MM
2023 09 27 22 02 120 11.3 16.0    MM    MM    MM  MM 1001.9  11.6    MM   9.5   MM   MM    MM
2023 09 27 21 52 120  9.8 16.0    MM    MM    MM  MM 1001.9  11.7    MM   9.5   MM   MM    MM
2023 09 27 21 42 120 10.8 16.0    MM    MM    MM  MM 1001.6  11.8    MM   9.7   MM   MM    MM
2023 09 27 21 32 120 11.3 16.0    MM    MM    MM  MM 1001.4  12.1    MM   9.7   MM   MM    MM
2023 09 27 21 22 120 11.3 17.0    MM    MM    MM  MM 1001.1  12.3    MM   9.8   MM   MM    MM
2023 09 27 21 12 120 10.3 13.9    MM    MM    MM  MM 1001.0  12.3    MM   9.9   MM   MM    MM
2023 09 27 21 02 130  9.3 13.4    MM    MM    MM  MM 1001.0  12.0    MM  10.1   MM   MM    MM
2023 09 27 20 52 150  7.2 11.3    MM    MM    MM  MM 1001.0  11.7    MM  10.3   MM   MM    MM
2023 09 27 20 42 150  6.7 10.8    MM    MM    MM  MM 1000.9  11.6    MM  10.3   MM   MM    MM
2023 09 27 20 32 150  7.2 11.8    MM    MM    MM  MM 1000.7  11.7    MM  10.3   MM   MM    MM
2023 09 27 20 22 140  7.2 10.8    MM    MM    MM  MM 1000.7  11.7    MM  10.3   MM   MM    MM
2023 09 27 20 12 140  6.7  9.8    MM    MM    MM  MM 1000.6  11.5    MM  10.3   MM   MM    MM
2023 09 27 20 02 130  8.2 12.9    MM    MM    MM  MM 1000.3  11.8    MM  10.4   MM   MM    MM
2023 09 27 19 52 120  8.8 13.4    MM    MM    MM  MM 1000.1  12.2    MM  10.5   MM   MM    MM
2023 09 27 19 42 140  7.7 10.3    MM    MM    MM  MM 1000.1  11.5    MM  10.5   MM   MM    MM
2023 09 27 19 32 150  6.7  9.3    MM    MM    MM  MM 1000.0  11.5    MM  10.7   MM   MM    MM
2023 09 27 19 22 150  6.2  8.8    MM    MM    MM  MM  999.7  11.5    MM  10.6   MM   MM    MM
2023 09 27 19 13 160  6.2  8.2    MM    MM    MM  MM  999.6  11.6    MM  10.7   MM   MM    MM
2023 09 27 19 02 150  5.7  8.2    MM    MM    MM  MM  999.5  11.2    MM  10.5   MM   MM    MM
2023 09 27 18 52 130  2.1  6.7    MM    MM    MM  MM  999.5  10.6    MM  10.6   MM   MM    MM
2023 09 27 18 42 150  1.5  2.6    MM    MM    MM  MM  999.3  10.7    MM  10.5   MM   MM    MM
2023 09 27 18 33  60  1.5  2.1    MM    MM    MM  MM  999.3  10.4    MM  10.4   MM   MM    MM
2023 09 27 18 22 220  1.0  2.6    MM    MM    MM  MM  999.1  10.3    MM  10.3   MM   MM    MM
2023 09 27 18 12  50  2.1  3.1    MM    MM    MM  MM  999.0  10.2    MM  10.2   MM   MM    MM
2023 09 27 18 02 140  1.0  1.5    MM    MM    MM  MM  998.9   9.8    MM   9.8   MM   MM    MM
2023 09 27 17 52 130  1.0  2.1    MM    MM    MM  MM  998.7   9.8    MM   9.8   MM   MM    MM
2023 09 27 17 42 150  2.1  2.6    MM    MM    MM  MM  998.6   9.7    MM   9.7   MM   MM    MM
2023 09 27 17 32 160  2.1  3.6    MM    MM    MM  MM  998.5   9.8    MM   9.8   MM   MM    MM
