#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 15 02 34 310  1.5  3.1    MM    MM    MM  MM  992.3  12.0    MM   9.0   MM   MM    MM
2023 09 15 02 24 300  2.6  3.6    MM    MM    MM  MM  992.4  12.0    MM   8.8   MM   MM    MM
2023 09 15 02 14 250  2.1  4.1    MM    MM    MM  MM  992.5  12.1    MM   8.9   MM   MM    MM
2023 09 15 02 04 230  3.6  6.7    MM    MM    MM  MM  992.5  11.8    MM   8.8   MM   MM    MM
2023 09 15 01 54 230  3.6  7.2    MM    MM    MM  MM  992.5  11.8    MM   8.8   MM   MM    MM
2023 09 15 01 44 230  3.1  4.6    MM    MM    MM  MM  992.5  12.0    MM   8.9   MM   MM    MM
2023 09 15 01 34 230  3.1  5.1    MM    MM    MM  MM  992.5  11.7    MM   8.8   MM   MM    MM
2023 09 15 01 24 210  2.6  4.1    MM    MM    MM  MM  992.5  11.7    MM   8.8   MM   MM    MM
2023 09 15 01 14 210  2.1  4.1    MM    MM    MM  MM  992.7  11.6    MM   8.9   MM   MM    MM
2023 09 15 01 04 210  3.6  6.2    MM    MM    MM  MM  992.6  11.5    MM   8.8   MM   MM    MM
2023 09 15 00 54 260  1.5  3.6    MM    MM    MM  MM  992.8  11.8    MM   9.0   MM   MM    MM
2023 09 15 00 44 300  3.1  5.1    MM    MM    MM  MM  992.7  11.7    MM   8.9   MM   MM    MM
2023 09 15 00 34 290  4.1  7.2    MM    MM    MM  MM  992.8  11.8    MM   9.0   MM   MM    MM
2023 09 15 00 24 290  4.6  7.2    MM    MM    MM  MM  992.8  11.9    MM   9.0   MM   MM    MM
2023 09 15 00 14 290  4.1  7.7    MM    MM    MM  MM  992.7  11.9    MM   9.0   MM   MM    MM
2023 09 14 23 54 310  4.6  7.7    MM    MM    MM  MM  992.8  12.0    MM   8.9   MM   MM    MM
2023 09 14 23 44 290  4.1  7.7    MM    MM    MM  MM  992.8  12.1    MM   9.0   MM   MM    MM
2023 09 14 23 34 290  4.1  6.7    MM    MM    MM  MM  992.7  12.1    MM   9.1   MM   MM    MM
2023 09 14 23 24 270  2.6  5.7    MM    MM    MM  MM  992.8  12.0    MM   9.1   MM   MM    MM
2023 09 14 23 14 300  4.1  7.7    MM    MM    MM  MM  992.6  11.9    MM   9.2   MM   MM    MM
2023 09 14 23 04 290  5.1  8.8    MM    MM    MM  MM  992.5  11.9    MM   9.1   MM   MM    MM
2023 09 14 22 54 300  5.7  9.8    MM    MM    MM  MM  992.6  11.9    MM   9.1   MM   MM    MM
2023 09 14 22 44 300  6.2 10.8    MM    MM    MM  MM  992.4  12.0    MM   9.0   MM   MM    MM
2023 09 14 22 35 310  7.7 12.4    MM    MM    MM  MM  992.4  12.0    MM   9.0   MM   MM    MM
2023 09 14 22 24 290  7.2 12.4    MM    MM    MM  MM  992.5  11.8    MM   9.1   MM   MM    MM
2023 09 14 22 14 300  7.2 10.3    MM    MM    MM  MM  992.4  11.7    MM   9.2   MM   MM    MM
2023 09 14 22 04 300  8.2 13.4    MM    MM    MM  MM  992.3  11.7    MM   9.2   MM   MM    MM
2023 09 14 21 54 300  7.7 11.8    MM    MM    MM  MM  992.4  11.8    MM   9.2   MM   MM    MM
2023 09 14 21 44 320  8.2 11.8    MM    MM    MM  MM  992.3  12.0    MM   9.1   MM   MM    MM
2023 09 14 21 34 310  7.7 11.3    MM    MM    MM  MM  992.4  11.9    MM   9.3   MM   MM    MM
2023 09 14 21 14 280  9.3 13.9    MM    MM    MM  MM  992.1  12.0    MM   9.0   MM   MM    MM
2023 09 14 21 04 280  9.8 15.4    MM    MM    MM  MM  992.6  11.9    MM   9.2   MM   MM    MM
2023 09 14 20 54 270  9.3 17.0    MM    MM    MM  MM  992.6  11.6    MM   9.2   MM   MM    MM
2023 09 14 20 44 270  9.3 13.4    MM    MM    MM  MM  992.8  12.0    MM   9.3   MM   MM    MM
2023 09 14 20 34 270  9.3 13.9    MM    MM    MM  MM  992.8  11.8    MM   9.4   MM   MM    MM
2023 09 14 20 24 270  8.2 16.0    MM    MM    MM  MM  992.8  12.0    MM   9.5   MM   MM    MM
2023 09 14 20 14 270  9.3 15.4    MM    MM    MM  MM  992.6  12.0    MM   9.6   MM   MM    MM
2023 09 14 20 04 260  7.2 13.9    MM    MM    MM  MM  992.6  11.9    MM   9.7   MM   MM    MM
2023 09 14 19 54 270  9.8 17.0    MM    MM    MM  MM  992.4  12.0    MM   9.8   MM   MM    MM
2023 09 14 19 44 260  7.7 15.4    MM    MM    MM  MM  992.5  12.1    MM  10.0   MM   MM    MM
2023 09 14 19 34 260  7.2 12.4    MM    MM    MM  MM  992.6  12.0    MM  10.1   MM   MM    MM
2023 09 14 19 25 260  6.7 12.9    MM    MM    MM  MM  992.4  12.1    MM  10.2   MM   MM    MM
2023 09 14 19 14 270  6.2  9.8    MM    MM    MM  MM  992.5  12.8    MM  10.3   MM   MM    MM
2023 09 14 19 04 270  6.7 11.8    MM    MM    MM  MM  992.5  12.8    MM  10.1   MM   MM    MM
2023 09 14 18 54 260  5.7 11.3    MM    MM    MM  MM  992.4  12.8    MM  10.2   MM   MM    MM
2023 09 14 18 44 260  4.6 11.3    MM    MM    MM  MM  992.4  12.7    MM  10.1   MM   MM    MM
2023 09 14 18 34 260  5.7 10.8    MM    MM    MM  MM  992.4  12.7    MM  10.1   MM   MM    MM
2023 09 14 18 24 250  4.1  8.2    MM    MM    MM  MM  992.5  12.2    MM  10.0   MM   MM    MM
2023 09 14 18 14 240  5.1  9.3    MM    MM    MM  MM  992.5  12.2    MM  10.1   MM   MM    MM
2023 09 14 18 04 230  4.1  9.3    MM    MM    MM  MM  992.7  11.8    MM  10.1   MM   MM    MM
2023 09 14 17 54 300  2.6  5.7    MM    MM    MM  MM  992.6  11.2    MM   9.8   MM   MM    MM
2023 09 14 17 44 330  2.1  5.1    MM    MM    MM  MM  992.7  11.1    MM   9.4   MM   MM    MM
2023 09 14 17 34 200  1.5  3.6    MM    MM    MM  MM  992.9  11.1    MM   9.3   MM   MM    MM
2023 09 14 17 24 340  2.6  4.6    MM    MM    MM  MM  992.9  11.5    MM   9.5   MM   MM    MM
2023 09 14 17 14 340  2.6  5.1    MM    MM    MM  MM  992.9  11.1    MM   9.4   MM   MM    MM
2023 09 14 17 04 340  2.6  4.6    MM    MM    MM  MM  992.7  10.8    MM   9.3   MM   MM    MM
