#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 31 170  6.2  9.3    MM    MM    MM  MM     MM   7.2    MM   5.2   MM   MM    MM
2023 09 28 21 21 180  5.7  8.8    MM    MM    MM  MM     MM   7.0    MM   5.0   MM   MM    MM
2023 09 28 21 11 180  5.7  8.8    MM    MM    MM  MM     MM   7.0    MM   4.9   MM   MM    MM
2023 09 28 21 02 180  7.2 10.3    MM    MM    MM  MM     MM   7.1    MM   4.9   MM   MM    MM
2023 09 28 20 52 170  7.2 10.8    MM    MM    MM  MM     MM   7.0    MM   4.8   MM   MM    MM
2023 09 28 20 41 170  7.7 10.8    MM    MM    MM  MM     MM   7.0    MM   4.8   MM   MM    MM
2023 09 28 20 22 160  8.2 12.9    MM    MM    MM  MM     MM   7.3    MM   4.7   MM   MM    MM
2023 09 28 20 11 160  7.2 11.3    MM    MM    MM  MM     MM   7.3    MM   4.6   MM   MM    MM
2023 09 28 20 02 170  7.7 11.3    MM    MM    MM  MM     MM   7.2    MM   4.5   MM   MM    MM
2023 09 28 19 52 170  6.7 10.3    MM    MM    MM  MM     MM   7.1    MM   4.6   MM   MM    MM
2023 09 28 19 41 170  6.7  9.8    MM    MM    MM  MM     MM   6.9    MM   4.5   MM   MM    MM
2023 09 28 19 31 160  7.2 10.8    MM    MM    MM  MM     MM   6.9    MM   4.4   MM   MM    MM
2023 09 28 19 22 160  6.7 10.3    MM    MM    MM  MM     MM   6.8    MM   4.4   MM   MM    MM
2023 09 28 19 10 160  6.2  9.3    MM    MM    MM  MM     MM   6.6    MM   4.3   MM   MM    MM
2023 09 28 19 02 160  5.7  8.8    MM    MM    MM  MM     MM   6.4    MM   4.1   MM   MM    MM
2023 09 28 18 51 160  6.2  8.2    MM    MM    MM  MM     MM   6.6    MM   3.9   MM   MM    MM
2023 09 28 18 41 160  6.2  9.3    MM    MM    MM  MM     MM   6.6    MM   3.9   MM   MM    MM
2023 09 28 18 31 150  5.7  9.8    MM    MM    MM  MM     MM   6.6    MM   3.8   MM   MM    MM
2023 09 28 18 21 150  6.2 10.3    MM    MM    MM  MM     MM   6.5    MM   3.7   MM   MM    MM
2023 09 28 18 11 150  6.2  9.3    MM    MM    MM  MM     MM   6.4    MM   3.7   MM   MM    MM
2023 09 28 18 00 150  6.2  8.8    MM    MM    MM  MM     MM   6.3    MM   3.6   MM   MM    MM
2023 09 28 17 52 150  6.2  8.8    MM    MM    MM  MM     MM   6.3    MM   3.6   MM   MM    MM
2023 09 28 17 41 150  5.7  8.2    MM    MM    MM  MM     MM   6.2    MM   3.7   MM   MM    MM
2023 09 28 17 32 150  6.2  8.8    MM    MM    MM  MM     MM   6.1    MM   3.6   MM   MM    MM
2023 09 28 17 21 140  6.2  8.8    MM    MM    MM  MM     MM   6.0    MM   3.5   MM   MM    MM
2023 09 28 17 11 140  6.2  9.3    MM    MM    MM  MM     MM   6.0    MM   3.4   MM   MM    MM
2023 09 28 17 01 150  6.2  9.3    MM    MM    MM  MM     MM   6.1    MM   3.4   MM   MM    MM
2023 09 28 16 52 140  6.2  8.8    MM    MM    MM  MM     MM   6.2    MM   3.4   MM   MM    MM
2023 09 28 16 41 140  6.2  9.3    MM    MM    MM  MM     MM   6.3    MM   3.5   MM   MM    MM
2023 09 28 16 31 150  6.2  8.2    MM    MM    MM  MM     MM   6.3    MM   3.6   MM   MM    MM
2023 09 28 16 21 150  6.2  8.2    MM    MM    MM  MM     MM   6.2    MM   3.5   MM   MM    MM
2023 09 28 16 11 150  6.2  9.3    MM    MM    MM  MM     MM   6.2    MM   3.5   MM   MM    MM
2023 09 28 16 01 150  6.2  9.3    MM    MM    MM  MM     MM   6.2    MM   3.5   MM   MM    MM
2023 09 28 15 51 150  6.2  9.8    MM    MM    MM  MM     MM   6.2    MM   3.5   MM   MM    MM
2023 09 28 15 40 150  6.7  9.3    MM    MM    MM  MM     MM   6.2    MM   3.5   MM   MM    MM
