#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 30 350  1.5  1.5    MM    MM    MM  MM 1014.4  11.9    MM    MM   MM   MM    MM
2023 09 28 21 00 320  1.5  1.5    MM    MM    MM  MM 1014.5  12.5    MM    MM   MM +1.6    MM
2023 09 28 20 30  20  2.1  2.6    MM    MM    MM  MM 1014.2  12.3    MM    MM   MM   MM    MM
2023 09 28 20 00  40  2.1  2.6    MM    MM    MM  MM 1014.0  12.3    MM    MM   MM +1.3    MM
2023 09 28 19 30  30  2.1  2.6    MM    MM    MM  MM 1013.7  11.6    MM    MM   MM   MM    MM
2023 09 28 19 00  30  2.6  3.1    MM    MM    MM  MM 1013.4  11.8    MM    MM   MM +1.4    MM
2023 09 28 18 30  30  2.6  2.6    MM    MM    MM  MM 1013.2  11.4    MM    MM   MM   MM    MM
2023 09 28 18 00  20  1.5  1.5    MM    MM    MM  MM 1012.9  11.4    MM    MM   MM +1.4    MM
2023 09 28 17 30 130  1.5  1.5    MM    MM    MM  MM 1012.9  11.1    MM    MM   MM   MM    MM
2023 09 28 17 00  40  2.1  2.1    MM    MM    MM  MM 1012.7  11.1    MM    MM   MM +1.8    MM
2023 09 28 16 30 310  1.0  1.0    MM    MM    MM  MM 1012.4  11.0    MM    MM   MM   MM    MM
2023 09 28 16 00 340  1.0  1.0    MM    MM    MM  MM 1012.0  10.7    MM    MM   MM +1.7    MM
2023 09 28 15 30 340  2.1  2.1    MM    MM    MM  MM 1011.7  10.5    MM    MM   MM   MM    MM
2023 09 28 15 00  MM  0.0  0.5    MM    MM    MM  MM 1011.5  10.7    MM    MM   MM +1.7    MM
2023 09 28 14 30  MM  0.0  0.5    MM    MM    MM  MM 1011.3  10.8    MM    MM   MM   MM    MM
2023 09 28 14 00  MM  0.0  0.5    MM    MM    MM  MM 1010.9  10.8    MM    MM   MM +1.4    MM
2023 09 28 13 30 160  1.5  2.1    MM    MM    MM  MM 1010.6  11.1    MM    MM   MM   MM    MM
2023 09 28 13 00 150  1.0  1.5    MM    MM    MM  MM 1010.3  11.1    MM    MM   MM +1.3    MM
2023 09 28 12 30 330  2.6  2.6    MM    MM    MM  MM 1010.1  11.0    MM    MM   MM   MM    MM
2023 09 28 12 00 290  2.1  2.6    MM    MM    MM  MM 1009.8  10.6    MM    MM   MM +1.5    MM
2023 09 28 11 30 310  1.5  2.1    MM    MM    MM  MM 1009.7  10.8    MM    MM   MM   MM    MM
2023 09 28 11 00 230  1.5  1.5    MM    MM    MM  MM 1009.5  11.7    MM    MM   MM +2.0    MM
2023 09 28 10 30 250  0.5  1.0    MM    MM    MM  MM 1009.3  11.2    MM    MM   MM   MM    MM
2023 09 28 10 00  60  0.5  0.5    MM    MM    MM  MM 1009.0  10.9    MM    MM   MM +2.2    MM
2023 09 28 09 30  MM  0.0  0.5    MM    MM    MM  MM 1008.7  11.3    MM    MM   MM   MM    MM
2023 09 28 09 00  10  1.5  1.5    MM    MM    MM  MM 1008.3  11.5    MM    MM   MM +2.0    MM
2023 09 28 08 30  MM  0.0  0.5    MM    MM    MM  MM 1008.0  11.7    MM    MM   MM   MM    MM
2023 09 28 08 00  50  1.0  1.0    MM    MM    MM  MM 1007.5  11.6    MM    MM   MM +1.8    MM
2023 09 28 07 30  30  2.1  2.6    MM    MM    MM  MM 1007.1  11.7    MM    MM   MM   MM    MM
2023 09 28 07 00 310  5.1  5.7    MM    MM    MM  MM 1006.8  12.6    MM    MM   MM +1.6    MM
2023 09 28 06 30 320  5.1  5.7    MM    MM    MM  MM 1006.6  12.7    MM    MM   MM   MM    MM
2023 09 28 06 00 310  4.6  5.1    MM    MM    MM  MM 1006.3  12.5    MM    MM   MM +1.6    MM
2023 09 28 05 30 330  5.1  6.2    MM    MM    MM  MM 1005.9  13.3    MM    MM   MM   MM    MM
2023 09 28 05 00 320  4.6  5.1    MM    MM    MM  MM 1005.7  13.3    MM    MM   MM +1.7    MM
2023 09 28 04 30 310  4.6  5.1    MM    MM    MM  MM 1005.4  12.2    MM    MM   MM   MM    MM
2023 09 28 04 00 310  4.6  5.1    MM    MM    MM  MM 1005.2  13.5    MM    MM   MM +2.0    MM
2023 09 28 03 30 290  4.1  4.1    MM    MM    MM  MM 1004.9  12.9    MM    MM   MM   MM    MM
2023 09 28 03 00 280  4.6  5.1    MM    MM    MM  MM 1004.7  13.0    MM    MM   MM +1.9    MM
2023 09 28 02 30 280  4.6  6.2    MM    MM    MM  MM 1004.3  13.5    MM    MM   MM   MM    MM
2023 09 28 02 00 340  5.1  5.7    MM    MM    MM  MM 1004.0  13.6    MM    MM   MM +1.3    MM
2023 09 28 01 30  10  8.2  8.2    MM    MM    MM  MM 1003.4  14.6    MM    MM   MM   MM    MM
2023 09 28 01 00  10  5.7  6.2    MM    MM    MM  MM 1003.2  13.9    MM    MM   MM +0.9    MM
2023 09 28 00 30 360  4.1  4.6    MM    MM    MM  MM 1003.1  14.4    MM    MM   MM   MM    MM
2023 09 28 00 00  20  2.1  2.6    MM    MM    MM  MM 1002.8  14.9    MM    MM   MM +1.1    MM
2023 09 27 23 30 290  4.1  4.6    MM    MM    MM  MM 1002.7  13.2    MM    MM   MM   MM    MM
2023 09 27 23 00 270  1.0  2.1    MM    MM    MM  MM 1002.7  13.3    MM    MM   MM +1.5    MM
2023 09 27 22 30 270  3.1  4.1    MM    MM    MM  MM 1002.5  12.6    MM    MM   MM   MM    MM
2023 09 27 22 00 280  4.1  4.6    MM    MM    MM  MM 1002.3  12.6    MM    MM   MM +1.4    MM
2023 09 27 21 30 300  4.6  5.1    MM    MM    MM  MM 1002.0  11.6    MM    MM   MM   MM    MM
2023 09 27 21 00 310  5.1  5.1    MM    MM    MM  MM 1001.7  11.7    MM    MM   MM +1.2    MM
2023 09 27 20 30 310  4.6  4.6    MM    MM    MM  MM 1001.5  11.9    MM    MM   MM   MM    MM
2023 09 27 20 00 310  5.1  5.1    MM    MM    MM  MM 1001.2  11.5    MM    MM   MM +1.0    MM
2023 09 27 19 30 300  4.6  5.1    MM    MM    MM  MM 1000.9  11.1    MM    MM   MM   MM    MM
2023 09 27 19 00 310  4.1  4.6    MM    MM    MM  MM 1000.9  11.1    MM    MM   MM +1.0    MM
2023 09 27 18 30 300  4.6  5.1    MM    MM    MM  MM 1000.7  11.4    MM    MM   MM   MM    MM
2023 09 27 18 00 310  5.7  6.2    MM    MM    MM  MM 1000.5  11.1    MM    MM   MM +0.9    MM
2023 09 27 17 30 310  4.6  5.1    MM    MM    MM  MM 1000.4  10.6    MM    MM   MM   MM    MM
2023 09 27 17 00 310  3.1  3.6    MM    MM    MM  MM 1000.2  11.4    MM    MM   MM +0.7    MM
2023 09 27 16 30 320  3.6  3.6    MM    MM    MM  MM 1000.1  10.8    MM    MM   MM   MM    MM
2023 09 27 16 00 330  3.1  3.1    MM    MM    MM  MM  999.9  10.4    MM    MM   MM +0.6    MM
2023 09 27 15 30 340  3.6  4.1    MM    MM    MM  MM  999.8  10.9    MM    MM   MM   MM    MM
2023 09 27 15 00 330  4.1  4.1    MM    MM    MM  MM  999.6  11.3    MM    MM   MM +0.6    MM
2023 09 27 14 30 330  4.6  5.1    MM    MM    MM  MM  999.6  10.9    MM    MM   MM   MM    MM
2023 09 27 14 00 310  4.6  5.1    MM    MM    MM  MM  999.5  10.8    MM    MM   MM +0.7    MM
2023 09 27 13 30 310  3.1  3.1    MM    MM    MM  MM  999.4  10.6    MM    MM   MM   MM    MM
2023 09 27 13 00 320  3.1  3.1    MM    MM    MM  MM  999.3  10.2    MM    MM   MM +0.8    MM
2023 09 27 12 30 320  3.1  3.6    MM    MM    MM  MM  999.2  10.5    MM    MM   MM   MM    MM
2023 09 27 12 00 320  3.1  3.6    MM    MM    MM  MM  999.0  10.4    MM    MM   MM +0.9    MM
2023 09 27 11 30 330  2.6  3.1    MM    MM    MM  MM  998.8  10.4    MM    MM   MM   MM    MM
2023 09 27 11 00 330  3.1  3.1    MM    MM    MM  MM  998.8  10.5    MM    MM   MM +0.9    MM
2023 09 27 10 30 340  2.6  3.1    MM    MM    MM  MM  998.7  10.5    MM    MM   MM   MM    MM
2023 09 27 10 00  40  1.5  1.5    MM    MM    MM  MM  998.5  11.1    MM    MM   MM +1.0    MM
2023 09 27 09 30 360  3.1  3.1    MM    MM    MM  MM  998.3  11.0    MM    MM   MM   MM    MM
2023 09 27 09 00 340  3.6  3.6    MM    MM    MM  MM  998.1  10.7    MM    MM   MM +1.0    MM
2023 09 27 08 30 320  2.6  3.1    MM    MM    MM  MM  998.0  11.0    MM    MM   MM   MM    MM
2023 09 27 08 00 330  1.0  1.5    MM    MM    MM  MM  997.9  11.6    MM    MM   MM +1.3    MM
2023 09 27 07 30 320  1.0  1.5    MM    MM    MM  MM  997.6  11.5    MM    MM   MM   MM    MM
2023 09 27 07 00  20  1.0  1.0    MM    MM    MM  MM  997.5  11.5    MM    MM   MM +1.1    MM
2023 09 27 06 30  30  1.5  1.5    MM    MM    MM  MM  997.3  11.6    MM    MM   MM   MM    MM
2023 09 27 06 00  20  2.1  2.1    MM    MM    MM  MM  997.1  12.1    MM    MM   MM +1.0    MM
2023 09 27 05 30 100  2.1  2.6    MM    MM    MM  MM  996.9  12.1    MM    MM   MM   MM    MM
2023 09 27 05 00 150  4.1  4.6    MM    MM    MM  MM  996.6  12.4    MM    MM   MM +0.8    MM
2023 09 27 04 30 150  4.1  4.6    MM    MM    MM  MM  996.5  12.6    MM    MM   MM   MM    MM
2023 09 27 04 00 150  3.1  3.6    MM    MM    MM  MM  996.4  12.7    MM    MM   MM +0.8    MM
2023 09 27 03 30 160  3.1  3.6    MM    MM    MM  MM  996.2  12.7    MM    MM   MM   MM    MM
2023 09 27 03 00 160  1.5  1.5    MM    MM    MM  MM  996.1  12.8    MM    MM   MM -0.0    MM
2023 09 27 02 30 180  2.1  2.1    MM    MM    MM  MM  995.9  13.1    MM    MM   MM   MM    MM
2023 09 27 02 00 150  1.0  1.5    MM    MM    MM  MM  995.8  13.7    MM    MM   MM +0.0    MM
2023 09 27 01 30 150  1.0  1.0    MM    MM    MM  MM  995.8  13.3    MM    MM   MM   MM    MM
2023 09 27 01 00  MM  0.0  0.5    MM    MM    MM  MM  995.6  14.5    MM    MM   MM +0.0    MM
2023 09 27 00 30 260  2.1  3.1    MM    MM    MM  MM  995.8  12.6    MM    MM   MM   MM    MM
2023 09 27 00 00 170  0.5  1.0    MM    MM    MM  MM  995.9  13.5    MM    MM   MM +0.0    MM
2023 09 26 23 30 270  0.5  1.0    MM    MM    MM  MM  995.9  12.9    MM    MM   MM   MM    MM
2023 09 26 23 00 260  3.6  3.6    MM    MM    MM  MM  995.7  12.2    MM    MM   MM +0.0    MM
