#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 26 130  1.5  2.6    MM    MM    MM  MM     MM  10.1    MM   7.7   MM   MM    MM
2023 09 28 20 26 130  1.5  3.1    MM    MM    MM  MM     MM   9.6    MM   7.5   MM   MM    MM
2023 09 28 19 26 130  1.5  2.6    MM    MM    MM  MM     MM   9.2    MM   7.6   MM   MM    MM
2023 09 28 18 26 130  1.5  2.6    MM    MM    MM  MM     MM   8.8    MM   7.2   MM   MM    MM
2023 09 28 17 26 110  2.1  3.1    MM    MM    MM  MM     MM   8.5    MM   7.2   MM   MM    MM
2023 09 28 16 26 120  1.5  2.6    MM    MM    MM  MM     MM   8.3    MM   7.1   MM   MM    MM
2023 09 28 15 26 120  1.5  2.1    MM    MM    MM  MM     MM   8.4    MM   7.2   MM   MM    MM
2023 09 28 14 26 120  1.5  2.1    MM    MM    MM  MM     MM   8.5    MM   7.3   MM   MM    MM
2023 09 28 13 26 140  1.0  2.1    MM    MM    MM  MM     MM   8.6    MM   7.4   MM   MM    MM
2023 09 28 12 26 140  1.5  2.6    MM    MM    MM  MM     MM   8.7    MM   7.3   MM   MM    MM
2023 09 28 11 26 160  1.5  3.6    MM    MM    MM  MM     MM   8.8    MM   7.5   MM   MM    MM
2023 09 28 10 26 150  2.1  3.1    MM    MM    MM  MM     MM   8.8    MM   7.4   MM   MM    MM
2023 09 28 09 26 120  1.5  3.1    MM    MM    MM  MM     MM   8.6    MM   7.4   MM   MM    MM
2023 09 28 08 26 120  2.6  3.6    MM    MM    MM  MM     MM   8.6    MM   7.3   MM   MM    MM
2023 09 28 07 26 120  2.6  4.6    MM    MM    MM  MM     MM   8.8    MM   7.2   MM   MM    MM
2023 09 28 06 26 110  3.1  4.6    MM    MM    MM  MM     MM   9.0    MM   6.9   MM   MM    MM
2023 09 28 05 26 110  3.1  4.6    MM    MM    MM  MM     MM   9.3    MM   7.0   MM   MM    MM
2023 09 28 04 26 110  3.1  4.6    MM    MM    MM  MM     MM   9.7    MM   7.5   MM   MM    MM
2023 09 28 03 26  90  2.6  3.6    MM    MM    MM  MM     MM   9.8    MM   8.1   MM   MM    MM
2023 09 28 02 26 110  3.6  5.1    MM    MM    MM  MM     MM  10.2    MM   8.2   MM   MM    MM
2023 09 28 01 26  90  2.1  4.1    MM    MM    MM  MM     MM  10.4    MM   8.3   MM   MM    MM
2023 09 28 00 26  60  1.0  1.5    MM    MM    MM  MM     MM  10.2    MM   8.8   MM   MM    MM
2023 09 27 23 25  80  0.5  1.5    MM    MM    MM  MM     MM   9.9    MM   8.6   MM   MM    MM
2023 09 27 22 26  30  1.0  2.6    MM    MM    MM  MM     MM   9.8    MM   8.3   MM   MM    MM
2023 09 27 21 26  40  1.5  3.1    MM    MM    MM  MM     MM   9.7    MM   8.1   MM   MM    MM
2023 09 27 20 25  40  1.5  2.6    MM    MM    MM  MM     MM   9.8    MM   8.1   MM   MM    MM
2023 09 27 19 26  40  1.5  3.1    MM    MM    MM  MM     MM   9.5    MM   7.9   MM   MM    MM
2023 09 27 18 26  40  2.1  3.6    MM    MM    MM  MM     MM   9.6    MM   7.8   MM   MM    MM
2023 09 27 17 26  20  3.6  5.7    MM    MM    MM  MM     MM   9.7    MM   7.9   MM   MM    MM
2023 09 27 16 26  30  3.1  5.7    MM    MM    MM  MM     MM   9.6    MM   7.8   MM   MM    MM
2023 09 27 15 26  80  2.1  4.1    MM    MM    MM  MM     MM   9.6    MM   7.6   MM   MM    MM
