#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 20 40 360  3.6  5.1    MM    MM    MM  MM 1019.6  18.3    MM    MM   MM   MM    MM
2023 09 28 20 30 350  3.6  5.1    MM    MM    MM  MM 1020.0  18.3    MM    MM   MM   MM    MM
2023 09 28 20 20 340  3.6  5.1    MM    MM    MM  MM 1020.0  18.3    MM    MM   MM   MM    MM
2023 09 28 20 10 350  3.6  5.1    MM    MM    MM  MM 1020.0  18.3    MM    MM   MM   MM    MM
2023 09 28 20 00 360  4.1  5.7    MM    MM    MM  MM 1020.0  18.2    MM    MM   MM -1.0    MM
2023 09 28 19 50 360  3.6  5.1    MM    MM    MM  MM 1020.0  18.2    MM    MM   MM   MM    MM
2023 09 28 19 40 350  3.1  5.1    MM    MM    MM  MM 1020.0  18.6    MM    MM   MM   MM    MM
2023 09 28 19 30 360  4.1  5.1    MM    MM    MM  MM 1020.0  18.9    MM    MM   MM   MM    MM
2023 09 28 19 20 350  3.1  5.1    MM    MM    MM  MM 1020.0  19.9    MM    MM   MM   MM    MM
2023 09 28 19 10 350  0.5  3.6    MM    MM    MM  MM 1020.0  20.5    MM    MM   MM   MM    MM
2023 09 28 19 00 120  3.1  4.6    MM    MM    MM  MM 1020.0  20.7    MM    MM   MM -1.7    MM
2023 09 28 18 50  90  2.1  3.1    MM    MM    MM  MM 1020.0  20.9    MM    MM   MM   MM    MM
2023 09 28 18 40 130  1.0  3.6    MM    MM    MM  MM 1020.3  20.5    MM    MM   MM   MM    MM
2023 09 28 18 30  80  2.6  3.6    MM    MM    MM  MM 1020.3  20.4    MM    MM   MM   MM    MM
2023 09 28 18 20  90  1.5  3.1    MM    MM    MM  MM 1020.3  20.2    MM    MM   MM   MM    MM
2023 09 28 18 10 100  1.5  2.6    MM    MM    MM  MM 1020.3  20.4    MM    MM   MM   MM    MM
2023 09 28 18 00 110  1.0  3.1    MM    MM    MM  MM 1020.7  19.9    MM    MM   MM -1.0    MM
2023 09 28 17 50  MM  0.0  4.1    MM    MM    MM  MM 1020.7  19.6    MM    MM   MM   MM    MM
2023 09 28 17 40 310  2.1  4.1    MM    MM    MM  MM 1020.7  20.3    MM    MM   MM   MM    MM
2023 09 28 17 30  10  1.5  2.6    MM    MM    MM  MM 1021.0  19.7    MM    MM   MM   MM    MM
2023 09 28 17 20 350  1.0  3.6    MM    MM    MM  MM 1021.0  19.7    MM    MM   MM   MM    MM
2023 09 28 17 10 360  2.6  5.7    MM    MM    MM  MM 1021.0  20.2    MM    MM   MM   MM    MM
2023 09 28 17 00  60  1.0  3.1    MM    MM    MM  MM 1021.0  20.6    MM    MM   MM -0.7    MM
2023 09 28 16 50  70  1.0  3.6    MM    MM    MM  MM 1021.3  22.0    MM    MM   MM   MM    MM
