#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 20 40 330  3.6  4.6    MM    MM    MM  MM     MM  18.6    MM    MM   MM   MM    MM
2023 09 28 20 30  30  3.1  4.6    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 20 20 340  4.1  5.7    MM    MM    MM  MM     MM  18.3    MM    MM   MM   MM    MM
2023 09 28 20 10 360  4.1  5.1    MM    MM    MM  MM     MM  18.0    MM    MM   MM   MM    MM
2023 09 28 20 00 350  4.6  5.7    MM    MM    MM  MM     MM  17.9    MM    MM   MM   MM    MM
2023 09 28 19 50 340  5.1  5.7    MM    MM    MM  MM     MM  18.0    MM    MM   MM   MM    MM
2023 09 28 19 40 360  3.1  4.1    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 19 30  20  3.1   MM    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 19 20  30  3.1  4.1    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 19 10  30  3.1  5.1    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 19 00  20  3.6  5.1    MM    MM    MM  MM     MM  18.1    MM    MM   MM   MM    MM
2023 09 28 18 50  30  3.6  5.7    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 18 40  30  4.1  5.7    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 18 30  30  4.1  5.7    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 18 20  20  5.1  6.2    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 18 10  30  4.6  5.7    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 18 00  30  4.6  5.7    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 17 50  30  4.1  5.7    MM    MM    MM  MM     MM  18.5    MM    MM   MM   MM    MM
2023 09 28 17 40  30  4.6  6.7    MM    MM    MM  MM     MM  18.4    MM    MM   MM   MM    MM
2023 09 28 17 30 360  4.1  6.2    MM    MM    MM  MM     MM  18.3    MM    MM   MM   MM    MM
2023 09 28 17 20 360  4.6  6.2    MM    MM    MM  MM     MM  18.4    MM    MM   MM   MM    MM
2023 09 28 17 10 360  4.6  6.7    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 17 00 360  4.6  6.7    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 16 50 350  4.6  6.2    MM    MM    MM  MM     MM  18.3    MM    MM   MM   MM    MM
2023 09 28 16 40 340  5.1  5.7    MM    MM    MM  MM     MM  18.5    MM    MM   MM   MM    MM
2023 09 28 16 30 350  4.6  5.1    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 16 20 340  3.1  4.1    MM    MM    MM  MM     MM  18.8    MM    MM   MM   MM    MM
2023 09 28 16 10 340  2.6   MM    MM    MM    MM  MM     MM  19.0    MM    MM   MM   MM    MM
2023 09 28 16 00  20  3.1  4.1    MM    MM    MM  MM     MM  18.3    MM    MM   MM   MM    MM
2023 09 28 15 50  10  2.6  3.6    MM    MM    MM  MM     MM  18.4    MM    MM   MM   MM    MM
2023 09 28 15 40  30  3.1  3.6    MM    MM    MM  MM     MM  18.3    MM    MM   MM   MM    MM
2023 09 28 15 30  30  2.6  4.1    MM    MM    MM  MM     MM  18.4    MM    MM   MM   MM    MM
