#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 22  80  3.6  4.1    MM    MM    MM  MM 1018.6   8.0    MM   6.1   MM   MM    MM
2023 09 28 20 22  70  2.6  3.6    MM    MM    MM  MM 1018.5   8.0    MM   6.2   MM   MM    MM
2023 09 28 19 22  80  2.6  3.1    MM    MM    MM  MM 1018.3   7.5    MM   5.9   MM   MM    MM
2023 09 28 18 22  70  3.6  4.6    MM    MM    MM  MM 1018.0   7.2    MM   5.5   MM   MM    MM
2023 09 28 17 22  80  5.1  6.2    MM    MM    MM  MM 1017.7   7.1    MM   5.4   MM   MM    MM
2023 09 28 16 22  70  5.1  6.2    MM    MM    MM  MM 1017.3   7.5    MM   5.5   MM   MM    MM
2023 09 28 15 22  60  4.6  5.7    MM    MM    MM  MM 1017.1   7.7    MM   5.5   MM   MM    MM
2023 09 28 14 22  50  4.1  5.1    MM    MM    MM  MM 1016.8   7.9    MM   5.6   MM   MM    MM
2023 09 28 13 22  60  3.1  4.6    MM    MM    MM  MM 1016.5   8.2    MM   5.8   MM   MM    MM
2023 09 28 12 22  50  3.6  4.6    MM    MM    MM  MM 1016.1   8.4    MM   6.0   MM   MM    MM
2023 09 28 11 22  60  4.1  5.1    MM    MM    MM  MM 1016.0   8.6    MM   6.1   MM   MM    MM
2023 09 28 10 22  40  3.6  5.1    MM    MM    MM  MM 1015.7   8.5    MM   6.0   MM   MM    MM
2023 09 28 09 22  50  4.1  5.7    MM    MM    MM  MM 1015.3   8.6    MM   5.9   MM   MM    MM
2023 09 28 08 22  50  4.1  4.6    MM    MM    MM  MM 1014.9   8.8    MM   5.6   MM   MM    MM
2023 09 28 07 22  60  3.1  4.1    MM    MM    MM  MM 1014.5   9.2    MM   5.4   MM   MM    MM
2023 09 28 06 22  60  2.6  3.1    MM    MM    MM  MM 1014.1   8.7    MM   5.2   MM   MM    MM
2023 09 28 05 22  80  2.1  2.6    MM    MM    MM  MM 1013.8   9.0    MM   5.9   MM   MM    MM
2023 09 28 04 22 140  1.5  2.6    MM    MM    MM  MM 1013.3   9.2    MM   5.6   MM   MM    MM
2023 09 28 03 22 150  1.5  2.1    MM    MM    MM  MM 1012.9   9.4    MM   6.1   MM   MM    MM
2023 09 28 02 22 280  4.6  5.7    MM    MM    MM  MM 1012.3  10.1    MM   6.0   MM   MM    MM
2023 09 28 01 22 270  7.7  8.2    MM    MM    MM  MM 1011.5  10.2    MM   5.3   MM   MM    MM
2023 09 28 00 22 230  5.7  7.7    MM    MM    MM  MM 1011.1   9.8    MM   6.2   MM   MM    MM
2023 09 27 23 22 250  7.7  9.3    MM    MM    MM  MM 1010.4  10.3    MM   5.8   MM   MM    MM
2023 09 27 22 22 250  7.2  8.2    MM    MM    MM  MM 1009.6  10.2    MM   5.9   MM   MM    MM
2023 09 27 21 22 260  7.7  9.8    MM    MM    MM  MM 1008.6  10.3    MM   6.4   MM   MM    MM
2023 09 27 20 22 250  9.3 12.9    MM    MM    MM  MM 1007.5  10.4    MM   6.8   MM   MM    MM
2023 09 27 19 22 240 11.3 14.4    MM    MM    MM  MM 1006.1  10.8    MM   6.8   MM   MM    MM
2023 09 27 18 22 240 12.9 15.4    MM    MM    MM  MM 1004.5  10.9    MM   6.9   MM   MM    MM
2023 09 27 17 22 240 13.4 17.0    MM    MM    MM  MM 1003.0  11.0    MM   6.8   MM   MM    MM
2023 09 27 15 22 220 12.9 17.0    MM    MM    MM  MM 1000.1  11.0    MM   8.1   MM   MM    MM
2023 09 27 14 22 220 12.4 16.0    MM    MM    MM  MM  998.3  10.9    MM   9.0   MM   MM    MM
2023 09 27 13 22 190  8.2 10.8    MM    MM    MM  MM  996.1  11.3    MM   9.8   MM   MM    MM
2023 09 27 12 22 150  9.3 12.9    MM    MM    MM  MM  995.0  11.6    MM  10.0   MM   MM    MM
2023 09 27 11 22 120 15.4 20.6    MM    MM    MM  MM  994.2  12.1    MM   9.7   MM   MM    MM
2023 09 27 10 22 110 15.4 18.5    MM    MM    MM  MM  994.2  12.0    MM   8.8   MM   MM    MM
2023 09 27 09 22 100 13.4 18.0    MM    MM    MM  MM  994.5  11.7    MM   8.7   MM   MM    MM
2023 09 27 08 22  90 14.9 19.0    MM    MM    MM  MM  994.7  11.7    MM   8.9   MM   MM    MM
2023 09 27 07 22  90 14.9 20.1    MM    MM    MM  MM  994.9  12.5    MM   8.4   MM   MM    MM
2023 09 27 06 22  80 12.4 16.0    MM    MM    MM  MM  995.4  12.1    MM   9.0   MM   MM    MM
2023 09 27 05 22  90 13.4 16.0    MM    MM    MM  MM  995.1  11.9    MM   9.2   MM   MM    MM
2023 09 27 04 22  80 10.8 13.9    MM    MM    MM  MM  994.9  11.9    MM   9.4   MM   MM    MM
2023 09 27 03 22 100 10.8 17.0    MM    MM    MM  MM  994.6  12.3    MM   9.2   MM   MM    MM
2023 09 27 02 22  80 10.8 16.0    MM    MM    MM  MM  993.9  11.8    MM   9.7   MM   MM    MM
2023 09 27 01 22  80 12.9 15.4    MM    MM    MM  MM  993.1  11.8    MM   9.8   MM   MM    MM
2023 09 27 00 22  80 10.8 13.9    MM    MM    MM  MM  992.6  11.8    MM   9.7   MM   MM    MM
2023 09 26 23 22  90 11.8 13.9    MM    MM    MM  MM  992.0  11.8    MM   9.6   MM   MM    MM
2023 09 26 22 22  80  9.8 13.9    MM    MM    MM  MM  991.5  11.9    MM   9.6   MM   MM    MM
2023 09 26 21 22  80 11.8 13.9    MM    MM    MM  MM  990.9  11.8    MM   9.1   MM   MM    MM
2023 09 26 20 22  80 12.4 15.4    MM    MM    MM  MM  990.3  11.6    MM   8.8   MM   MM    MM
2023 09 26 19 22  80 14.4 18.0    MM    MM    MM  MM  989.5  11.7    MM   8.2   MM   MM    MM
2023 09 26 18 22  70 11.8 19.0    MM    MM    MM  MM  988.9  11.8    MM   7.6   MM   MM    MM
2023 09 26 17 22  80 13.4 20.1    MM    MM    MM  MM  988.7  12.8    MM   6.7   MM   MM    MM
2023 09 26 16 22  80 14.9 19.6    MM    MM    MM  MM  988.3  12.8    MM   6.3   MM   MM    MM
2023 09 26 15 22  60  8.2 13.9    MM    MM    MM  MM  988.2  12.2    MM   6.2   MM   MM    MM
2023 09 26 14 22  30  4.6 13.9    MM    MM    MM  MM  988.2  11.5    MM   6.6   MM   MM    MM
2023 09 26 13 22  30  5.7 11.8    MM    MM    MM  MM  988.2  11.1    MM   6.9   MM   MM    MM
2023 09 26 12 22  50  6.7 11.8    MM    MM    MM  MM  988.8  11.1    MM   6.9   MM   MM    MM
2023 09 26 11 22  40  4.6 11.8    MM    MM    MM  MM  989.0  11.1    MM   7.0   MM   MM    MM
2023 09 26 10 22  50  3.1  8.2    MM    MM    MM  MM  989.4  12.0    MM   6.5   MM   MM    MM
2023 09 26 09 22  50  4.1  9.3    MM    MM    MM  MM  989.5  12.1    MM   6.4   MM   MM    MM
2023 09 26 08 22  60  3.6  8.8    MM    MM    MM  MM  990.6  12.6    MM   5.9   MM   MM    MM
2023 09 26 07 22  40  3.1 11.3    MM    MM    MM  MM  991.7  12.3    MM   6.7   MM   MM    MM
2023 09 26 06 22  40  4.6  9.8    MM    MM    MM  MM  992.5  12.7    MM   6.7   MM   MM    MM
2023 09 26 05 22  40  4.1  7.7    MM    MM    MM  MM  993.2  12.3    MM   7.6   MM   MM    MM
2023 09 26 04 22  30  3.6  9.3    MM    MM    MM  MM  993.4  12.0    MM   8.0   MM   MM    MM
2023 09 26 03 22  30  2.1  7.7    MM    MM    MM  MM  994.6  11.6    MM   7.8   MM   MM    MM
2023 09 26 02 22  60  4.1  9.3    MM    MM    MM  MM  993.9  12.7    MM   7.2   MM   MM    MM
2023 09 26 01 22  50  3.1  6.7    MM    MM    MM  MM  993.8  13.7    MM   6.6   MM   MM    MM
2023 09 26 00 22  50  3.6  8.8    MM    MM    MM  MM  993.8  14.3    MM   6.3   MM   MM    MM
2023 09 25 23 22  40  4.6  8.2    MM    MM    MM  MM  993.9  14.2    MM   5.9   MM   MM    MM
2023 09 25 22 22  40  3.6  9.3    MM    MM    MM  MM  994.4  13.6    MM   6.3   MM   MM    MM
2023 09 25 21 22  40  4.1 10.3    MM    MM    MM  MM  994.3  13.8    MM   6.2   MM   MM    MM
2023 09 25 20 22  40  3.6  8.8    MM    MM    MM  MM  994.9  15.7    MM   6.2   MM   MM    MM
2023 09 25 19 22  50  5.1 11.8    MM    MM    MM  MM  995.2  16.3    MM   5.8   MM   MM    MM
2023 09 25 18 22  60  4.6  9.8    MM    MM    MM  MM  995.1  14.3    MM   5.6   MM   MM    MM
2023 09 25 17 22  50  4.6  9.3    MM    MM    MM  MM  995.7  16.3    MM   5.9   MM   MM    MM
2023 09 25 16 22  50  6.2 12.9    MM    MM    MM  MM  995.9  12.3    MM   5.6   MM   MM    MM
2023 09 25 15 22  50  7.2 12.9    MM    MM    MM  MM  996.0  12.3    MM   5.3   MM   MM    MM
2023 09 25 14 22  50  5.7 10.8    MM    MM    MM  MM  996.3  11.5    MM   5.7   MM   MM    MM
2023 09 25 13 22  50  4.1  8.8    MM    MM    MM  MM  996.5  12.0    MM   5.0   MM   MM    MM
2023 09 25 12 22  40  5.7 13.4    MM    MM    MM  MM  996.3  12.2    MM   4.8   MM   MM    MM
2023 09 25 11 22  60  4.6 12.9    MM    MM    MM  MM  995.8  12.3    MM   4.5   MM   MM    MM
2023 09 25 10 22  60  2.1  8.8    MM    MM    MM  MM  996.7  11.9    MM   5.3   MM   MM    MM
2023 09 25 09 22  70  4.6 11.8    MM    MM    MM  MM  996.6  12.1    MM   4.9   MM   MM    MM
2023 09 25 08 22  50  5.1 10.3    MM    MM    MM  MM  997.9  12.1    MM   5.4   MM   MM    MM
2023 09 25 07 22  50  4.6 11.3    MM    MM    MM  MM  998.8  11.7    MM   5.8   MM   MM    MM
2023 09 25 06 22  50  4.6  8.8    MM    MM    MM  MM 1000.2  11.6    MM   6.7   MM   MM    MM
2023 09 25 05 22  50  5.7 10.8    MM    MM    MM  MM 1000.9  11.7    MM   6.9   MM   MM    MM
2023 09 25 04 22  60  3.6 10.3    MM    MM    MM  MM 1001.9  10.7    MM   7.7   MM   MM    MM
2023 09 25 03 22  50  5.7 12.4    MM    MM    MM  MM 1002.3  10.6    MM   8.0   MM   MM    MM
2023 09 25 02 22  60  7.2 10.3    MM    MM    MM  MM 1003.0  10.6    MM   8.1   MM   MM    MM
2023 09 25 01 22  70  9.3 11.3    MM    MM    MM  MM 1003.2  10.5    MM   7.9   MM   MM    MM
2023 09 25 00 22  70  8.8 12.9    MM    MM    MM  MM 1003.4  10.5    MM   7.9   MM   MM    MM
2023 09 24 23 22  80 11.8 14.4    MM    MM    MM  MM 1003.4  10.5    MM   7.8   MM   MM    MM
2023 09 24 22 22  80 11.8 13.4    MM    MM    MM  MM 1003.6  10.6    MM   7.9   MM   MM    MM
2023 09 24 21 22  80 10.8 12.4    MM    MM    MM  MM 1004.0  11.0    MM   7.8   MM   MM    MM
2023 09 24 20 22  80 10.8 12.9    MM    MM    MM  MM 1004.2  11.1    MM   7.8   MM   MM    MM
2023 09 24 19 22  80  9.8 11.3    MM    MM    MM  MM 1004.3  11.0    MM   7.8   MM   MM    MM
2023 09 24 18 22  80 10.8 13.4    MM    MM    MM  MM 1004.2  11.0    MM   7.8   MM   MM    MM
2023 09 24 17 22  70  8.8 10.8    MM    MM    MM  MM 1004.2  10.9    MM   7.8   MM   MM    MM
2023 09 24 16 22  70  7.2  9.8    MM    MM    MM  MM 1004.0  11.1    MM   7.7   MM   MM    MM
2023 09 24 15 22  60  6.7 10.8    MM    MM    MM  MM 1003.8   9.8    MM   7.3   MM   MM    MM
2023 09 24 14 22  60  7.2 10.8    MM    MM    MM  MM 1003.9   9.3    MM   7.2   MM   MM    MM
2023 09 24 13 22  60  4.1  9.8    MM    MM    MM  MM 1004.1   9.1    MM   7.1   MM   MM    MM
2023 09 24 12 22  50  6.2 11.3    MM    MM    MM  MM 1004.5   8.9    MM   6.9   MM   MM    MM
2023 09 24 11 22  50  5.1  9.3    MM    MM    MM  MM 1005.0   8.9    MM   6.7   MM   MM    MM
