#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 00 360 10.3 11.8    MM    MM    MM  MM 1015.8  23.2    MM    MM   MM -0.7    MM
2023 09 28 20 00  10  8.8 12.4    MM    MM    MM  MM 1016.0  23.9    MM    MM   MM -1.1    MM
2023 09 28 19 00  10  7.7  9.8    MM    MM    MM  MM 1016.3  24.0    MM    MM   MM -1.6    MM
2023 09 28 18 00  10  9.8 12.4    MM    MM    MM  MM 1016.5  23.1    MM    MM   MM -1.5    MM
2023 09 28 17 00 360  8.2 10.8    MM    MM    MM  MM 1017.1  22.5    MM    MM   MM -1.1    MM
2023 09 28 16 00 360  8.8 10.8    MM    MM    MM  MM 1017.9  20.9    MM    MM   MM -0.5    MM
2023 09 28 15 00 360 10.8 13.4    MM    MM    MM  MM 1018.0  21.1    MM    MM   MM +0.3    MM
2023 09 28 14 00 360  9.8 12.4    MM    MM    MM  MM 1018.2  20.4    MM    MM   MM +0.9    MM
2023 09 28 13 00 350  9.3 11.8    MM    MM    MM  MM 1018.4  19.8    MM    MM   MM +1.0    MM
2023 09 28 12 00 360 11.8 13.9    MM    MM    MM  MM 1017.7  19.8    MM    MM   MM +0.7    MM
2023 09 28 11 00 360  9.3 10.8    MM    MM    MM  MM 1017.3  19.9    MM    MM   MM +0.0    MM
2023 09 28 10 00 360  8.8  9.8    MM    MM    MM  MM 1017.4  19.7    MM    MM   MM -0.0    MM
2023 09 28 09 00 360  8.8 10.3    MM    MM    MM  MM 1017.0  20.2    MM    MM   MM -0.9    MM
2023 09 28 08 00 360  9.3 11.8    MM    MM    MM  MM 1017.1  20.2    MM    MM   MM -1.2    MM
2023 09 28 07 00 360  8.8 10.3    MM    MM    MM  MM 1017.5  20.3    MM    MM   MM -1.2    MM
2023 09 28 06 00  10  8.8 10.3    MM    MM    MM  MM 1017.9  20.4    MM    MM   MM -1.2    MM
2023 09 28 05 00  10  9.3 11.3    MM    MM    MM  MM 1018.3  20.4    MM    MM   MM -1.1    MM
2023 09 28 04 00  10  9.3 10.8    MM    MM    MM  MM 1018.7  20.3    MM    MM   MM -0.4    MM
2023 09 28 03 00 360  9.8 11.8    MM    MM    MM  MM 1019.1  20.3    MM    MM   MM +0.0    MM
2023 09 28 02 00 360 10.8 13.4    MM    MM    MM  MM 1019.4  20.2    MM    MM   MM +0.4    MM
2023 09 28 01 00  10  9.3 11.3    MM    MM    MM  MM 1019.1  20.5    MM    MM   MM +0.0    MM
2023 09 28 00 00 360 11.3 13.9    MM    MM    MM  MM 1019.1  20.5    MM    MM   MM +0.0    MM
2023 09 27 23 00 360 10.3 13.4    MM    MM    MM  MM 1019.0  20.8    MM    MM   MM +0.4    MM
2023 09 27 22 00  10 10.8 13.4    MM    MM    MM  MM 1019.0  21.4    MM    MM   MM -0.3    MM
2023 09 27 21 00 360  7.7  9.3    MM    MM    MM  MM 1018.9  22.2    MM    MM   MM -0.8    MM
2023 09 27 20 00 360  8.2 10.8    MM    MM    MM  MM 1018.6  22.5    MM    MM   MM -1.9    MM
