#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 20 30  80  3.6  4.6    MM    MM    MM  MM     MM  18.8    MM    MM   MM   MM    MM
2023 09 28 20 20  80  4.1  5.1    MM    MM    MM  MM     MM  18.7    MM    MM   MM   MM    MM
2023 09 28 19 30  60  3.6  4.6    MM    MM    MM  MM     MM  18.6    MM    MM   MM   MM    MM
2023 09 28 19 20  70  3.6  5.1    MM    MM    MM  MM     MM  18.6    MM    MM   MM   MM    MM
2023 09 28 18 30  50  2.6  3.6    MM    MM    MM  MM     MM  18.6    MM    MM   MM   MM    MM
2023 09 28 18 20  60  2.6  3.1    MM    MM    MM  MM     MM  18.8    MM    MM   MM   MM    MM
2023 09 28 17 30  80  2.6  3.1    MM    MM    MM  MM     MM  18.4    MM    MM   MM   MM    MM
2023 09 28 17 20  80  2.6  3.1    MM    MM    MM  MM     MM  18.2    MM    MM   MM   MM    MM
2023 09 28 16 30 160  2.6  4.1    MM    MM    MM  MM     MM  18.5    MM    MM   MM   MM    MM
2023 09 28 16 20 120  3.6  4.6    MM    MM    MM  MM     MM  18.3    MM    MM   MM   MM    MM
2023 09 28 15 30 110  3.1  4.1    MM    MM    MM  MM     MM  17.6    MM    MM   MM   MM    MM
2023 09 28 15 20 120  3.1  4.6    MM    MM    MM  MM     MM  17.5    MM    MM   MM   MM    MM
2023 09 28 14 30 120  2.6  3.6    MM    MM    MM  MM     MM  17.0    MM    MM   MM   MM    MM
2023 09 28 14 20 130  2.6  4.1    MM    MM    MM  MM     MM  16.9    MM    MM   MM   MM    MM
2023 09 28 13 30 120  4.1  5.7    MM    MM    MM  MM     MM  16.6    MM    MM   MM   MM    MM
2023 09 28 13 20 120  4.1  5.1    MM    MM    MM  MM     MM  16.6    MM    MM   MM   MM    MM
2023 09 28 12 30 120  4.1  5.7    MM    MM    MM  MM     MM  16.4    MM    MM   MM   MM    MM
2023 09 28 12 20 130  5.1  5.7    MM    MM    MM  MM     MM  16.4    MM    MM   MM   MM    MM
2023 09 28 11 30 120  5.1  6.2    MM    MM    MM  MM     MM  16.6    MM    MM   MM   MM    MM
2023 09 28 11 20 120  5.1  6.2    MM    MM    MM  MM     MM  16.6    MM    MM   MM   MM    MM
2023 09 28 10 30 120  4.6  6.2    MM    MM    MM  MM     MM  16.8    MM    MM   MM   MM    MM
2023 09 28 10 20 120  4.6  6.2    MM    MM    MM  MM     MM  17.0    MM    MM   MM   MM    MM
2023 09 28 09 30 120  4.6  6.7    MM    MM    MM  MM     MM  17.0    MM    MM   MM   MM    MM
2023 09 28 09 20 120  5.1  6.7    MM    MM    MM  MM     MM  17.1    MM    MM   MM   MM    MM
2023 09 28 08 30 120  5.7  6.7    MM    MM    MM  MM     MM  17.3    MM    MM   MM   MM    MM
2023 09 28 08 20 120  5.7  6.2    MM    MM    MM  MM     MM  17.3    MM    MM   MM   MM    MM
2023 09 28 07 30 130  3.6  7.7    MM    MM    MM  MM     MM  17.0    MM    MM   MM   MM    MM
2023 09 28 07 20 130  5.1  8.2    MM    MM    MM  MM     MM  17.0    MM    MM   MM   MM    MM
2023 09 28 06 30 160  2.1  4.1    MM    MM    MM  MM     MM  16.9    MM    MM   MM   MM    MM
2023 09 28 06 20 140  3.1  5.7    MM    MM    MM  MM     MM  17.3    MM    MM   MM   MM    MM
2023 09 28 05 30 140  3.6  5.7    MM    MM    MM  MM     MM  17.7    MM    MM   MM   MM    MM
2023 09 28 05 20 140  4.1  5.7    MM    MM    MM  MM     MM  18.0    MM    MM   MM   MM    MM
2023 09 28 04 30 120  4.6  8.2    MM    MM    MM  MM     MM  18.4    MM    MM   MM   MM    MM
2023 09 28 04 20 110  4.6  5.7    MM    MM    MM  MM     MM  18.5    MM    MM   MM   MM    MM
2023 09 28 03 30 140  3.6  5.7    MM    MM    MM  MM     MM  18.1    MM    MM   MM   MM    MM
2023 09 28 03 20 120  5.1  5.7    MM    MM    MM  MM     MM  18.3    MM    MM   MM   MM    MM
2023 09 28 02 30 120  5.1  5.7    MM    MM    MM  MM     MM  18.4    MM    MM   MM   MM    MM
2023 09 28 02 20 120  4.6  5.1    MM    MM    MM  MM     MM  18.4    MM    MM   MM   MM    MM
2023 09 28 01 30 120  4.1  5.1    MM    MM    MM  MM     MM  18.4    MM    MM   MM   MM    MM
2023 09 28 01 20 110  4.1  4.6    MM    MM    MM  MM     MM  18.3    MM    MM   MM   MM    MM
2023 09 28 00 30 110  6.2  7.7    MM    MM    MM  MM     MM  18.7    MM    MM   MM   MM    MM
2023 09 28 00 20 110  6.7  7.7    MM    MM    MM  MM     MM  18.8    MM    MM   MM   MM    MM
2023 09 27 23 30  90  5.7  7.2    MM    MM    MM  MM     MM  19.1    MM    MM   MM   MM    MM
2023 09 27 23 20  90  6.2  8.2    MM    MM    MM  MM     MM  19.0    MM    MM   MM   MM    MM
2023 09 27 22 30 100  5.7  6.2    MM    MM    MM  MM     MM  19.2    MM    MM   MM   MM    MM
2023 09 27 22 20 100  5.1  6.7    MM    MM    MM  MM     MM  19.2    MM    MM   MM   MM    MM
2023 09 27 21 30 110  6.7  7.7    MM    MM    MM  MM     MM  19.3    MM    MM   MM   MM    MM
2023 09 27 21 20 110  6.7  7.2    MM    MM    MM  MM     MM  19.3    MM    MM   MM   MM    MM
2023 09 27 20 30 110  6.2  6.7    MM    MM    MM  MM     MM  19.6    MM    MM   MM   MM    MM
2023 09 27 20 20 110  5.7  6.7    MM    MM    MM  MM     MM  19.5    MM    MM   MM   MM    MM
2023 09 27 19 30 100  5.1  6.2    MM    MM    MM  MM     MM  19.4    MM    MM   MM   MM    MM
2023 09 27 19 20 100  5.1  6.2    MM    MM    MM  MM     MM  19.3    MM    MM   MM   MM    MM
2023 09 27 18 30 120  4.6  5.7    MM    MM    MM  MM     MM  19.1    MM    MM   MM   MM    MM
2023 09 27 18 20 120  4.1  4.6    MM    MM    MM  MM     MM  19.0    MM    MM   MM   MM    MM
2023 09 27 17 30 120  5.1  7.2    MM    MM    MM  MM     MM  18.7    MM    MM   MM   MM    MM
2023 09 27 17 20 100  4.6  6.2    MM    MM    MM  MM     MM  18.9    MM    MM   MM   MM    MM
2023 09 27 16 30 100  3.1  3.6    MM    MM    MM  MM     MM  17.7    MM    MM   MM   MM    MM
2023 09 27 16 20 110  3.6  4.1    MM    MM    MM  MM     MM  17.5    MM    MM   MM   MM    MM
2023 09 27 15 30 110  5.7  6.7    MM    MM    MM  MM     MM  16.6    MM    MM   MM   MM    MM
2023 09 27 15 20 120  4.6  6.7    MM    MM    MM  MM     MM  17.1    MM    MM   MM   MM    MM
2023 09 27 14 30 130  3.6  6.2    MM    MM    MM  MM     MM  17.1    MM    MM   MM   MM    MM
2023 09 27 14 20 140  4.1  7.2    MM    MM    MM  MM     MM  17.0    MM    MM   MM   MM    MM
2023 09 27 13 30 130  7.7  8.8    MM    MM    MM  MM     MM  17.0    MM    MM   MM   MM    MM
2023 09 27 13 20 130  6.7  8.8    MM    MM    MM  MM     MM  17.0    MM    MM   MM   MM    MM
2023 09 27 12 30 120  6.7  7.7    MM    MM    MM  MM     MM  16.8    MM    MM   MM   MM    MM
2023 09 27 12 20 120  6.7  8.2    MM    MM    MM  MM     MM  16.7    MM    MM   MM   MM    MM
2023 09 27 11 30 110  5.7  6.7    MM    MM    MM  MM     MM  16.5    MM    MM   MM   MM    MM
2023 09 27 11 20 110  5.7  7.2    MM    MM    MM  MM     MM  16.4    MM    MM   MM   MM    MM
2023 09 27 10 30 120  5.7  7.2    MM    MM    MM  MM     MM  16.6    MM    MM   MM   MM    MM
2023 09 27 10 20 110  5.7  6.7    MM    MM    MM  MM     MM  16.7    MM    MM   MM   MM    MM
2023 09 27 09 30 120  6.2  7.7    MM    MM    MM  MM     MM  16.9    MM    MM   MM   MM    MM
2023 09 27 09 20 120  6.2  7.7    MM    MM    MM  MM     MM  17.0    MM    MM   MM   MM    MM
2023 09 27 08 30 100  6.7  7.7    MM    MM    MM  MM     MM  16.7    MM    MM   MM   MM    MM
2023 09 27 08 20 110  6.7  8.2    MM    MM    MM  MM     MM  17.0    MM    MM   MM   MM    MM
2023 09 27 07 30 110  6.7  8.8    MM    MM    MM  MM     MM  17.3    MM    MM   MM   MM    MM
2023 09 27 07 20 110  7.2  8.8    MM    MM    MM  MM     MM  17.2    MM    MM   MM   MM    MM
2023 09 27 06 30 120  7.7  9.8    MM    MM    MM  MM     MM  17.3    MM    MM   MM   MM    MM
2023 09 27 06 20 110  7.2  8.8    MM    MM    MM  MM     MM  17.4    MM    MM   MM   MM    MM
2023 09 27 05 30 110  7.7  9.3    MM    MM    MM  MM     MM  17.6    MM    MM   MM   MM    MM
2023 09 27 05 20 110  7.2  8.8    MM    MM    MM  MM     MM  17.7    MM    MM   MM   MM    MM
