#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 32 210  4.1  6.2    MM    MM    MM  MM     MM  10.9    MM   9.3   MM   MM    MM
2023 09 28 21 21 200  4.1  6.7    MM    MM    MM  MM     MM  10.9    MM   9.4   MM   MM    MM
2023 09 28 21 11 200  3.6  6.2    MM    MM    MM  MM     MM  10.9    MM   9.4   MM   MM    MM
2023 09 28 21 02 220  4.6  7.7    MM    MM    MM  MM     MM  10.9    MM   9.3   MM   MM    MM
2023 09 28 20 52 210  4.6  7.2    MM    MM    MM  MM     MM  10.9    MM   9.3   MM   MM    MM
2023 09 28 20 42 220  4.1  7.2    MM    MM    MM  MM     MM  11.0    MM   9.3   MM   MM    MM
2023 09 28 20 31 210  3.6  5.7    MM    MM    MM  MM     MM  10.9    MM   9.3   MM   MM    MM
2023 09 28 20 22 210  3.6  5.7    MM    MM    MM  MM     MM  10.8    MM   9.3   MM   MM    MM
2023 09 28 20 12 220  4.6  7.2    MM    MM    MM  MM     MM  10.8    MM   9.3   MM   MM    MM
2023 09 28 20 02 230  5.1  6.7    MM    MM    MM  MM     MM  10.9    MM   9.3   MM   MM    MM
2023 09 28 19 52 230  5.1  7.2    MM    MM    MM  MM     MM  10.8    MM   9.3   MM   MM    MM
2023 09 28 19 42 230  4.6  6.7    MM    MM    MM  MM     MM  10.9    MM   9.2   MM   MM    MM
2023 09 28 19 31 200  2.6  5.7    MM    MM    MM  MM     MM  11.1    MM   9.4   MM   MM    MM
2023 09 28 19 22 200  1.5  2.6    MM    MM    MM  MM     MM  11.1    MM   9.3   MM   MM    MM
2023 09 28 19 10 220  2.1  3.6    MM    MM    MM  MM     MM  11.1    MM   9.2   MM   MM    MM
2023 09 28 19 02 210  1.5  2.6    MM    MM    MM  MM     MM  11.1    MM   9.2   MM   MM    MM
2023 09 28 18 51 220  3.6  6.2    MM    MM    MM  MM     MM  11.0    MM   9.1   MM   MM    MM
2023 09 28 18 42 230  4.1  6.7    MM    MM    MM  MM     MM  11.2    MM   9.1   MM   MM    MM
2023 09 28 18 32 190  1.0  2.6    MM    MM    MM  MM     MM  11.4    MM   9.2   MM   MM    MM
2023 09 28 18 21 150  1.0  2.1    MM    MM    MM  MM     MM  11.4    MM   9.4   MM   MM    MM
2023 09 28 18 11 190  1.0  2.1    MM    MM    MM  MM     MM  11.3    MM   9.2   MM   MM    MM
2023 09 28 18 00 210  1.5  3.6    MM    MM    MM  MM     MM  11.2    MM   9.2   MM   MM    MM
2023 09 28 17 52 210  1.5  3.6    MM    MM    MM  MM     MM  11.2    MM   9.2   MM   MM    MM
2023 09 28 17 42 190  1.0  4.1    MM    MM    MM  MM     MM  11.2    MM   9.2   MM   MM    MM
2023 09 28 17 32 240  2.1  4.1    MM    MM    MM  MM     MM  11.2    MM   9.0   MM   MM    MM
2023 09 28 17 21 220  3.1  4.6    MM    MM    MM  MM     MM  11.0    MM   9.1   MM   MM    MM
2023 09 28 17 12 220  3.6  6.2    MM    MM    MM  MM     MM  10.9    MM   9.1   MM   MM    MM
2023 09 28 17 02 230  1.5  4.6    MM    MM    MM  MM     MM  10.5    MM   9.1   MM   MM    MM
2023 09 28 16 52 190  2.1  3.1    MM    MM    MM  MM     MM  10.6    MM   9.2   MM   MM    MM
2023 09 28 16 31 290  1.0  2.6    MM    MM    MM  MM     MM  10.7    MM   8.9   MM   MM    MM
2023 09 28 16 22 160  1.5  3.1    MM    MM    MM  MM     MM  11.1    MM   9.1   MM   MM    MM
2023 09 28 16 12 110  1.5  3.1    MM    MM    MM  MM     MM  11.0    MM   9.1   MM   MM    MM
2023 09 28 16 01 130  2.1  3.1    MM    MM    MM  MM     MM  11.0    MM   9.1   MM   MM    MM
2023 09 28 15 52 140  1.5  2.1    MM    MM    MM  MM     MM  11.1    MM   9.1   MM   MM    MM
2023 09 28 15 41 130  1.5  2.6    MM    MM    MM  MM     MM  10.9    MM   8.8   MM   MM    MM
2023 09 28 15 32 100  1.0  2.1    MM    MM    MM  MM     MM  10.9    MM   8.5   MM   MM    MM
2023 09 28 15 22  50  1.0  1.5    MM    MM    MM  MM     MM  10.8    MM   8.4   MM   MM    MM
2023 09 28 15 12 310  1.0  1.5    MM    MM    MM  MM     MM  10.8    MM   8.4   MM   MM    MM
2023 09 28 15 02  MM  0.0  1.0    MM    MM    MM  MM     MM  11.1    MM   8.5   MM   MM    MM
2023 09 28 14 52 100  0.5  1.5    MM    MM    MM  MM     MM  11.0    MM   8.4   MM   MM    MM
2023 09 28 14 42 360  0.5  1.0    MM    MM    MM  MM     MM  11.1    MM   8.3   MM   MM    MM
2023 09 28 14 32  30  1.0  1.5    MM    MM    MM  MM     MM  10.9    MM   8.3   MM   MM    MM
2023 09 28 14 22  50  0.5  1.5    MM    MM    MM  MM     MM  10.9    MM   8.4   MM   MM    MM
2023 09 28 14 11 230  0.5  1.5    MM    MM    MM  MM     MM  10.8    MM   8.4   MM   MM    MM
2023 09 28 14 02  90  1.0  2.1    MM    MM    MM  MM     MM  10.5    MM   8.4   MM   MM    MM
2023 09 28 13 52 240  1.0  2.6    MM    MM    MM  MM     MM  10.7    MM   8.3   MM   MM    MM
2023 09 28 13 42 260  3.1  4.1    MM    MM    MM  MM     MM  10.4    MM   8.2   MM   MM    MM
2023 09 28 13 31 240  2.6  4.6    MM    MM    MM  MM     MM  10.1    MM   8.3   MM   MM    MM
2023 09 28 13 21 210  1.5  3.1    MM    MM    MM  MM     MM  10.1    MM   8.4   MM   MM    MM
2023 09 28 13 12 250  2.1  3.6    MM    MM    MM  MM     MM  10.1    MM   8.4   MM   MM    MM
2023 09 28 13 02 190  0.5  2.1    MM    MM    MM  MM     MM  10.2    MM   8.5   MM   MM    MM
2023 09 28 12 50 180  1.0  2.6    MM    MM    MM  MM     MM  10.2    MM   8.3   MM   MM    MM
2023 09 28 12 42 210  1.5  3.1    MM    MM    MM  MM     MM  10.2    MM   8.2   MM   MM    MM
2023 09 28 12 32 180  1.5  3.1    MM    MM    MM  MM     MM  10.3    MM   8.2   MM   MM    MM
2023 09 28 12 22 190  1.5  3.1    MM    MM    MM  MM     MM  10.3    MM   8.2   MM   MM    MM
2023 09 28 12 11 180  1.5  3.6    MM    MM    MM  MM     MM  10.3    MM   8.2   MM   MM    MM
2023 09 28 12 02 190  2.6  4.1    MM    MM    MM  MM     MM  10.4    MM   8.1   MM   MM    MM
2023 09 28 11 41 210  2.6  4.1    MM    MM    MM  MM     MM  11.0    MM   7.4   MM   MM    MM
2023 09 28 11 31 190  2.1  4.1    MM    MM    MM  MM     MM  11.3    MM   7.2   MM   MM    MM
2023 09 28 11 12 170  3.1  5.7    MM    MM    MM  MM     MM  11.1    MM   6.9   MM   MM    MM
2023 09 28 11 02 170  2.1  4.1    MM    MM    MM  MM     MM  10.9    MM   6.9   MM   MM    MM
2023 09 28 10 50 180  1.5  3.6    MM    MM    MM  MM     MM  10.7    MM   7.0   MM   MM    MM
2023 09 28 10 41 190  2.6  4.1    MM    MM    MM  MM     MM  10.5    MM   6.9   MM   MM    MM
2023 09 28 10 32 170  2.1  4.6    MM    MM    MM  MM     MM  10.3    MM   7.0   MM   MM    MM
2023 09 28 10 22 190  3.1  5.7    MM    MM    MM  MM     MM  10.3    MM   6.9   MM   MM    MM
2023 09 28 10 10 180  3.6  5.1    MM    MM    MM  MM     MM  10.3    MM   6.8   MM   MM    MM
2023 09 28 10 02 180  3.1  5.7    MM    MM    MM  MM     MM  10.2    MM   6.8   MM   MM    MM
2023 09 28 09 52 190  4.1  6.2    MM    MM    MM  MM     MM  10.3    MM   6.8   MM   MM    MM
2023 09 28 09 42 180  4.1  6.2    MM    MM    MM  MM     MM  10.3    MM   6.5   MM   MM    MM
2023 09 28 09 31 170  3.6  5.7    MM    MM    MM  MM     MM  10.2    MM   6.4   MM   MM    MM
2023 09 28 09 22 170  4.6  7.2    MM    MM    MM  MM     MM  10.2    MM   6.3   MM   MM    MM
2023 09 28 09 12 180  5.1  7.7    MM    MM    MM  MM     MM  10.2    MM   6.3   MM   MM    MM
2023 09 28 09 00 170  4.6  7.7    MM    MM    MM  MM     MM  10.4    MM   6.1   MM   MM    MM
2023 09 28 08 51 170  3.6  6.2    MM    MM    MM  MM     MM  10.3    MM   5.9   MM   MM    MM
2023 09 28 08 40 180  3.1  5.7    MM    MM    MM  MM     MM  10.3    MM   5.9   MM   MM    MM
2023 09 28 08 23 160  1.5  4.1    MM    MM    MM  MM     MM  10.1    MM   5.6   MM   MM    MM
2023 09 28 08 12 140  1.5  3.1    MM    MM    MM  MM     MM  10.0    MM   5.5   MM   MM    MM
2023 09 28 08 01 130  1.5  3.6    MM    MM    MM  MM     MM   9.9    MM   5.5   MM   MM    MM
2023 09 28 07 52 240  1.0  3.1    MM    MM    MM  MM     MM  10.0    MM   5.5   MM   MM    MM
2023 09 28 07 42 120  1.5  3.1    MM    MM    MM  MM     MM  10.0    MM   5.4   MM   MM    MM
2023 09 28 07 31 120  1.0  2.1    MM    MM    MM  MM     MM  10.0    MM   5.5   MM   MM    MM
2023 09 28 07 22 220  1.5  2.6    MM    MM    MM  MM     MM  10.1    MM   5.4   MM   MM    MM
2023 09 28 07 11 200  1.5  2.6    MM    MM    MM  MM     MM  10.1    MM   5.4   MM   MM    MM
2023 09 28 07 02 170  2.1  3.6    MM    MM    MM  MM     MM  10.1    MM   5.5   MM   MM    MM
2023 09 28 06 51 190  3.1  4.1    MM    MM    MM  MM     MM  10.1    MM   5.4   MM   MM    MM
2023 09 28 06 42 200  2.6  4.1    MM    MM    MM  MM     MM  10.1    MM   5.3   MM   MM    MM
2023 09 28 06 30 170  2.1  3.1    MM    MM    MM  MM     MM  10.0    MM   5.5   MM   MM    MM
2023 09 28 06 22 170  2.6  4.1    MM    MM    MM  MM     MM   9.7    MM   5.6   MM   MM    MM
2023 09 28 06 12 200  3.6  5.1    MM    MM    MM  MM     MM   9.7    MM   5.8   MM   MM    MM
2023 09 28 06 02 200  3.1  5.7    MM    MM    MM  MM     MM  10.0    MM   5.8   MM   MM    MM
2023 09 28 05 51 190  3.6  5.7    MM    MM    MM  MM     MM  10.0    MM   5.8   MM   MM    MM
2023 09 28 05 41 180  2.6  5.7    MM    MM    MM  MM     MM  10.1    MM   6.0   MM   MM    MM
2023 09 28 05 30 180  3.1  5.1    MM    MM    MM  MM     MM  10.2    MM   5.9   MM   MM    MM
2023 09 28 05 22 190  4.1  6.2    MM    MM    MM  MM     MM  10.3    MM   5.8   MM   MM    MM
2023 09 28 05 12 180  3.1  5.1    MM    MM    MM  MM     MM  10.3    MM   6.0   MM   MM    MM
2023 09 28 05 02 180  3.6  5.1    MM    MM    MM  MM     MM  10.4    MM   5.9   MM   MM    MM
2023 09 28 04 52 190  4.1  6.7    MM    MM    MM  MM     MM  10.5    MM   5.9   MM   MM    MM
2023 09 28 04 41 200  3.6  5.7    MM    MM    MM  MM     MM  10.5    MM   6.0   MM   MM    MM
2023 09 28 04 32 200  3.6  7.2    MM    MM    MM  MM     MM  10.6    MM   6.0   MM   MM    MM
2023 09 28 04 22 200  4.1  6.7    MM    MM    MM  MM     MM  10.6    MM   6.1   MM   MM    MM
2023 09 28 04 12 200  3.6  6.7    MM    MM    MM  MM     MM  10.6    MM   6.2   MM   MM    MM
2023 09 28 04 02 200  3.6  5.7    MM    MM    MM  MM     MM  10.6    MM   6.2   MM   MM    MM
