#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 24 340  0.5  1.5    MM    MM    MM  MM 1017.4  12.5    MM   4.9   MM   MM    MM
2023 09 28 20 24 240  1.0  2.1    MM    MM    MM  MM 1017.5   7.6    MM   7.6   MM   MM    MM
2023 09 28 19 24 260  1.0  1.5    MM    MM    MM  MM 1017.2   8.4    MM   8.4   MM   MM    MM
2023 09 28 18 24  MM  0.0  1.0    MM    MM    MM  MM 1017.1   6.7    MM   6.7   MM   MM    MM
2023 09 28 17 24  10  1.0  2.1    MM    MM    MM  MM 1016.8   3.9    MM   3.9   MM   MM    MM
2023 09 28 16 24 350  1.5  2.1    MM    MM    MM  MM 1016.6   3.7    MM   3.7   MM   MM    MM
2023 09 28 15 24 340  1.5  2.1    MM    MM    MM  MM 1016.4   4.0    MM   4.0   MM   MM    MM
2023 09 28 14 24  MM  0.0  1.0    MM    MM    MM  MM 1016.2   4.3    MM   4.3   MM   MM    MM
2023 09 28 13 24  MM  0.0  1.0    MM    MM    MM  MM 1015.9   5.0    MM   5.0   MM   MM    MM
2023 09 28 12 24 140  1.0  1.0    MM    MM    MM  MM 1015.8   5.1    MM   5.1   MM   MM    MM
2023 09 28 11 24  30  1.5  1.5    MM    MM    MM  MM 1015.4   5.0    MM   5.0   MM   MM    MM
2023 09 28 10 24 130  1.0  1.5    MM    MM    MM  MM 1015.1   5.7    MM   5.7   MM   MM    MM
2023 09 28 09 24  MM  0.0  2.1    MM    MM    MM  MM 1014.8   5.6    MM   5.6   MM   MM    MM
2023 09 28 08 24  MM  0.0  1.5    MM    MM    MM  MM 1014.5   5.5    MM   5.5   MM   MM    MM
2023 09 28 07 24  MM  0.0  1.5    MM    MM    MM  MM 1014.0   5.9    MM   5.9   MM   MM    MM
2023 09 28 06 24 130  0.5  1.0    MM    MM    MM  MM 1013.8   6.5    MM   6.5   MM   MM    MM
2023 09 28 05 24  60  0.5  1.0    MM    MM    MM  MM 1013.3   7.0    MM   6.6   MM   MM    MM
2023 09 28 04 24  MM  0.0  0.5    MM    MM    MM  MM 1012.8   8.1    MM   7.0   MM   MM    MM
2023 09 28 03 24 230  0.5  2.1    MM    MM    MM  MM 1012.4   9.6    MM   6.4   MM   MM    MM
2023 09 28 02 24 260  3.6  5.1    MM    MM    MM  MM 1012.0   9.8    MM   6.6   MM   MM    MM
2023 09 28 01 24 220  1.0  3.1    MM    MM    MM  MM 1011.2  11.4    MM   3.5   MM   MM    MM
2023 09 28 00 24 240  1.5  3.6    MM    MM    MM  MM 1010.8  11.5    MM   3.6   MM   MM    MM
2023 09 27 23 24 230  1.5  5.1    MM    MM    MM  MM 1010.3  11.7    MM   5.6   MM   MM    MM
2023 09 27 22 24 210  4.1  6.7    MM    MM    MM  MM 1009.7  11.7    MM   6.7   MM   MM    MM
2023 09 27 21 24 180  1.5  4.6    MM    MM    MM  MM 1009.0  10.5    MM   8.3   MM   MM    MM
2023 09 27 20 24 220  4.6  8.2    MM    MM    MM  MM 1008.2  11.2    MM   6.9   MM   MM    MM
2023 09 27 19 24 200  3.6  7.2    MM    MM    MM  MM 1007.2  11.4    MM   7.1   MM   MM    MM
2023 09 27 18 24 200  4.1  8.2    MM    MM    MM  MM 1006.2  10.9    MM   8.7   MM   MM    MM
2023 09 27 17 24 200  4.6  9.8    MM    MM    MM  MM 1004.9  11.5    MM   8.3   MM   MM    MM
2023 09 27 16 24 190  4.1  9.3    MM    MM    MM  MM 1004.0  10.8    MM  10.1   MM   MM    MM
2023 09 27 15 24 180  4.6  9.3    MM    MM    MM  MM 1002.7  10.9    MM   9.8   MM   MM    MM
