#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 10 00  MM   MM   MM    MM    MM    MM  MM 1028.1  26.6    MM    MM   MM   MM    MM
2023 09 28 09 30  MM   MM   MM    MM    MM    MM  MM 1028.4  26.6    MM    MM   MM   MM    MM
2023 09 27 00 00  MM   MM   MM    MM    MM    MM  MM 1028.4  30.3    MM    MM   MM   MM    MM
2023 09 26 23 30  MM   MM   MM    MM    MM    MM  MM 1027.8  30.5    MM    MM   MM   MM    MM
2023 09 26 23 00  MM   MM   MM    MM    MM    MM  MM 1027.8  30.7    MM    MM   MM +0.0    MM
2023 09 26 20 00  MM   MM   MM    MM    MM    MM  MM 1027.8  33.8    MM    MM   MM   MM    MM
2023 09 26 19 30  MM   MM   MM    MM    MM    MM  MM 1027.8  33.5    MM    MM   MM   MM    MM
2023 09 26 19 00  MM   MM   MM    MM    MM    MM  MM 1028.1  32.6    MM    MM   MM   MM    MM
2023 09 26 18 30  MM   MM   MM    MM    MM    MM  MM 1028.8  32.5    MM    MM   MM   MM    MM
2023 09 26 18 00  MM   MM   MM    MM    MM    MM  MM 1029.5  31.8    MM    MM   MM   MM    MM
2023 09 26 17 30  MM   MM   MM    MM    MM    MM  MM 1029.8  31.3    MM    MM   MM   MM    MM
2023 09 26 05 30  MM   MM   MM    MM    MM    MM  MM 1029.8  27.0    MM    MM   MM   MM    MM
2023 09 25 18 00  MM   MM   MM    MM    MM    MM  MM 1029.8  30.5    MM    MM   MM   MM    MM
2023 09 25 17 30  MM   MM   MM    MM    MM    MM  MM 1029.8  30.1    MM    MM   MM   MM    MM
2023 09 25 08 00  MM   MM   MM    MM    MM    MM  MM 1028.1  30.4    MM    MM   MM   MM    MM
2023 09 25 07 30  MM   MM   MM    MM    MM    MM  MM 1028.4  30.5    MM    MM   MM   MM    MM
2023 09 24 10 00  MM   MM   MM    MM    MM    MM  MM 1026.4  27.8    MM    MM   MM   MM    MM
2023 09 24 09 00  MM   MM   MM    MM    MM    MM  MM 1026.4  29.9    MM    MM   MM   MM    MM
2023 09 24 08 30  MM   MM   MM    MM    MM    MM  MM 1026.8  30.0    MM    MM   MM   MM    MM
2023 09 23 23 00  MM   MM   MM    MM    MM    MM  MM 1026.4  30.3    MM    MM   MM   MM    MM
2023 09 23 22 30  MM   MM   MM    MM    MM    MM  MM 1026.1  30.3    MM    MM   MM   MM    MM
2023 09 23 14 00  MM   MM   MM    MM    MM    MM  MM 1029.1  27.5    MM    MM   MM   MM    MM
2023 09 23 13 30  MM   MM   MM    MM    MM    MM  MM 1028.8  27.3    MM    MM   MM   MM    MM
2023 09 23 05 00  MM   MM   MM    MM    MM    MM  MM 1028.1  29.4    MM    MM   MM   MM    MM
2023 09 23 04 30  MM   MM   MM    MM    MM    MM  MM 1028.1  29.3    MM    MM   MM   MM    MM
2023 09 22 13 00  MM   MM   MM    MM    MM    MM  MM 1030.5  26.2    MM    MM   MM   MM    MM
2023 09 22 12 30  MM   MM   MM    MM    MM    MM  MM 1029.8  26.1    MM    MM   MM   MM    MM
2023 09 22 12 00  MM   MM   MM    MM    MM    MM  MM 1029.8  26.5    MM    MM   MM   MM    MM
2023 09 22 11 30  MM   MM   MM    MM    MM    MM  MM 1029.8  26.6    MM    MM   MM   MM    MM
2023 09 21 19 00  MM   MM   MM    MM    MM    MM  MM 1030.1  29.7    MM    MM   MM   MM    MM
2023 09 21 18 30  MM   MM   MM    MM    MM    MM  MM 1030.1  29.4    MM    MM   MM   MM    MM
2023 09 21 09 00  MM   MM   MM    MM    MM    MM  MM 1028.4  28.3    MM    MM   MM   MM    MM
2023 09 21 08 30  MM   MM   MM    MM    MM    MM  MM 1028.4  28.4    MM    MM   MM   MM    MM
2023 09 20 12 00  MM   MM   MM    MM    MM    MM  MM 1028.4  28.3    MM    MM   MM +0.0    MM
2023 09 20 10 00  MM   MM   MM    MM    MM    MM  MM 1028.4  28.2    MM    MM   MM   MM    MM
2023 09 20 09 30  MM   MM   MM    MM    MM    MM  MM 1028.4  28.8    MM    MM   MM   MM    MM
2023 09 20 09 00  MM   MM   MM    MM    MM    MM  MM 1028.4  29.2    MM    MM   MM   MM    MM
2023 09 20 08 30  MM   MM   MM    MM    MM    MM  MM 1028.8  29.1    MM    MM   MM   MM    MM
2023 09 19 04 00  MM   MM   MM    MM    MM    MM  MM 1029.1  29.2    MM    MM   MM   MM    MM
2023 09 19 03 30  MM   MM   MM    MM    MM    MM  MM 1029.5  29.2    MM    MM   MM   MM    MM
2023 09 18 20 00  MM   MM   MM    MM    MM    MM  MM 1028.4  30.9    MM    MM   MM   MM    MM
2023 09 18 19 30  MM   MM   MM    MM    MM    MM  MM 1028.8  30.8    MM    MM   MM   MM    MM
2023 09 18 19 00  MM   MM   MM    MM    MM    MM  MM 1029.1  30.5    MM    MM   MM   MM    MM
