#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 10 200  5.1  7.2    MM    MM    MM  MM 1016.8  11.2    MM   7.0   MM   MM    MM
2023 09 28 20 10 180  5.7  6.7    MM    MM    MM  MM 1016.5  10.3    MM   7.1   MM   MM    MM
2023 09 28 19 10 190  5.1  6.2    MM    MM    MM  MM 1016.4  10.0    MM   7.9   MM   MM    MM
2023 09 28 18 10 180  6.2  7.2    MM    MM    MM  MM 1016.0   9.5    MM   7.5   MM   MM    MM
2023 09 28 17 10 190  5.7  7.2    MM    MM    MM  MM 1015.7   9.4    MM   7.4   MM   MM    MM
2023 09 28 16 10 180  6.2  7.7    MM    MM    MM  MM 1015.2   9.2    MM   7.2   MM   MM    MM
2023 09 28 15 10 180  6.7  7.7    MM    MM    MM  MM 1014.9   9.1    MM   7.5   MM   MM    MM
2023 09 28 14 10 190  6.2  7.2    MM    MM    MM  MM 1014.6   9.0    MM   7.6   MM   MM    MM
2023 09 28 13 10 180  7.2  9.3    MM    MM    MM  MM 1014.2   8.6    MM   7.3   MM   MM    MM
2023 09 28 12 10 190  5.1  7.2    MM    MM    MM  MM 1013.9   9.2    MM   7.5   MM   MM    MM
2023 09 28 11 10 250  5.7  8.2    MM    MM    MM  MM 1013.4   9.1    MM   7.4   MM   MM    MM
2023 09 28 10 10 250  9.3 10.8    MM    MM    MM  MM 1012.6   9.2    MM   7.9   MM   MM    MM
2023 09 28 09 10 230  7.2  7.7    MM    MM    MM  MM 1012.1   9.2    MM   8.5   MM   MM    MM
2023 09 28 08 10 280  4.6  6.2    MM    MM    MM  MM 1011.0   9.4    MM   9.1   MM   MM    MM
2023 09 28 07 10 280  5.1  5.7    MM    MM    MM  MM 1010.0   9.6    MM   9.3   MM   MM    MM
2023 09 28 06 10 300  3.1  3.6    MM    MM    MM  MM 1009.0   9.5    MM   9.2   MM   MM    MM
2023 09 28 05 10 180  0.5  3.1    MM    MM    MM  MM 1008.0   9.6    MM   9.2   MM   MM    MM
2023 09 28 04 10 320  1.5  2.6    MM    MM    MM  MM 1006.9  10.0    MM   9.5   MM   MM    MM
2023 09 28 03 10 300  2.6  3.1    MM    MM    MM  MM 1005.9   9.9    MM   9.2   MM   MM    MM
2023 09 28 02 10 360  3.1  4.1    MM    MM    MM  MM 1004.7  10.6    MM   8.9   MM   MM    MM
2023 09 28 01 10  60  5.1  7.7    MM    MM    MM  MM 1003.6  10.5    MM   9.0   MM   MM    MM
2023 09 28 00 10  80  3.6  6.2    MM    MM    MM  MM 1002.5  10.6    MM   9.0   MM   MM    MM
2023 09 27 23 10  70  4.1  5.7    MM    MM    MM  MM 1001.6  10.9    MM   9.2   MM   MM    MM
2023 09 27 22 10  50  5.1  6.2    MM    MM    MM  MM 1000.6  11.4    MM   9.5   MM   MM    MM
2023 09 27 21 10  70  3.6  5.1    MM    MM    MM  MM  999.8  11.2    MM   9.2   MM   MM    MM
2023 09 27 20 10  70  5.7  7.2    MM    MM    MM  MM  998.8  10.9    MM   9.5   MM   MM    MM
2023 09 27 19 10  70  7.2  9.3    MM    MM    MM  MM  998.0  10.1    MM   8.6   MM   MM    MM
2023 09 27 18 10  70  8.8 11.3    MM    MM    MM  MM  997.3  10.1    MM   8.4   MM   MM    MM
2023 09 27 17 10  70  9.3 10.8    MM    MM    MM  MM  996.9  10.5    MM   8.4   MM   MM    MM
2023 09 27 16 10  80 10.3 11.8    MM    MM    MM  MM  996.8  10.1    MM   8.3   MM   MM    MM
2023 09 27 15 10  70  8.8 10.3    MM    MM    MM  MM  996.5  10.3    MM   8.5   MM   MM    MM
2023 09 27 14 10  80  8.2 10.8    MM    MM    MM  MM  996.7  10.2    MM   8.4   MM   MM    MM
