#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 30 220  3.1  5.7    MM    MM    MM  MM 1013.4  11.2    MM   8.6   MM   MM    MM
2023 09 28 21 19 220  3.1  6.7    MM    MM    MM  MM 1013.4  11.2    MM   8.9   MM   MM    MM
2023 09 28 21 09 220  3.6  6.2    MM    MM    MM  MM 1013.3  11.0    MM   8.8   MM   MM    MM
2023 09 28 21 00 220  3.6  6.2    MM    MM    MM  MM 1013.3  11.0    MM   8.8   MM   MM    MM
2023 09 28 20 50 210  2.1  4.6    MM    MM    MM  MM 1013.5  11.2    MM   9.2   MM   MM    MM
2023 09 28 20 39 210  2.1  5.7    MM    MM    MM  MM 1013.2  10.7    MM   8.8   MM   MM    MM
2023 09 28 20 29 210  1.5  4.6    MM    MM    MM  MM 1013.1  10.7    MM   8.8   MM   MM    MM
2023 09 28 20 20 210  1.5  4.6    MM    MM    MM  MM 1013.1  10.7    MM   8.8   MM   MM    MM
2023 09 28 20 09 200  1.5  4.6    MM    MM    MM  MM 1013.0  10.4    MM   8.8   MM   MM    MM
2023 09 28 20 00 200  1.5  4.6    MM    MM    MM  MM 1013.0  10.4    MM   8.8   MM   MM    MM
2023 09 28 19 50 190  2.1  5.7    MM    MM    MM  MM 1013.0  10.2    MM   8.6   MM   MM    MM
2023 09 28 19 39 210  3.1  7.2    MM    MM    MM  MM 1012.9  10.1    MM   8.7   MM   MM    MM
2023 09 28 19 29 220  4.1  6.7    MM    MM    MM  MM 1012.9  10.1    MM   8.7   MM   MM    MM
2023 09 28 19 20 220  4.1  6.7    MM    MM    MM  MM 1012.9  10.1    MM   8.7   MM   MM    MM
2023 09 28 19 08 220  2.6  5.1    MM    MM    MM  MM 1012.9  10.1    MM   8.9   MM   MM    MM
2023 09 28 19 00 220  2.6  5.1    MM    MM    MM  MM 1012.9  10.1    MM   8.9   MM   MM    MM
2023 09 28 18 49 210  3.1  6.2    MM    MM    MM  MM 1012.7   9.9    MM   8.7   MM   MM    MM
