#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 31 230  4.1  4.6    MM    MM    MM  MM 1009.2   1.5    MM  -1.4   MM   MM    MM
2023 09 28 21 20 230  3.6  4.6    MM    MM    MM  MM 1009.1   1.4    MM  -1.5   MM   MM    MM
2023 09 28 21 10 230  4.1  4.6    MM    MM    MM  MM 1009.1   1.3    MM  -1.5   MM   MM    MM
2023 09 28 21 01 230  4.1  5.7    MM    MM    MM  MM 1009.2   1.3    MM  -1.5   MM   MM    MM
2023 09 28 20 51 230  4.6  6.2    MM    MM    MM  MM 1009.2   1.3    MM  -1.6   MM   MM    MM
2023 09 28 20 40 230  5.1  6.2    MM    MM    MM  MM 1009.1   1.0    MM  -1.8   MM   MM    MM
2023 09 28 20 30 230  4.6  6.2    MM    MM    MM  MM 1009.1   0.8    MM  -1.9   MM   MM    MM
2023 09 28 20 21 230  4.6  6.2    MM    MM    MM  MM 1009.1   0.8    MM  -1.9   MM   MM    MM
2023 09 28 20 11 230  5.1  6.2    MM    MM    MM  MM 1009.0   0.6    MM  -2.1   MM   MM    MM
2023 09 28 20 01 240  5.1  6.2    MM    MM    MM  MM 1009.1   0.5    MM  -2.1   MM   MM    MM
2023 09 28 19 51 240  5.7  7.2    MM    MM    MM  MM 1009.0   0.4    MM  -2.2   MM   MM    MM
2023 09 28 19 40 240  5.7  7.2    MM    MM    MM  MM 1009.0   0.3    MM  -2.1   MM   MM    MM
2023 09 28 19 30 240  5.7  7.7    MM    MM    MM  MM 1008.9   0.3    MM  -2.2   MM   MM    MM
2023 09 28 19 21 240  4.6  6.7    MM    MM    MM  MM 1008.8   0.2    MM  -2.1   MM   MM    MM
2023 09 28 19 09 230  5.1  6.7    MM    MM    MM  MM 1008.8  -0.1    MM  -2.3   MM   MM    MM
2023 09 28 19 01 230  5.1  6.7    MM    MM    MM  MM 1008.8  -0.1    MM  -2.3   MM   MM    MM
2023 09 28 18 50 230  5.1  6.7    MM    MM    MM  MM 1008.8  -0.2    MM  -2.4   MM   MM    MM
2023 09 28 18 40 230  5.7  7.7    MM    MM    MM  MM 1008.8  -0.3    MM  -2.4   MM   MM    MM
2023 09 28 18 30 230  6.2  8.2    MM    MM    MM  MM 1008.7  -0.3    MM  -2.3   MM   MM    MM
2023 09 28 18 20 230  6.2  7.7    MM    MM    MM  MM 1008.7  -0.5    MM  -2.4   MM   MM    MM
2023 09 28 18 10 230  6.2  7.7    MM    MM    MM  MM 1008.7  -0.5    MM  -2.4   MM   MM    MM
2023 09 28 17 59 230  6.7  7.7    MM    MM    MM  MM 1008.6  -0.4    MM  -2.5   MM   MM    MM
2023 09 28 17 51 230  6.7  7.7    MM    MM    MM  MM 1008.6  -0.4    MM  -2.5   MM   MM    MM
2023 09 28 17 41 230  6.2  7.7    MM    MM    MM  MM 1008.7  -0.3    MM  -2.4   MM   MM    MM
2023 09 28 17 31 220  5.7  7.2    MM    MM    MM  MM 1008.6  -0.3    MM  -2.5   MM   MM    MM
2023 09 28 17 20 220  5.7  7.2    MM    MM    MM  MM 1008.6  -0.3    MM  -2.5   MM   MM    MM
2023 09 28 17 11 230  5.1  6.7    MM    MM    MM  MM 1008.6  -0.3    MM  -2.5   MM   MM    MM
2023 09 28 17 00 230  5.7  7.2    MM    MM    MM  MM 1008.7  -0.3    MM  -2.6   MM   MM    MM
2023 09 28 16 51 220  5.7  7.2    MM    MM    MM  MM 1008.7  -0.4    MM  -2.7   MM   MM    MM
2023 09 28 16 41 220  5.7  6.7    MM    MM    MM  MM 1008.6  -0.4    MM  -2.8   MM   MM    MM
2023 09 28 16 30 220  5.1  6.7    MM    MM    MM  MM 1008.6  -0.6    MM  -2.7   MM   MM    MM
2023 09 28 16 21 220  5.1  6.2    MM    MM    MM  MM 1008.6  -0.8    MM  -2.7   MM   MM    MM
2023 09 28 16 00 230  5.1  6.2    MM    MM    MM  MM 1008.5  -1.0    MM  -2.5   MM   MM    MM
2023 09 28 15 51 230  4.6  6.2    MM    MM    MM  MM 1008.6  -0.8    MM  -2.4   MM   MM    MM
2023 09 28 15 40 230  4.6  5.7    MM    MM    MM  MM 1008.6  -0.5    MM  -2.5   MM   MM    MM
2023 09 28 15 31 220  4.1  6.2    MM    MM    MM  MM 1008.7  -0.3    MM  -2.5   MM   MM    MM
2023 09 28 15 20 210  4.6  6.2    MM    MM    MM  MM 1008.6  -0.3    MM  -2.5   MM   MM    MM
2023 09 28 15 11 200  5.1  6.7    MM    MM    MM  MM 1008.5  -0.3    MM  -2.5   MM   MM    MM
2023 09 28 15 01 200  5.1  6.7    MM    MM    MM  MM 1008.4  -0.2    MM  -2.4   MM   MM    MM
2023 09 28 14 51 200  5.7  7.2    MM    MM    MM  MM 1008.4   0.0    MM  -2.4   MM   MM    MM
2023 09 28 14 40 200  5.7  7.2    MM    MM    MM  MM 1008.4   0.0    MM  -2.3   MM   MM    MM
2023 09 28 14 31 200  5.7  6.7    MM    MM    MM  MM 1008.4   0.0    MM  -2.3   MM   MM    MM
2023 09 28 14 21 200  5.1  6.7    MM    MM    MM  MM 1008.4   0.0    MM  -2.2   MM   MM    MM
2023 09 28 14 10 210  4.6  6.7    MM    MM    MM  MM 1008.5   0.1    MM  -2.2   MM   MM    MM
2023 09 28 14 01 200  5.1  6.7    MM    MM    MM  MM 1008.4   0.1    MM  -2.1   MM   MM    MM
2023 09 28 13 50 200  4.6  6.2    MM    MM    MM  MM 1008.4   0.1    MM  -2.0   MM   MM    MM
2023 09 28 13 41 200  4.6  5.7    MM    MM    MM  MM 1008.4   0.2    MM  -2.1   MM   MM    MM
2023 09 28 13 30 210  5.1  6.7    MM    MM    MM  MM 1008.4   0.3    MM  -2.2   MM   MM    MM
2023 09 28 13 20 210  5.7  6.7    MM    MM    MM  MM 1008.4   0.3    MM  -2.3   MM   MM    MM
2023 09 28 13 11 210  6.2  7.2    MM    MM    MM  MM 1008.3   0.3    MM  -2.3   MM   MM    MM
2023 09 28 13 01 210  6.2  7.7    MM    MM    MM  MM 1008.4   0.4    MM  -2.4   MM   MM    MM
2023 09 28 12 49 210  5.1  6.7    MM    MM    MM  MM 1008.4   0.2    MM  -2.3   MM   MM    MM
2023 09 28 12 41 210  5.1  6.7    MM    MM    MM  MM 1008.4   0.2    MM  -2.3   MM   MM    MM
2023 09 28 12 31 210  5.1  7.2    MM    MM    MM  MM 1008.3   0.2    MM  -2.4   MM   MM    MM
2023 09 28 12 20 210  6.2  7.7    MM    MM    MM  MM 1008.4   0.3    MM  -2.5   MM   MM    MM
2023 09 28 12 09 210  5.7  7.2    MM    MM    MM  MM 1008.4   0.1    MM  -2.5   MM   MM    MM
2023 09 28 12 01 210  5.7  7.2    MM    MM    MM  MM 1008.4   0.1    MM  -2.5   MM   MM    MM
