#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 33 200  6.2  7.7    MM    MM    MM  MM     MM  10.8    MM   9.4   MM   MM    MM
2023 09 28 21 23 190  5.7  8.2    MM    MM    MM  MM     MM  11.0    MM   9.5   MM   MM    MM
2023 09 28 21 13 190  6.7  8.2    MM    MM    MM  MM     MM  10.9    MM   9.3   MM   MM    MM
2023 09 28 21 03 190  5.7  8.2    MM    MM    MM  MM     MM  11.0    MM   9.4   MM   MM    MM
2023 09 28 20 53 190  5.1  6.7    MM    MM    MM  MM     MM  10.9    MM   9.4   MM   MM    MM
2023 09 28 20 43 190  4.6  5.7    MM    MM    MM  MM     MM  10.8    MM   9.4   MM   MM    MM
2023 09 28 20 33 190  5.1  6.7    MM    MM    MM  MM     MM  10.7    MM   9.4   MM   MM    MM
2023 09 28 20 23 190  5.7  7.7    MM    MM    MM  MM     MM  10.7    MM   9.2   MM   MM    MM
2023 09 28 20 13 200  5.7  8.2    MM    MM    MM  MM     MM  10.7    MM   9.2   MM   MM    MM
2023 09 28 20 03 190  5.7  7.7    MM    MM    MM  MM     MM  10.7    MM   9.3   MM   MM    MM
2023 09 28 19 53 200  5.7  8.2    MM    MM    MM  MM     MM  10.7    MM   9.1   MM   MM    MM
2023 09 28 19 43 180  3.6  7.2    MM    MM    MM  MM     MM  10.8    MM   9.1   MM   MM    MM
2023 09 28 19 33 180  3.6  5.7    MM    MM    MM  MM     MM  10.9    MM   9.1   MM   MM    MM
2023 09 28 19 23 180  5.1  6.2    MM    MM    MM  MM     MM  10.7    MM   9.1   MM   MM    MM
2023 09 28 19 12 190  5.1  7.2    MM    MM    MM  MM     MM  10.7    MM   9.1   MM   MM    MM
2023 09 28 19 03 190  5.7  8.2    MM    MM    MM  MM     MM  10.8    MM   9.0   MM   MM    MM
2023 09 28 18 53 190  6.2  8.8    MM    MM    MM  MM     MM  11.0    MM   9.0   MM   MM    MM
2023 09 28 18 43 180  4.6  7.7    MM    MM    MM  MM     MM  10.9    MM   9.1   MM   MM    MM
2023 09 28 18 33 180  3.6  4.1    MM    MM    MM  MM     MM  10.7    MM   9.0   MM   MM    MM
2023 09 28 18 23 180  3.1  4.1    MM    MM    MM  MM     MM  10.7    MM   9.0   MM   MM    MM
2023 09 28 18 13 190  3.6  4.6    MM    MM    MM  MM     MM  10.7    MM   9.0   MM   MM    MM
2023 09 28 18 01 200  4.1  5.7    MM    MM    MM  MM     MM  10.8    MM   9.1   MM   MM    MM
2023 09 28 17 53 200  4.1  6.2    MM    MM    MM  MM     MM  10.8    MM   9.0   MM   MM    MM
2023 09 28 17 43 200  5.1  9.3    MM    MM    MM  MM     MM  10.8    MM   9.1   MM   MM    MM
2023 09 28 17 33 190  4.1  8.2    MM    MM    MM  MM     MM  10.5    MM   9.1   MM   MM    MM
2023 09 28 17 23 200  3.6  5.1    MM    MM    MM  MM     MM  10.5    MM   9.1   MM   MM    MM
2023 09 28 17 13 190  4.6  7.2    MM    MM    MM  MM     MM  10.6    MM   9.1   MM   MM    MM
2023 09 28 17 03 200  4.1  5.7    MM    MM    MM  MM     MM  10.6    MM   9.0   MM   MM    MM
2023 09 28 16 53 180  4.6  6.2    MM    MM    MM  MM     MM  10.6    MM   9.0   MM   MM    MM
2023 09 28 16 43 180  4.1  6.2    MM    MM    MM  MM     MM  10.9    MM   8.8   MM   MM    MM
2023 09 28 16 33 190  3.1  5.7    MM    MM    MM  MM     MM  10.9    MM   8.7   MM   MM    MM
