#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 23 210  2.1  4.1    MM    MM    MM  MM     MM  12.0    MM   8.7   MM   MM    MM
2023 09 28 21 13 220  1.5  3.1    MM    MM    MM  MM     MM  11.8    MM   8.6   MM   MM    MM
2023 09 28 21 04 220  1.5  3.1    MM    MM    MM  MM     MM  11.8    MM   8.6   MM   MM    MM
2023 09 28 20 54 220  1.0  2.6    MM    MM    MM  MM     MM  11.9    MM   8.8   MM   MM    MM
2023 09 28 20 43 220  1.0  2.6    MM    MM    MM  MM     MM  11.5    MM   8.6   MM   MM    MM
2023 09 28 20 33 220  1.5  2.6    MM    MM    MM  MM     MM  11.3    MM   8.3   MM   MM    MM
2023 09 28 20 24 230  2.1  3.1    MM    MM    MM  MM     MM  11.3    MM   8.3   MM   MM    MM
2023 09 28 20 13 230  1.0  3.6    MM    MM    MM  MM     MM  11.3    MM   8.3   MM   MM    MM
2023 09 28 20 04 230  0.5  2.1    MM    MM    MM  MM     MM  11.3    MM   8.3   MM   MM    MM
2023 09 28 19 54 230  0.5  1.5    MM    MM    MM  MM     MM  11.3    MM   8.3   MM   MM    MM
2023 09 28 19 43 230  1.0  2.6    MM    MM    MM  MM     MM  11.2    MM   8.3   MM   MM    MM
2023 09 28 19 33 230  0.5  1.5    MM    MM    MM  MM     MM  11.2    MM   8.4   MM   MM    MM
2023 09 28 19 23 220  1.0  2.1    MM    MM    MM  MM     MM  11.1    MM   8.2   MM   MM    MM
2023 09 28 19 12 220  1.0  2.6    MM    MM    MM  MM     MM  11.0    MM   8.1   MM   MM    MM
2023 09 28 19 04 190  1.0  2.6    MM    MM    MM  MM     MM  10.8    MM   8.0   MM   MM    MM
2023 09 28 18 53  MM  0.0  1.0    MM    MM    MM  MM     MM  10.9    MM   8.2   MM   MM    MM
2023 09 28 18 43 310  1.0  1.5    MM    MM    MM  MM     MM  10.9    MM   8.3   MM   MM    MM
2023 09 28 18 33 330  1.0  1.5    MM    MM    MM  MM     MM  10.8    MM   8.2   MM   MM    MM
2023 09 28 18 23  MM  0.0  1.0    MM    MM    MM  MM     MM  10.9    MM   8.1   MM   MM    MM
2023 09 28 18 13 240  1.0  2.6    MM    MM    MM  MM     MM  10.9    MM   8.1   MM   MM    MM
2023 09 28 18 02 240  2.6  4.1    MM    MM    MM  MM     MM  10.9    MM   8.1   MM   MM    MM
2023 09 28 17 53 240  2.1  4.6    MM    MM    MM  MM     MM  10.8    MM   8.1   MM   MM    MM
2023 09 28 17 43 240  2.6  5.1    MM    MM    MM  MM     MM  10.5    MM   8.1   MM   MM    MM
2023 09 28 17 34 230  2.6  4.6    MM    MM    MM  MM     MM  10.4    MM   8.1   MM   MM    MM
2023 09 28 17 23 230  2.6  4.1    MM    MM    MM  MM     MM  10.3    MM   8.1   MM   MM    MM
2023 09 28 17 13 240  2.1  4.1    MM    MM    MM  MM     MM  10.4    MM   8.2   MM   MM    MM
