#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 19 30  10  2.6   MM    MM    MM    MM  MM 1022.0  19.0    MM  16.5   MM   MM    MM
2023 09 28 19 15 360  2.6   MM    MM    MM    MM  MM 1022.0  18.9    MM  16.4   MM   MM    MM
2023 09 28 19 00 360  3.1   MM    MM    MM    MM  MM 1022.0  18.7    MM  16.2   MM   MM    MM
2023 09 28 18 45  20  2.6   MM    MM    MM    MM  MM 1022.0  19.1    MM  16.6   MM   MM    MM
2023 09 28 18 30  10  2.6   MM    MM    MM    MM  MM 1022.0  18.9    MM  16.4   MM   MM    MM
2023 09 28 18 15  20  2.6   MM    MM    MM    MM  MM 1022.0  19.0    MM  16.5   MM   MM    MM
2023 09 28 18 00  20  2.6   MM    MM    MM    MM  MM 1022.0  18.9    MM  16.6   MM   MM    MM
2023 09 28 17 45  20  2.1   MM    MM    MM    MM  MM 1022.0  18.6    MM  16.3   MM   MM    MM
2023 09 28 17 30  30  2.6   MM    MM    MM    MM  MM 1022.0  18.6    MM  16.3   MM   MM    MM
2023 09 28 17 15  20  2.6   MM    MM    MM    MM  MM 1023.0  18.6    MM  16.3   MM   MM    MM
2023 09 28 17 00  20  3.1   MM    MM    MM    MM  MM 1023.0  18.5    MM  16.2   MM   MM    MM
2023 09 28 16 45  10  2.6   MM    MM    MM    MM  MM 1023.0  18.3    MM  16.1   MM   MM    MM
2023 09 27 17 30  20  2.6   MM    MM    MM    MM  MM 1025.0  19.2    MM  13.3   MM   MM    MM
2023 09 27 17 15  20  2.6   MM    MM    MM    MM  MM 1025.0  18.7    MM  13.4   MM   MM    MM
2023 09 27 17 00  10  2.6   MM    MM    MM    MM  MM 1026.0  18.4    MM  13.6   MM   MM    MM
2023 09 27 16 45  20  2.6   MM    MM    MM    MM  MM 1026.0  18.1    MM  13.5   MM   MM    MM
2023 09 26 19 30  30  3.1   MM    MM    MM    MM  MM 1025.0  17.1    MM  14.6   MM   MM    MM
2023 09 26 19 15  30  3.1   MM    MM    MM    MM  MM 1025.0  17.1    MM  14.6   MM   MM    MM
2023 09 26 19 00  30  3.1   MM    MM    MM    MM  MM 1025.0  17.0    MM  14.7   MM   MM    MM
2023 09 26 18 45  30  3.1   MM    MM    MM    MM  MM 1025.0  16.9    MM  14.6   MM   MM    MM
2023 09 26 18 30  30  3.1   MM    MM    MM    MM  MM 1025.0  17.1    MM  14.8   MM   MM    MM
2023 09 26 18 15  30  3.1   MM    MM    MM    MM  MM 1025.0  17.2    MM  14.9   MM   MM    MM
2023 09 26 18 00  30  3.1   MM    MM    MM    MM  MM 1025.0  17.1    MM  15.0   MM   MM    MM
2023 09 26 17 45  30  2.6   MM    MM    MM    MM  MM 1025.0  16.9    MM  15.1   MM   MM    MM
2023 09 26 17 30  30  2.6   MM    MM    MM    MM  MM 1025.0  16.6    MM  15.3   MM   MM    MM
2023 09 26 17 15  30  2.6   MM    MM    MM    MM  MM 1025.0  16.9    MM  15.3   MM   MM    MM
2023 09 26 17 00  30  2.6   MM    MM    MM    MM  MM 1025.0  16.9    MM  15.1   MM   MM    MM
2023 09 26 16 45  30  2.6   MM    MM    MM    MM  MM 1025.0  16.9    MM  15.1   MM   MM    MM
2023 09 25 17 30 330  1.0   MM    MM    MM    MM  MM 1016.0  19.2    MM  17.7   MM   MM    MM
2023 09 25 17 15 310  1.0   MM    MM    MM    MM  MM 1016.0  19.4    MM  17.6   MM   MM    MM
2023 09 25 17 00 310  1.0   MM    MM    MM    MM  MM 1016.0  19.5    MM  17.5   MM   MM    MM
2023 09 25 16 45 290  1.0   MM    MM    MM    MM  MM 1016.0  19.5    MM  17.5   MM   MM    MM
2023 09 24 17 30 160  4.1   MM    MM    MM    MM  MM 1011.0  21.5    MM  18.4   MM   MM    MM
2023 09 24 17 15 180  3.1   MM    MM    MM    MM  MM 1012.0  20.5    MM  18.1   MM   MM    MM
2023 09 24 17 00 170  3.6   MM    MM    MM    MM  MM 1012.0  20.3    MM  17.7   MM   MM    MM
2023 09 24 16 45 150  4.1   MM    MM    MM    MM  MM 1012.0  21.5    MM  18.6   MM   MM    MM
2023 09 23 19 30  30  5.7   MM    MM    MM    MM  MM 1011.0  18.8    MM  18.0   MM   MM    MM
2023 09 23 19 15  30  5.1   MM    MM    MM    MM  MM 1011.0  19.0    MM  18.2   MM   MM    MM
2023 09 23 19 00  30  5.7   MM    MM    MM    MM  MM 1011.0  18.9    MM  18.1   MM   MM    MM
2023 09 23 18 45  30  5.1   MM    MM    MM    MM  MM 1011.0  18.9    MM  18.3   MM   MM    MM
2023 09 23 18 30  30  4.6   MM    MM    MM    MM  MM 1011.0  18.8    MM  18.3   MM   MM    MM
2023 09 23 18 15  30  5.7   MM    MM    MM    MM  MM 1012.0  19.1    MM  18.3   MM   MM    MM
2023 09 23 18 00  30  5.7   MM    MM    MM    MM  MM 1011.0  19.4    MM  18.3   MM   MM    MM
