#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 24 180  9.8 11.8    MM    MM    MM  MM 1017.7   9.7    MM   6.7   MM   MM    MM
2023 09 28 20 24 190  8.8 11.8    MM    MM    MM  MM 1017.5   9.6    MM   6.9   MM   MM    MM
2023 09 28 19 24 190  8.8 11.8    MM    MM    MM  MM 1017.3   9.5    MM   6.8   MM   MM    MM
2023 09 28 18 24 190  8.2 12.4    MM    MM    MM  MM 1016.9   9.5    MM   6.7   MM   MM    MM
2023 09 28 17 24 190 10.3 13.4    MM    MM    MM  MM 1016.5   9.4    MM   6.4   MM   MM    MM
2023 09 28 16 24 190  9.8 13.4    MM    MM    MM  MM 1016.2   9.5    MM   6.4   MM   MM    MM
2023 09 28 15 24 190 10.3 12.9    MM    MM    MM  MM 1015.8   9.6    MM   6.2   MM   MM    MM
2023 09 28 14 24 190  9.8 12.9    MM    MM    MM  MM 1015.7   9.3    MM   6.5   MM   MM    MM
2023 09 28 13 24 190  9.3 11.8    MM    MM    MM  MM 1015.4   9.3    MM   3.2   MM   MM    MM
2023 09 28 12 24 190  7.7 10.8    MM    MM    MM  MM 1015.1   9.3    MM    MM   MM   MM    MM
2023 09 28 11 24 190  7.7 10.8    MM    MM    MM  MM 1014.8   9.4    MM    MM   MM   MM    MM
2023 09 28 10 24 200  8.8 10.8    MM    MM    MM  MM 1014.3   9.3    MM   7.4   MM   MM    MM
2023 09 28 09 24 200  9.3 10.8    MM    MM    MM  MM 1013.5   9.5    MM   7.5   MM   MM    MM
2023 09 28 08 24 200  9.3 11.3    MM    MM    MM  MM 1012.8   9.6    MM   7.6   MM   MM    MM
2023 09 28 07 24 190  7.7 10.8    MM    MM    MM  MM 1012.2   9.6    MM   7.9   MM   MM    MM
2023 09 28 06 24 190  9.3 12.9    MM    MM    MM  MM 1011.3   9.9    MM   7.7   MM   MM    MM
2023 09 28 05 24 200 10.8 12.9    MM    MM    MM  MM 1010.3  10.0    MM   8.1   MM   MM    MM
2023 09 28 04 24 200  8.2 10.3    MM    MM    MM  MM 1009.5  10.0    MM   6.3   MM   MM    MM
2023 09 28 03 24 210  8.8 10.8    MM    MM    MM  MM 1008.6   9.9    MM   9.3   MM   MM    MM
2023 09 28 02 24 200  8.8 10.8    MM    MM    MM  MM 1007.6  10.1    MM   9.1   MM   MM    MM
2023 09 28 01 24 180  3.1  4.6    MM    MM    MM  MM 1006.9  10.2    MM  10.2   MM   MM    MM
2023 09 28 00 24 190  2.1  3.6    MM    MM    MM  MM 1005.9  10.5    MM  10.5   MM   MM    MM
2023 09 27 23 24 180  2.6  3.1    MM    MM    MM  MM 1004.9  10.3    MM  10.3   MM   MM    MM
2023 09 27 22 24 170  0.5  1.5    MM    MM    MM  MM 1004.1  10.5    MM  10.5   MM   MM    MM
2023 09 27 21 24  60  1.0  1.5    MM    MM    MM  MM 1003.4  10.2    MM  10.0   MM   MM    MM
2023 09 27 20 24  MM  0.0  1.0    MM    MM    MM  MM 1003.0  10.4    MM  10.0   MM   MM    MM
2023 09 27 19 24 130  0.5  2.1    MM    MM    MM  MM 1002.2  10.1    MM   8.7   MM   MM    MM
2023 09 27 18 24 340  5.1  6.2    MM    MM    MM  MM 1001.2  10.1    MM   8.5   MM   MM    MM
2023 09 27 17 24 330  5.1  5.7    MM    MM    MM  MM 1000.6  10.3    MM   8.1   MM   MM    MM
2023 09 27 16 24  20  7.7 10.3    MM    MM    MM  MM 1000.0  10.6    MM   7.9   MM   MM    MM
2023 09 27 15 24  20  7.7 10.8    MM    MM    MM  MM  999.8  10.0    MM   8.5   MM   MM    MM
2023 09 27 14 24  20  8.8 11.3    MM    MM    MM  MM 1000.0   9.9    MM   9.5   MM   MM    MM
2023 09 27 13 24  10  5.1  8.2    MM    MM    MM  MM 1000.7   9.8    MM   9.7   MM   MM    MM
2023 09 27 12 24  20  6.2  8.2    MM    MM    MM  MM 1001.0   9.8    MM   9.8   MM   MM    MM
2023 09 27 11 24  10  5.7  7.2    MM    MM    MM  MM 1001.3   9.8    MM   9.8   MM   MM    MM
2023 09 27 10 24  10  3.6  5.7    MM    MM    MM  MM 1001.6   9.7    MM   9.7   MM   MM    MM
2023 09 27 09 24  20  5.1  6.2    MM    MM    MM  MM 1001.4   9.7    MM   9.7   MM   MM    MM
2023 09 27 08 24  20  5.1  7.2    MM    MM    MM  MM 1001.2   9.7    MM   9.7   MM   MM    MM
2023 09 27 07 24  30  6.2  6.7    MM    MM    MM  MM 1001.0   9.7    MM   9.7   MM   MM    MM
2023 09 27 06 24  30  4.1  5.7    MM    MM    MM  MM 1000.9   9.7    MM   9.7   MM   MM    MM
2023 09 27 05 24  10  4.1  4.6    MM    MM    MM  MM 1000.4   9.8    MM   9.8   MM   MM    MM
2023 09 27 04 24  60  2.1  3.1    MM    MM    MM  MM 1000.2  10.1    MM   9.8   MM   MM    MM
2023 09 27 03 24 200  0.5  1.0    MM    MM    MM  MM 1000.1  10.5    MM   8.9   MM   MM    MM
2023 09 27 02 24 280  3.1  3.1    MM    MM    MM  MM  999.6  11.0    MM   8.0   MM   MM    MM
2023 09 27 01 24 340  2.1  2.6    MM    MM    MM  MM  998.6  11.5    MM   6.6   MM   MM    MM
2023 09 27 00 24  30  3.1  4.6    MM    MM    MM  MM  998.3  11.7    MM   6.9   MM   MM    MM
2023 09 26 22 24  40  4.1  5.1    MM    MM    MM  MM  998.0  13.1    MM   5.8   MM   MM    MM
2023 09 26 21 24  10  6.7 10.3    MM    MM    MM  MM  997.2  13.1    MM    MM   MM   MM    MM
2023 09 26 20 24  20  8.8 10.3    MM    MM    MM  MM  996.7  12.8    MM  -3.0   MM   MM    MM
2023 09 26 19 24  20  9.8 11.8    MM    MM    MM  MM  996.2  12.5    MM    MM   MM   MM    MM
2023 09 26 18 24  20  9.8 12.9    MM    MM    MM  MM  996.1  12.2    MM    MM   MM   MM    MM
2023 09 26 17 24  20 11.8 14.9    MM    MM    MM  MM  995.8  11.9    MM   7.7   MM   MM    MM
2023 09 26 16 24  20 11.8 14.9    MM    MM    MM  MM  995.6  11.7    MM    MM   MM   MM    MM
2023 09 26 15 24  20 11.3 15.4    MM    MM    MM  MM  995.4  11.7    MM  11.7   MM   MM    MM
2023 09 26 14 24  30 12.9 15.4    MM    MM    MM  MM  995.4  11.7    MM    MM   MM   MM    MM
2023 09 26 13 24  20 12.4 15.4    MM    MM    MM  MM  995.5  11.6    MM  11.6   MM   MM    MM
2023 09 26 12 24  20 12.9 15.4    MM    MM    MM  MM  995.7  11.5    MM    MM   MM   MM    MM
2023 09 26 11 24  20 10.3 14.4    MM    MM    MM  MM  996.0  11.9    MM   4.5   MM   MM    MM
2023 09 26 10 24  30 11.8 14.4    MM    MM    MM  MM  996.2  12.1    MM    MM   MM   MM    MM
2023 09 26 09 24  30 12.4 17.0    MM    MM    MM  MM  996.4  11.9    MM    MM   MM   MM    MM
2023 09 26 08 24  20 13.4 17.0    MM    MM    MM  MM  996.8  12.0    MM    MM   MM   MM    MM
2023 09 26 07 24  30 12.9 14.9    MM    MM    MM  MM  997.4  11.8    MM  10.2   MM   MM    MM
2023 09 26 06 24  30 11.8 15.4    MM    MM    MM  MM  997.6  12.5    MM    MM   MM   MM    MM
2023 09 26 05 24  30 12.4 13.9    MM    MM    MM  MM  997.6  12.4    MM    MM   MM   MM    MM
2023 09 26 04 24  30 13.4 16.0    MM    MM    MM  MM  997.6  12.4    MM    MM   MM   MM    MM
2023 09 26 03 24  30 11.8 14.9    MM    MM    MM  MM  998.1  12.6    MM    MM   MM   MM    MM
2023 09 26 02 24  30 12.4 14.4    MM    MM    MM  MM  998.1  12.6    MM    MM   MM   MM    MM
2023 09 26 01 24  20 10.8 13.9    MM    MM    MM  MM  998.2  12.4    MM   9.1   MM   MM    MM
2023 09 26 00 24  30 11.8 13.4    MM    MM    MM  MM  998.7  12.4    MM    MM   MM   MM    MM
2023 09 25 23 24  30 10.3 11.8    MM    MM    MM  MM  999.4  12.4    MM   5.5   MM   MM    MM
2023 09 25 22 24  30  9.8 11.8    MM    MM    MM  MM  999.5  12.6    MM   5.0   MM   MM    MM
2023 09 25 21 24  20 10.8 13.4    MM    MM    MM  MM  999.6  12.1    MM  -1.3   MM   MM    MM
2023 09 25 20 24  30 11.3 13.9    MM    MM    MM  MM 1000.4  12.0    MM    MM   MM   MM    MM
2023 09 25 19 24  30 12.4 14.4    MM    MM    MM  MM 1000.5  11.8    MM  -2.6   MM   MM    MM
2023 09 25 18 24  30 12.9 16.5    MM    MM    MM  MM 1000.7  11.4    MM    MM   MM   MM    MM
2023 09 25 17 24  30 12.4 15.4    MM    MM    MM  MM 1000.9  11.0    MM    MM   MM   MM    MM
2023 09 25 16 24  30 12.4 18.0    MM    MM    MM  MM 1001.0  10.8    MM    MM   MM   MM    MM
2023 09 25 15 24  30 14.9 18.0    MM    MM    MM  MM 1000.6  10.5    MM   0.5   MM   MM    MM
2023 09 25 14 24  30 14.9 18.0    MM    MM    MM  MM 1000.9  10.1    MM   4.8   MM   MM    MM
2023 09 25 13 24  30 12.9 16.5    MM    MM    MM  MM 1002.1   9.8    MM    MM   MM   MM    MM
2023 09 25 12 24  30 13.9 17.0    MM    MM    MM  MM 1002.5   9.5    MM   5.0   MM   MM    MM
2023 09 25 11 24  30 11.8 14.4    MM    MM    MM  MM 1003.7   9.2    MM   5.3   MM   MM    MM
2023 09 25 10 24  30 11.3 13.9    MM    MM    MM  MM 1004.7   8.9    MM   5.0   MM   MM    MM
2023 09 25 08 24  30  9.3 12.4    MM    MM    MM  MM 1006.5   9.0    MM   5.7   MM   MM    MM
2023 09 25 07 24  20  8.8 11.8    MM    MM    MM  MM 1007.1   8.7    MM   6.2   MM   MM    MM
2023 09 25 06 24 360  7.7  9.3    MM    MM    MM  MM 1007.8   8.4    MM   6.2   MM   MM    MM
2023 09 25 05 24  10  6.7  8.2    MM    MM    MM  MM 1008.4   8.2    MM   6.1   MM   MM    MM
2023 09 25 04 24 360  6.2  7.2    MM    MM    MM  MM 1008.8   8.3    MM   6.0   MM   MM    MM
2023 09 25 03 24  10  4.6  7.7    MM    MM    MM  MM 1008.6   8.4    MM   5.9   MM   MM    MM
2023 09 25 02 24  10  4.6  7.2    MM    MM    MM  MM 1008.6   8.4    MM   6.5   MM   MM    MM
2023 09 25 01 24 360  6.2  6.7    MM    MM    MM  MM 1008.8   7.7    MM   7.1   MM   MM    MM
2023 09 25 00 24 350  3.6  5.1    MM    MM    MM  MM 1009.2   7.2    MM   6.6   MM   MM    MM
2023 09 24 23 24  10  2.1  3.1    MM    MM    MM  MM 1009.6   7.0    MM   6.2   MM   MM    MM
2023 09 24 22 24 340  2.6  3.1    MM    MM    MM  MM 1009.8   7.0    MM   5.7   MM   MM    MM
2023 09 24 21 24 350  3.6  3.6    MM    MM    MM  MM 1009.8   6.9    MM   5.1   MM   MM    MM
2023 09 24 19 24  20  3.6  4.6    MM    MM    MM  MM 1009.2   6.8    MM   5.3   MM   MM    MM
2023 09 24 18 24  10  4.6  6.2    MM    MM    MM  MM 1008.7   6.6    MM   5.3   MM   MM    MM
2023 09 24 17 24 350  4.6  5.1    MM    MM    MM  MM 1008.8   6.5    MM   4.7   MM   MM    MM
2023 09 24 16 24  10  3.1  4.6    MM    MM    MM  MM 1008.7   6.5    MM   5.0   MM   MM    MM
2023 09 24 15 24 360  2.1  4.1    MM    MM    MM  MM 1008.6   6.6    MM   5.4   MM   MM    MM
2023 09 24 14 24  10  1.5  2.6    MM    MM    MM  MM 1008.7   6.5    MM   5.2   MM   MM    MM
2023 09 24 13 24 340  2.6  3.1    MM    MM    MM  MM 1008.6   6.6    MM   5.4   MM   MM    MM
2023 09 24 12 24 360  3.1  4.1    MM    MM    MM  MM 1008.5   6.6    MM   4.9   MM   MM    MM
2023 09 24 11 24 350  4.1  5.1    MM    MM    MM  MM 1008.1   6.7    MM   5.2   MM   MM    MM
2023 09 24 10 24 360  3.6  5.1    MM    MM    MM  MM 1008.0   7.0    MM   6.1   MM   MM    MM
2023 09 24 09 24 360  4.1  5.1    MM    MM    MM  MM 1007.7   7.2    MM   5.7   MM   MM    MM
2023 09 24 08 24  10  4.6  6.2    MM    MM    MM  MM 1007.4   7.4    MM   5.8   MM   MM    MM
2023 09 24 07 24  20  5.1  6.2    MM    MM    MM  MM 1007.2   7.8    MM   5.7   MM   MM    MM
2023 09 24 06 24  20  4.1  5.1    MM    MM    MM  MM 1006.9   8.3    MM   6.2   MM   MM    MM
2023 09 24 05 24  10  1.5  2.6    MM    MM    MM  MM 1006.8   8.7    MM   6.6   MM   MM    MM
2023 09 24 04 24 230  0.5  1.5    MM    MM    MM  MM 1006.6   9.3    MM   6.6   MM   MM    MM
2023 09 24 03 24 180  1.5  2.6    MM    MM    MM  MM 1006.3   9.9    MM   5.4   MM   MM    MM
2023 09 24 02 24 200  1.5  2.1    MM    MM    MM  MM 1006.4  11.6    MM   4.8   MM   MM    MM
2023 09 24 01 24  MM  0.0  1.0    MM    MM    MM  MM 1006.4  13.1    MM   5.8   MM   MM    MM
2023 09 24 00 24 200  1.0  2.1    MM    MM    MM  MM 1006.6  11.8    MM   5.8   MM   MM    MM
2023 09 23 23 24 190  1.0  2.1    MM    MM    MM  MM 1006.9  12.1    MM   5.9   MM   MM    MM
2023 09 23 22 24 200  0.5  1.0    MM    MM    MM  MM 1007.2  12.3    MM   6.0   MM   MM    MM
2023 09 23 21 24 130  0.5  1.0    MM    MM    MM  MM 1007.6  10.7    MM   6.6   MM   MM    MM
