#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 33 190 10.8 14.4    MM    MM    MM  MM     MM   9.5    MM   7.8   MM   MM    MM
2023 09 28 21 23 190 10.8 13.4    MM    MM    MM  MM     MM   9.4    MM   7.7   MM   MM    MM
2023 09 28 21 13 190 10.8 13.4    MM    MM    MM  MM     MM   9.4    MM   7.8   MM   MM    MM
2023 09 28 21 03 190 10.8 12.9    MM    MM    MM  MM     MM   9.5    MM   7.8   MM   MM    MM
2023 09 28 20 53 190 10.3 12.4    MM    MM    MM  MM     MM   9.4    MM   7.9   MM   MM    MM
2023 09 28 20 43 190  9.8 12.4    MM    MM    MM  MM     MM   9.5    MM   7.9   MM   MM    MM
2023 09 28 20 33 190  9.8 12.4    MM    MM    MM  MM     MM   9.5    MM   7.9   MM   MM    MM
2023 09 28 20 23 190  9.8 12.9    MM    MM    MM  MM     MM   9.6    MM   7.7   MM   MM    MM
2023 09 28 20 13 190 10.3 12.9    MM    MM    MM  MM     MM   9.5    MM   7.7   MM   MM    MM
2023 09 28 20 03 190 10.3 12.9    MM    MM    MM  MM     MM   9.4    MM   7.8   MM   MM    MM
2023 09 28 19 53 190 10.3 12.9    MM    MM    MM  MM     MM   9.4    MM   7.7   MM   MM    MM
2023 09 28 19 43 190 10.3 13.4    MM    MM    MM  MM     MM   9.5    MM   7.6   MM   MM    MM
2023 09 28 19 33 190 10.8 13.4    MM    MM    MM  MM     MM   9.5    MM   7.6   MM   MM    MM
2023 09 28 19 23 190 10.3 12.4    MM    MM    MM  MM     MM   9.4    MM   7.8   MM   MM    MM
2023 09 28 19 13 190  9.8 12.9    MM    MM    MM  MM     MM   9.4    MM   7.8   MM   MM    MM
2023 09 28 19 03 190 10.3 14.4    MM    MM    MM  MM     MM   9.5    MM   7.7   MM   MM    MM
2023 09 28 18 53 190 10.3 14.4    MM    MM    MM  MM     MM   9.5    MM   7.6   MM   MM    MM
2023 09 28 18 43 190  9.8 12.4    MM    MM    MM  MM     MM   9.4    MM   7.8   MM   MM    MM
2023 09 28 18 33 200  9.3 11.8    MM    MM    MM  MM     MM   9.4    MM   7.9   MM   MM    MM
2023 09 28 18 23 190  9.3 12.9    MM    MM    MM  MM     MM   9.4    MM   7.8   MM   MM    MM
2023 09 28 18 13 190  9.3 12.9    MM    MM    MM  MM     MM   9.5    MM   7.8   MM   MM    MM
2023 09 28 18 03 190  9.8 12.9    MM    MM    MM  MM     MM   9.5    MM   7.7   MM   MM    MM
2023 09 28 17 53 190 10.8 14.4    MM    MM    MM  MM     MM   9.6    MM   7.5   MM   MM    MM
2023 09 28 17 43 190 11.3 14.4    MM    MM    MM  MM     MM   9.5    MM   7.4   MM   MM    MM
2023 09 28 17 33 190 11.3 14.4    MM    MM    MM  MM     MM   9.5    MM   7.4   MM   MM    MM
2023 09 28 17 23 190 10.8 14.4    MM    MM    MM  MM     MM   9.5    MM   7.5   MM   MM    MM
2023 09 28 17 13 190 10.8 14.4    MM    MM    MM  MM     MM   9.5    MM   7.5   MM   MM    MM
2023 09 28 17 03 190 11.3 14.4    MM    MM    MM  MM     MM   9.5    MM   7.4   MM   MM    MM
2023 09 28 16 53 190 11.3 14.9    MM    MM    MM  MM     MM   9.5    MM   7.4   MM   MM    MM
2023 09 28 16 43 190 11.3 14.4    MM    MM    MM  MM     MM   9.5    MM   7.4   MM   MM    MM
2023 09 28 16 33 190 11.3 14.4    MM    MM    MM  MM     MM   9.6    MM   7.5   MM   MM    MM
2023 09 28 16 23 190 11.3 14.4    MM    MM    MM  MM     MM   9.6    MM   7.5   MM   MM    MM
2023 09 28 16 13 190 10.8 13.9    MM    MM    MM  MM     MM   9.6    MM   7.5   MM   MM    MM
2023 09 28 16 03 190 10.8 13.9    MM    MM    MM  MM     MM   9.6    MM   7.5   MM   MM    MM
2023 09 28 15 53 190 10.3 13.4    MM    MM    MM  MM     MM   9.6    MM   7.6   MM   MM    MM
2023 09 28 15 43 190 10.3 13.9    MM    MM    MM  MM     MM   9.6    MM   7.6   MM   MM    MM
2023 09 28 15 33 190  9.8 12.9    MM    MM    MM  MM     MM   9.7    MM   7.6   MM   MM    MM
2023 09 28 15 23 190 10.3 13.4    MM    MM    MM  MM     MM   9.7    MM   7.5   MM   MM    MM
2023 09 28 15 13 190 10.8 14.4    MM    MM    MM  MM     MM   9.8    MM   7.5   MM   MM    MM
2023 09 28 15 03 190 10.3 13.4    MM    MM    MM  MM     MM   9.8    MM   7.5   MM   MM    MM
2023 09 28 14 53 190 10.8 13.9    MM    MM    MM  MM     MM   9.8    MM   7.5   MM   MM    MM
2023 09 28 14 43 190 10.8 14.4    MM    MM    MM  MM     MM   9.8    MM   7.5   MM   MM    MM
2023 09 28 14 33 190 10.8 13.9    MM    MM    MM  MM     MM   9.7    MM   7.5   MM   MM    MM
2023 09 28 14 23 190 10.3 13.9    MM    MM    MM  MM     MM   9.7    MM   7.5   MM   MM    MM
2023 09 28 14 13 190 10.8 13.9    MM    MM    MM  MM     MM   9.6    MM   7.5   MM   MM    MM
2023 09 28 14 03 190 10.8 14.4    MM    MM    MM  MM     MM   9.5    MM   7.6   MM   MM    MM
2023 09 28 13 53 190 10.3 16.5    MM    MM    MM  MM     MM   9.6    MM   7.6   MM   MM    MM
2023 09 28 13 43 190  9.8 13.9    MM    MM    MM  MM     MM   9.5    MM   7.7   MM   MM    MM
2023 09 28 13 33 190  9.3 13.4    MM    MM    MM  MM     MM   9.4    MM   7.8   MM   MM    MM
2023 09 28 13 23 190  9.8 12.9    MM    MM    MM  MM     MM   9.4    MM   7.7   MM   MM    MM
