#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 00  20  5.1  6.7    MM    MM    MM  MM 1016.1  23.0    MM  19.4   MM -1.4    MM
2023 09 28 20 00  10  5.1  7.2    MM    MM    MM  MM 1016.4  22.7    MM  18.7   MM -1.8    MM
2023 09 28 19 00 360  3.1  4.1    MM    MM    MM  MM 1016.9  22.1    MM  18.5   MM -2.0    MM
2023 09 28 18 00  10  5.1  6.7    MM    MM    MM  MM 1017.5  20.6    MM  17.8   MM -1.6    MM
2023 09 28 17 00  10  4.6  5.7    MM    MM    MM  MM 1018.2  19.7    MM  17.3   MM -1.2    MM
2023 09 28 16 00 360  5.7  6.7    MM    MM    MM  MM 1018.9  19.1    MM  17.2   MM   MM    MM
2023 09 28 15 00  20  5.7  7.2    MM    MM    MM  MM 1019.1  18.7    MM  17.2   MM   MM    MM
2023 09 28 14 00  30  7.7  9.3    MM    MM    MM  MM 1019.4  18.2    MM  17.0   MM   MM    MM
2023 09 28 02 00 360  7.7  9.3    MM    MM    MM  MM 1018.9  20.9    MM  17.2   MM +0.3    MM
2023 09 28 01 00  20  8.2  9.3    MM    MM    MM  MM 1018.6  21.5    MM  18.0   MM +0.5    MM
2023 09 28 00 00  30  7.7  9.8    MM    MM    MM  MM 1018.7  22.6    MM  18.7   MM +0.7    MM
2023 09 27 23 00  30  7.2  8.8    MM    MM    MM  MM 1018.6  22.7    MM  19.1   MM +0.6    MM
2023 09 27 22 00  40  7.7  8.8    MM    MM    MM  MM 1018.1  22.3    MM  18.6   MM -0.0    MM
2023 09 27 21 00  40  7.7  8.8    MM    MM    MM  MM 1018.0  22.3    MM  18.6   MM -0.9    MM
2023 09 27 20 00  30  8.2  9.3    MM    MM    MM  MM 1018.0  22.3    MM  18.6   MM -1.5    MM
2023 09 27 19 00  20  8.2 10.3    MM    MM    MM  MM 1018.3  22.0    MM  18.5   MM -1.5    MM
2023 09 27 18 00  30  9.8 11.8    MM    MM    MM  MM 1018.9  21.9    MM  19.0   MM -1.3    MM
2023 09 27 17 00  30  9.8 10.8    MM    MM    MM  MM 1019.5  21.7    MM  19.2   MM   MM    MM
2023 09 27 16 00  30  9.8 11.3    MM    MM    MM  MM 1019.8  21.4    MM  19.2   MM   MM    MM
2023 09 27 15 00  30 10.3 12.9    MM    MM    MM  MM 1020.2  21.2    MM  19.3   MM   MM    MM
2023 09 26 23 00 130  5.7  6.2    MM    MM    MM  MM 1019.8  23.7    MM  19.2   MM +1.0    MM
2023 09 26 22 00 100  4.6  5.7    MM    MM    MM  MM 1019.6  24.8    MM  21.5   MM +0.6    MM
2023 09 26 21 00 100  5.7  6.2    MM    MM    MM  MM 1019.2  25.3    MM  23.0   MM -0.4    MM
