#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 00 240  2.6  2.6    MM    MM    MM  MM 1017.9   7.7    MM    MM   MM +0.5    MM
2023 09 28 20 00 210  2.6  2.6    MM    MM    MM  MM 1017.8   7.2    MM    MM   MM +0.6    MM
2023 09 28 19 00 200  2.6  2.6    MM    MM    MM  MM 1017.5   6.6    MM    MM   MM +0.6    MM
2023 09 28 18 00 200  1.5  2.1    MM    MM    MM  MM 1017.4   6.4    MM    MM   MM +0.6    MM
2023 09 28 17 00 220  1.5  2.1    MM    MM    MM  MM 1017.2   5.9    MM    MM   MM +0.7    MM
2023 09 28 16 00 200  2.1  2.1    MM    MM    MM  MM 1016.9   6.5    MM    MM   MM +0.6    MM
2023 09 28 15 00  50  1.0  1.0    MM    MM    MM  MM 1016.8   7.1    MM    MM   MM +1.0    MM
2023 09 28 14 00 100  1.5  2.1    MM    MM    MM  MM 1016.5   6.9    MM    MM   MM +1.0    MM
2023 09 28 13 00 130  2.6  2.6    MM    MM    MM  MM 1016.3   7.5    MM    MM   MM +1.2    MM
2023 09 28 12 00 180  4.1  5.1    MM    MM    MM  MM 1015.8   7.3    MM    MM   MM +1.2    MM
2023 09 28 11 00 190  5.1  5.7    MM    MM    MM  MM 1015.5   7.7    MM    MM   MM +1.1    MM
2023 09 28 10 00 200  3.1  3.6    MM    MM    MM  MM 1015.1   8.2    MM    MM   MM +1.4    MM
2023 09 28 09 00 150  5.1  6.2    MM    MM    MM  MM 1014.6   8.8    MM    MM   MM +1.4    MM
2023 09 28 08 00 160  4.1  5.1    MM    MM    MM  MM 1014.4   8.7    MM    MM   MM +1.8    MM
2023 09 28 07 00 160  6.2  7.2    MM    MM    MM  MM 1013.7   9.0    MM    MM   MM +2.1    MM
2023 09 28 06 00 160  5.7  7.2    MM    MM    MM  MM 1013.2   8.9    MM    MM   MM +2.0    MM
2023 09 28 05 00 160  5.1  6.7    MM    MM    MM  MM 1012.6   9.0    MM    MM   MM +2.9    MM
2023 09 28 04 00 160  6.2  8.8    MM    MM    MM  MM 1011.6   9.4    MM    MM   MM +2.7    MM
2023 09 28 03 00 170  4.6  8.2    MM    MM    MM  MM 1011.2   9.5    MM    MM   MM +3.5    MM
2023 09 28 02 00 180 10.3 11.8    MM    MM    MM  MM 1009.7   9.7    MM    MM   MM +3.9    MM
2023 09 28 01 00 150 10.3 11.8    MM    MM    MM  MM 1008.9   9.7    MM    MM   MM +3.2    MM
2023 09 28 00 00 160  9.8 12.4    MM    MM    MM  MM 1007.7  10.0    MM    MM   MM +3.5    MM
2023 09 27 23 00 150 14.9 16.0    MM    MM    MM  MM 1005.8  10.3    MM    MM   MM +3.6    MM
2023 09 27 22 00 150 12.9 16.5    MM    MM    MM  MM 1005.7  10.8    MM    MM   MM +4.6    MM
2023 09 27 21 00 150 13.4 14.9    MM    MM    MM  MM 1004.2  11.2    MM    MM   MM +3.6    MM
2023 09 27 20 00 160 14.9 18.5    MM    MM    MM  MM 1002.2  11.1    MM    MM   MM +3.7    MM
2023 09 27 19 00 150 14.9 16.0    MM    MM    MM  MM 1001.1  10.9    MM    MM   MM +4.1    MM
2023 09 27 18 00 160 10.3 13.4    MM    MM    MM  MM 1000.6  11.7    MM    MM   MM +3.9    MM
2023 09 27 17 00 160 15.4 17.5    MM    MM    MM  MM  998.5  12.1    MM    MM   MM +1.6    MM
2023 09 27 16 00 150 16.5 18.5    MM    MM    MM  MM  997.0  13.0    MM    MM   MM -0.9    MM
2023 09 27 15 00 140 14.9 17.0    MM    MM    MM  MM  996.7  13.5    MM    MM   MM -1.1    MM
2023 09 27 14 00 130 13.9 17.0    MM    MM    MM  MM  996.9  13.9    MM    MM   MM -1.3    MM
2023 09 27 13 00 100  4.1  5.7    MM    MM    MM  MM  997.9  11.6    MM    MM   MM -0.4    MM
2023 09 27 12 00  20  8.2  8.8    MM    MM    MM  MM  997.8   9.3    MM    MM   MM -0.6    MM
2023 09 27 11 00  20  7.2  8.2    MM    MM    MM  MM  998.2   9.8    MM    MM   MM -0.3    MM
2023 09 27 10 00 360  6.2  7.7    MM    MM    MM  MM  998.3  10.9    MM    MM   MM -0.5    MM
2023 09 27 09 00  20  6.7  7.7    MM    MM    MM  MM  998.4   9.6    MM    MM   MM +0.0    MM
2023 09 27 08 00  10  7.7  8.2    MM    MM    MM  MM  998.5   9.1    MM    MM   MM +0.5    MM
2023 09 27 07 00  10  6.2  7.2    MM    MM    MM  MM  998.8   9.4    MM    MM   MM +1.1    MM
2023 09 27 06 00  10  7.7  8.2    MM    MM    MM  MM  998.4   9.2    MM    MM   MM +1.3    MM
2023 09 27 05 00  10  6.2  6.7    MM    MM    MM  MM  998.0   9.5    MM    MM   MM +1.3    MM
2023 09 27 04 00  10  5.1  5.7    MM    MM    MM  MM  997.7   9.3    MM    MM   MM +2.3    MM
2023 09 27 03 00  10  6.7  7.7    MM    MM    MM  MM  997.1   9.8    MM    MM   MM +1.9    MM
2023 09 27 02 00 350  6.7  7.7    MM    MM    MM  MM  996.7   9.4    MM    MM   MM +1.6    MM
2023 09 27 01 00  10  9.8 10.8    MM    MM    MM  MM  995.4   9.9    MM    MM   MM +1.4    MM
2023 09 27 00 00  10  6.7  8.2    MM    MM    MM  MM  995.2   9.5    MM    MM   MM +1.2    MM
2023 09 26 23 00 360  7.2  8.8    MM    MM    MM  MM  995.1  10.1    MM    MM   MM +1.9    MM
2023 09 26 22 00 360 11.3 11.8    MM    MM    MM  MM  994.0   9.5    MM    MM   MM +0.9    MM
2023 09 26 21 00 350  9.8 11.8    MM    MM    MM  MM  994.0   9.4    MM    MM   MM +1.2    MM
2023 09 26 20 00  10 11.8 13.4    MM    MM    MM  MM  993.2   9.2    MM    MM   MM +0.3    MM
2023 09 26 19 00 360  9.8 10.8    MM    MM    MM  MM  993.1   9.1    MM    MM   MM +0.4    MM
2023 09 26 18 00 360  9.8 10.3    MM    MM    MM  MM  992.8   9.6    MM    MM   MM +0.0    MM
2023 09 26 17 00  20  7.2  7.2    MM    MM    MM  MM  992.9   8.9    MM    MM   MM +0.3    MM
2023 09 26 16 00  40  4.6  5.1    MM    MM    MM  MM  992.7   8.6    MM    MM   MM +0.6    MM
2023 09 26 15 00  50  3.6  4.1    MM    MM    MM  MM  992.9   9.0    MM    MM   MM +1.4    MM
2023 09 26 14 00 360  5.7  5.7    MM    MM    MM  MM  992.6   9.8    MM    MM   MM +1.2    MM
2023 09 26 13 00  20  8.2  8.8    MM    MM    MM  MM  992.1  10.1    MM    MM   MM -0.0    MM
2023 09 26 12 00  10  8.8  9.8    MM    MM    MM  MM  991.5   9.6    MM    MM   MM -1.4    MM
2023 09 26 11 00  20 11.8 12.9    MM    MM    MM  MM  991.4   9.9    MM    MM   MM -2.5    MM
2023 09 26 10 00  10 10.8 11.8    MM    MM    MM  MM  992.1   9.6    MM    MM   MM -2.3    MM
2023 09 26 09 00  20  8.2  8.2    MM    MM    MM  MM  992.9  10.0    MM    MM   MM -1.8    MM
2023 09 26 08 00  30  4.1  4.1    MM    MM    MM  MM  993.9   9.5    MM    MM   MM -1.4    MM
2023 09 26 07 00  10  5.1  6.2    MM    MM    MM  MM  994.4   9.6    MM    MM   MM -0.5    MM
2023 09 26 06 00 340  6.7  7.7    MM    MM    MM  MM  994.7  10.1    MM    MM   MM +0.6    MM
2023 09 26 05 00  MM  0.0  1.0    MM    MM    MM  MM  995.3  11.4    MM    MM   MM -0.0    MM
2023 09 26 04 00  50  3.1  3.1    MM    MM    MM  MM  994.9   9.7    MM    MM   MM -0.0    MM
2023 09 26 03 00 360 10.3 10.8    MM    MM    MM  MM  994.1  10.5    MM    MM   MM -1.6    MM
2023 09 26 02 00 340  5.1  5.7    MM    MM    MM  MM  995.3  10.2    MM    MM   MM -0.5    MM
2023 09 26 01 00  10  7.2  7.7    MM    MM    MM  MM  995.1  10.0    MM    MM   MM -0.9    MM
2023 09 26 00 00  40  5.7  6.2    MM    MM    MM  MM  995.7   9.8    MM    MM   MM -0.5    MM
2023 09 25 23 00  30  7.2  8.8    MM    MM    MM  MM  995.8   9.5    MM    MM   MM -1.9    MM
2023 09 25 22 00  10  9.3 10.3    MM    MM    MM  MM  996.0   9.1    MM    MM   MM -1.4    MM
2023 09 25 21 00  10  9.8 10.3    MM    MM    MM  MM  996.2   8.8    MM    MM   MM -2.0    MM
2023 09 25 20 00  10  5.7  6.2    MM    MM    MM  MM  997.7   8.9    MM    MM   MM -1.4    MM
2023 09 25 19 00  10  8.2  9.3    MM    MM    MM  MM  997.4   8.8    MM    MM   MM -2.2    MM
2023 09 25 18 00  30  5.7  6.7    MM    MM    MM  MM  998.2   8.3    MM    MM   MM -1.0    MM
2023 09 25 17 00  10  4.1  4.1    MM    MM    MM  MM  999.1   8.6    MM    MM   MM +1.3    MM
2023 09 25 16 00  50  4.1  4.6    MM    MM    MM  MM  999.6   8.9    MM    MM   MM +1.9    MM
2023 09 25 15 00  10  4.6  5.1    MM    MM    MM  MM  999.2   9.1    MM    MM   MM +1.6    MM
2023 09 25 14 00  10  6.2  7.2    MM    MM    MM  MM  997.8   8.9    MM    MM   MM -1.0    MM
2023 09 25 13 00  20  7.7  9.3    MM    MM    MM  MM  997.7   8.5    MM    MM   MM +0.0    MM
2023 09 25 12 00 360 10.8 11.8    MM    MM    MM  MM  997.6   8.9    MM    MM   MM -2.2    MM
2023 09 25 11 00  10  9.3 10.8    MM    MM    MM  MM  998.8   8.7    MM    MM   MM -2.2    MM
2023 09 25 10 00 360 13.9 16.0    MM    MM    MM  MM  997.7   8.6    MM    MM   MM -4.2    MM
2023 09 25 09 00  10 11.8 12.9    MM    MM    MM  MM  999.8   8.8    MM    MM   MM -2.6    MM
2023 09 25 08 00  10 10.8 12.4    MM    MM    MM  MM 1001.0   8.6    MM    MM   MM -2.6    MM
2023 09 25 07 00  10 10.8 11.8    MM    MM    MM  MM 1001.9   8.4    MM    MM   MM -2.3    MM
2023 09 25 06 00 360 11.8 12.9    MM    MM    MM  MM 1002.4   8.4    MM    MM   MM -2.4    MM
2023 09 25 05 00  10 10.3 11.3    MM    MM    MM  MM 1003.6   8.5    MM    MM   MM -1.6    MM
2023 09 25 04 00  20  9.8 10.8    MM    MM    MM  MM 1004.2   8.3    MM    MM   MM -1.5    MM
2023 09 25 03 00  10  8.2  8.8    MM    MM    MM  MM 1004.8   8.3    MM    MM   MM -0.9    MM
2023 09 25 02 00  20  8.2  8.8    MM    MM    MM  MM 1005.2   8.4    MM    MM   MM -0.9    MM
2023 09 25 01 00  10  7.2  7.7    MM    MM    MM  MM 1005.7   8.5    MM    MM   MM +0.0    MM
2023 09 25 00 00  10  8.2  9.8    MM    MM    MM  MM 1005.7   8.3    MM    MM   MM -0.4    MM
2023 09 24 23 00  10  6.2  8.8    MM    MM    MM  MM 1006.1   8.2    MM    MM   MM -0.0    MM
2023 09 24 22 00  10  8.2  9.3    MM    MM    MM  MM 1005.8   8.4    MM    MM   MM -0.7    MM
2023 09 24 21 00  10  7.2  7.7    MM    MM    MM  MM 1006.1   8.1    MM    MM   MM +0.0    MM
2023 09 24 20 00 360  8.2  9.3    MM    MM    MM  MM 1006.2   8.2    MM    MM   MM +0.0    MM
2023 09 24 19 00  10  5.1  5.7    MM    MM    MM  MM 1006.5   8.4    MM    MM   MM +0.7    MM
2023 09 24 18 00 360  4.6  5.1    MM    MM    MM  MM 1006.3   8.1    MM    MM   MM +0.6    MM
2023 09 24 17 00  20  4.6  5.1    MM    MM    MM  MM 1006.3   7.9    MM    MM   MM +0.6    MM
2023 09 24 16 00  20  5.1  5.1    MM    MM    MM  MM 1005.8   7.9    MM    MM   MM -0.3    MM
2023 09 24 15 00  20  5.7  5.7    MM    MM    MM  MM 1005.7   7.9    MM    MM   MM -0.8    MM
2023 09 24 14 00  20  6.7  7.7    MM    MM    MM  MM 1005.7   7.8    MM    MM   MM -0.8    MM
2023 09 24 13 00  50  3.6  4.6    MM    MM    MM  MM 1006.1   7.9    MM    MM   MM -0.7    MM
2023 09 24 12 00  20  2.1  2.6    MM    MM    MM  MM 1006.5   8.1    MM    MM   MM +0.0    MM
2023 09 24 11 00  10  0.5  1.0    MM    MM    MM  MM 1006.5   7.8    MM    MM   MM +0.0    MM
2023 09 24 10 00 300  3.6  3.6    MM    MM    MM  MM 1006.8   7.9    MM    MM   MM +0.6    MM
2023 09 24 09 00 330  1.5  2.1    MM    MM    MM  MM 1006.6   7.7    MM    MM   MM +0.7    MM
2023 09 24 08 00  MM  0.0  0.0    MM    MM    MM  MM 1006.4   7.7    MM    MM   MM +0.8    MM
2023 09 24 07 00 180  0.5  1.0    MM    MM    MM  MM 1006.2   7.7    MM    MM   MM +0.6    MM
2023 09 24 06 00  90  1.0  1.0    MM    MM    MM  MM 1005.9   8.0    MM    MM   MM +0.3    MM
2023 09 24 05 00  20  2.6  2.6    MM    MM    MM  MM 1005.6   8.1    MM    MM   MM +0.0    MM
2023 09 24 04 00  30  1.5  1.5    MM    MM    MM  MM 1005.6   8.0    MM    MM   MM +0.0    MM
2023 09 24 03 00 350  1.5  1.5    MM    MM    MM  MM 1005.6   8.2    MM    MM   MM -0.3    MM
2023 09 24 02 00  20  2.1  2.6    MM    MM    MM  MM 1005.6   8.2    MM    MM   MM -0.4    MM
2023 09 24 01 00  10  3.6  3.6    MM    MM    MM  MM 1005.6   8.0    MM    MM   MM -0.5    MM
2023 09 24 00 00  10  3.1  3.1    MM    MM    MM  MM 1005.9   8.0    MM    MM   MM -0.5    MM
2023 09 23 23 00  10  3.1  3.6    MM    MM    MM  MM 1006.0   8.0    MM    MM   MM -0.6    MM
2023 09 23 22 00  20  2.6  2.6    MM    MM    MM  MM 1006.1   7.9    MM    MM   MM -0.7    MM
2023 09 23 21 00  10  2.1  2.6    MM    MM    MM  MM 1006.4   7.9    MM    MM   MM -0.4    MM
2023 09 23 20 00  30  2.6  3.1    MM    MM    MM  MM 1006.6   7.9    MM    MM   MM -0.3    MM
2023 09 23 19 00  50  2.6  3.1    MM    MM    MM  MM 1006.8   7.6    MM    MM   MM +0.0    MM
2023 09 23 18 00  40  3.6  4.1    MM    MM    MM  MM 1006.8   7.6    MM    MM   MM +0.0    MM
2023 09 23 17 00  10  1.5  2.1    MM    MM    MM  MM 1006.9   7.4    MM    MM   MM +0.0    MM
2023 09 23 16 00  90  1.5  1.5    MM    MM    MM  MM 1007.0   7.5    MM    MM   MM -0.3    MM
2023 09 23 15 00  MM  0.0  0.0    MM    MM    MM  MM 1007.0   7.9    MM    MM   MM -0.5    MM
2023 09 23 14 00  70  1.5  2.1    MM    MM    MM  MM 1007.1   8.4    MM    MM   MM -0.5    MM
2023 09 23 13 00  90  2.6  3.6    MM    MM    MM  MM 1007.3   8.3    MM    MM   MM -0.8    MM
2023 09 23 12 00  80  3.1  3.6    MM    MM    MM  MM 1007.5   8.7    MM    MM   MM -0.6    MM
2023 09 23 11 00  90  5.1  5.7    MM    MM    MM  MM 1007.6   8.7    MM    MM   MM -0.3    MM
2023 09 23 10 00 130  2.6  3.1    MM    MM    MM  MM 1008.1   8.3    MM    MM   MM +0.5    MM
2023 09 23 09 00 150  5.1  5.7    MM    MM    MM  MM 1008.1   8.8    MM    MM   MM -0.0    MM
2023 09 23 08 00 150  5.7  6.7    MM    MM    MM  MM 1007.9   9.0    MM    MM   MM -0.3    MM
2023 09 23 07 00 150  8.8  9.8    MM    MM    MM  MM 1007.6   9.3    MM    MM   MM -0.9    MM
2023 09 23 06 00 150  6.7  8.2    MM    MM    MM  MM 1008.2   9.3    MM    MM   MM +0.0    MM
2023 09 23 05 00 150  6.7  7.7    MM    MM    MM  MM 1008.2   9.5    MM    MM   MM +0.7    MM
2023 09 23 04 00 170  5.1  6.7    MM    MM    MM  MM 1008.5   9.4    MM    MM   MM +1.1    MM
2023 09 23 03 00 170  4.1  6.7    MM    MM    MM  MM 1008.3   9.5    MM    MM   MM +0.9    MM
