#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 18 250  5.7  7.7    MM    MM    MM  MM 1012.7  18.0  18.9    MM   MM   MM    MM
2023 09 28 21 12 240  5.7  7.7    MM    MM    MM  MM 1012.7  17.8  18.9    MM   MM   MM    MM
2023 09 28 21 06 240  5.1  9.3    MM    MM    MM  MM 1012.7  17.5  18.9    MM   MM   MM    MM
2023 09 28 21 00 250  5.1  7.7    MM    MM    MM  MM 1012.9  17.6  18.9    MM   MM -1.6    MM
2023 09 28 20 54 240  4.1  7.2    MM    MM    MM  MM 1012.9  17.7  18.9    MM   MM   MM    MM
2023 09 28 20 48 230  4.6  7.7    MM    MM    MM  MM 1012.9  17.5  18.9    MM   MM   MM    MM
2023 09 28 20 42 240  4.6  7.7    MM    MM    MM  MM 1013.2  17.4  18.9    MM   MM   MM    MM
2023 09 28 20 36 230  4.1  7.2    MM    MM    MM  MM 1013.1  17.8  18.8    MM   MM   MM    MM
2023 09 28 20 30 230  4.6  6.7    MM    MM    MM  MM 1013.1  17.6  18.7    MM   MM   MM    MM
2023 09 28 20 24 230  5.1  7.7    MM    MM    MM  MM 1013.2  17.5  18.8    MM   MM   MM    MM
2023 09 28 20 18 220  4.1  6.7    MM    MM    MM  MM 1013.2  17.5  18.8    MM   MM   MM    MM
2023 09 28 20 12 240  4.6  7.7    MM    MM    MM  MM 1013.4  17.2  18.8    MM   MM   MM    MM
2023 09 28 20 06 230  3.6  7.2    MM    MM    MM  MM 1013.5  17.4  18.8    MM   MM   MM    MM
2023 09 28 20 00 240  4.1  6.7    MM    MM    MM  MM 1013.6  17.3  18.8    MM   MM -1.0    MM
2023 09 28 19 54 220  3.1  5.7    MM    MM    MM  MM 1013.6  17.4  18.8    MM   MM   MM    MM
2023 09 28 19 48 230  4.1  6.2    MM    MM    MM  MM 1013.7  17.2  18.7    MM   MM   MM    MM
2023 09 28 19 42 240  3.1  6.2    MM    MM    MM  MM 1013.8  17.3  18.7    MM   MM   MM    MM
2023 09 28 19 36 230  4.1  6.2    MM    MM    MM  MM 1013.8  17.1  18.7    MM   MM   MM    MM
2023 09 28 19 30 250  3.1  5.7    MM    MM    MM  MM 1014.0  17.1  18.7    MM   MM   MM    MM
2023 09 28 19 24 250  3.6  6.7    MM    MM    MM  MM 1014.2  16.8  18.7    MM   MM   MM    MM
2023 09 28 19 18 250  4.1  6.7    MM    MM    MM  MM 1014.2  16.7  18.7    MM   MM   MM    MM
2023 09 28 19 12 260  3.6  7.7    MM    MM    MM  MM 1014.3  16.6  18.7    MM   MM   MM    MM
2023 09 28 19 06 250  5.1  6.7    MM    MM    MM  MM 1014.2  16.7  18.7    MM   MM   MM    MM
2023 09 28 19 00 250  4.1  5.7    MM    MM    MM  MM 1014.2  16.7  18.8    MM   MM -0.3    MM
2023 09 28 18 54 250  4.1  7.2    MM    MM    MM  MM 1014.2  16.5  18.8    MM   MM   MM    MM
2023 09 28 18 48 240  4.6  6.7    MM    MM    MM  MM 1014.2  16.4  18.8    MM   MM   MM    MM
2023 09 28 18 42 240  3.6  7.2    MM    MM    MM  MM 1014.3  16.5  18.8    MM   MM   MM    MM
2023 09 28 18 36 250  5.1  7.2    MM    MM    MM  MM 1014.3  16.4  18.8    MM   MM   MM    MM
2023 09 28 18 30 240  4.1  6.7    MM    MM    MM  MM 1014.3  16.6  18.8    MM   MM   MM    MM
2023 09 28 18 24 250  4.6  6.2    MM    MM    MM  MM 1014.3  16.8  18.9    MM   MM   MM    MM
2023 09 28 18 18 250  4.1  5.7    MM    MM    MM  MM 1014.4  17.0  18.9    MM   MM   MM    MM
2023 09 28 18 12 250  3.6  5.7    MM    MM    MM  MM 1014.4  16.9  18.9    MM   MM   MM    MM
2023 09 28 18 06 250  3.6  4.6    MM    MM    MM  MM 1014.4  17.0  18.9    MM   MM   MM    MM
2023 09 28 18 00 240  2.6  5.7    MM    MM    MM  MM 1014.5  16.9  18.9    MM   MM +0.0    MM
2023 09 28 17 54 250  3.1  4.6    MM    MM    MM  MM 1014.4  16.9  18.9    MM   MM   MM    MM
2023 09 28 17 48 250  3.1  5.7    MM    MM    MM  MM 1014.4  16.9  18.9    MM   MM   MM    MM
2023 09 28 17 42 250  3.1  5.1    MM    MM    MM  MM 1014.4  16.9  18.9    MM   MM   MM    MM
2023 09 28 17 36 270  2.6  3.6    MM    MM    MM  MM 1014.4  17.0  18.9    MM   MM   MM    MM
2023 09 28 17 30 270  2.6  3.1    MM    MM    MM  MM 1014.5  17.2  18.9    MM   MM   MM    MM
2023 09 28 17 24 310  2.1  2.6    MM    MM    MM  MM 1014.5  17.0  19.0    MM   MM   MM    MM
2023 09 28 17 18 300  1.5  2.1    MM    MM    MM  MM 1014.5  17.0  19.0    MM   MM   MM    MM
2023 09 28 17 12 280  1.5  2.6    MM    MM    MM  MM 1014.5  17.0  19.0    MM   MM   MM    MM
2023 09 28 17 06 260  2.1  3.1    MM    MM    MM  MM 1014.5  16.9  19.0    MM   MM   MM    MM
2023 09 28 17 00 260  2.6  3.1    MM    MM    MM  MM 1014.6  16.6  18.9    MM   MM +0.4    MM
2023 09 28 16 54 270  2.6  3.6    MM    MM    MM  MM 1014.5  16.5  18.9    MM   MM   MM    MM
2023 09 28 16 48 280  2.6  3.1    MM    MM    MM  MM 1014.5  16.6  19.0    MM   MM   MM    MM
2023 09 28 16 42 270  2.1  2.6    MM    MM    MM  MM 1014.5  16.7  19.1    MM   MM   MM    MM
2023 09 28 16 36 270  2.1  2.6    MM    MM    MM  MM 1014.5  16.7  19.2    MM   MM   MM    MM
2023 09 28 16 30 260  1.5  3.1    MM    MM    MM  MM 1014.5  16.7  19.3    MM   MM   MM    MM
2023 09 28 16 24 290  1.0  2.6    MM    MM    MM  MM 1014.4  16.9  19.3    MM   MM   MM    MM
2023 09 28 16 18 230  1.0  2.1    MM    MM    MM  MM 1014.4  16.7  19.3    MM   MM   MM    MM
2023 09 28 16 12 270  1.5  2.1    MM    MM    MM  MM 1014.4  16.4  19.3    MM   MM   MM    MM
2023 09 28 16 06 260  1.5  2.6    MM    MM    MM  MM 1014.5  16.2  19.2    MM   MM   MM    MM
2023 09 28 16 00 280  2.1  2.6    MM    MM    MM  MM 1014.5  15.9  19.2    MM   MM +0.4    MM
2023 09 28 15 54 280  2.6  3.1    MM    MM    MM  MM 1014.4  15.8  19.2    MM   MM   MM    MM
2023 09 28 15 48 270  2.1  2.6    MM    MM    MM  MM 1014.3  15.9  19.2    MM   MM   MM    MM
2023 09 28 15 42 270  1.5  2.6    MM    MM    MM  MM 1014.3  15.9  19.2    MM   MM   MM    MM
