#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 37  20  2.1  3.1    MM    MM    MM  MM     MM  10.6    MM   7.0   MM   MM    MM
2023 09 28 21 27  30  1.5  2.6    MM    MM    MM  MM     MM  10.7    MM   6.9   MM   MM    MM
2023 09 28 21 07  30  2.1  3.1    MM    MM    MM  MM     MM  10.4    MM   7.1   MM   MM    MM
2023 09 28 20 57  30  1.5  2.6    MM    MM    MM  MM     MM  10.6    MM   7.2   MM   MM    MM
2023 09 28 20 47  40  1.5  3.1    MM    MM    MM  MM     MM  10.6    MM   7.2   MM   MM    MM
2023 09 28 20 37  70  1.5  2.1    MM    MM    MM  MM     MM  10.9    MM   7.2   MM   MM    MM
2023 09 28 20 27 110  0.5  2.1    MM    MM    MM  MM     MM  11.2    MM   7.6   MM   MM    MM
2023 09 28 20 18 180  0.5  1.5    MM    MM    MM  MM     MM  10.8    MM   7.5   MM   MM    MM
2023 09 28 20 07 170  1.0  1.0    MM    MM    MM  MM     MM  10.4    MM   7.1   MM   MM    MM
2023 09 28 19 57 200  1.0  2.1    MM    MM    MM  MM     MM  10.3    MM   7.1   MM   MM    MM
2023 09 28 19 47 180  1.5  3.1    MM    MM    MM  MM     MM  10.1    MM   6.9   MM   MM    MM
2023 09 28 19 37 170  2.1  3.1    MM    MM    MM  MM     MM  10.0    MM   6.8   MM   MM    MM
2023 09 28 19 27 160  2.6  4.1    MM    MM    MM  MM     MM  10.1    MM   6.7   MM   MM    MM
2023 09 28 19 17 160  2.1  3.1    MM    MM    MM  MM     MM  10.0    MM   6.8   MM   MM    MM
2023 09 28 19 06 170  1.5  1.5    MM    MM    MM  MM     MM   9.9    MM   6.8   MM   MM    MM
2023 09 28 18 58 160  1.0  1.5    MM    MM    MM  MM     MM   9.8    MM   6.8   MM   MM    MM
2023 09 28 18 47 160  1.0  1.0    MM    MM    MM  MM     MM   9.8    MM   6.9   MM   MM    MM
2023 09 28 18 37 150  1.5  2.6    MM    MM    MM  MM     MM   9.8    MM   6.7   MM   MM    MM
2023 09 28 18 27 160  2.1  3.1    MM    MM    MM  MM     MM   9.7    MM   6.5   MM   MM    MM
2023 09 28 18 17 170  1.5  3.1    MM    MM    MM  MM     MM   9.6    MM   6.8   MM   MM    MM
2023 09 28 18 07 160  2.1  3.1    MM    MM    MM  MM     MM   9.6    MM   6.7   MM   MM    MM
2023 09 28 17 56 160  2.6  3.6    MM    MM    MM  MM     MM   9.4    MM   6.7   MM   MM    MM
2023 09 28 17 47 170  2.6  3.6    MM    MM    MM  MM     MM   9.4    MM   6.8   MM   MM    MM
2023 09 28 17 37 190  2.1  3.1    MM    MM    MM  MM     MM   9.4    MM   6.8   MM   MM    MM
2023 09 28 17 27 190  2.1  3.6    MM    MM    MM  MM     MM   9.4    MM   6.8   MM   MM    MM
2023 09 28 17 17 180  2.6  4.1    MM    MM    MM  MM     MM   9.4    MM   6.8   MM   MM    MM
2023 09 28 17 07 180  2.6  3.6    MM    MM    MM  MM     MM   9.4    MM   6.8   MM   MM    MM
2023 09 28 16 57 180  2.6  4.1    MM    MM    MM  MM     MM   9.4    MM   6.7   MM   MM    MM
2023 09 28 16 47 180  2.6  3.6    MM    MM    MM  MM     MM   9.5    MM   6.6   MM   MM    MM
2023 09 28 16 37 170  3.1  5.1    MM    MM    MM  MM     MM   9.6    MM   6.4   MM   MM    MM
2023 09 28 16 27 160  3.6  5.1    MM    MM    MM  MM     MM   9.6    MM   6.3   MM   MM    MM
2023 09 28 16 17 160  4.1  5.7    MM    MM    MM  MM     MM   9.5    MM   6.3   MM   MM    MM
2023 09 28 16 07 160  4.1  5.7    MM    MM    MM  MM     MM   9.5    MM   6.4   MM   MM    MM
2023 09 28 15 57 160  4.1  5.7    MM    MM    MM  MM     MM   9.4    MM   6.4   MM   MM    MM
2023 09 28 15 47 160  4.1  5.1    MM    MM    MM  MM     MM   9.4    MM   6.4   MM   MM    MM
2023 09 28 15 36 160  3.6  5.7    MM    MM    MM  MM     MM   9.3    MM   6.4   MM   MM    MM
2023 09 28 15 27 160  3.6  5.1    MM    MM    MM  MM     MM   9.3    MM   6.4   MM   MM    MM
2023 09 28 15 17 160  4.1  6.2    MM    MM    MM  MM     MM   9.3    MM   6.6   MM   MM    MM
2023 09 28 15 07 160  3.6  5.1    MM    MM    MM  MM     MM   9.3    MM   6.6   MM   MM    MM
2023 09 28 14 57 160  3.6  5.1    MM    MM    MM  MM     MM   9.3    MM   6.6   MM   MM    MM
2023 09 28 14 47 170  3.6  5.1    MM    MM    MM  MM     MM   9.3    MM   6.5   MM   MM    MM
2023 09 28 14 37 180  2.6  4.6    MM    MM    MM  MM     MM   9.1    MM   6.5   MM   MM    MM
2023 09 28 14 27 180  2.1  3.1    MM    MM    MM  MM     MM   9.2    MM   6.5   MM   MM    MM
2023 09 28 14 17 170  2.1  3.1    MM    MM    MM  MM     MM   9.1    MM   6.5   MM   MM    MM
2023 09 28 14 06 160  2.6  3.6    MM    MM    MM  MM     MM   9.2    MM   6.5   MM   MM    MM
2023 09 28 13 57 160  3.6  5.7    MM    MM    MM  MM     MM   9.3    MM   6.5   MM   MM    MM
2023 09 28 13 47 150  4.6  7.2    MM    MM    MM  MM     MM   9.3    MM   6.5   MM   MM    MM
2023 09 28 13 37 150  4.6  6.2    MM    MM    MM  MM     MM   9.1    MM   6.5   MM   MM    MM
2023 09 28 13 27 150  4.6  6.7    MM    MM    MM  MM     MM   9.2    MM   6.6   MM   MM    MM
2023 09 28 13 17 150  5.1  7.7    MM    MM    MM  MM     MM   9.2    MM   6.7   MM   MM    MM
2023 09 28 13 07 160  5.1  6.7    MM    MM    MM  MM     MM   9.2    MM   6.8   MM   MM    MM
2023 09 28 12 57 160  5.1  7.2    MM    MM    MM  MM     MM   9.2    MM   6.8   MM   MM    MM
2023 09 28 12 46 160  5.1  7.2    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 12 37 160  4.6  6.7    MM    MM    MM  MM     MM   9.0    MM   7.0   MM   MM    MM
2023 09 28 12 27 160  4.1  6.2    MM    MM    MM  MM     MM   9.0    MM   7.0   MM   MM    MM
2023 09 28 12 17 160  4.6  6.2    MM    MM    MM  MM     MM   9.1    MM   7.0   MM   MM    MM
2023 09 28 12 06 170  3.6  5.7    MM    MM    MM  MM     MM   9.2    MM   6.9   MM   MM    MM
2023 09 28 11 57 190  3.1  5.7    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 11 47 190  3.1  5.1    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 11 36 190  3.1  6.7    MM    MM    MM  MM     MM   9.1    MM   7.0   MM   MM    MM
2023 09 28 11 27 200  2.6  4.6    MM    MM    MM  MM     MM   9.0    MM   7.0   MM   MM    MM
2023 09 28 11 16 200  3.1  6.7    MM    MM    MM  MM     MM   9.0    MM   7.0   MM   MM    MM
2023 09 28 11 07 210  3.1  6.2    MM    MM    MM  MM     MM   9.1    MM   7.0   MM   MM    MM
