#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 43 270  4.6  5.7    MM    MM    MM  MM     MM  10.4    MM   7.5   MM   MM    MM
2023 09 28 21 34 270  3.6  5.1    MM    MM    MM  MM     MM  10.5    MM   7.6   MM   MM    MM
2023 09 28 21 23 280  3.1  4.6    MM    MM    MM  MM     MM  10.5    MM   7.6   MM   MM    MM
2023 09 28 21 13 280  2.6  3.6    MM    MM    MM  MM     MM  10.5    MM   7.6   MM   MM    MM
2023 09 28 21 03 290  2.6  4.1    MM    MM    MM  MM     MM  10.5    MM   7.5   MM   MM    MM
2023 09 28 20 53 280  2.6  4.1    MM    MM    MM  MM     MM  10.6    MM   7.4   MM   MM    MM
2023 09 28 20 43 280  2.6  4.1    MM    MM    MM  MM     MM  10.5    MM   7.3   MM   MM    MM
2023 09 28 20 33 280  2.6  4.1    MM    MM    MM  MM     MM  10.3    MM   7.3   MM   MM    MM
2023 09 28 20 23 280  3.6  5.1    MM    MM    MM  MM     MM  10.1    MM   7.2   MM   MM    MM
2023 09 28 20 13 280  3.1  4.6    MM    MM    MM  MM     MM  10.0    MM   7.1   MM   MM    MM
2023 09 28 20 03 270  4.1  5.1    MM    MM    MM  MM     MM   9.9    MM   7.2   MM   MM    MM
2023 09 28 19 53 270  4.1  5.1    MM    MM    MM  MM     MM   9.9    MM   7.1   MM   MM    MM
2023 09 28 19 43 270  2.6  3.6    MM    MM    MM  MM     MM  10.1    MM   7.0   MM   MM    MM
2023 09 28 19 33 270  1.5  3.1    MM    MM    MM  MM     MM  10.4    MM   6.9   MM   MM    MM
2023 09 28 19 23 260  2.1  3.1    MM    MM    MM  MM     MM  10.4    MM   6.8   MM   MM    MM
2023 09 28 19 13 260  1.5  2.6    MM    MM    MM  MM     MM  11.3    MM   7.1   MM   MM    MM
2023 09 28 19 03 230  0.5  2.1    MM    MM    MM  MM     MM  12.3    MM   7.6   MM   MM    MM
2023 09 28 18 53 180  0.5  1.5    MM    MM    MM  MM     MM  12.0    MM   7.5   MM   MM    MM
2023 09 28 18 43 270  0.5  1.0    MM    MM    MM  MM     MM  11.7    MM   7.2   MM   MM    MM
2023 09 28 18 33  MM  0.0  1.0    MM    MM    MM  MM     MM  11.7    MM   7.1   MM   MM    MM
2023 09 28 18 23  10  0.5  1.0    MM    MM    MM  MM     MM  11.9    MM   7.1   MM   MM    MM
2023 09 28 18 13  10  0.5  1.0    MM    MM    MM  MM     MM  11.8    MM   7.3   MM   MM    MM
2023 09 28 18 03 360  0.5  1.0    MM    MM    MM  MM     MM  11.6    MM   7.3   MM   MM    MM
2023 09 28 17 53  10  0.5  2.1    MM    MM    MM  MM     MM  11.2    MM   7.2   MM   MM    MM
2023 09 28 17 43 360  0.5  2.1    MM    MM    MM  MM     MM  11.0    MM   7.1   MM   MM    MM
2023 09 28 17 33  10  0.5  2.6    MM    MM    MM  MM     MM  11.0    MM   7.0   MM   MM    MM
2023 09 28 17 23  20  0.5  2.1    MM    MM    MM  MM     MM  11.2    MM   7.1   MM   MM    MM
2023 09 28 17 13  20  0.5  1.5    MM    MM    MM  MM     MM  11.2    MM   7.1   MM   MM    MM
2023 09 28 17 03  20  0.5  2.1    MM    MM    MM  MM     MM  10.9    MM   7.1   MM   MM    MM
2023 09 28 16 53  MM  0.0  1.5    MM    MM    MM  MM     MM  11.0    MM   7.0   MM   MM    MM
2023 09 28 16 44  50  0.5  1.0    MM    MM    MM  MM     MM  10.8    MM   7.1   MM   MM    MM
2023 09 28 16 33  50  0.5  1.0    MM    MM    MM  MM     MM  10.4    MM   6.9   MM   MM    MM
2023 09 28 16 23  50  0.5  1.0    MM    MM    MM  MM     MM  10.1    MM   6.7   MM   MM    MM
2023 09 28 16 13  50  0.5  1.5    MM    MM    MM  MM     MM   9.9    MM   6.7   MM   MM    MM
2023 09 28 16 03  60  0.5  2.1    MM    MM    MM  MM     MM   9.5    MM   6.7   MM   MM    MM
2023 09 28 15 53  60  1.0  2.6    MM    MM    MM  MM     MM   9.3    MM   6.6   MM   MM    MM
2023 09 28 15 43  MM  0.0  1.0    MM    MM    MM  MM     MM   9.0    MM   6.5   MM   MM    MM
2023 09 28 15 33  MM  0.0  1.0    MM    MM    MM  MM     MM   8.7    MM   6.4   MM   MM    MM
2023 09 28 15 23  MM  0.0  1.0    MM    MM    MM  MM     MM   8.7    MM   6.5   MM   MM    MM
2023 09 28 15 13  MM  0.0  1.0    MM    MM    MM  MM     MM   8.5    MM   6.3   MM   MM    MM
