#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 00  MM   MM   MM    MM    MM    MM  MM     MM  30.2    MM    MM   MM   MM -0.66
2023 09 28 20 00  MM   MM   MM    MM    MM    MM  MM     MM  30.2    MM    MM   MM   MM -0.65
2023 09 28 19 00  MM   MM   MM    MM    MM    MM  MM     MM  29.8    MM    MM   MM   MM -0.42
2023 09 28 18 00  MM   MM   MM    MM    MM    MM  MM     MM  29.5    MM    MM   MM   MM -0.14
2023 09 28 17 00  MM   MM   MM    MM    MM    MM  MM     MM  29.3    MM    MM   MM   MM  0.31
2023 09 28 16 00  MM   MM   MM    MM    MM    MM  MM     MM  29.3    MM    MM   MM   MM  0.62
2023 09 28 15 00  MM   MM   MM    MM    MM    MM  MM     MM  28.6    MM    MM   MM   MM  1.06
2023 09 28 14 00  MM   MM   MM    MM    MM    MM  MM     MM  27.9    MM    MM   MM   MM  1.06
2023 09 28 13 00  MM   MM   MM    MM    MM    MM  MM     MM  27.5    MM    MM   MM   MM  0.91
2023 09 28 12 00  MM   MM   MM    MM    MM    MM  MM     MM  27.0    MM    MM   MM   MM  0.60
2023 09 28 11 00  MM   MM   MM    MM    MM    MM  MM     MM  26.6    MM    MM   MM   MM  0.20
2023 09 28 10 00  MM   MM   MM    MM    MM    MM  MM     MM  26.0    MM    MM   MM   MM -0.14
2023 09 28 09 00  MM   MM   MM    MM    MM    MM  MM     MM  25.5    MM    MM   MM   MM -0.37
2023 09 28 08 00  MM   MM   MM    MM    MM    MM  MM     MM  26.1    MM    MM   MM   MM -0.66
2023 09 28 07 00  MM   MM   MM    MM    MM    MM  MM     MM  26.8    MM    MM   MM   MM -0.57
2023 09 28 06 00  MM   MM   MM    MM    MM    MM  MM     MM  27.0    MM    MM   MM   MM -0.48
2023 09 28 05 00  MM   MM   MM    MM    MM    MM  MM     MM  28.1    MM    MM   MM   MM -0.20
2023 09 28 04 00  MM   MM   MM    MM    MM    MM  MM     MM  28.5    MM    MM   MM   MM  0.12
2023 09 28 03 00  MM   MM   MM    MM    MM    MM  MM     MM  28.6    MM    MM   MM   MM  0.25
2023 09 28 02 00  MM   MM   MM    MM    MM    MM  MM     MM  28.7    MM    MM   MM   MM  0.23
2023 09 28 01 00  MM   MM   MM    MM    MM    MM  MM     MM  28.5    MM    MM   MM   MM  0.10
2023 09 28 00 00  MM   MM   MM    MM    MM    MM  MM     MM  28.6    MM    MM   MM   MM -0.08
2023 09 27 22 00  MM   MM   MM    MM    MM    MM  MM     MM  28.9    MM    MM   MM   MM -0.66
2023 09 27 21 00  MM   MM   MM    MM    MM    MM  MM     MM  29.2    MM    MM   MM   MM -0.87
2023 09 27 20 00  MM   MM   MM    MM    MM    MM  MM     MM  28.7    MM    MM   MM   MM -0.89
2023 09 27 19 00  MM   MM   MM    MM    MM    MM  MM     MM  28.5    MM    MM   MM   MM -0.89
2023 09 27 18 00  MM   MM   MM    MM    MM    MM  MM     MM  29.7    MM    MM   MM   MM -0.60
2023 09 27 17 00  MM   MM   MM    MM    MM    MM  MM     MM  29.6    MM    MM   MM   MM -0.21
2023 09 27 16 00  MM   MM   MM    MM    MM    MM  MM     MM  28.6    MM    MM   MM   MM  0.33
2023 09 27 15 00  MM   MM   MM    MM    MM    MM  MM     MM  28.5    MM    MM   MM   MM  0.76
2023 09 27 14 00  MM   MM   MM    MM    MM    MM  MM     MM  29.2    MM    MM   MM   MM  1.17
2023 09 27 13 00  MM   MM   MM    MM    MM    MM  MM     MM  29.0    MM    MM   MM   MM  1.00
2023 09 27 12 00  MM   MM   MM    MM    MM    MM  MM     MM  29.0    MM    MM   MM   MM  0.92
2023 09 27 11 00  MM   MM   MM    MM    MM    MM  MM     MM  29.0    MM    MM   MM   MM  0.69
2023 09 27 10 00  MM   MM   MM    MM    MM    MM  MM     MM  29.0    MM    MM   MM   MM  0.37
2023 09 27 09 00  MM   MM   MM    MM    MM    MM  MM     MM  28.9    MM    MM   MM   MM  0.08
