#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 38 140  2.6  3.1    MM    MM    MM  MM 1015.6   9.6    MM   8.0   MM   MM    MM
2023 09 28 21 28 140  2.6  3.6    MM    MM    MM  MM 1015.7   9.7    MM   7.9   MM   MM    MM
2023 09 28 21 18 130  2.6  3.6    MM    MM    MM  MM 1015.8   9.7    MM   7.9   MM   MM    MM
2023 09 28 21 08 130  2.1  3.6    MM    MM    MM  MM 1015.8   9.9    MM   8.1   MM   MM    MM
2023 09 28 20 58 120  2.1  3.1    MM    MM    MM  MM 1015.8   9.8    MM   7.7   MM   MM    MM
2023 09 28 20 48 120  2.6  4.1    MM    MM    MM  MM 1015.7   9.6    MM   7.5   MM   MM    MM
2023 09 28 20 38 120  2.6  3.6    MM    MM    MM  MM 1015.7   9.6    MM   7.4   MM   MM    MM
2023 09 28 20 28 120  2.6  3.1    MM    MM    MM  MM 1015.7   9.8    MM   7.7   MM   MM    MM
2023 09 28 20 19 120  2.1  3.1    MM    MM    MM  MM 1015.7   9.9    MM   7.6   MM   MM    MM
2023 09 28 20 08 120  2.6  3.1    MM    MM    MM  MM 1015.7   9.6    MM   7.8   MM   MM    MM
2023 09 28 19 58 130  2.1  3.6    MM    MM    MM  MM 1015.6   9.8    MM   7.9   MM   MM    MM
2023 09 28 19 48 140  3.1  3.6    MM    MM    MM  MM 1015.7   9.1    MM   7.6   MM   MM    MM
2023 09 28 19 38 140  2.6  3.6    MM    MM    MM  MM 1015.6   9.4    MM   7.8   MM   MM    MM
2023 09 28 19 28 140  2.6  3.6    MM    MM    MM  MM 1015.6   9.6    MM   7.9   MM   MM    MM
2023 09 28 19 18 140  2.6  3.6    MM    MM    MM  MM 1015.5   9.4    MM   7.8   MM   MM    MM
2023 09 28 19 07 130  2.6  4.1    MM    MM    MM  MM 1015.3   9.4    MM   8.0   MM   MM    MM
2023 09 28 18 59 130  2.6  4.1    MM    MM    MM  MM 1015.3   9.4    MM   8.1   MM   MM    MM
2023 09 28 18 48 130  3.1  4.6    MM    MM    MM  MM 1015.3   9.2    MM   8.0   MM   MM    MM
2023 09 28 18 38 130  3.1  4.6    MM    MM    MM  MM 1015.3   9.1    MM   7.9   MM   MM    MM
2023 09 28 18 28 130  3.1  4.6    MM    MM    MM  MM 1015.4   8.7    MM   7.7   MM   MM    MM
2023 09 28 18 18 130  3.1  4.1    MM    MM    MM  MM 1015.3   8.9    MM   7.7   MM   MM    MM
2023 09 28 18 08 140  3.6  4.1    MM    MM    MM  MM 1015.2   8.8    MM   7.7   MM   MM    MM
2023 09 28 17 57 130  3.1  4.6    MM    MM    MM  MM 1015.2   8.8    MM   7.8   MM   MM    MM
2023 09 28 17 49 130  3.1  4.1    MM    MM    MM  MM 1015.2   8.9    MM   8.0   MM   MM    MM
2023 09 28 17 38 130  2.6  4.1    MM    MM    MM  MM 1015.1   8.8    MM   7.8   MM   MM    MM
2023 09 28 17 29 130  2.6  4.1    MM    MM    MM  MM 1015.1   8.7    MM   7.7   MM   MM    MM
2023 09 28 17 18 140  3.1  4.1    MM    MM    MM  MM 1015.1   8.5    MM   7.5   MM   MM    MM
2023 09 28 17 08 140  3.1  4.1    MM    MM    MM  MM 1015.0   8.6    MM   7.5   MM   MM    MM
2023 09 28 16 58 130  2.6  4.1    MM    MM    MM  MM 1015.0   8.5    MM   7.6   MM   MM    MM
2023 09 28 16 48 130  2.6  4.1    MM    MM    MM  MM 1014.9   8.4    MM   7.5   MM   MM    MM
2023 09 28 16 38 120  2.1  2.6    MM    MM    MM  MM 1015.0   8.3    MM   7.5   MM   MM    MM
2023 09 28 16 28 130  2.6  4.1    MM    MM    MM  MM 1014.9   8.2    MM   7.4   MM   MM    MM
2023 09 28 16 18 130  3.1  5.1    MM    MM    MM  MM 1014.8   8.1    MM   7.4   MM   MM    MM
2023 09 28 16 08 160  4.1  5.7    MM    MM    MM  MM 1014.8   8.1    MM   7.5   MM   MM    MM
2023 09 28 15 58 160  3.1  4.6    MM    MM    MM  MM 1014.8   8.5    MM   7.4   MM   MM    MM
2023 09 28 15 48 130  1.0  2.6    MM    MM    MM  MM 1014.7   8.9    MM   7.0   MM   MM    MM
2023 09 28 15 37 150  1.0  2.6    MM    MM    MM  MM 1014.6   8.9    MM   7.0   MM   MM    MM
2023 09 28 15 28 140  1.5  3.6    MM    MM    MM  MM 1014.5   9.0    MM   6.8   MM   MM    MM
2023 09 28 15 18 130  2.1  4.1    MM    MM    MM  MM 1014.4   9.0    MM   6.8   MM   MM    MM
2023 09 28 15 08 120  1.5  3.1    MM    MM    MM  MM 1014.4   9.1    MM   6.7   MM   MM    MM
2023 09 28 14 58 120  2.1  4.6    MM    MM    MM  MM 1014.4   9.1    MM   6.7   MM   MM    MM
2023 09 28 14 48 120  2.6  6.7    MM    MM    MM  MM 1014.4   8.9    MM   6.8   MM   MM    MM
2023 09 28 14 38 130  3.6  6.2    MM    MM    MM  MM 1014.3   8.8    MM   7.1   MM   MM    MM
2023 09 28 14 28 130  3.6  7.2    MM    MM    MM  MM 1014.3   8.9    MM   7.0   MM   MM    MM
2023 09 28 14 18 130  4.6  7.2    MM    MM    MM  MM 1014.3   8.9    MM   7.2   MM   MM    MM
2023 09 28 14 07 130  4.1  7.2    MM    MM    MM  MM 1014.2   9.0    MM   7.1   MM   MM    MM
2023 09 28 13 58 130  3.6  6.7    MM    MM    MM  MM 1014.1   9.1    MM   7.0   MM   MM    MM
2023 09 28 13 48 130  3.6  7.7    MM    MM    MM  MM 1013.9   9.3    MM   6.9   MM   MM    MM
2023 09 28 13 38 130  4.1  7.2    MM    MM    MM  MM 1013.8   9.5    MM   6.6   MM   MM    MM
2023 09 28 13 28 130  4.6  8.2    MM    MM    MM  MM 1013.7   9.8    MM   6.5   MM   MM    MM
2023 09 28 13 18 130  4.6  7.7    MM    MM    MM  MM 1013.7   9.9    MM   6.4   MM   MM    MM
2023 09 28 13 08 130  5.7  9.3    MM    MM    MM  MM 1013.6  10.0    MM   6.3   MM   MM    MM
2023 09 28 12 58 120  4.6  8.8    MM    MM    MM  MM 1013.5  10.1    MM   6.0   MM   MM    MM
2023 09 28 12 47 120  4.6  8.8    MM    MM    MM  MM 1013.4  10.2    MM   5.9   MM   MM    MM
2023 09 28 12 38 120  5.1  8.8    MM    MM    MM  MM 1013.4  10.2    MM   5.8   MM   MM    MM
2023 09 28 12 28 120  4.1  7.7    MM    MM    MM  MM 1013.5  10.3    MM   5.7   MM   MM    MM
2023 09 28 12 18 120  4.1  7.7    MM    MM    MM  MM 1013.5  10.3    MM   5.9   MM   MM    MM
2023 09 28 12 07 120  3.6  6.7    MM    MM    MM  MM 1013.4  10.2    MM   6.1   MM   MM    MM
2023 09 28 11 58 120  3.1  6.7    MM    MM    MM  MM 1013.4  10.2    MM   6.2   MM   MM    MM
2023 09 28 11 48 110  3.1  7.7    MM    MM    MM  MM 1013.3  10.3    MM   6.3   MM   MM    MM
2023 09 28 11 37 120  3.1  6.7    MM    MM    MM  MM 1013.2  10.3    MM   6.3   MM   MM    MM
2023 09 28 11 28 120  3.1  6.2    MM    MM    MM  MM 1013.1  10.3    MM   6.3   MM   MM    MM
2023 09 28 11 17 120  3.1  6.2    MM    MM    MM  MM 1013.1  10.4    MM   6.2   MM   MM    MM
2023 09 28 11 08 120  3.6  6.7    MM    MM    MM  MM 1013.0  10.4    MM   6.1   MM   MM    MM
2023 09 28 10 58 120  3.6  6.7    MM    MM    MM  MM 1012.9  10.4    MM   6.2   MM   MM    MM
2023 09 28 10 47 120  4.1  8.2    MM    MM    MM  MM 1012.8  10.4    MM   6.3   MM   MM    MM
2023 09 28 10 38 120  4.1  8.2    MM    MM    MM  MM 1012.7  10.5    MM   6.2   MM   MM    MM
2023 09 28 10 28 120  4.6  9.3    MM    MM    MM  MM 1012.6  10.4    MM   6.2   MM   MM    MM
2023 09 28 10 18 120  4.6  8.8    MM    MM    MM  MM 1012.6  10.4    MM   6.3   MM   MM    MM
2023 09 28 10 07 120  5.1  9.8    MM    MM    MM  MM 1012.5  10.2    MM   6.6   MM   MM    MM
2023 09 28 09 58 120  5.7  9.3    MM    MM    MM  MM 1012.4  10.0    MM   6.9   MM   MM    MM
2023 09 28 09 48 130  5.7  9.8    MM    MM    MM  MM 1012.4  10.0    MM   7.0   MM   MM    MM
2023 09 28 09 38 130  6.7 10.8    MM    MM    MM  MM 1012.3  10.0    MM   7.0   MM   MM    MM
2023 09 28 09 28 120  6.2 10.3    MM    MM    MM  MM 1012.2  10.1    MM   7.0   MM   MM    MM
2023 09 28 09 18 120  6.7 11.8    MM    MM    MM  MM 1012.1  10.1    MM   7.0   MM   MM    MM
2023 09 28 09 08 120  5.7  9.3    MM    MM    MM  MM 1012.0  10.0    MM   6.9   MM   MM    MM
2023 09 28 08 57 120  5.7 10.8    MM    MM    MM  MM 1011.9  10.2    MM   6.9   MM   MM    MM
2023 09 28 08 48 120  6.7 11.8    MM    MM    MM  MM 1011.8  10.2    MM   6.9   MM   MM    MM
2023 09 28 08 37 120  6.7 12.4    MM    MM    MM  MM 1011.6  10.2    MM   6.9   MM   MM    MM
2023 09 28 08 19 120  6.7 11.3    MM    MM    MM  MM 1011.5  10.1    MM   7.0   MM   MM    MM
2023 09 28 08 08 120  7.7 12.9    MM    MM    MM  MM 1011.3  10.0    MM   7.1   MM   MM    MM
