#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 44  90  1.5  3.1    MM    MM    MM  MM     MM  10.5    MM   7.6   MM   MM    MM
2023 09 28 21 34  90  1.0  2.6    MM    MM    MM  MM     MM  10.5    MM   7.8   MM   MM    MM
2023 09 28 21 24  70  1.5  3.1    MM    MM    MM  MM     MM  10.4    MM   7.7   MM   MM    MM
2023 09 28 21 13  90  1.0  2.6    MM    MM    MM  MM     MM  10.4    MM   7.8   MM   MM    MM
2023 09 28 21 04 100  1.5  3.1    MM    MM    MM  MM     MM  10.2    MM   7.6   MM   MM    MM
2023 09 28 20 54  90  1.0  2.1    MM    MM    MM  MM     MM  10.1    MM   7.8   MM   MM    MM
2023 09 28 20 44  70  1.5  3.1    MM    MM    MM  MM     MM   9.9    MM   7.6   MM   MM    MM
2023 09 28 20 34  80  1.0  2.6    MM    MM    MM  MM     MM   9.9    MM   7.7   MM   MM    MM
2023 09 28 20 24  80  1.0  2.1    MM    MM    MM  MM     MM   9.8    MM   7.7   MM   MM    MM
2023 09 28 20 14  70  1.0  2.6    MM    MM    MM  MM     MM   9.8    MM   7.7   MM   MM    MM
2023 09 28 20 04  80  1.0  2.1    MM    MM    MM  MM     MM   9.7    MM   7.6   MM   MM    MM
2023 09 28 19 54 100  1.5  2.6    MM    MM    MM  MM     MM   9.7    MM   7.5   MM   MM    MM
2023 09 28 19 44 110  1.0  2.1    MM    MM    MM  MM     MM   9.8    MM   7.7   MM   MM    MM
2023 09 28 19 34  90  1.5  3.1    MM    MM    MM  MM     MM   9.7    MM   7.6   MM   MM    MM
2023 09 28 19 23  80  1.5  2.6    MM    MM    MM  MM     MM   9.7    MM   7.6   MM   MM    MM
2023 09 28 19 14 100  1.5  2.6    MM    MM    MM  MM     MM   9.6    MM   7.6   MM   MM    MM
2023 09 28 19 03  90  1.0  2.6    MM    MM    MM  MM     MM   9.5    MM   7.6   MM   MM    MM
2023 09 28 18 54  80  1.0  2.6    MM    MM    MM  MM     MM   9.4    MM   7.5   MM   MM    MM
2023 09 28 18 43  80  1.0  2.6    MM    MM    MM  MM     MM   9.3    MM   7.4   MM   MM    MM
2023 09 28 18 34  80  1.5  3.1    MM    MM    MM  MM     MM   9.3    MM   7.4   MM   MM    MM
2023 09 28 18 24  90  1.5  4.1    MM    MM    MM  MM     MM   9.3    MM   7.4   MM   MM    MM
2023 09 28 18 14  90  1.5  3.1    MM    MM    MM  MM     MM   9.3    MM   7.4   MM   MM    MM
2023 09 28 18 03  80  1.5  3.1    MM    MM    MM  MM     MM   9.2    MM   7.5   MM   MM    MM
2023 09 28 17 53  70  1.5  2.6    MM    MM    MM  MM     MM   9.2    MM   7.5   MM   MM    MM
2023 09 28 17 43  70  1.0  2.6    MM    MM    MM  MM     MM   9.1    MM   7.4   MM   MM    MM
2023 09 28 17 34  80  1.5  2.6    MM    MM    MM  MM     MM   8.9    MM   7.2   MM   MM    MM
2023 09 28 17 24  90  1.5  3.1    MM    MM    MM  MM     MM   8.8    MM   7.1   MM   MM    MM
2023 09 28 17 13  80  1.5  3.1    MM    MM    MM  MM     MM   8.7    MM   7.0   MM   MM    MM
2023 09 28 17 04  90  1.5  3.6    MM    MM    MM  MM     MM   8.7    MM   7.0   MM   MM    MM
2023 09 28 16 54  90  2.1  3.6    MM    MM    MM  MM     MM   8.6    MM   6.9   MM   MM    MM
2023 09 28 16 44  90  2.1  4.1    MM    MM    MM  MM     MM   8.6    MM   7.0   MM   MM    MM
2023 09 28 16 34  90  1.5  4.1    MM    MM    MM  MM     MM   8.6    MM   7.0   MM   MM    MM
2023 09 28 16 24 100  1.5  3.6    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 16 14  90  2.1  3.6    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 16 04 100  1.5  3.1    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 15 53 100  1.5  3.1    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 15 44 100  2.1  3.6    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 15 33 100  2.1  4.1    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 15 24  90  2.1  4.1    MM    MM    MM  MM     MM   8.4    MM   7.0   MM   MM    MM
2023 09 28 15 14  90  2.1  3.6    MM    MM    MM  MM     MM   8.4    MM   7.0   MM   MM    MM
2023 09 28 15 04  90  1.5  2.6    MM    MM    MM  MM     MM   8.4    MM   7.0   MM   MM    MM
2023 09 28 14 53  70  1.5  2.6    MM    MM    MM  MM     MM   8.4    MM   7.0   MM   MM    MM
2023 09 28 14 44  60  1.0  2.1    MM    MM    MM  MM     MM   8.4    MM   7.0   MM   MM    MM
2023 09 28 14 34  70  1.0  2.6    MM    MM    MM  MM     MM   8.4    MM   7.0   MM   MM    MM
2023 09 28 14 24  90  1.0  3.1    MM    MM    MM  MM     MM   8.4    MM   7.0   MM   MM    MM
2023 09 28 14 14  80  1.5  3.1    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 14 03  80  1.5  3.1    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 13 54  90  1.5  2.6    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 13 44  90  1.5  2.6    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 13 34  90  1.5  3.1    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 13 24  90  1.5  3.1    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 13 13  80  1.5  2.6    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 13 04  80  1.0  3.6    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 12 54  70  1.0  2.6    MM    MM    MM  MM     MM   8.6    MM   7.1   MM   MM    MM
2023 09 28 12 43  90  1.5  2.6    MM    MM    MM  MM     MM   8.6    MM   6.9   MM   MM    MM
2023 09 28 12 34 110  1.5  3.1    MM    MM    MM  MM     MM   8.6    MM   7.1   MM   MM    MM
2023 09 28 12 24 100  1.0  2.6    MM    MM    MM  MM     MM   8.6    MM   7.1   MM   MM    MM
2023 09 28 12 14 100  1.5  3.1    MM    MM    MM  MM     MM   8.6    MM   7.1   MM   MM    MM
2023 09 28 12 03 100  1.5  3.6    MM    MM    MM  MM     MM   8.6    MM   7.1   MM   MM    MM
2023 09 28 11 54 100  2.1  4.6    MM    MM    MM  MM     MM   8.6    MM   7.1   MM   MM    MM
2023 09 28 11 44 110  1.5  4.1    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 11 33 100  1.5  3.1    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 11 23 110  2.1  3.6    MM    MM    MM  MM     MM   8.5    MM   7.0   MM   MM    MM
2023 09 28 11 13 110  1.5  3.6    MM    MM    MM  MM     MM   8.5    MM   7.1   MM   MM    MM
2023 09 28 11 04 100  1.5  3.6    MM    MM    MM  MM     MM   8.6    MM   7.2   MM   MM    MM
2023 09 28 10 54 110  1.5  3.1    MM    MM    MM  MM     MM   8.6    MM   7.1   MM   MM    MM
2023 09 28 10 43 100  2.1  3.6    MM    MM    MM  MM     MM   8.6    MM   7.2   MM   MM    MM
2023 09 28 10 33 110  1.5  3.6    MM    MM    MM  MM     MM   8.6    MM   7.1   MM   MM    MM
2023 09 28 10 24 110  2.1  3.6    MM    MM    MM  MM     MM   8.6    MM   7.1   MM   MM    MM
2023 09 28 10 14 110  2.1  4.1    MM    MM    MM  MM     MM   8.7    MM   7.1   MM   MM    MM
