#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 44  MM  0.0  1.0    MM    MM    MM  MM     MM  10.7    MM    MM   MM   MM    MM
2023 09 28 21 34  30  1.0  1.5    MM    MM    MM  MM     MM  10.4    MM    MM   MM   MM    MM
2023 09 28 21 24 120  1.0  2.6    MM    MM    MM  MM     MM  10.3    MM    MM   MM   MM    MM
2023 09 28 21 14 160  2.1  3.6    MM    MM    MM  MM     MM  10.1    MM    MM   MM   MM    MM
2023 09 28 21 04 140  1.5  4.1    MM    MM    MM  MM     MM  10.1    MM    MM   MM   MM    MM
2023 09 28 20 54 140  2.1  4.1    MM    MM    MM  MM     MM  10.1    MM    MM   MM   MM    MM
2023 09 28 20 44 130  1.5  3.6    MM    MM    MM  MM     MM  10.1    MM    MM   MM   MM    MM
2023 09 28 20 34 120  2.1  5.1    MM    MM    MM  MM     MM  10.0    MM    MM   MM   MM    MM
2023 09 28 20 24 140  2.1  5.1    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2023 09 28 20 14 120  2.1  4.6    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2023 09 28 20 04  80  2.1  5.7    MM    MM    MM  MM     MM   9.8    MM    MM   MM   MM    MM
2023 09 28 19 54 130  1.5  4.6    MM    MM    MM  MM     MM   9.7    MM    MM   MM   MM    MM
2023 09 28 19 44 110  2.1  4.6    MM    MM    MM  MM     MM   9.7    MM    MM   MM   MM    MM
2023 09 28 19 34 120  2.1  5.1    MM    MM    MM  MM     MM   9.7    MM    MM   MM   MM    MM
2023 09 28 19 23 140  2.6  4.6    MM    MM    MM  MM     MM   9.7    MM    MM   MM   MM    MM
2023 09 28 19 14 120  2.1  4.1    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 19 03 110  2.1  5.1    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 18 54 100  2.6  5.1    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 18 34 100  2.1  4.6    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 18 24 140  1.5  3.6    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 18 14  90  1.5  4.1    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 18 04  80  2.1  5.1    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 17 53  90  2.1  4.1    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 17 44 130  2.6  7.2    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 17 34  90  1.5  3.1    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 17 24  90  3.1  6.2    MM    MM    MM  MM     MM   9.4    MM    MM   MM   MM    MM
2023 09 28 17 14  90  3.6  6.2    MM    MM    MM  MM     MM   9.4    MM    MM   MM   MM    MM
2023 09 28 17 04  80  3.6  6.2    MM    MM    MM  MM     MM   9.4    MM    MM   MM   MM    MM
2023 09 28 16 54  80  3.6  5.7    MM    MM    MM  MM     MM   9.4    MM    MM   MM   MM    MM
2023 09 28 16 44  80  3.1  5.7    MM    MM    MM  MM     MM   9.4    MM    MM   MM   MM    MM
2023 09 28 16 34  80  2.6  4.6    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 16 24  70  2.1  4.6    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 16 14  50  1.5  3.1    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 16 04  90  1.5  3.6    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 15 53  60  1.5  3.6    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 15 44  70  2.1  5.7    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 15 33  80  2.1  4.6    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 15 24  70  2.6  5.7    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 15 14  60  3.1  5.1    MM    MM    MM  MM     MM   9.4    MM    MM   MM   MM    MM
2023 09 28 15 04  60  3.1  5.1    MM    MM    MM  MM     MM   9.4    MM    MM   MM   MM    MM
2023 09 28 14 54  50  2.6  5.7    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 14 44  60  3.1  6.2    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 14 34  70  2.6  5.7    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 14 24 100  2.1  5.7    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 14 14  80  1.5  4.1    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 14 03  70  2.1  6.2    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 13 54 100  2.1  5.7    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 13 44  80  2.6  5.7    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 13 34  90  2.6  5.1    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 13 24 100  2.1  4.1    MM    MM    MM  MM     MM   9.4    MM    MM   MM   MM    MM
2023 09 28 13 13 150  3.1  8.2    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 13 04 140  2.1  5.7    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 12 54 140  2.6  7.2    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 12 43 130  4.1  9.3    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 12 34 110  1.5  6.7    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 12 24 130  3.1  7.2    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 12 14 130  2.6  5.7    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 12 03 110  1.5  4.1    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 11 54 110  1.5  3.6    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 11 44 120  1.0  2.6    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 11 33 110  1.5  4.1    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 11 24 140  2.6  6.2    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 11 13 140  2.6  6.2    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 11 04 140  2.6  6.2    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 10 54 150  3.6  7.2    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 10 43 150  3.6  7.7    MM    MM    MM  MM     MM   9.4    MM    MM   MM   MM    MM
2023 09 28 10 33 150  2.1  5.7    MM    MM    MM  MM     MM   9.4    MM    MM   MM   MM    MM
2023 09 28 10 24 150  3.6  8.8    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 10 14 130  4.6  9.3    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 10 03 130  4.6  9.3    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 09 54 140  4.6  9.3    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2023 09 28 09 44 140  3.6  8.8    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 09 34 130  3.6  7.7    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 09 24 130  4.1  7.7    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 09 14 130  4.1  9.3    MM    MM    MM  MM     MM   9.7    MM    MM   MM   MM    MM
2023 09 28 09 04 140  4.6  9.8    MM    MM    MM  MM     MM   9.7    MM    MM   MM   MM    MM
2023 09 28 08 53 140  3.6  7.7    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 08 43 130  3.6  9.3    MM    MM    MM  MM     MM   9.7    MM    MM   MM   MM    MM
2023 09 28 08 34 140  3.1  6.7    MM    MM    MM  MM     MM   9.7    MM    MM   MM   MM    MM
2023 09 28 08 14 120  4.1  8.2    MM    MM    MM  MM     MM   9.8    MM    MM   MM   MM    MM
2023 09 28 08 04 130  3.1  5.1    MM    MM    MM  MM     MM   9.8    MM    MM   MM   MM    MM
2023 09 28 07 53 130  3.6  8.2    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2023 09 28 07 44 110  3.1  8.2    MM    MM    MM  MM     MM  10.0    MM    MM   MM   MM    MM
2023 09 28 07 34 120  2.1  6.7    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2023 09 28 07 23 110  2.6  5.1    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2023 09 28 07 14 110  2.1  4.6    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2023 09 28 07 03 110  2.1  7.7    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2023 09 28 06 54 110  2.6  6.2    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2023 09 28 06 43 130  4.1  8.8    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2023 09 28 06 34 120  4.1  8.8    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2023 09 28 06 23 120  4.1 10.3    MM    MM    MM  MM     MM  10.0    MM    MM   MM   MM    MM
2023 09 28 06 14 120  3.6  9.3    MM    MM    MM  MM     MM  10.0    MM    MM   MM   MM    MM
2023 09 28 06 04 120  3.1  8.8    MM    MM    MM  MM     MM  10.0    MM    MM   MM   MM    MM
2023 09 28 05 54 130  3.6  7.7    MM    MM    MM  MM     MM  10.0    MM    MM   MM   MM    MM
2023 09 28 05 43 110  2.6  8.2    MM    MM    MM  MM     MM  10.0    MM    MM   MM   MM    MM
