#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 36  60  3.1  3.6    MM    MM    MM  MM     MM   8.0    MM   1.1   MM   MM    MM
2023 09 28 21 25  50  3.1  4.6    MM    MM    MM  MM     MM   8.0    MM   1.2   MM   MM    MM
2023 09 28 21 15  60  3.6  4.6    MM    MM    MM  MM     MM   7.9    MM   1.2   MM   MM    MM
2023 09 28 21 06  60  3.6  5.7    MM    MM    MM  MM     MM   7.9    MM   1.2   MM   MM    MM
2023 09 28 20 56  70  3.6  5.7    MM    MM    MM  MM     MM   7.8    MM   1.1   MM   MM    MM
2023 09 28 20 45  60  4.1  6.2    MM    MM    MM  MM     MM   7.5    MM   0.9   MM   MM    MM
2023 09 28 20 35  60  4.6  6.2    MM    MM    MM  MM     MM   7.5    MM   0.9   MM   MM    MM
2023 09 28 20 26  60  4.6  6.2    MM    MM    MM  MM     MM   7.6    MM   1.0   MM   MM    MM
2023 09 28 20 16  70  3.6  6.2    MM    MM    MM  MM     MM   7.8    MM   0.7   MM   MM    MM
2023 09 28 20 06  70  4.1  7.2    MM    MM    MM  MM     MM   7.7    MM   0.5   MM   MM    MM
2023 09 28 19 56  70  4.6  7.2    MM    MM    MM  MM     MM   7.3    MM   0.7   MM   MM    MM
2023 09 28 19 46  60  5.1  7.2    MM    MM    MM  MM     MM   7.0    MM   0.9   MM   MM    MM
2023 09 28 19 35  60  5.1  7.2    MM    MM    MM  MM     MM   6.9    MM   1.0   MM   MM    MM
2023 09 28 19 25  70  4.1  6.7    MM    MM    MM  MM     MM   7.1    MM   1.1   MM   MM    MM
2023 09 28 19 14  80  3.6  6.2    MM    MM    MM  MM     MM   6.8    MM   1.5   MM   MM    MM
2023 09 28 19 05  70  3.6  6.2    MM    MM    MM  MM     MM   6.3    MM   1.2   MM   MM    MM
2023 09 28 18 55  70  3.6  5.1    MM    MM    MM  MM     MM   6.1    MM   1.2   MM   MM    MM
2023 09 28 18 45  70  3.1  5.1    MM    MM    MM  MM     MM   6.2    MM   1.4   MM   MM    MM
2023 09 28 18 35  70  3.1  4.6    MM    MM    MM  MM     MM   6.2    MM   1.4   MM   MM    MM
2023 09 28 18 25  70  3.6  5.1    MM    MM    MM  MM     MM   6.1    MM   1.3   MM   MM    MM
2023 09 28 18 15  70  3.1  5.7    MM    MM    MM  MM     MM   6.2    MM   1.4   MM   MM    MM
2023 09 28 18 03  70  4.1  6.2    MM    MM    MM  MM     MM   6.1    MM   0.8   MM   MM    MM
2023 09 28 17 55  80  3.6  5.7    MM    MM    MM  MM     MM   6.1    MM   1.3   MM   MM    MM
2023 09 28 17 45  80  3.1  6.2    MM    MM    MM  MM     MM   6.1    MM   1.1   MM   MM    MM
2023 09 28 17 36  70  3.1  5.7    MM    MM    MM  MM     MM   5.9    MM   0.8   MM   MM    MM
2023 09 28 17 25  80  2.1  5.1    MM    MM    MM  MM     MM   6.0    MM   2.0   MM   MM    MM
2023 09 28 17 15  90  1.5  3.6    MM    MM    MM  MM     MM   5.9    MM   2.2   MM   MM    MM
2023 09 28 17 06  70  2.1  3.6    MM    MM    MM  MM     MM   5.6    MM   1.6   MM   MM    MM
2023 09 28 16 56 100  1.0  3.1    MM    MM    MM  MM     MM   5.8    MM   1.8   MM   MM    MM
2023 09 28 16 46 100  2.6  4.6    MM    MM    MM  MM     MM   5.6    MM   1.5   MM   MM    MM
2023 09 28 16 35  90  2.6  5.1    MM    MM    MM  MM     MM   6.1    MM   1.6   MM   MM    MM
2023 09 28 16 26 100  2.6  5.1    MM    MM    MM  MM     MM   6.1    MM   1.9   MM   MM    MM
2023 09 28 16 15  80  3.1  5.1    MM    MM    MM  MM     MM   6.0    MM   1.6   MM   MM    MM
2023 09 28 16 05  80  3.1  5.1    MM    MM    MM  MM     MM   6.1    MM   1.5   MM   MM    MM
2023 09 28 15 55  70  3.1  4.6    MM    MM    MM  MM     MM   6.0    MM   1.6   MM   MM    MM
2023 09 28 15 45  70  2.6  4.1    MM    MM    MM  MM     MM   6.0    MM   1.5   MM   MM    MM
2023 09 28 15 35  70  2.6  4.1    MM    MM    MM  MM     MM   6.0    MM   1.3   MM   MM    MM
2023 09 28 15 26  70  3.1  4.6    MM    MM    MM  MM     MM   6.1    MM   1.3   MM   MM    MM
2023 09 28 15 15  90  2.6  4.1    MM    MM    MM  MM     MM   6.3    MM   1.8   MM   MM    MM
2023 09 28 15 06  70  2.6  4.6    MM    MM    MM  MM     MM   6.1    MM   1.9   MM   MM    MM
2023 09 28 14 56  80  2.1  4.1    MM    MM    MM  MM     MM   6.1    MM   1.8   MM   MM    MM
2023 09 28 14 46 110  2.1  4.1    MM    MM    MM  MM     MM   6.3    MM   1.7   MM   MM    MM
2023 09 28 14 36  90  1.5  3.1    MM    MM    MM  MM     MM   6.4    MM   1.1   MM   MM    MM
2023 09 28 14 26  80  1.5  2.6    MM    MM    MM  MM     MM   6.4    MM   1.3   MM   MM    MM
2023 09 28 14 14  80  1.5  3.1    MM    MM    MM  MM     MM   6.6    MM   1.5   MM   MM    MM
2023 09 28 14 05  90  2.1  3.6    MM    MM    MM  MM     MM   6.7    MM   1.4   MM   MM    MM
2023 09 28 13 55  80  2.6  3.6    MM    MM    MM  MM     MM   6.5    MM   1.2   MM   MM    MM
2023 09 28 13 46  90  2.6  4.6    MM    MM    MM  MM     MM   6.6    MM   1.6   MM   MM    MM
2023 09 28 13 35  90  2.6  4.1    MM    MM    MM  MM     MM   6.7    MM   1.5   MM   MM    MM
2023 09 28 13 25  70  3.1  4.6    MM    MM    MM  MM     MM   6.7    MM   1.5   MM   MM    MM
2023 09 28 13 15  70  3.1  4.6    MM    MM    MM  MM     MM   6.7    MM   1.7   MM   MM    MM
2023 09 28 13 06  60  2.6  4.6    MM    MM    MM  MM     MM   6.7    MM   1.9   MM   MM    MM
2023 09 28 12 55  50  3.6  4.6    MM    MM    MM  MM     MM   6.6    MM   1.6   MM   MM    MM
2023 09 28 12 45  60  3.6  4.6    MM    MM    MM  MM     MM   6.6    MM   1.6   MM   MM    MM
2023 09 28 12 36  70  2.6  4.1    MM    MM    MM  MM     MM   6.5    MM   2.1   MM   MM    MM
2023 09 28 12 26  70  2.6  4.1    MM    MM    MM  MM     MM   6.5    MM   2.2   MM   MM    MM
2023 09 28 12 14  60  3.6  5.1    MM    MM    MM  MM     MM   6.7    MM   2.5   MM   MM    MM
2023 09 28 12 05  70  2.6  5.1    MM    MM    MM  MM     MM   6.8    MM   2.5   MM   MM    MM
2023 09 28 11 56 120  1.5  2.6    MM    MM    MM  MM     MM   6.8    MM   2.5   MM   MM    MM
