#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 42  60  1.5  3.6    MM    MM    MM  MM 1015.5   9.1    MM   8.4   MM   MM    MM
2023 09 28 21 32  50  1.5  3.6    MM    MM    MM  MM 1015.4   8.8    MM   8.2   MM   MM    MM
2023 09 28 21 22  50  1.5  4.1    MM    MM    MM  MM 1015.5   8.5    MM   8.0   MM   MM    MM
2023 09 28 21 12  40  1.0  4.6    MM    MM    MM  MM 1015.4   8.4    MM   8.2   MM   MM    MM
2023 09 28 20 52  30  1.5  4.1    MM    MM    MM  MM 1015.3   8.0    MM   8.0   MM   MM    MM
2023 09 28 20 42  10  1.5  4.1    MM    MM    MM  MM 1015.3   8.0    MM   8.0   MM   MM    MM
2023 09 28 20 32  20  1.0  2.6    MM    MM    MM  MM 1015.2   8.0    MM   8.0   MM   MM    MM
2023 09 28 20 22  10  1.5  4.1    MM    MM    MM  MM 1015.1   7.9    MM   7.9   MM   MM    MM
2023 09 28 20 12 360  1.5  4.6    MM    MM    MM  MM 1015.0   8.2    MM   8.2   MM   MM    MM
2023 09 28 20 02  10  1.5  3.6    MM    MM    MM  MM 1014.9   8.1    MM   8.1   MM   MM    MM
2023 09 28 19 52 360  1.0  4.1    MM    MM    MM  MM 1014.9   7.9    MM   7.9   MM   MM    MM
2023 09 28 19 42  30  1.5  3.1    MM    MM    MM  MM 1014.9   8.0    MM   8.0   MM   MM    MM
2023 09 28 19 32  40  1.5  4.1    MM    MM    MM  MM 1014.9   7.8    MM   7.8   MM   MM    MM
2023 09 28 19 22  40  1.0  2.6    MM    MM    MM  MM 1014.9   7.7    MM   7.7   MM   MM    MM
2023 09 28 19 12  10  1.0  3.6    MM    MM    MM  MM 1014.7   7.6    MM   7.6   MM   MM    MM
2023 09 28 19 02  10  1.0  3.1    MM    MM    MM  MM 1014.6   7.6    MM   7.6   MM   MM    MM
2023 09 28 18 52  30  1.0  3.1    MM    MM    MM  MM 1014.6   7.5    MM   7.5   MM   MM    MM
2023 09 28 18 42  30  1.0  2.1    MM    MM    MM  MM 1014.6   7.5    MM   7.5   MM   MM    MM
2023 09 28 18 32  10  1.0  2.6    MM    MM    MM  MM 1014.5   7.6    MM   7.6   MM   MM    MM
2023 09 28 18 22  20  1.0  2.6    MM    MM    MM  MM 1014.5   7.6    MM   7.6   MM   MM    MM
2023 09 28 18 12  20  1.0  2.1    MM    MM    MM  MM 1014.4   7.5    MM   7.5   MM   MM    MM
2023 09 28 18 02  10  1.0  3.1    MM    MM    MM  MM 1014.3   7.5    MM   7.5   MM   MM    MM
2023 09 28 17 52 360  1.0  3.1    MM    MM    MM  MM 1014.2   7.8    MM   7.8   MM   MM    MM
2023 09 28 17 42  10  0.5  1.5    MM    MM    MM  MM 1014.2   7.7    MM   7.7   MM   MM    MM
2023 09 28 17 32  40  0.5  1.5    MM    MM    MM  MM 1014.1   7.7    MM   7.7   MM   MM    MM
2023 09 28 17 22  20  1.0  2.6    MM    MM    MM  MM 1014.1   7.6    MM   7.5   MM   MM    MM
2023 09 28 17 12  40  1.0  2.6    MM    MM    MM  MM 1014.1   7.6    MM   7.5   MM   MM    MM
2023 09 28 17 02  60  1.0  2.1    MM    MM    MM  MM 1014.0   7.4    MM   7.2   MM   MM    MM
2023 09 28 16 52  70  1.0  2.6    MM    MM    MM  MM 1013.9   7.4    MM   7.0   MM   MM    MM
