#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 18  MM   MM   MM    MM    MM    MM  MM 1018.2  11.9  12.8    MM   MM   MM    MM
2023 09 28 21 12  MM   MM   MM    MM    MM    MM  MM 1018.2  12.1  12.8    MM   MM   MM    MM
2023 09 28 21 06  MM   MM   MM    MM    MM    MM  MM 1018.2  12.4  12.8    MM   MM   MM    MM
2023 09 28 21 00  MM   MM   MM    MM    MM    MM  MM 1018.3  12.7  12.8    MM   MM +0.7    MM
2023 09 28 20 54  MM   MM   MM    MM    MM    MM  MM 1018.2  12.8  12.8    MM   MM   MM    MM
2023 09 28 20 48  MM   MM   MM    MM    MM    MM  MM 1018.2  12.7  12.8    MM   MM   MM    MM
2023 09 28 20 42  MM   MM   MM    MM    MM    MM  MM 1018.2  12.7  12.8    MM   MM   MM    MM
2023 09 28 20 36  MM   MM   MM    MM    MM    MM  MM 1018.1  12.7  12.8    MM   MM   MM    MM
2023 09 28 20 30  MM   MM   MM    MM    MM    MM  MM 1018.1  12.4  12.8    MM   MM   MM    MM
2023 09 28 20 24  MM   MM   MM    MM    MM    MM  MM 1018.1  12.0  12.8    MM   MM   MM    MM
2023 09 28 20 18  MM   MM   MM    MM    MM    MM  MM 1018.0  11.8  12.8    MM   MM   MM    MM
2023 09 28 20 12  MM   MM   MM    MM    MM    MM  MM 1018.1  11.2  12.8    MM   MM   MM    MM
2023 09 28 20 06  MM   MM   MM    MM    MM    MM  MM 1018.0  11.3  12.8    MM   MM   MM    MM
2023 09 28 20 00  MM   MM   MM    MM    MM    MM  MM 1018.0  11.3  12.8    MM   MM +0.5    MM
2023 09 28 19 54  MM   MM   MM    MM    MM    MM  MM 1017.9  11.5  12.8    MM   MM   MM    MM
2023 09 28 19 48  MM   MM   MM    MM    MM    MM  MM 1017.9  11.6  12.8    MM   MM   MM    MM
2023 09 28 19 42  MM   MM   MM    MM    MM    MM  MM 1017.9  11.9  12.8    MM   MM   MM    MM
2023 09 28 19 36  MM   MM   MM    MM    MM    MM  MM 1017.9  12.3  12.8    MM   MM   MM    MM
2023 09 28 19 30  MM   MM   MM    MM    MM    MM  MM 1018.0  13.0  12.8    MM   MM   MM    MM
2023 09 28 19 24  MM   MM   MM    MM    MM    MM  MM 1018.0  13.1  12.8    MM   MM   MM    MM
2023 09 28 19 18  MM   MM   MM    MM    MM    MM  MM 1018.0  13.0  12.8    MM   MM   MM    MM
2023 09 28 19 12  MM   MM   MM    MM    MM    MM  MM 1017.9  12.6  12.8    MM   MM   MM    MM
2023 09 28 19 06  MM   MM   MM    MM    MM    MM  MM 1017.8  12.3  12.8    MM   MM   MM    MM
2023 09 28 19 00  MM   MM   MM    MM    MM    MM  MM 1017.8  12.3  12.8    MM   MM +0.7    MM
2023 09 28 18 54  MM   MM   MM    MM    MM    MM  MM 1017.7  12.0  12.8    MM   MM   MM    MM
2023 09 28 18 48  MM   MM   MM    MM    MM    MM  MM 1017.7  11.7  12.8    MM   MM   MM    MM
2023 09 28 18 42  MM   MM   MM    MM    MM    MM  MM 1017.7  11.4  12.8    MM   MM   MM    MM
2023 09 28 18 36  MM   MM   MM    MM    MM    MM  MM 1017.7  11.1  12.8    MM   MM   MM    MM
2023 09 28 18 30  MM   MM   MM    MM    MM    MM  MM 1017.7  10.8  12.8    MM   MM   MM    MM
2023 09 28 18 24  MM   MM   MM    MM    MM    MM  MM 1017.7  10.6  12.8    MM   MM   MM    MM
2023 09 28 18 18  MM   MM   MM    MM    MM    MM  MM 1017.6  10.1  12.8    MM   MM   MM    MM
2023 09 28 18 12  MM   MM   MM    MM    MM    MM  MM 1017.7  10.1  12.8    MM   MM   MM    MM
2023 09 28 18 06  MM   MM   MM    MM    MM    MM  MM 1017.6   9.6  12.8    MM   MM   MM    MM
2023 09 28 18 00  MM   MM   MM    MM    MM    MM  MM 1017.6   9.3  12.8    MM   MM +0.8    MM
2023 09 28 17 54  MM   MM   MM    MM    MM    MM  MM 1017.7   9.5  12.8    MM   MM   MM    MM
2023 09 28 17 48  MM   MM   MM    MM    MM    MM  MM 1017.6   9.7  12.7    MM   MM   MM    MM
2023 09 28 17 42  MM   MM   MM    MM    MM    MM  MM 1017.6   9.4  12.7    MM   MM   MM    MM
2023 09 28 17 36  MM   MM   MM    MM    MM    MM  MM 1017.5   9.3  12.7    MM   MM   MM    MM
2023 09 28 17 30  MM   MM   MM    MM    MM    MM  MM 1017.6   9.1  12.7    MM   MM   MM    MM
2023 09 28 17 24  MM   MM   MM    MM    MM    MM  MM 1017.6   9.0  12.7    MM   MM   MM    MM
2023 09 28 17 18  MM   MM   MM    MM    MM    MM  MM 1017.6   8.8  12.7    MM   MM   MM    MM
2023 09 28 17 12  MM   MM   MM    MM    MM    MM  MM 1017.6   8.8  12.7    MM   MM   MM    MM
2023 09 28 17 06  MM   MM   MM    MM    MM    MM  MM 1017.5   9.0  12.7    MM   MM   MM    MM
2023 09 28 17 00  MM   MM   MM    MM    MM    MM  MM 1017.5   8.9  12.7    MM   MM +1.0    MM
2023 09 28 16 54  MM   MM   MM    MM    MM    MM  MM 1017.5   8.8  12.7    MM   MM   MM    MM
2023 09 28 16 48  MM   MM   MM    MM    MM    MM  MM 1017.4   8.7  12.7    MM   MM   MM    MM
2023 09 28 16 42  MM   MM   MM    MM    MM    MM  MM 1017.4   8.5  12.8    MM   MM   MM    MM
2023 09 28 16 36  MM   MM   MM    MM    MM    MM  MM 1017.3   8.4  12.8    MM   MM   MM    MM
2023 09 28 16 30  MM   MM   MM    MM    MM    MM  MM 1017.3   8.4  12.8    MM   MM   MM    MM
2023 09 28 16 24  MM   MM   MM    MM    MM    MM  MM 1017.3   8.3  12.7    MM   MM   MM    MM
2023 09 28 16 18  MM   MM   MM    MM    MM    MM  MM 1017.2   8.3  12.7    MM   MM   MM    MM
2023 09 28 16 12  MM   MM   MM    MM    MM    MM  MM 1017.2   8.2  12.7    MM   MM   MM    MM
2023 09 28 16 06  MM   MM   MM    MM    MM    MM  MM 1017.1   8.2  12.7    MM   MM   MM    MM
2023 09 28 16 00  MM   MM   MM    MM    MM    MM  MM 1017.1   8.2  12.7    MM   MM +0.8    MM
2023 09 28 15 54  MM   MM   MM    MM    MM    MM  MM 1017.1   8.0  12.7    MM   MM   MM    MM
2023 09 28 15 48  MM   MM   MM    MM    MM    MM  MM 1017.0   7.9  12.7    MM   MM   MM    MM
2023 09 28 15 42  MM   MM   MM    MM    MM    MM  MM 1016.9   7.9  12.7    MM   MM   MM    MM
2023 09 28 15 36  MM   MM   MM    MM    MM    MM  MM 1016.9   7.8  12.7    MM   MM   MM    MM
2023 09 28 15 30  MM   MM   MM    MM    MM    MM  MM 1016.9   7.8  12.7    MM   MM   MM    MM
2023 09 28 15 24  MM   MM   MM    MM    MM    MM  MM 1016.8   7.8  12.7    MM   MM   MM    MM
2023 09 28 15 18  MM   MM   MM    MM    MM    MM  MM 1016.8   7.8  12.7    MM   MM   MM    MM
2023 09 28 15 12  MM   MM   MM    MM    MM    MM  MM 1016.8   7.9  12.7    MM   MM   MM    MM
2023 09 28 15 06  MM   MM   MM    MM    MM    MM  MM 1016.8   7.9  12.7    MM   MM   MM    MM
2023 09 28 15 00  MM   MM   MM    MM    MM    MM  MM 1016.8   7.9  12.7    MM   MM +0.8    MM
2023 09 28 14 54  MM   MM   MM    MM    MM    MM  MM 1016.8   7.8  12.7    MM   MM   MM    MM
2023 09 28 14 48  MM   MM   MM    MM    MM    MM  MM 1016.8   7.8  12.7    MM   MM   MM    MM
2023 09 28 14 42  MM   MM   MM    MM    MM    MM  MM 1016.7   7.8  12.7    MM   MM   MM    MM
2023 09 28 14 36  MM   MM   MM    MM    MM    MM  MM 1016.7   7.8  12.7    MM   MM   MM    MM
2023 09 28 14 30  MM   MM   MM    MM    MM    MM  MM 1016.6   7.8  12.7    MM   MM   MM    MM
2023 09 28 14 24  MM   MM   MM    MM    MM    MM  MM 1016.6   7.8  12.7    MM   MM   MM    MM
2023 09 28 14 18  MM   MM   MM    MM    MM    MM  MM 1016.6   7.9  12.7    MM   MM   MM    MM
2023 09 28 14 12  MM   MM   MM    MM    MM    MM  MM 1016.5   7.9  12.7    MM   MM   MM    MM
2023 09 28 14 06  MM   MM   MM    MM    MM    MM  MM 1016.5   7.9  12.7    MM   MM   MM    MM
2023 09 28 14 00  MM   MM   MM    MM    MM    MM  MM 1016.5   8.0  12.7    MM   MM +0.8    MM
2023 09 28 13 54  MM   MM   MM    MM    MM    MM  MM 1016.5   8.0  12.7    MM   MM   MM    MM
2023 09 28 13 48  MM   MM   MM    MM    MM    MM  MM 1016.4   8.1  12.7    MM   MM   MM    MM
2023 09 28 13 42  MM   MM   MM    MM    MM    MM  MM 1016.4   8.1  12.7    MM   MM   MM    MM
2023 09 28 13 36  MM   MM   MM    MM    MM    MM  MM 1016.3   8.2  12.7    MM   MM   MM    MM
2023 09 28 13 30  MM   MM   MM    MM    MM    MM  MM 1016.3   8.2  12.7    MM   MM   MM    MM
2023 09 28 13 24  MM   MM   MM    MM    MM    MM  MM 1016.3   8.2  12.7    MM   MM   MM    MM
2023 09 28 13 18  MM   MM   MM    MM    MM    MM  MM 1016.3   8.2  12.7    MM   MM   MM    MM
2023 09 28 13 12  MM   MM   MM    MM    MM    MM  MM 1016.3   8.1  12.7    MM   MM   MM    MM
2023 09 28 13 06  MM   MM   MM    MM    MM    MM  MM 1016.3   8.0  12.7    MM   MM   MM    MM
2023 09 28 13 00  MM   MM   MM    MM    MM    MM  MM 1016.3   8.1  12.7    MM   MM +1.0    MM
2023 09 28 12 54  MM   MM   MM    MM    MM    MM  MM 1016.3   8.1  12.7    MM   MM   MM    MM
2023 09 28 12 48  MM   MM   MM    MM    MM    MM  MM 1016.2   8.0  12.7    MM   MM   MM    MM
2023 09 28 12 42  MM   MM   MM    MM    MM    MM  MM 1016.2   8.0  12.7    MM   MM   MM    MM
2023 09 28 12 36  MM   MM   MM    MM    MM    MM  MM 1016.2   8.1  12.7    MM   MM   MM    MM
2023 09 28 12 30  MM   MM   MM    MM    MM    MM  MM 1016.2   8.2  12.7    MM   MM   MM    MM
2023 09 28 12 24  MM   MM   MM    MM    MM    MM  MM 1016.1   8.2  12.8    MM   MM   MM    MM
2023 09 28 12 18  MM   MM   MM    MM    MM    MM  MM 1016.1   8.2  12.8    MM   MM   MM    MM
2023 09 28 12 12  MM   MM   MM    MM    MM    MM  MM 1016.0   8.2  12.8    MM   MM   MM    MM
2023 09 28 12 06  MM   MM   MM    MM    MM    MM  MM 1016.0   8.2  12.8    MM   MM   MM    MM
2023 09 28 12 00  MM   MM   MM    MM    MM    MM  MM 1016.0   8.2  12.8    MM   MM +1.1    MM
2023 09 28 11 54  MM   MM   MM    MM    MM    MM  MM 1015.9   8.3  12.8    MM   MM   MM    MM
2023 09 28 11 48  MM   MM   MM    MM    MM    MM  MM 1015.9   8.3  12.8    MM   MM   MM    MM
2023 09 28 11 42  MM   MM   MM    MM    MM    MM  MM 1015.9   8.2  12.8    MM   MM   MM    MM
2023 09 28 11 36  MM   MM   MM    MM    MM    MM  MM 1015.9   8.2  12.8    MM   MM   MM    MM
2023 09 28 11 30  MM   MM   MM    MM    MM    MM  MM 1015.8   8.2  12.8    MM   MM   MM    MM
2023 09 28 11 24  MM   MM   MM    MM    MM    MM  MM 1015.8   8.2  12.8    MM   MM   MM    MM
2023 09 28 11 18  MM   MM   MM    MM    MM    MM  MM 1015.8   8.3  12.8    MM   MM   MM    MM
2023 09 28 11 12  MM   MM   MM    MM    MM    MM  MM 1015.7   8.3  12.8    MM   MM   MM    MM
2023 09 28 11 06  MM   MM   MM    MM    MM    MM  MM 1015.7   8.3  12.8    MM   MM   MM    MM
2023 09 28 11 00  MM   MM   MM    MM    MM    MM  MM 1015.7   8.3  12.8    MM   MM +1.4    MM
2023 09 28 10 54  MM   MM   MM    MM    MM    MM  MM 1015.7   8.2  12.8    MM   MM   MM    MM
2023 09 28 10 48  MM   MM   MM    MM    MM    MM  MM 1015.6   8.2  12.8    MM   MM   MM    MM
2023 09 28 10 42  MM   MM   MM    MM    MM    MM  MM 1015.6   8.2  12.8    MM   MM   MM    MM
2023 09 28 10 36  MM   MM   MM    MM    MM    MM  MM 1015.6   8.2  12.8    MM   MM   MM    MM
2023 09 28 10 30  MM   MM   MM    MM    MM    MM  MM 1015.5   8.2  12.8    MM   MM   MM    MM
