#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 36 110  0.5  1.0    MM    MM    MM  MM     MM  10.6    MM   7.8   MM   MM    MM
2023 09 28 21 26 100  1.0  2.1    MM    MM    MM  MM     MM  10.1    MM   7.6   MM   MM    MM
2023 09 28 21 16 130  1.5  4.1    MM    MM    MM  MM     MM   9.8    MM   7.5   MM   MM    MM
2023 09 28 21 06 150  2.1  4.1    MM    MM    MM  MM     MM   9.7    MM   7.5   MM   MM    MM
2023 09 28 20 56 160  2.1  4.1    MM    MM    MM  MM     MM   9.9    MM   7.6   MM   MM    MM
2023 09 28 20 46 130  1.5  4.1    MM    MM    MM  MM     MM  10.0    MM   7.8   MM   MM    MM
2023 09 28 20 36 130  1.5  3.6    MM    MM    MM  MM     MM   9.9    MM   7.7   MM   MM    MM
2023 09 28 20 26 140  1.5  3.6    MM    MM    MM  MM     MM   9.8    MM   7.7   MM   MM    MM
2023 09 28 20 17 150  1.5  4.1    MM    MM    MM  MM     MM   9.7    MM   7.7   MM   MM    MM
2023 09 28 20 06 140  1.5  3.6    MM    MM    MM  MM     MM   9.7    MM   7.8   MM   MM    MM
2023 09 28 19 56 140  1.5  3.6    MM    MM    MM  MM     MM   9.6    MM   7.8   MM   MM    MM
2023 09 28 19 46 130  1.5  3.1    MM    MM    MM  MM     MM   9.5    MM   7.8   MM   MM    MM
2023 09 28 19 36 120  2.1  4.6    MM    MM    MM  MM     MM   9.4    MM   7.7   MM   MM    MM
2023 09 28 19 26 120  1.5  4.1    MM    MM    MM  MM     MM   9.3    MM   7.5   MM   MM    MM
2023 09 28 19 16 110  2.1  4.1    MM    MM    MM  MM     MM   9.1    MM   7.5   MM   MM    MM
2023 09 28 19 05 120  2.1  5.1    MM    MM    MM  MM     MM   9.0    MM   7.6   MM   MM    MM
2023 09 28 18 46 140  2.1  4.6    MM    MM    MM  MM     MM   9.1    MM   7.7   MM   MM    MM
2023 09 28 18 36 140  2.1  4.1    MM    MM    MM  MM     MM   9.3    MM   7.7   MM   MM    MM
2023 09 28 18 26 140  1.5  2.6    MM    MM    MM  MM     MM   9.3    MM   7.9   MM   MM    MM
2023 09 28 18 16 150  1.5  2.6    MM    MM    MM  MM     MM   9.2    MM   8.0   MM   MM    MM
2023 09 28 18 06 150  1.5  3.1    MM    MM    MM  MM     MM   9.1    MM   7.8   MM   MM    MM
2023 09 28 17 55 140  1.0  2.6    MM    MM    MM  MM     MM   9.0    MM   8.0   MM   MM    MM
2023 09 28 17 46 160  1.0  2.1    MM    MM    MM  MM     MM   8.9    MM   7.9   MM   MM    MM
2023 09 28 17 36 160  1.0  1.5    MM    MM    MM  MM     MM   8.8    MM   7.8   MM   MM    MM
2023 09 28 17 26 170  1.0  1.5    MM    MM    MM  MM     MM   8.8    MM   7.9   MM   MM    MM
2023 09 28 17 16  MM  0.0  1.0    MM    MM    MM  MM     MM   8.9    MM   8.1   MM   MM    MM
2023 09 28 17 06 100  0.5  1.0    MM    MM    MM  MM     MM   8.7    MM   7.6   MM   MM    MM
2023 09 28 16 56  90  0.5  1.0    MM    MM    MM  MM     MM   8.5    MM   7.7   MM   MM    MM
2023 09 28 16 47  80  0.5  1.0    MM    MM    MM  MM     MM   8.3    MM   7.9   MM   MM    MM
2023 09 28 16 36  MM  0.0  1.0    MM    MM    MM  MM     MM   8.3    MM   7.8   MM   MM    MM
2023 09 28 16 16  90  0.5  1.0    MM    MM    MM  MM     MM   8.2    MM   7.6   MM   MM    MM
2023 09 28 16 06  MM  0.0  0.5    MM    MM    MM  MM     MM   8.2    MM   7.6   MM   MM    MM
2023 09 28 15 56  MM  0.0  0.5    MM    MM    MM  MM     MM   8.2    MM   7.5   MM   MM    MM
