#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 42 120  1.5  3.1    MM    MM    MM  MM     MM   9.8    MM   7.5   MM   MM    MM
2023 09 28 21 32 110  2.1  3.1    MM    MM    MM  MM     MM   9.7    MM   7.6   MM   MM    MM
2023 09 28 21 22 130  2.6  4.1    MM    MM    MM  MM     MM   9.5    MM   7.4   MM   MM    MM
2023 09 28 21 12 160  3.1  4.1    MM    MM    MM  MM     MM   9.2    MM   7.4   MM   MM    MM
2023 09 28 21 02 170  3.6  5.1    MM    MM    MM  MM     MM   9.1    MM   7.4   MM   MM    MM
2023 09 28 20 52 160  3.6  4.6    MM    MM    MM  MM     MM   9.2    MM   7.5   MM   MM    MM
2023 09 28 20 42 140  3.6  4.6    MM    MM    MM  MM     MM   9.1    MM   7.4   MM   MM    MM
2023 09 28 20 32 130  3.6  4.6    MM    MM    MM  MM     MM   9.1    MM   7.4   MM   MM    MM
2023 09 28 20 22 140  4.1  4.6    MM    MM    MM  MM     MM   9.0    MM   7.1   MM   MM    MM
2023 09 28 20 12 140  3.6  4.6    MM    MM    MM  MM     MM   9.1    MM   7.2   MM   MM    MM
2023 09 28 20 02 140  3.6  4.6    MM    MM    MM  MM     MM   9.0    MM   7.1   MM   MM    MM
2023 09 28 19 52 140  3.6  4.6    MM    MM    MM  MM     MM   9.0    MM   7.1   MM   MM    MM
2023 09 28 19 42 140  3.1  5.1    MM    MM    MM  MM     MM   8.9    MM   7.3   MM   MM    MM
2023 09 28 19 32 140  3.6  4.6    MM    MM    MM  MM     MM   8.7    MM   7.6   MM   MM    MM
2023 09 28 19 22 130  3.1  4.1    MM    MM    MM  MM     MM   8.7    MM   7.6   MM   MM    MM
2023 09 28 19 12 140  3.6  4.1    MM    MM    MM  MM     MM   8.6    MM   7.6   MM   MM    MM
2023 09 28 19 02 140  3.6  4.6    MM    MM    MM  MM     MM   8.6    MM   7.6   MM   MM    MM
2023 09 28 18 52 140  3.6  5.1    MM    MM    MM  MM     MM   8.6    MM   7.5   MM   MM    MM
2023 09 28 18 42 140  3.6  4.6    MM    MM    MM  MM     MM   8.7    MM   7.6   MM   MM    MM
2023 09 28 18 32 130  3.1  4.1    MM    MM    MM  MM     MM   8.9    MM   7.9   MM   MM    MM
2023 09 28 18 22 140  2.1  3.1    MM    MM    MM  MM     MM   9.0    MM   7.8   MM   MM    MM
2023 09 28 18 12 140  1.5  2.1    MM    MM    MM  MM     MM   8.9    MM   7.9   MM   MM    MM
2023 09 28 18 02 130  1.5  2.1    MM    MM    MM  MM     MM   8.7    MM   7.9   MM   MM    MM
2023 09 28 17 52 140  1.5  2.1    MM    MM    MM  MM     MM   8.7    MM   7.9   MM   MM    MM
2023 09 28 17 42 160  0.5  1.0    MM    MM    MM  MM     MM   8.6    MM   7.8   MM   MM    MM
2023 09 28 17 32 130  0.5  1.0    MM    MM    MM  MM     MM   8.5    MM   8.0   MM   MM    MM
2023 09 28 17 22 160  1.0  1.5    MM    MM    MM  MM     MM   8.3    MM   7.9   MM   MM    MM
2023 09 28 17 12 150  1.5  2.1    MM    MM    MM  MM     MM   8.2    MM   7.8   MM   MM    MM
2023 09 28 17 02 130  1.0  1.5    MM    MM    MM  MM     MM   8.2    MM   7.7   MM   MM    MM
2023 09 28 16 52 120  1.0  1.5    MM    MM    MM  MM     MM   8.1    MM   7.8   MM   MM    MM
2023 09 28 16 43 120  1.0  1.5    MM    MM    MM  MM     MM   8.1    MM   7.8   MM   MM    MM
2023 09 28 16 32 160  0.5  1.0    MM    MM    MM  MM     MM   8.1    MM   7.8   MM   MM    MM
2023 09 28 16 22 140  0.5  1.0    MM    MM    MM  MM     MM   8.1    MM   7.8   MM   MM    MM
2023 09 28 16 12  MM  0.0  0.5    MM    MM    MM  MM     MM   8.1    MM   7.8   MM   MM    MM
2023 09 28 16 02  MM  0.0  0.5    MM    MM    MM  MM     MM   8.1    MM   7.7   MM   MM    MM
2023 09 28 15 52  MM  0.0  0.5    MM    MM    MM  MM     MM   8.1    MM   7.7   MM   MM    MM
2023 09 28 15 42  MM  0.0  1.0    MM    MM    MM  MM     MM   8.0    MM   7.7   MM   MM    MM
2023 09 28 15 32  MM  0.0  0.5    MM    MM    MM  MM     MM   8.1    MM   7.8   MM   MM    MM
2023 09 28 15 22  90  0.5  1.0    MM    MM    MM  MM     MM   8.0    MM   7.7   MM   MM    MM
2023 09 28 15 12  80  0.5  1.0    MM    MM    MM  MM     MM   8.0    MM   7.7   MM   MM    MM
2023 09 28 15 02 130  0.5  1.0    MM    MM    MM  MM     MM   8.1    MM   7.8   MM   MM    MM
2023 09 28 14 52  MM  0.0  0.5    MM    MM    MM  MM     MM   8.1    MM   7.8   MM   MM    MM
2023 09 28 14 42  MM  0.0  1.0    MM    MM    MM  MM     MM   8.1    MM   7.8   MM   MM    MM
2023 09 28 14 32 140  0.5  1.0    MM    MM    MM  MM     MM   8.1    MM   7.8   MM   MM    MM
2023 09 28 14 22  MM  0.0  1.0    MM    MM    MM  MM     MM   8.2    MM   7.9   MM   MM    MM
2023 09 28 14 12  MM  0.0  1.0    MM    MM    MM  MM     MM   8.2    MM   7.9   MM   MM    MM
2023 09 28 14 02  MM  0.0  0.5    MM    MM    MM  MM     MM   8.2    MM   7.9   MM   MM    MM
2023 09 28 13 52  MM  0.0  0.5    MM    MM    MM  MM     MM   8.3    MM   8.0   MM   MM    MM
2023 09 28 13 42  MM  0.0  0.5    MM    MM    MM  MM     MM   8.3    MM   8.0   MM   MM    MM
2023 09 28 13 32  MM  0.0  0.5    MM    MM    MM  MM     MM   8.2    MM   7.9   MM   MM    MM
2023 09 28 13 22  MM  0.0  0.5    MM    MM    MM  MM     MM   8.2    MM   7.8   MM   MM    MM
