#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 11 13 45  MM  0.0   MM    MM    MM    MM  MM     MM  31.4    MM  26.3   MM   MM    MM
2023 09 11 13 30  MM  0.0   MM    MM    MM    MM  MM     MM  30.8    MM  26.2   MM   MM    MM
2023 09 11 13 15  MM  0.0   MM    MM    MM    MM  MM     MM  30.5    MM  26.3   MM   MM    MM
2023 09 11 13 00  MM  0.0   MM    MM    MM    MM  MM     MM  30.5    MM  26.6   MM   MM    MM
2023 09 11 12 45  MM  0.0   MM    MM    MM    MM  MM     MM  30.0    MM  26.7   MM   MM    MM
2023 09 11 12 30  MM  0.0   MM    MM    MM    MM  MM     MM  28.8    MM  26.3   MM   MM    MM
2023 09 11 12 15  MM  0.0   MM    MM    MM    MM  MM     MM  28.1    MM  26.0   MM   MM    MM
2023 09 11 12 00  MM  0.0   MM    MM    MM    MM  MM     MM  27.6    MM  25.7   MM   MM    MM
2023 09 11 11 45  MM  0.0   MM    MM    MM    MM  MM     MM  27.1    MM  25.4   MM   MM    MM
2023 09 11 11 30  MM  0.0   MM    MM    MM    MM  MM     MM  26.6    MM  24.9   MM   MM    MM
2023 09 11 11 15  MM  0.0   MM    MM    MM    MM  MM     MM  26.1    MM  24.6   MM   MM    MM
2023 09 11 11 00  MM  0.0   MM    MM    MM    MM  MM     MM  25.8    MM  24.4   MM   MM    MM
2023 09 11 10 45  MM  0.0   MM    MM    MM    MM  MM     MM  25.5    MM  24.3   MM   MM    MM
2023 09 11 10 30  MM  0.0   MM    MM    MM    MM  MM     MM  25.2    MM  24.2   MM   MM    MM
2023 09 11 10 15  MM  0.0   MM    MM    MM    MM  MM     MM  24.9    MM  23.9   MM   MM    MM
2023 09 11 10 00  MM  0.0   MM    MM    MM    MM  MM     MM  24.7    MM  23.7   MM   MM    MM
2023 08 02 17 15 150  1.0   MM    MM    MM    MM  MM     MM  31.7    MM  26.6   MM   MM    MM
2023 08 02 17 00 150  1.0   MM    MM    MM    MM  MM     MM  31.8    MM  26.7   MM   MM    MM
2023 08 02 16 45 150  1.5   MM    MM    MM    MM  MM     MM  31.3    MM  26.5   MM   MM    MM
2023 08 02 16 30 150  1.5   MM    MM    MM    MM  MM     MM  31.8    MM  26.5   MM   MM    MM
2023 08 02 16 15 160  1.5   MM    MM    MM    MM  MM     MM  31.6    MM  26.8   MM   MM    MM
2023 08 02 16 00 160  1.5   MM    MM    MM    MM  MM     MM  31.7    MM  26.9   MM   MM    MM
2023 08 02 15 45 150  1.0   MM    MM    MM    MM  MM     MM  31.5    MM  26.9   MM   MM    MM
2023 08 02 15 30 160  1.5   MM    MM    MM    MM  MM     MM  31.3    MM  26.7   MM   MM    MM
2023 08 02 15 15 150  1.5   MM    MM    MM    MM  MM     MM  31.2    MM  26.6   MM   MM    MM
2023 08 02 15 00 160  1.0   MM    MM    MM    MM  MM     MM  31.5    MM  26.7   MM   MM    MM
2023 08 02 14 45 160  1.0   MM    MM    MM    MM  MM     MM  31.7    MM  26.6   MM   MM    MM
2023 08 02 14 30 160  1.0   MM    MM    MM    MM  MM     MM  31.3    MM  26.3   MM   MM    MM
2023 08 02 14 15 160  1.0   MM    MM    MM    MM  MM     MM  31.3    MM  26.0   MM   MM    MM
2023 08 02 14 00 150  1.0   MM    MM    MM    MM  MM     MM  31.1    MM  25.8   MM   MM    MM
2023 08 02 13 45 160  1.0   MM    MM    MM    MM  MM     MM  31.1    MM  26.1   MM   MM    MM
2023 08 02 13 30 160  1.0   MM    MM    MM    MM  MM     MM  30.7    MM  25.7   MM   MM    MM
