#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 50 130  9.8   MM    MM    MM    MM  MM     MM    27    MM    24  8.7   MM    MM
2023 09 28 21 30  90 10.3   MM    MM    MM    MM  MM     MM    28    MM    24  7.8   MM    MM
2023 09 28 21 10  90  8.8   MM    MM    MM    MM  MM     MM    28    MM    24  7.8   MM    MM
2023 09 28 20 50 110  8.2   MM    MM    MM    MM  MM     MM    30    MM    23  8.7   MM    MM
2023 09 28 20 30  90  5.1   MM    MM    MM    MM  MM     MM    29    MM    24  8.7   MM    MM
2023 09 28 20 10  90  3.1   MM    MM    MM    MM  MM     MM    30    MM    23  8.7   MM    MM
2023 09 28 19 50 120  3.6   MM    MM    MM    MM  MM     MM    30    MM    23  8.7   MM    MM
2023 09 28 19 30 150  3.6   MM    MM    MM    MM  MM     MM    30    MM    23  8.7   MM    MM
2023 09 28 19 10 160  3.6   MM    MM    MM    MM  MM     MM    30    MM    23  8.7   MM    MM
2023 09 28 18 50 140  4.1   MM    MM    MM    MM  MM     MM    30    MM    23  8.7   MM    MM
2023 09 28 18 30 170  3.1   MM    MM    MM    MM  MM     MM    30    MM    23  8.7   MM    MM
2023 09 28 18 10 170  4.1   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
2023 09 28 17 50 170  4.1   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
2023 09 28 17 30 170  4.1   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
2023 09 28 17 10 170  3.6   MM    MM    MM    MM  MM     MM    29    MM    23   MM   MM    MM
2023 09 28 16 50 160  3.6   MM    MM    MM    MM  MM     MM    30    MM    23  8.7   MM    MM
2023 09 28 16 30 150  4.6   MM    MM    MM    MM  MM     MM    30    MM    23  8.7   MM    MM
2023 09 28 16 10 150  3.1   MM    MM    MM    MM  MM     MM    30    MM    23  8.7   MM    MM
2023 09 28 15 50 140  2.6   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
2023 09 28 15 30 130  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
2023 09 28 15 10 140  2.1  5.1    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
2023 09 28 14 45 160  3.6   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
2023 09 28 14 25 170  3.6   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
2023 09 28 14 10 170  3.6   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
2023 09 28 13 50  MM    0   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
2023 09 28 13 30  MM  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
2023 09 28 13 10  MM  3.1   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
2023 09 28 12 50  MM    0   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
