#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 36 200  4.6  7.2    MM    MM    MM  MM 1013.8  10.0    MM   8.1   MM   MM    MM
2023 09 28 21 26 220  4.6  8.8    MM    MM    MM  MM 1013.8  10.0    MM   7.9   MM   MM    MM
2023 09 28 21 16 200  4.6  8.8    MM    MM    MM  MM 1013.7  10.0    MM   8.1   MM   MM    MM
2023 09 28 21 06 210  6.2  8.8    MM    MM    MM  MM 1013.7  10.0    MM   8.2   MM   MM    MM
2023 09 28 20 56 210  6.7  9.8    MM    MM    MM  MM 1013.6   9.9    MM   8.2   MM   MM    MM
2023 09 28 20 46 210  6.7 10.8    MM    MM    MM  MM 1013.6   9.9    MM   8.2   MM   MM    MM
2023 09 28 20 36 210  7.2 10.8    MM    MM    MM  MM 1013.5   9.9    MM   8.2   MM   MM    MM
2023 09 28 20 26 210  6.7 10.3    MM    MM    MM  MM 1013.4   9.9    MM   8.2   MM   MM    MM
2023 09 28 20 16 220  7.2 10.8    MM    MM    MM  MM 1013.3   9.9    MM   8.1   MM   MM    MM
2023 09 28 20 06 210  8.2 12.4    MM    MM    MM  MM 1013.1   9.8    MM   8.2   MM   MM    MM
2023 09 28 19 57 210  8.2 12.4    MM    MM    MM  MM 1013.3   9.8    MM   8.2   MM   MM    MM
2023 09 28 19 46 210  9.3 13.4    MM    MM    MM  MM 1013.4   9.8    MM   8.2   MM   MM    MM
2023 09 28 19 36 210  8.8 13.4    MM    MM    MM  MM 1013.3   9.8    MM   8.1   MM   MM    MM
2023 09 28 19 26 200  8.8 11.8    MM    MM    MM  MM 1013.5   9.8    MM   8.2   MM   MM    MM
2023 09 28 19 15 200  9.3 12.9    MM    MM    MM  MM 1013.5   9.8    MM   8.1   MM   MM    MM
2023 09 28 19 06 200  9.3 13.4    MM    MM    MM  MM 1013.5   9.8    MM   8.1   MM   MM    MM
2023 09 28 18 56 190  8.2 11.3    MM    MM    MM  MM 1013.4   9.8    MM   8.2   MM   MM    MM
2023 09 28 18 46 200  8.2 11.8    MM    MM    MM  MM 1013.5   9.8    MM   8.1   MM   MM    MM
2023 09 28 18 36 210  8.8 12.4    MM    MM    MM  MM 1013.4   9.8    MM   8.2   MM   MM    MM
2023 09 28 18 26 200  7.7 12.4    MM    MM    MM  MM 1013.5   9.8    MM   8.2   MM   MM    MM
2023 09 28 18 16 200  7.2 10.8    MM    MM    MM  MM 1013.6   9.8    MM   8.1   MM   MM    MM
2023 09 28 18 04 200  7.2 10.3    MM    MM    MM  MM 1013.6   9.7    MM   8.2   MM   MM    MM
2023 09 28 17 55 200  6.7  9.3    MM    MM    MM  MM 1013.6   9.8    MM   8.2   MM   MM    MM
2023 09 28 17 46 210  6.7 10.8    MM    MM    MM  MM 1013.6   9.8    MM   7.8   MM   MM    MM
2023 09 28 17 37 210  6.2 10.3    MM    MM    MM  MM 1013.5   9.7    MM   7.8   MM   MM    MM
2023 09 28 17 26 220  5.7  9.3    MM    MM    MM  MM 1013.4   9.7    MM   7.6   MM   MM    MM
2023 09 28 17 16 210  4.6  7.2    MM    MM    MM  MM 1013.3   9.6    MM   7.7   MM   MM    MM
2023 09 28 17 06 200  5.1  9.8    MM    MM    MM  MM 1013.3   9.6    MM   7.8   MM   MM    MM
2023 09 28 16 56 190  4.6  6.7    MM    MM    MM  MM 1013.5   9.6    MM   8.0   MM   MM    MM
2023 09 28 16 46 190  5.1  7.2    MM    MM    MM  MM 1013.5   9.7    MM   8.1   MM   MM    MM
2023 09 28 16 36 210  5.1  9.3    MM    MM    MM  MM 1013.5   9.6    MM   7.9   MM   MM    MM
