#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 20 56  90  4.1   MM    MM    MM    MM  MM 1018.3  16.7    MM  13.3   MM   MM    MM
2023 09 28 19 56 110  4.1   MM    MM    MM    MM  MM 1019.1  17.2    MM  13.3   MM   MM    MM
2023 09 28 18 56 110  4.6   MM    MM    MM    MM  MM 1019.6  17.8    MM  13.9   MM   MM    MM
2023 09 28 17 56 110  4.6   MM    MM    MM    MM  MM 1020.2  17.8    MM  13.9   MM   MM    MM
2023 09 28 16 56 120  3.1   MM    MM    MM    MM  MM 1020.8  16.7    MM  13.3   MM   MM    MM
2023 09 28 15 56 120  3.1   MM    MM    MM    MM  MM 1021.2  16.1    MM  13.3   MM   MM    MM
2023 09 28 14 56 140  3.6   MM    MM    MM    MM  MM 1021.8  15.6    MM  13.3   MM   MM    MM
2023 09 28 13 56 110  4.6   MM    MM    MM    MM  MM 1021.7  15.6    MM  13.3   MM   MM    MM
2023 09 28 12 56 110  3.1   MM    MM    MM    MM  MM 1021.7  15.6    MM  13.3   MM   MM    MM
2023 09 28 11 56 110  3.1   MM    MM    MM    MM  MM 1021.5  15.6    MM  13.3   MM   MM    MM
2023 09 28 10 56  80  3.1   MM    MM    MM    MM  MM 1021.2  15.6    MM  12.8   MM   MM    MM
2023 09 28 09 56  80  2.6   MM    MM    MM    MM  MM 1021.3  15.6    MM  12.8   MM   MM    MM
2023 09 28 08 56  MM    0   MM    MM    MM    MM  MM 1021.3  15.0    MM  12.8   MM   MM    MM
2023 09 28 07 56  70  2.1   MM    MM    MM    MM  MM 1021.4  15.0    MM  12.2   MM   MM    MM
2023 09 28 06 56  70  2.6   MM    MM    MM    MM  MM 1021.6  15.0    MM  12.2   MM   MM    MM
2023 09 28 05 56  80  3.1   MM    MM    MM    MM  MM 1021.5  15.0    MM  12.2   MM   MM    MM
2023 09 28 04 56  60  2.6   MM    MM    MM    MM  MM 1021.8  15.6    MM  12.2   MM   MM    MM
2023 09 28 03 56  80  4.6   MM    MM    MM    MM  MM 1021.9  15.6    MM  12.2   MM   MM    MM
2023 09 28 02 56  80  3.6   MM    MM    MM    MM  MM 1022.2  15.6    MM  12.2   MM   MM    MM
