#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 30 100  7.2   MM    MM    MM    MM  MM     MM    26    MM    23  8.7   MM    MM
2023 09 28 21 15 100  8.2   MM    MM    MM    MM  MM     MM    27    MM    23  8.7   MM    MM
2023 09 28 20 55  80  7.7   MM    MM    MM    MM  MM     MM    27    MM    23  8.7   MM    MM
2023 09 28 20 30  80  7.7   MM    MM    MM    MM  MM     MM    27    MM    23  8.7   MM    MM
2023 09 28 20 15  80  9.3   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 19 55  80  4.6   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 19 35  90  3.6   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 19 10 100  3.1   MM    MM    MM    MM  MM     MM    28    MM    21  8.7   MM    MM
2023 09 28 18 50 130  3.1   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 18 30 120  2.6   MM    MM    MM    MM  MM     MM    28    MM    22   MM   MM    MM
2023 09 28 18 10 200  2.1   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 17 55 210  2.6   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 17 30 170  2.6   MM    MM    MM    MM  MM     MM    27    MM    22  8.7   MM    MM
2023 09 28 17 10 140  5.1  7.7    MM    MM    MM  MM     MM    27    MM    22  8.7   MM    MM
2023 09 28 16 55 110  5.7   MM    MM    MM    MM  MM     MM    27    MM    22  8.7   MM    MM
2023 09 28 16 35 150  2.1   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 16 15 150  2.1   MM    MM    MM    MM  MM     MM    29    MM    22  8.7   MM    MM
2023 09 28 15 50   0   MM 28.8    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 15 30  MM    0   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
2023 09 28 15 10  MM    0   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 14 55  MM    0   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 14 30  MM    0   MM    MM    MM    MM  MM     MM    27    MM    23  8.7   MM    MM
2023 09 28 14 15  MM    0   MM    MM    MM    MM  MM     MM    27    MM    23  8.7   MM    MM
2023 09 28 13 50  MM    0   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 13 30  MM    0   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 13 10  MM    0   MM    MM    MM    MM  MM     MM    27    MM    23  8.7   MM    MM
2023 09 28 12 55  MM    0   MM    MM    MM    MM  MM     MM    27    MM    23  8.7   MM    MM
2023 09 28 12 35  MM    0   MM    MM    MM    MM  MM     MM    27    MM    22  8.7   MM    MM
2023 09 28 12 15  MM    0   MM    MM    MM    MM  MM     MM    26    MM    23  8.7   MM    MM
2023 09 28 11 55 110  1.5   MM    MM    MM    MM  MM     MM    26    MM    22  8.7   MM    MM
2023 09 28 11 35 120  1.5   MM    MM    MM    MM  MM     MM    26    MM    21  8.7   MM    MM
2023 09 28 11 15  90  5.7   MM    MM    MM    MM  MM     MM    26    MM    22  8.7   MM    MM
2023 09 28 10 50 110  2.1   MM    MM    MM    MM  MM     MM    27    MM    23  8.7   MM    MM
2023 09 28 10 30  80  1.5   MM    MM    MM    MM  MM     MM    26    MM    23  8.7   MM    MM
2023 09 28 10 15 140  2.1   MM    MM    MM    MM  MM     MM    26    MM    22  8.7   MM    MM
2023 09 28 09 50  MM    0   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 09 30  MM    0   MM    MM    MM    MM  MM     MM    32    MM    23  8.7   MM    MM
2023 09 28 09 10  MM    0   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
2023 09 28 08 50  MM    0   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 08 30  MM    0   MM    MM    MM    MM  MM     MM    32    MM    23  8.7   MM    MM
2023 09 28 08 10  MM    0   MM    MM    MM    MM  MM     MM    30    MM    23  8.7   MM    MM
2023 09 28 07 55  MM    0   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 07 30  MM    0   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 07 15  MM    0   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 06 55  50  2.1   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 06 30  60  3.6   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 06 10  60  4.6   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 05 50  60  5.1   MM    MM    MM    MM  MM     MM    27    MM    22  8.7   MM    MM
2023 09 28 05 30  60  5.7   MM    MM    MM    MM  MM     MM    27    MM    23  8.7   MM    MM
2023 09 28 05 15  50  7.2   MM    MM    MM    MM  MM     MM    27    MM    23  8.7   MM    MM
2023 09 28 04 55  50  6.7   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 04 35  50  7.2   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 04 15  50  8.2   MM    MM    MM    MM  MM     MM    28    MM    22   MM   MM    MM
2023 09 28 03 50  50  9.3   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 03 35  60  8.8   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 03 10  50  8.2   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 02 55  50  8.2   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 02 35  60  8.2   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 02 10  50  9.3   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 01 55  50  8.8   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 01 35  50  6.2  9.8    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 01 15  50  6.7   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 00 55  50  7.2   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 00 30  50  7.7   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 00 15  50  6.7   MM    MM    MM    MM  MM     MM    28    MM    21  8.7   MM    MM
2023 09 27 23 55  50  7.7   MM    MM    MM    MM  MM     MM    27    MM    23  8.7   MM    MM
2023 09 27 23 35  50  7.2   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
