#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 30  60  4.1   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 28 21 15  50  3.6   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 28 20 55  80  3.1   MM    MM    MM    MM  MM     MM    28    MM    24  3.5   MM    MM
2023 09 28 20 35  90  3.1   MM    MM    MM    MM  MM     MM    28    MM    23  4.3   MM    MM
2023 09 28 20 15  20  2.6   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 28 19 55  50  3.1   MM    MM    MM    MM  MM     MM    29    MM    24  5.2   MM    MM
2023 09 28 19 35  50  3.1   MM    MM    MM    MM  MM     MM    29    MM    24  4.3   MM    MM
2023 09 28 19 15  60  3.6   MM    MM    MM    MM  MM     MM    29    MM    24  4.3   MM    MM
2023 09 28 18 55  60  4.1   MM    MM    MM    MM  MM     MM    29    MM    23  4.3   MM    MM
2023 09 28 18 35  60  4.1   MM    MM    MM    MM  MM     MM    29    MM    23  4.3   MM    MM
2023 09 28 18 15  70  3.6   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 28 17 55  60  3.1   MM    MM    MM    MM  MM     MM    29    MM    24  6.1   MM    MM
2023 09 28 17 35  60  3.6   MM    MM    MM    MM  MM     MM    29    MM    24  5.2   MM    MM
2023 09 28 17 15  60  4.1   MM    MM    MM    MM  MM     MM    29    MM    24  5.2   MM    MM
2023 09 28 16 55  60  4.1   MM    MM    MM    MM  MM     MM    29    MM    24  5.2   MM    MM
2023 09 28 16 35  60  2.6   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 28 16 15  60  3.1   MM    MM    MM    MM  MM     MM    29    MM    23  4.3   MM    MM
2023 09 28 15 55  60  2.6   MM    MM    MM    MM  MM     MM    29    MM    23  4.3   MM    MM
2023 09 28 15 35  60  2.6   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 28 15 15  60  3.1   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 28 14 55  60  3.1   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 28 14 35  70  2.6   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 14 15  60  2.6   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 13 55  70  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 28 13 35  70  2.6   MM    MM    MM    MM  MM     MM    29    MM    23  4.3   MM    MM
2023 09 28 13 15 360  1.5   MM    MM    MM    MM  MM     MM    28    MM    23  5.2   MM    MM
2023 09 28 12 55  70  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 28 12 35  MM    0   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 12 10  70  2.1   MM    MM    MM    MM  MM     MM    29    MM    22  5.2   MM    MM
2023 09 28 11 50  70  2.1   MM    MM    MM    MM  MM     MM    29    MM    22  7.0   MM    MM
2023 09 28 11 35  70  2.1   MM    MM    MM    MM  MM     MM    29    MM    22  7.0   MM    MM
2023 09 28 11 15  70  1.5   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 10 55  80  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  7.0   MM    MM
2023 09 28 10 35  90  1.5   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 10 15  70  1.5   MM    MM    MM    MM  MM     MM    29    MM    22  6.1   MM    MM
2023 09 28 09 55  90  1.5   MM    MM    MM    MM  MM     MM    29    MM    22  6.1   MM    MM
2023 09 28 09 35  90  1.5   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 09 15  90  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 08 55  80  2.1   MM    MM    MM    MM  MM     MM    29    MM    22  6.1   MM    MM
2023 09 28 08 35  80  1.5   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 28 08 15  80  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 07 55  80  2.6   MM    MM    MM    MM  MM     MM    29    MM    22  6.1   MM    MM
2023 09 28 07 35  90  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 07 15  90  1.5   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 06 55 100  2.1   MM    MM    MM    MM  MM     MM    29    MM    22  6.1   MM    MM
2023 09 28 06 35  80  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 06 15 100  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 05 55  90  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 05 35  90  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  7.0   MM    MM
2023 09 28 05 10  90  2.6   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 28 04 55  80  2.6   MM    MM    MM    MM  MM     MM    29    MM    22  6.1   MM    MM
2023 09 28 04 35 100  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  7.0   MM    MM
2023 09 28 04 15  90  2.1   MM    MM    MM    MM  MM     MM    29    MM    22  6.1   MM    MM
2023 09 28 03 55  90  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  7.0   MM    MM
2023 09 28 03 35  90  2.6   MM    MM    MM    MM  MM     MM    29    MM    22  7.0   MM    MM
2023 09 28 03 15  90  2.6   MM    MM    MM    MM  MM     MM    29    MM    22  7.0   MM    MM
2023 09 28 02 55  80  3.1   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 02 35  80  2.6   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 02 15  80  3.1   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 01 55  80  3.1   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 01 35  80  3.1   MM    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 28 01 15  80  2.1   MM    MM    MM    MM  MM     MM    28    MM    23  6.1   MM    MM
2023 09 28 00 55 100  3.1  6.7    MM    MM    MM  MM     MM    28    MM    22  6.1   MM    MM
2023 09 28 00 35  70  3.1   MM    MM    MM    MM  MM     MM    29    MM    23  7.0   MM    MM
2023 09 28 00 15  90  2.6   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 27 23 55  80  2.6   MM    MM    MM    MM  MM     MM    29    MM    22  5.2   MM    MM
2023 09 27 23 35  70  3.1   MM    MM    MM    MM  MM     MM    29    MM    22  5.2   MM    MM
2023 09 27 23 15  80  3.1   MM    MM    MM    MM  MM     MM    29    MM    22  5.2   MM    MM
2023 09 27 22 55  90  2.6   MM    MM    MM    MM  MM     MM    29    MM    22  5.2   MM    MM
2023 09 27 22 35  70  3.1   MM    MM    MM    MM  MM     MM    29    MM    22  4.3   MM    MM
2023 09 27 22 15  70  2.6   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 27 21 55  70  3.1   MM    MM    MM    MM  MM     MM    29    MM    22  5.2   MM    MM
2023 09 27 21 35  60  3.1   MM    MM    MM    MM  MM     MM    29    MM    22  5.2   MM    MM
2023 09 27 21 15  70  3.6   MM    MM    MM    MM  MM     MM    30    MM    22  5.2   MM    MM
2023 09 27 20 55  50  2.1   MM    MM    MM    MM  MM     MM    29    MM    22  5.2   MM    MM
2023 09 27 20 35  60  2.6   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 27 20 15  50  1.5   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 27 19 55  50  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 27 19 35  50  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 27 19 15  40  1.5   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 27 18 55  70  2.1   MM    MM    MM    MM  MM     MM    28    MM    24  4.3   MM    MM
2023 09 27 18 35  70  2.1   MM    MM    MM    MM  MM     MM    29    MM    24  5.2   MM    MM
2023 09 27 18 15  80  2.1   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 27 17 55  80  2.6   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 27 17 35  40  1.5   MM    MM    MM    MM  MM     MM    30    MM    22  5.2   MM    MM
2023 09 27 17 15  MM    0   MM    MM    MM    MM  MM     MM    30    MM    23  5.2   MM    MM
2023 09 27 16 55  MM    0   MM    MM    MM    MM  MM     MM    30    MM    22  5.2   MM    MM
2023 09 27 16 35  MM    0   MM    MM    MM    MM  MM     MM    30    MM    22  5.2   MM    MM
2023 09 27 16 15   0   MM 10.8    MM    MM    MM  MM     MM    29    MM    23  6.1   MM    MM
2023 09 27 15 50  MM    0   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 27 15 35  MM    0   MM    MM    MM    MM  MM     MM    30    MM    23  5.2   MM    MM
2023 09 27 15 10  MM    0   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
2023 09 27 14 55  MM    0   MM    MM    MM    MM  MM     MM    29    MM    23  5.2   MM    MM
