#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 42 220  1.0  1.5    MM    MM    MM  MM     MM  10.6    MM   3.2   MM   MM    MM
2023 09 28 21 32 190  0.5  1.0    MM    MM    MM  MM     MM  10.9    MM   2.9   MM   MM    MM
2023 09 28 21 22  50  1.0  1.5    MM    MM    MM  MM     MM  10.5    MM   2.6   MM   MM    MM
2023 09 28 21 12  30  0.5  1.0    MM    MM    MM  MM     MM  10.7    MM   2.9   MM   MM    MM
2023 09 28 21 02  20  0.5  1.0    MM    MM    MM  MM     MM  10.9    MM   2.8   MM   MM    MM
2023 09 28 20 52 250  0.5  1.5    MM    MM    MM  MM     MM  10.7    MM   3.1   MM   MM    MM
2023 09 28 20 42 330  0.5  1.5    MM    MM    MM  MM     MM  10.5    MM   3.0   MM   MM    MM
2023 09 28 20 32  10  0.5  1.0    MM    MM    MM  MM     MM  10.7    MM   2.5   MM   MM    MM
2023 09 28 20 22 360  1.0  1.5    MM    MM    MM  MM     MM  10.5    MM   1.7   MM   MM    MM
2023 09 28 20 12  MM  0.0  1.0    MM    MM    MM  MM     MM  11.2    MM   2.2   MM   MM    MM
2023 09 28 20 02  MM  0.0  1.0    MM    MM    MM  MM     MM  10.5    MM   3.1   MM   MM    MM
2023 09 28 19 52 260  1.0  1.5    MM    MM    MM  MM     MM   9.8    MM   3.5   MM   MM    MM
2023 09 28 19 42 280  1.0  1.5    MM    MM    MM  MM     MM   9.2    MM   3.1   MM   MM    MM
2023 09 28 19 31 250  1.0  1.5    MM    MM    MM  MM     MM   8.5    MM   2.6   MM   MM    MM
2023 09 28 19 22 230  1.0  2.1    MM    MM    MM  MM     MM   8.2    MM   3.3   MM   MM    MM
2023 09 28 19 10 240  1.0  2.1    MM    MM    MM  MM     MM   8.4    MM   3.3   MM   MM    MM
2023 09 28 19 02 240  0.5  1.0    MM    MM    MM  MM     MM   8.7    MM   3.4   MM   MM    MM
2023 09 28 18 51  MM  0.0  1.0    MM    MM    MM  MM     MM   8.2    MM   3.3   MM   MM    MM
2023 09 28 18 42 310  0.5  1.0    MM    MM    MM  MM     MM   7.5    MM   2.9   MM   MM    MM
2023 09 28 18 32 260  1.0  1.5    MM    MM    MM  MM     MM   7.0    MM   2.9   MM   MM    MM
2023 09 28 18 22 280  1.0  2.1    MM    MM    MM  MM     MM   6.9    MM   3.1   MM   MM    MM
2023 09 28 18 11 270  1.0  2.1    MM    MM    MM  MM     MM   7.1    MM   3.2   MM   MM    MM
2023 09 28 18 00 260  1.0  1.5    MM    MM    MM  MM     MM   7.0    MM   3.1   MM   MM    MM
2023 09 28 17 52 270  0.5  1.5    MM    MM    MM  MM     MM   6.8    MM   2.9   MM   MM    MM
2023 09 28 17 42 260  1.0  1.5    MM    MM    MM  MM     MM   6.7    MM   2.7   MM   MM    MM
2023 09 28 17 32 160  1.0  1.5    MM    MM    MM  MM     MM   6.5    MM   2.4   MM   MM    MM
2023 09 28 17 22 120  1.0  2.1    MM    MM    MM  MM     MM   6.4    MM   2.3   MM   MM    MM
2023 09 28 17 02 190  0.5  1.0    MM    MM    MM  MM     MM   6.4    MM   2.3   MM   MM    MM
2023 09 28 16 52  MM  0.0  1.0    MM    MM    MM  MM     MM   6.6    MM   2.2   MM   MM    MM
2023 09 28 16 42 140  0.5  1.0    MM    MM    MM  MM     MM   6.5    MM   1.9   MM   MM    MM
2023 09 28 16 32 330  0.5  1.5    MM    MM    MM  MM     MM   6.3    MM   1.2   MM   MM    MM
2023 09 28 16 22 260  1.5  2.6    MM    MM    MM  MM     MM   6.1    MM   1.6   MM   MM    MM
2023 09 28 16 12 270  1.0  2.1    MM    MM    MM  MM     MM   6.0    MM   1.7   MM   MM    MM
