#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 08 25 23 40 100  5.7   MM    MM    MM    MM  MM     MM    34    MM    25  8.7   MM    MM
2023 08 25 23 30  90  5.1   MM    MM    MM    MM  MM     MM    35    MM    25  8.7   MM    MM
2023 08 25 23 10 100  5.1   MM    MM    MM    MM  MM     MM    35    MM    25  8.7   MM    MM
2023 08 25 22 50  80  4.6   MM    MM    MM    MM  MM     MM    35    MM    25  8.7   MM    MM
2023 08 25 22 30  90  4.6   MM    MM    MM    MM  MM     MM    35    MM    25  8.7   MM    MM
2023 08 25 22 15  90  5.7   MM    MM    MM    MM  MM     MM    36    MM    25  7.8   MM    MM
2023 08 25 21 50 100  5.7   MM    MM    MM    MM  MM     MM    35    MM    25  7.0   MM    MM
2023 08 25 21 30 100  5.7   MM    MM    MM    MM  MM     MM    35    MM    25  6.1   MM    MM
2023 08 25 21 10  90  6.2   MM    MM    MM    MM  MM     MM    35    MM    25  4.3   MM    MM
2023 08 25 20 50 100  5.7   MM    MM    MM    MM  MM     MM    34    MM    25  8.7   MM    MM
2023 08 25 20 30 110  5.7   MM    MM    MM    MM  MM     MM    34    MM    25  8.7   MM    MM
2023 08 25 20 10 100  5.7   MM    MM    MM    MM  MM     MM    34    MM    25  8.7   MM    MM
2023 08 25 19 50 100  5.7   MM    MM    MM    MM  MM     MM    35    MM    25  7.8   MM    MM
2023 08 25 19 30  80  5.7   MM    MM    MM    MM  MM     MM    33    MM    25  8.7   MM    MM
2023 08 25 19 15 110  6.2   MM    MM    MM    MM  MM     MM    33    MM    25  8.7   MM    MM
2023 08 25 18 55 110  6.2   MM    MM    MM    MM  MM     MM    34    MM    25  8.7   MM    MM
2023 08 25 18 30 100  5.7   MM    MM    MM    MM  MM     MM    35    MM    25  8.7   MM    MM
2023 08 25 18 10 110  5.1   MM    MM    MM    MM  MM     MM    35    MM    25  8.7   MM    MM
2023 08 25 17 50 110  5.7   MM    MM    MM    MM  MM     MM    33    MM    24  8.7   MM    MM
2023 08 25 17 30 120  5.1   MM    MM    MM    MM  MM     MM    33    MM    25  8.7   MM    MM
2023 08 25 17 15 100  5.1   MM    MM    MM    MM  MM     MM    36    MM    25  8.7   MM    MM
2023 08 25 16 55 100  4.6   MM    MM    MM    MM  MM     MM    35    MM    25  8.7   MM    MM
2023 08 25 16 35 100  5.1   MM    MM    MM    MM  MM     MM    35    MM    25  8.7   MM    MM
2023 08 25 16 15  90  4.6   MM    MM    MM    MM  MM     MM    35    MM    24  8.7   MM    MM
2023 08 25 15 50 100  4.1   MM    MM    MM    MM  MM     MM    34    MM    25  8.7   MM    MM
2023 08 25 15 35 100  5.1   MM    MM    MM    MM  MM     MM    33    MM    26  8.7   MM    MM
2023 08 25 15 10 110  5.1   MM    MM    MM    MM  MM     MM    33    MM    25  8.7   MM    MM
2023 08 25 14 55 100  5.1   MM    MM    MM    MM  MM     MM    33    MM    26  8.7   MM    MM
2023 08 25 14 30 100  4.1   MM    MM    MM    MM  MM     MM    33    MM    25  8.7   MM    MM
2023 08 25 14 10 100  3.6   MM    MM    MM    MM  MM     MM    32    MM    25  8.7   MM    MM
2023 08 25 13 50  80  3.6   MM    MM    MM    MM  MM     MM    32    MM    25  8.7   MM    MM
2023 08 25 13 35  70  2.6   MM    MM    MM    MM  MM     MM    31    MM    25  8.7   MM    MM
2023 08 25 13 10  MM  2.1   MM    MM    MM    MM  MM     MM    31    MM    25  8.7   MM    MM
2023 08 25 12 50  MM    0   MM    MM    MM    MM  MM     MM    30    MM    25  8.7   MM    MM
2023 08 25 12 30 150  1.5   MM    MM    MM    MM  MM     MM    29    MM    25  8.7   MM    MM
2023 08 25 12 10  MM  1.5   MM    MM    MM    MM  MM     MM    29    MM    25  8.7   MM    MM
2023 08 25 11 50 150  1.5   MM    MM    MM    MM  MM     MM    29    MM    25  8.7   MM    MM
2023 08 25 11 30 130  2.6   MM    MM    MM    MM  MM     MM    29    MM    25  8.7   MM    MM
2023 08 25 11 10  MM  1.5   MM    MM    MM    MM  MM     MM    29    MM    25  8.7   MM    MM
2023 08 25 10 50 160  2.1   MM    MM    MM    MM  MM     MM    29    MM    25  8.7   MM    MM
2023 08 25 10 30 160  3.6  7.2    MM    MM    MM  MM     MM    29    MM    25  8.7   MM    MM
2023 08 25 10 10 160  3.1  6.2    MM    MM    MM  MM     MM    29    MM    24  8.7   MM    MM
2023 08 25 09 50  70  3.6   MM    MM    MM    MM  MM     MM    30    MM    25  8.7   MM    MM
2023 08 25 09 35 110  3.6   MM    MM    MM    MM  MM     MM    30    MM    25  8.7   MM    MM
2023 08 25 09 15 130  3.1   MM    MM    MM    MM  MM     MM    30    MM    25  8.7   MM    MM
2023 08 25 08 50 130  3.1   MM    MM    MM    MM  MM     MM    29    MM    26  8.7   MM    MM
2023 08 25 08 30  MM  2.1  5.1    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 08 15 120  4.1   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 07 50 110  4.6   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 07 35 110  4.1   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 07 10 110  5.1   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 06 50 110  5.1   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 06 30 110  6.2   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 06 10  80  5.1   MM    MM    MM    MM  MM     MM    31    MM    26  8.7   MM    MM
2023 08 25 05 50  80  4.1   MM    MM    MM    MM  MM     MM    32    MM    26  8.7   MM    MM
2023 08 25 05 35  70  4.1   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 05 10  80  4.1   MM    MM    MM    MM  MM     MM    32    MM    26  8.7   MM    MM
2023 08 25 04 50  70  4.1   MM    MM    MM    MM  MM     MM    31    MM    26  8.7   MM    MM
2023 08 25 04 30  70  4.6   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 04 10  70  3.6   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 03 50  70  4.1   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 03 30  70  3.1   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 03 15  70  4.6   MM    MM    MM    MM  MM     MM    30    MM    25  8.7   MM    MM
2023 08 25 02 50  60  4.6   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 02 30  70  4.1   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 02 15  70  3.6   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 01 55  60  4.1   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 01 30  50  3.1   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 01 10  40  3.1   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 00 50  50  3.6   MM    MM    MM    MM  MM     MM    30    MM    26  7.8   MM    MM
2023 08 25 00 30  60  3.6   MM    MM    MM    MM  MM     MM    30    MM    26  8.7   MM    MM
2023 08 25 00 10  50  3.1   MM    MM    MM    MM  MM     MM    30    MM    26  7.8   MM    MM
2023 08 24 23 50  50  3.1   MM    MM    MM    MM  MM     MM    30    MM    26  7.8   MM    MM
2023 08 24 23 30  50  3.1   MM    MM    MM    MM  MM     MM    31    MM    26  8.7   MM    MM
2023 08 24 23 10  50  3.1   MM    MM    MM    MM  MM     MM    31    MM    26  7.8   MM    MM
2023 08 24 22 55  40  3.6   MM    MM    MM    MM  MM     MM    31    MM    26  7.8   MM    MM
2023 08 24 22 30  30  4.1  6.7    MM    MM    MM  MM     MM    31    MM    26  7.8   MM    MM
2023 08 24 22 10  40  6.7   MM    MM    MM    MM  MM     MM    32    MM    26  8.7   MM    MM
2023 08 24 21 50  40  5.7   MM    MM    MM    MM  MM     MM    31    MM    26  7.8   MM    MM
2023 08 24 21 30  30  3.6   MM    MM    MM    MM  MM     MM    32    MM    26  8.7   MM    MM
2023 08 24 21 10  40  5.7   MM    MM    MM    MM  MM     MM    32    MM    26  8.7   MM    MM
2023 08 24 20 50  40  6.2   MM    MM    MM    MM  MM     MM    33    MM    26  8.7   MM    MM
2023 08 24 20 30  40  6.7   MM    MM    MM    MM  MM     MM    32    MM    25  8.7   MM    MM
2023 08 24 20 10  40  5.1   MM    MM    MM    MM  MM     MM    33    MM    25  7.8   MM    MM
2023 08 24 19 50  50  5.1   MM    MM    MM    MM  MM     MM    32    MM    25  7.8   MM    MM
2023 08 24 19 30  20  4.1   MM    MM    MM    MM  MM     MM    32    MM    25  8.7   MM    MM
2023 08 24 19 10  30  5.1   MM    MM    MM    MM  MM     MM    32    MM    25  8.7   MM    MM
2023 08 24 18 50  40  4.1   MM    MM    MM    MM  MM     MM    32    MM    25  8.7   MM    MM
2023 08 24 18 30  20  4.1   MM    MM    MM    MM  MM     MM    32    MM    25  8.7   MM    MM
2023 08 24 18 10  20  4.1   MM    MM    MM    MM  MM     MM    31    MM    25  8.7   MM    MM
2023 08 24 17 50  20  4.1   MM    MM    MM    MM  MM     MM    31    MM    25  8.7   MM    MM
2023 08 24 17 30  10  4.1   MM    MM    MM    MM  MM     MM    31    MM    25  8.7   MM    MM
2023 08 24 17 15  20  4.1   MM    MM    MM    MM  MM     MM    31    MM    25  8.7   MM    MM
2023 08 24 16 50  10  4.1   MM    MM    MM    MM  MM     MM    31    MM    25  8.7   MM    MM
2023 08 24 16 30  10  4.1   MM    MM    MM    MM  MM     MM    31    MM    25  8.7   MM    MM
