#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 42  MM  0.0  1.0    MM    MM    MM  MM     MM  10.9    MM   2.1   MM   MM    MM
2023 09 28 21 32  60  0.5  1.0    MM    MM    MM  MM     MM  10.3    MM   1.3   MM   MM    MM
2023 09 28 21 22  50  1.0  2.1    MM    MM    MM  MM     MM  10.1    MM   0.8   MM   MM    MM
2023 09 28 21 12 330  0.5  1.5    MM    MM    MM  MM     MM  10.1    MM   1.4   MM   MM    MM
2023 09 28 21 02  MM  0.0  1.0    MM    MM    MM  MM     MM  10.2    MM   1.9   MM   MM    MM
2023 09 28 20 52  MM  0.0  1.0    MM    MM    MM  MM     MM  10.3    MM   2.2   MM   MM    MM
2023 09 28 20 42  MM  0.0  1.0    MM    MM    MM  MM     MM  10.2    MM   2.6   MM   MM    MM
2023 09 28 20 32 200  0.5  1.0    MM    MM    MM  MM     MM   9.8    MM   2.8   MM   MM    MM
2023 09 28 20 22 240  1.0  1.5    MM    MM    MM  MM     MM   9.8    MM   2.5   MM   MM    MM
2023 09 28 20 12  MM  0.0  1.5    MM    MM    MM  MM     MM  10.7    MM   2.4   MM   MM    MM
2023 09 28 20 02  MM  0.0  1.0    MM    MM    MM  MM     MM  10.5    MM   1.5   MM   MM    MM
2023 09 28 19 52  MM  0.0  1.0    MM    MM    MM  MM     MM  10.6    MM   1.2   MM   MM    MM
2023 09 28 19 42  MM  0.0  1.0    MM    MM    MM  MM     MM  10.6    MM   1.0   MM   MM    MM
2023 09 28 19 32  MM  0.0  1.0    MM    MM    MM  MM     MM  10.7    MM   1.0   MM   MM    MM
2023 09 28 19 22  MM  0.0  1.0    MM    MM    MM  MM     MM  10.0    MM   1.4   MM   MM    MM
2023 09 28 19 11 230  0.5  1.5    MM    MM    MM  MM     MM   9.4    MM   0.9   MM   MM    MM
2023 09 28 19 03 230  1.0  1.5    MM    MM    MM  MM     MM   9.0    MM   0.6   MM   MM    MM
2023 09 28 18 52 220  1.0  1.5    MM    MM    MM  MM     MM   8.6    MM   0.7   MM   MM    MM
2023 09 28 18 42 200  0.5  1.5    MM    MM    MM  MM     MM   8.2    MM   1.4   MM   MM    MM
2023 09 28 18 32 200  1.0  1.5    MM    MM    MM  MM     MM   7.9    MM   2.1   MM   MM    MM
2023 09 28 18 22 210  1.0  1.5    MM    MM    MM  MM     MM   7.3    MM   2.0   MM   MM    MM
2023 09 28 18 12 210  1.0  1.5    MM    MM    MM  MM     MM   7.4    MM   2.9   MM   MM    MM
2023 09 28 18 00 220  1.0  1.5    MM    MM    MM  MM     MM   8.1    MM   2.0   MM   MM    MM
2023 09 28 17 52 210  1.0  1.5    MM    MM    MM  MM     MM   7.6    MM   1.8   MM   MM    MM
2023 09 28 17 42 220  0.5  1.0    MM    MM    MM  MM     MM   7.2    MM   1.8   MM   MM    MM
2023 09 28 17 32 360  0.5  1.5    MM    MM    MM  MM     MM   6.8    MM   1.7   MM   MM    MM
2023 09 28 17 22  10  1.0  1.5    MM    MM    MM  MM     MM   6.9    MM   1.9   MM   MM    MM
2023 09 28 17 02 220  1.5  2.1    MM    MM    MM  MM     MM   8.2    MM   0.5   MM   MM    MM
2023 09 28 16 52 230  1.5  2.1    MM    MM    MM  MM     MM   8.2    MM   0.2   MM   MM    MM
2023 09 28 16 42 240  1.0  2.1    MM    MM    MM  MM     MM   8.0    MM   0.1   MM   MM    MM
2023 09 28 16 32 220  1.0  2.1    MM    MM    MM  MM     MM   7.9    MM  -0.3   MM   MM    MM
2023 09 28 16 22 210  1.0  2.1    MM    MM    MM  MM     MM   7.7    MM  -1.1   MM   MM    MM
2023 09 28 16 12 210  2.1  2.6    MM    MM    MM  MM     MM   7.7    MM  -1.9   MM   MM    MM
2023 09 28 16 02 210  1.0  2.1    MM    MM    MM  MM     MM   6.6    MM  -0.8   MM   MM    MM
2023 09 28 15 52 220  1.0  1.5    MM    MM    MM  MM     MM   6.3    MM  -0.8   MM   MM    MM
2023 09 28 15 41 210  0.5  1.5    MM    MM    MM  MM     MM   6.0    MM  -0.2   MM   MM    MM
2023 09 28 15 32 240  1.0  1.5    MM    MM    MM  MM     MM   5.7    MM   1.3   MM   MM    MM
2023 09 28 15 22  MM  0.0  1.0    MM    MM    MM  MM     MM   6.1    MM   2.0   MM   MM    MM
2023 09 28 15 12  MM  0.0  1.0    MM    MM    MM  MM     MM   6.3    MM  -0.1   MM   MM    MM
2023 09 28 15 02 230  1.0  2.1    MM    MM    MM  MM     MM   6.5    MM  -0.1   MM   MM    MM
2023 09 28 14 52  MM  0.0  1.5    MM    MM    MM  MM     MM   6.2    MM   0.5   MM   MM    MM
2023 09 28 14 42  MM  0.0  1.0    MM    MM    MM  MM     MM   6.1    MM   0.7   MM   MM    MM
2023 09 28 14 32  MM  0.0  0.5    MM    MM    MM  MM     MM   6.3    MM   0.9   MM   MM    MM
2023 09 28 14 22 230  0.5  1.0    MM    MM    MM  MM     MM   6.6    MM   0.5   MM   MM    MM
2023 09 28 14 11  MM  0.0  1.0    MM    MM    MM  MM     MM   7.0    MM   0.2   MM   MM    MM
2023 09 28 14 02 200  0.5  1.5    MM    MM    MM  MM     MM   7.3    MM  -0.5   MM   MM    MM
2023 09 28 13 52 230  1.0  1.5    MM    MM    MM  MM     MM   7.1    MM  -0.5   MM   MM    MM
2023 09 28 13 42 320  0.5  1.0    MM    MM    MM  MM     MM   6.4    MM   1.3   MM   MM    MM
2023 09 28 13 31  MM  0.0  1.0    MM    MM    MM  MM     MM   6.5    MM   1.1   MM   MM    MM
2023 09 28 13 21  MM  0.0  0.5    MM    MM    MM  MM     MM   6.8    MM   0.9   MM   MM    MM
2023 09 28 13 12 150  0.5  1.5    MM    MM    MM  MM     MM   7.1    MM  -0.2   MM   MM    MM
2023 09 28 13 02 220  0.5  1.5    MM    MM    MM  MM     MM   7.4    MM  -1.0   MM   MM    MM
2023 09 28 12 51 300  0.5  1.0    MM    MM    MM  MM     MM   7.3    MM  -0.7   MM   MM    MM
2023 09 28 12 42  30  0.5  1.0    MM    MM    MM  MM     MM   7.1    MM  -0.2   MM   MM    MM
2023 09 28 12 32 360  1.0  1.5    MM    MM    MM  MM     MM   7.2    MM   0.0   MM   MM    MM
2023 09 28 12 22 350  0.5  1.5    MM    MM    MM  MM     MM   6.5    MM   1.0   MM   MM    MM
2023 09 28 12 11  MM  0.0  1.0    MM    MM    MM  MM     MM   6.6    MM   1.7   MM   MM    MM
2023 09 28 12 02  70  0.5  3.1    MM    MM    MM  MM     MM   7.4    MM   1.0   MM   MM    MM
2023 09 28 11 52  40  0.5  1.0    MM    MM    MM  MM     MM   8.2    MM  -1.8   MM   MM    MM
2023 09 28 11 41  MM  0.0  1.0    MM    MM    MM  MM     MM   7.9    MM  -1.4   MM   MM    MM
2023 09 28 11 32 250  1.0  1.5    MM    MM    MM  MM     MM   7.7    MM  -1.1   MM   MM    MM
2023 09 28 11 21  10  1.0  1.5    MM    MM    MM  MM     MM   7.8    MM  -0.8   MM   MM    MM
2023 09 28 11 12  50  1.0  1.5    MM    MM    MM  MM     MM   7.6    MM  -0.7   MM   MM    MM
2023 09 28 11 02  40  1.0  1.5    MM    MM    MM  MM     MM   7.6    MM  -1.0   MM   MM    MM
2023 09 28 10 51  60  1.0  1.5    MM    MM    MM  MM     MM   7.5    MM  -0.8   MM   MM    MM
2023 09 28 10 41  MM  0.0  1.0    MM    MM    MM  MM     MM   8.1    MM  -1.3   MM   MM    MM
2023 09 28 10 32  10  0.5  1.5    MM    MM    MM  MM     MM   8.2    MM  -1.3   MM   MM    MM
2023 09 28 10 22 340  1.0  2.1    MM    MM    MM  MM     MM   8.3    MM  -1.2   MM   MM    MM
2023 09 28 10 11 200  1.0  2.1    MM    MM    MM  MM     MM   8.5    MM  -1.2   MM   MM    MM
2023 09 28 10 02 170  1.0  2.6    MM    MM    MM  MM     MM   8.9    MM  -1.4   MM   MM    MM
2023 09 28 09 52 250  2.1  3.1    MM    MM    MM  MM     MM   9.6    MM  -2.2   MM   MM    MM
2023 09 28 09 42 250  1.5  2.6    MM    MM    MM  MM     MM   9.0    MM  -1.4   MM   MM    MM
2023 09 28 09 32 300  1.0  2.1    MM    MM    MM  MM     MM   9.2    MM  -1.5   MM   MM    MM
2023 09 28 09 22  MM  0.0  1.0    MM    MM    MM  MM     MM   8.9    MM  -1.3   MM   MM    MM
2023 09 28 09 12 200  0.5  2.1    MM    MM    MM  MM     MM   8.9    MM  -1.2   MM   MM    MM
2023 09 28 09 01 200  1.5  3.1    MM    MM    MM  MM     MM   8.6    MM  -0.8   MM   MM    MM
2023 09 28 08 51 180  1.5  4.1    MM    MM    MM  MM     MM   8.8    MM  -0.8   MM   MM    MM
2023 09 28 08 41 220  2.6  3.6    MM    MM    MM  MM     MM   9.1    MM  -0.9   MM   MM    MM
