#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 44 260  3.1  4.1    MM    MM    MM  MM     MM   7.3    MM   0.7   MM   MM    MM
2023 09 28 21 34 260  3.1  3.6    MM    MM    MM  MM     MM   7.3    MM   0.4   MM   MM    MM
2023 09 28 21 23 260  3.6  4.6    MM    MM    MM  MM     MM   7.2    MM   0.7   MM   MM    MM
2023 09 28 21 13 270  3.1  5.1    MM    MM    MM  MM     MM   7.9    MM   0.4   MM   MM    MM
2023 09 28 21 04 360  2.1  4.1    MM    MM    MM  MM     MM   8.4    MM  -0.3   MM   MM    MM
2023 09 28 20 54 360  1.5  3.6    MM    MM    MM  MM     MM   8.1    MM  -0.5   MM   MM    MM
2023 09 28 20 44  30  2.1  4.1    MM    MM    MM  MM     MM   8.0    MM  -0.3   MM   MM    MM
2023 09 28 20 34  40  2.1  5.1    MM    MM    MM  MM     MM   7.9    MM  -0.1   MM   MM    MM
2023 09 28 20 24  70  2.1  3.6    MM    MM    MM  MM     MM   7.5    MM  -0.3   MM   MM    MM
2023 09 28 20 14  80  3.1  4.6    MM    MM    MM  MM     MM   7.2    MM  -0.2   MM   MM    MM
2023 09 28 20 04  90  3.6  5.1    MM    MM    MM  MM     MM   7.1    MM  -0.1   MM   MM    MM
2023 09 28 19 54  70  2.6  4.6    MM    MM    MM  MM     MM   7.0    MM   0.1   MM   MM    MM
2023 09 28 19 44 100  2.6  3.6    MM    MM    MM  MM     MM   6.6    MM   0.9   MM   MM    MM
2023 09 28 19 33  90  1.5  2.6    MM    MM    MM  MM     MM   6.1    MM   1.2   MM   MM    MM
2023 09 28 19 24 100  2.1  2.6    MM    MM    MM  MM     MM   5.4    MM   1.6   MM   MM    MM
2023 09 28 19 12 100  1.0  2.1    MM    MM    MM  MM     MM   5.2    MM   1.7   MM   MM    MM
2023 09 28 19 04  30  1.0  1.5    MM    MM    MM  MM     MM   4.5    MM   0.7   MM   MM    MM
2023 09 28 18 53  30  1.5  2.6    MM    MM    MM  MM     MM   3.8    MM   0.2   MM   MM    MM
2023 09 28 18 43  30  2.1  2.6    MM    MM    MM  MM     MM   3.4    MM  -0.1   MM   MM    MM
2023 09 28 18 34  30  2.6  3.6    MM    MM    MM  MM     MM   3.0    MM  -0.6   MM   MM    MM
2023 09 28 18 24  40  2.6  3.6    MM    MM    MM  MM     MM   2.8    MM  -0.7   MM   MM    MM
2023 09 28 18 13  30  3.1  4.1    MM    MM    MM  MM     MM   2.6    MM  -0.9   MM   MM    MM
2023 09 28 18 02  40  2.1  3.6    MM    MM    MM  MM     MM   2.2    MM  -1.0   MM   MM    MM
2023 09 28 17 54  50  2.1  2.6    MM    MM    MM  MM     MM   1.9    MM  -1.0   MM   MM    MM
2023 09 28 17 43  40  2.1  3.6    MM    MM    MM  MM     MM   1.6    MM  -1.1   MM   MM    MM
2023 09 28 17 34  50  2.6  3.1    MM    MM    MM  MM     MM   1.3    MM  -1.2   MM   MM    MM
2023 09 28 17 24  50  2.1  3.1    MM    MM    MM  MM     MM   1.0    MM  -1.2   MM   MM    MM
2023 09 28 17 13  50  2.1  3.1    MM    MM    MM  MM     MM   0.8    MM  -1.3   MM   MM    MM
2023 09 28 17 04  40  2.1  2.6    MM    MM    MM  MM     MM   0.7    MM  -1.8   MM   MM    MM
2023 09 28 16 54  40  2.1  2.6    MM    MM    MM  MM     MM   0.3    MM  -2.0   MM   MM    MM
2023 09 28 16 44  50  1.5  2.6    MM    MM    MM  MM     MM   0.3    MM  -1.9   MM   MM    MM
2023 09 28 16 34  10  2.1  3.6    MM    MM    MM  MM     MM  -0.5    MM  -2.1   MM   MM    MM
2023 09 28 16 24  10  2.6  4.1    MM    MM    MM  MM     MM  -0.9    MM  -2.2   MM   MM    MM
2023 09 28 16 14  30  1.5  2.6    MM    MM    MM  MM     MM  -1.0    MM  -2.5   MM   MM    MM
2023 09 28 16 04  40  1.5  2.6    MM    MM    MM  MM     MM  -0.9    MM  -2.3   MM   MM    MM
2023 09 28 15 53  30  1.0  2.6    MM    MM    MM  MM     MM  -0.9    MM  -2.5   MM   MM    MM
2023 09 28 15 43  40  1.5  3.1    MM    MM    MM  MM     MM  -0.7    MM  -2.3   MM   MM    MM
2023 09 28 15 33  60  1.0  3.1    MM    MM    MM  MM     MM  -0.5    MM  -2.2   MM   MM    MM
2023 09 28 15 24  50  1.0  2.6    MM    MM    MM  MM     MM  -0.4    MM  -2.3   MM   MM    MM
2023 09 28 15 14  10  2.6  3.6    MM    MM    MM  MM     MM   0.2    MM  -2.1   MM   MM    MM
2023 09 28 15 04  20  3.1  3.6    MM    MM    MM  MM     MM   0.8    MM  -1.9   MM   MM    MM
2023 09 28 14 54  20  2.6  3.6    MM    MM    MM  MM     MM   1.0    MM  -1.8   MM   MM    MM
2023 09 28 14 44  30  2.6  3.1    MM    MM    MM  MM     MM   1.2    MM  -1.8   MM   MM    MM
2023 09 28 14 34  30  2.6  3.1    MM    MM    MM  MM     MM   1.6    MM  -1.6   MM   MM    MM
2023 09 28 14 24  20  2.6  3.6    MM    MM    MM  MM     MM   2.3    MM  -1.3   MM   MM    MM
2023 09 28 14 13  30  2.1  2.6    MM    MM    MM  MM     MM   1.7    MM  -1.0   MM   MM    MM
2023 09 28 14 03  30  2.1  2.6    MM    MM    MM  MM     MM   1.8    MM  -0.6   MM   MM    MM
2023 09 28 13 54  70  2.1  3.1    MM    MM    MM  MM     MM   1.6    MM  -0.5   MM   MM    MM
2023 09 28 13 44  50  1.5  2.1    MM    MM    MM  MM     MM   1.9    MM  -0.5   MM   MM    MM
2023 09 28 13 33  80  2.6  3.6    MM    MM    MM  MM     MM   2.2    MM  -0.1   MM   MM    MM
2023 09 28 13 23  80  2.1  3.1    MM    MM    MM  MM     MM   3.1    MM  -0.2   MM   MM    MM
2023 09 28 13 13  80  3.1  4.6    MM    MM    MM  MM     MM   2.8    MM  -0.2   MM   MM    MM
2023 09 28 13 04  90  3.1  4.6    MM    MM    MM  MM     MM   3.3    MM  -0.4   MM   MM    MM
2023 09 28 12 53  70  2.1  3.6    MM    MM    MM  MM     MM   4.2    MM  -1.1   MM   MM    MM
2023 09 28 12 43  50  2.1  3.6    MM    MM    MM  MM     MM   4.8    MM  -1.9   MM   MM    MM
2023 09 28 12 34  40  2.6  4.1    MM    MM    MM  MM     MM   4.9    MM  -1.9   MM   MM    MM
2023 09 28 12 24  40  2.6  4.1    MM    MM    MM  MM     MM   4.8    MM  -1.7   MM   MM    MM
2023 09 28 12 13  40  3.1  4.1    MM    MM    MM  MM     MM   4.8    MM  -1.7   MM   MM    MM
2023 09 28 12 03  40  2.6  4.6    MM    MM    MM  MM     MM   4.6    MM  -1.5   MM   MM    MM
2023 09 28 11 54  50  2.6  3.6    MM    MM    MM  MM     MM   4.4    MM  -1.4   MM   MM    MM
2023 09 28 11 43  40  2.6  3.6    MM    MM    MM  MM     MM   4.3    MM  -1.3   MM   MM    MM
2023 09 28 11 33  40  2.6  3.6    MM    MM    MM  MM     MM   4.0    MM  -1.3   MM   MM    MM
2023 09 28 11 23  50  2.6  3.6    MM    MM    MM  MM     MM   3.9    MM  -1.3   MM   MM    MM
2023 09 28 11 13  20  2.6  3.1    MM    MM    MM  MM     MM   3.9    MM  -1.3   MM   MM    MM
2023 09 28 11 04  30  2.1  3.1    MM    MM    MM  MM     MM   3.8    MM  -1.3   MM   MM    MM
2023 09 28 10 53  50  2.1  2.6    MM    MM    MM  MM     MM   4.1    MM  -1.2   MM   MM    MM
2023 09 28 10 43  70  2.1  3.1    MM    MM    MM  MM     MM   4.6    MM  -1.1   MM   MM    MM
2023 09 28 10 33  50  2.1  3.6    MM    MM    MM  MM     MM   4.7    MM  -1.1   MM   MM    MM
2023 09 28 10 24  40  3.1  5.1    MM    MM    MM  MM     MM   5.0    MM  -1.0   MM   MM    MM
2023 09 28 10 13  50  2.6  4.6    MM    MM    MM  MM     MM   4.6    MM  -0.8   MM   MM    MM
2023 09 28 10 03  70  1.5  2.6    MM    MM    MM  MM     MM   4.6    MM  -0.7   MM   MM    MM
2023 09 28 09 54  60  1.5  3.6    MM    MM    MM  MM     MM   4.6    MM  -0.8   MM   MM    MM
2023 09 28 09 44  60  2.6  3.6    MM    MM    MM  MM     MM   4.7    MM  -0.8   MM   MM    MM
2023 09 28 09 34  60  2.6  4.6    MM    MM    MM  MM     MM   4.4    MM  -0.8   MM   MM    MM
2023 09 28 09 24  50  2.1  4.1    MM    MM    MM  MM     MM   3.8    MM  -0.9   MM   MM    MM
2023 09 28 09 14  40  2.6  4.1    MM    MM    MM  MM     MM   3.7    MM  -0.9   MM   MM    MM
2023 09 28 09 02  30  2.6  4.1    MM    MM    MM  MM     MM   3.8    MM  -0.7   MM   MM    MM
2023 09 28 08 53  30  2.6  4.1    MM    MM    MM  MM     MM   4.0    MM  -0.7   MM   MM    MM
2023 09 28 08 45  20  3.6  5.1    MM    MM    MM  MM     MM   4.2    MM  -0.6   MM   MM    MM
2023 09 28 08 42  20  3.6  5.1    MM    MM    MM  MM     MM   4.2    MM  -0.6   MM   MM    MM
2023 09 28 08 14  20  3.6  5.1    MM    MM    MM  MM     MM   4.7    MM  -0.4   MM   MM    MM
2023 09 28 08 03  20  4.1  6.2    MM    MM    MM  MM     MM   4.9    MM  -0.3   MM   MM    MM
2023 09 28 07 53  10  3.1  5.1    MM    MM    MM  MM     MM   4.8    MM  -0.4   MM   MM    MM
2023 09 28 07 44  20  3.6  5.7    MM    MM    MM  MM     MM   4.8    MM  -0.5   MM   MM    MM
2023 09 28 07 33  20  3.6  6.2    MM    MM    MM  MM     MM   4.8    MM  -0.4   MM   MM    MM
2023 09 28 07 23  20  3.1  5.1    MM    MM    MM  MM     MM   5.1    MM  -0.1   MM   MM    MM
2023 09 28 07 13  20  2.6  4.6    MM    MM    MM  MM     MM   5.8    MM  -0.2   MM   MM    MM
2023 09 28 07 03  10  2.6  5.1    MM    MM    MM  MM     MM   6.1    MM  -0.2   MM   MM    MM
2023 09 28 06 53 360  2.6  5.7    MM    MM    MM  MM     MM   6.2    MM   0.1   MM   MM    MM
2023 09 28 06 43 360  2.6  5.1    MM    MM    MM  MM     MM   6.4    MM   0.4   MM   MM    MM
2023 09 28 06 33 360  2.6  4.6    MM    MM    MM  MM     MM   6.8    MM   0.8   MM   MM    MM
2023 09 28 06 23 360  2.6  4.6    MM    MM    MM  MM     MM   7.1    MM   0.9   MM   MM    MM
2023 09 28 06 14 360  3.1  5.1    MM    MM    MM  MM     MM   7.3    MM   0.9   MM   MM    MM
2023 09 28 06 04 350  3.1  5.1    MM    MM    MM  MM     MM   7.4    MM   1.2   MM   MM    MM
