#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 41 180  6.2  9.3    MM    MM    MM  MM 1008.5   6.2    MM   5.8   MM   MM    MM
2023 09 28 21 31 180  7.2 10.8    MM    MM    MM  MM 1008.5   6.2    MM   5.8   MM   MM    MM
2023 09 28 21 21 180  6.7  9.8    MM    MM    MM  MM 1008.4   6.2    MM   5.8   MM   MM    MM
2023 09 28 21 11 180  6.7 10.8    MM    MM    MM  MM 1008.4   6.2    MM   5.8   MM   MM    MM
2023 09 28 20 51 180  6.2  9.8    MM    MM    MM  MM 1008.3   6.0    MM   5.7   MM   MM    MM
2023 09 28 20 41 180  5.7  8.8    MM    MM    MM  MM 1008.3   6.0    MM   5.8   MM   MM    MM
2023 09 28 20 21 180  6.2  9.3    MM    MM    MM  MM 1008.3   6.0    MM   5.8   MM   MM    MM
2023 09 28 20 11 180  5.1  7.7    MM    MM    MM  MM 1008.2   5.9    MM   5.8   MM   MM    MM
2023 09 28 20 01 180  6.2  8.8    MM    MM    MM  MM 1008.2   5.9    MM   5.7   MM   MM    MM
2023 09 28 19 52 180  6.7  9.3    MM    MM    MM  MM 1008.1   5.8    MM   5.6   MM   MM    MM
2023 09 28 19 41 180  6.2  8.8    MM    MM    MM  MM 1008.1   5.7    MM   5.7   MM   MM    MM
2023 09 28 19 31 180  6.2  8.8    MM    MM    MM  MM 1008.1   5.6    MM   5.6   MM   MM    MM
2023 09 28 19 21 180  6.7  9.3    MM    MM    MM  MM 1008.1   5.6    MM   5.6   MM   MM    MM
2023 09 28 19 10 180  5.7  8.8    MM    MM    MM  MM 1008.0   5.6    MM   5.6   MM   MM    MM
2023 09 28 19 02 170  5.1  8.8    MM    MM    MM  MM 1008.0   5.5    MM   5.5   MM   MM    MM
2023 09 28 18 51 170  5.7  8.8    MM    MM    MM  MM 1008.0   5.5    MM   5.5   MM   MM    MM
2023 09 28 18 41 170  5.1  7.7    MM    MM    MM  MM 1008.0   5.4    MM   5.4   MM   MM    MM
2023 09 28 18 31 170  5.1  8.2    MM    MM    MM  MM 1007.9   5.4    MM   5.4   MM   MM    MM
2023 09 28 18 21 180  5.1  8.2    MM    MM    MM  MM 1007.9   5.4    MM   5.4   MM   MM    MM
2023 09 28 18 11 180  5.7  9.3    MM    MM    MM  MM 1007.9   5.3    MM   5.3   MM   MM    MM
2023 09 28 17 59 150  3.6  7.7    MM    MM    MM  MM 1007.9   4.5    MM   4.5   MM   MM    MM
2023 09 28 17 52 150  3.6  7.7    MM    MM    MM  MM 1007.9   4.5    MM   4.5   MM   MM    MM
2023 09 28 17 41 140  3.6  6.7    MM    MM    MM  MM 1008.0   4.3    MM   4.3   MM   MM    MM
2023 09 28 17 32 140  4.6  7.2    MM    MM    MM  MM 1008.0   4.2    MM   4.2   MM   MM    MM
2023 09 28 17 21 140  4.1  6.7    MM    MM    MM  MM 1008.0   3.9    MM   3.9   MM   MM    MM
2023 09 28 17 11 130  4.6  7.7    MM    MM    MM  MM 1008.0   3.7    MM   3.7   MM   MM    MM
2023 09 28 17 01 130  4.6  7.2    MM    MM    MM  MM 1008.1   3.4    MM   3.4   MM   MM    MM
2023 09 28 16 51 130  4.6  7.7    MM    MM    MM  MM 1008.2   3.4    MM   3.4   MM   MM    MM
2023 09 28 16 41 130  4.6  8.2    MM    MM    MM  MM 1008.2   3.3    MM   3.3   MM   MM    MM
2023 09 28 16 31 130  5.1  8.8    MM    MM    MM  MM 1008.3   3.3    MM   3.3   MM   MM    MM
2023 09 28 16 21 130  5.1  8.8    MM    MM    MM  MM 1008.3   3.3    MM   3.3   MM   MM    MM
2023 09 28 16 11 130  5.1  9.3    MM    MM    MM  MM 1008.4   3.3    MM   3.3   MM   MM    MM
2023 09 28 16 01 130  5.1  8.8    MM    MM    MM  MM 1008.5   3.3    MM   3.3   MM   MM    MM
2023 09 28 15 51 130  5.1  8.8    MM    MM    MM  MM 1008.6   3.2    MM   3.2   MM   MM    MM
2023 09 28 15 40 130  5.1  9.3    MM    MM    MM  MM 1008.7   3.1    MM   3.1   MM   MM    MM
2023 09 28 15 31 130  5.7  9.8    MM    MM    MM  MM 1008.7   3.0    MM   3.0   MM   MM    MM
2023 09 28 15 21 120  5.7  9.3    MM    MM    MM  MM 1008.9   3.0    MM   3.0   MM   MM    MM
2023 09 28 15 11 130  4.6  8.2    MM    MM    MM  MM 1009.0   3.1    MM   3.0   MM   MM    MM
2023 09 28 15 01 130  4.6  8.2    MM    MM    MM  MM 1009.0   3.1    MM   2.9   MM   MM    MM
2023 09 28 14 51 130  4.6  7.7    MM    MM    MM  MM 1009.2   3.2    MM   3.1   MM   MM    MM
2023 09 28 14 41 140  4.6  7.2    MM    MM    MM  MM 1009.2   3.4    MM   3.4   MM   MM    MM
2023 09 28 14 31 130  4.1  7.7    MM    MM    MM  MM 1009.3   3.3    MM   3.3   MM   MM    MM
2023 09 28 14 21 130  4.1  6.7    MM    MM    MM  MM 1009.3   3.2    MM   3.2   MM   MM    MM
2023 09 28 14 10 130  4.1  6.7    MM    MM    MM  MM 1009.4   3.3    MM   3.3   MM   MM    MM
2023 09 28 14 01 130  4.1  6.7    MM    MM    MM  MM 1009.5   3.3    MM   3.2   MM   MM    MM
2023 09 28 13 51 130  4.1  7.2    MM    MM    MM  MM 1009.6   3.2    MM   3.0   MM   MM    MM
2023 09 28 13 42 130  4.1  6.7    MM    MM    MM  MM 1009.7   3.1    MM   2.9   MM   MM    MM
2023 09 28 13 31 130  4.1  6.7    MM    MM    MM  MM 1009.8   3.1    MM   2.8   MM   MM    MM
2023 09 28 13 21 130  4.1  7.7    MM    MM    MM  MM 1009.9   3.2    MM   2.6   MM   MM    MM
2023 09 28 13 11 130  4.1  6.7    MM    MM    MM  MM 1009.9   3.1    MM   2.6   MM   MM    MM
2023 09 28 13 01 130  4.1  6.7    MM    MM    MM  MM 1009.9   3.1    MM   2.6   MM   MM    MM
2023 09 28 12 50 120  4.6  7.2    MM    MM    MM  MM 1009.9   3.1    MM   2.7   MM   MM    MM
2023 09 28 12 41 130  3.6  7.2    MM    MM    MM  MM 1009.9   3.3    MM   2.9   MM   MM    MM
2023 09 28 12 31 130  3.6  7.2    MM    MM    MM  MM 1010.0   3.4    MM   3.0   MM   MM    MM
2023 09 28 12 21 130  3.6  6.2    MM    MM    MM  MM 1010.0   3.4    MM   3.0   MM   MM    MM
2023 09 28 12 10 130  3.1  5.7    MM    MM    MM  MM 1010.1   3.4    MM   3.0   MM   MM    MM
2023 09 28 12 01 130  3.1  6.2    MM    MM    MM  MM 1010.1   3.2    MM   2.9   MM   MM    MM
2023 09 28 11 51 130  3.6  5.7    MM    MM    MM  MM 1010.2   3.3    MM   2.8   MM   MM    MM
2023 09 28 11 40 130  3.6  6.2    MM    MM    MM  MM 1010.2   3.1    MM   2.8   MM   MM    MM
2023 09 28 11 31 130  3.1  5.1    MM    MM    MM  MM 1010.3   3.1    MM   2.8   MM   MM    MM
2023 09 28 11 20 130  3.6  6.7    MM    MM    MM  MM 1010.4   3.1    MM   2.9   MM   MM    MM
2023 09 28 11 11 130  4.1  6.2    MM    MM    MM  MM 1010.4   3.0    MM   2.9   MM   MM    MM
2023 09 28 11 01 130  4.1  6.7    MM    MM    MM  MM 1010.4   2.9    MM   2.8   MM   MM    MM
2023 09 28 10 50 130  4.1  6.7    MM    MM    MM  MM 1010.5   2.9    MM   2.8   MM   MM    MM
2023 09 28 10 41 120  4.1  6.2    MM    MM    MM  MM 1010.5   3.1    MM   2.9   MM   MM    MM
2023 09 28 10 31 130  4.1  7.2    MM    MM    MM  MM 1010.6   3.3    MM   3.1   MM   MM    MM
2023 09 28 10 21 130  4.1  6.7    MM    MM    MM  MM 1010.6   3.3    MM   3.2   MM   MM    MM
2023 09 28 10 10 130  4.1  7.7    MM    MM    MM  MM 1010.6   3.5    MM   3.3   MM   MM    MM
2023 09 28 10 01 130  4.1  6.2    MM    MM    MM  MM 1010.5   3.7    MM   3.4   MM   MM    MM
2023 09 28 09 52 140  4.6  7.2    MM    MM    MM  MM 1010.6   3.8    MM   3.5   MM   MM    MM
2023 09 28 09 41 130  4.6  7.7    MM    MM    MM  MM 1010.6   3.9    MM   3.6   MM   MM    MM
2023 09 28 09 31 130  3.6  6.7    MM    MM    MM  MM 1010.6   3.9    MM   3.7   MM   MM    MM
2023 09 28 09 21 120  3.6  6.2    MM    MM    MM  MM 1010.6   4.0    MM   3.7   MM   MM    MM
2023 09 28 09 11 130  3.1  5.7    MM    MM    MM  MM 1010.7   4.0    MM   3.7   MM   MM    MM
2023 09 28 09 00 140  4.1  7.2    MM    MM    MM  MM 1010.7   3.9    MM   3.6   MM   MM    MM
2023 09 28 08 51 130  4.1  7.2    MM    MM    MM  MM 1010.6   3.8    MM   3.6   MM   MM    MM
2023 09 28 08 40 120  3.6  6.7    MM    MM    MM  MM 1010.5   3.8    MM   3.6   MM   MM    MM
2023 09 28 08 22 120  4.1  6.7    MM    MM    MM  MM 1010.6   3.9    MM   3.5   MM   MM    MM
2023 09 28 08 11 120  4.6  8.2    MM    MM    MM  MM 1010.6   3.9    MM   3.6   MM   MM    MM
2023 09 28 08 00 120  4.6  7.2    MM    MM    MM  MM 1010.6   3.9    MM   3.5   MM   MM    MM
2023 09 28 07 51 120  4.1  6.7    MM    MM    MM  MM 1010.6   3.8    MM   3.3   MM   MM    MM
2023 09 28 07 41 150  3.6  5.7    MM    MM    MM  MM 1010.7   3.8    MM   3.1   MM   MM    MM
2023 09 28 07 30 130  3.6  6.7    MM    MM    MM  MM 1010.6   3.8    MM   2.9   MM   MM    MM
2023 09 28 07 21 130  3.6  6.2    MM    MM    MM  MM 1010.6   3.8    MM   2.7   MM   MM    MM
2023 09 28 07 10 120  3.1  5.7    MM    MM    MM  MM 1010.6   3.7    MM   2.6   MM   MM    MM
2023 09 28 07 01 120  3.6  5.7    MM    MM    MM  MM 1010.6   3.5    MM   2.3   MM   MM    MM
2023 09 28 06 50 110  3.6  6.7    MM    MM    MM  MM 1010.7   3.4    MM   2.2   MM   MM    MM
2023 09 28 06 41 110  3.6  5.1    MM    MM    MM  MM 1010.8   3.4    MM   2.2   MM   MM    MM
2023 09 28 06 30 110  3.1  5.7    MM    MM    MM  MM 1010.9   3.6    MM   2.3   MM   MM    MM
2023 09 28 06 21 110  3.6  5.7    MM    MM    MM  MM 1010.9   3.7    MM   2.4   MM   MM    MM
2023 09 28 06 11 120  3.1  5.1    MM    MM    MM  MM 1010.9   3.8    MM   2.5   MM   MM    MM
2023 09 28 06 01 120  3.1  5.1    MM    MM    MM  MM 1011.0   3.9    MM   2.5   MM   MM    MM
2023 09 28 05 51 120  3.1  5.1    MM    MM    MM  MM 1011.0   4.1    MM   2.5   MM   MM    MM
