#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 20 51  MM  2.1   MM    MM    MM    MM  MM 1019.3  18.9    MM  12.2   MM   MM    MM
2023 09 28 19 51 160  4.1   MM    MM    MM    MM  MM 1019.3  19.4    MM  12.2   MM   MM    MM
2023 09 28 18 51 200  3.6   MM    MM    MM    MM  MM 1020.3  18.9    MM  11.7   MM   MM    MM
2023 09 28 17 51 180  3.1   MM    MM    MM    MM  MM 1020.9  18.9    MM  12.8   MM   MM    MM
2023 09 28 16 51 180  2.1   MM    MM    MM    MM  MM 1021.5  18.3    MM  12.8   MM   MM    MM
2023 09 28 15 51  MM  2.1   MM    MM    MM    MM  MM 1021.7  17.8    MM  13.3   MM   MM    MM
2023 09 28 14 51 220  2.6   MM    MM    MM    MM  MM 1022.2  16.7    MM  13.3   MM   MM    MM
2023 09 28 13 51  MM  2.1   MM    MM    MM    MM  MM 1022.6  15.6    MM  13.3   MM   MM    MM
2023 09 28 12 51 190  1.5   MM    MM    MM    MM  MM 1022.6  15.0    MM  13.3   MM   MM    MM
2023 09 28 11 51  MM    0   MM    MM    MM    MM  MM 1022.5  12.8    MM  11.7   MM   MM    MM
2023 09 28 10 51  MM    0   MM    MM    MM    MM  MM 1022.4  11.7    MM  11.1   MM   MM    MM
2023 09 28 09 51  MM    0   MM    MM    MM    MM  MM 1022.4  11.7    MM  10.6   MM   MM    MM
2023 09 28 08 51  MM    0   MM    MM    MM    MM  MM 1022.3  11.7    MM  10.0   MM   MM    MM
2023 09 28 07 51  MM    0   MM    MM    MM    MM  MM 1022.2  13.9    MM  11.7   MM   MM    MM
2023 09 28 06 51 230  2.6   MM    MM    MM    MM  MM 1022.6  13.9    MM  11.7   MM   MM    MM
2023 09 28 05 51 230  2.1   MM    MM    MM    MM  MM 1022.7  14.4    MM  11.7   MM   MM    MM
2023 09 28 04 51 210  3.1   MM    MM    MM    MM  MM 1022.8  15.6    MM  11.7   MM   MM    MM
2023 09 28 03 51 200  3.6  8.2    MM    MM    MM  MM 1022.7  16.1    MM  12.2   MM   MM    MM
2023 09 28 02 51  MM  3.1   MM    MM    MM    MM  MM 1022.8  16.1    MM  11.7   MM   MM    MM
2023 09 28 01 51  MM  3.1   MM    MM    MM    MM  MM 1022.9  15.6    MM  12.2   MM   MM    MM
2023 09 28 00 51 190  3.6   MM    MM    MM    MM  MM 1022.9  16.1    MM  11.7   MM   MM    MM
2023 09 27 23 51  MM  3.1   MM    MM    MM    MM  MM 1023.1  15.6    MM  11.7   MM   MM    MM
2023 09 27 22 51  MM  1.5   MM    MM    MM    MM  MM 1023.1  16.7    MM  11.7   MM   MM    MM
2023 09 27 21 51 150  4.1  8.8    MM    MM    MM  MM 1023.2  17.8    MM  11.1   MM   MM    MM
2023 09 27 20 51 160  4.1   MM    MM    MM    MM  MM 1023.2  18.3    MM  10.6   MM   MM    MM
2023 09 27 19 51  MM  3.1   MM    MM    MM    MM  MM 1023.7  18.3    MM  11.1   MM   MM    MM
2023 09 27 18 51 170  4.6 10.8    MM    MM    MM  MM 1024.2  18.3    MM  11.1   MM   MM    MM
2023 09 27 17 51 140  3.6  9.3    MM    MM    MM  MM 1024.8  18.3    MM  12.2   MM   MM    MM
2023 09 27 16 51 170  4.1  8.8    MM    MM    MM  MM 1025.4  17.8    MM  12.8   MM   MM    MM
2023 09 27 15 51 170  5.7  9.8    MM    MM    MM  MM 1025.9  17.2    MM  12.8   MM   MM    MM
2023 09 27 14 51 160  4.1  7.7    MM    MM    MM  MM 1026.0  17.2    MM  12.8   MM   MM    MM
2023 09 27 13 51 180  3.6  8.2    MM    MM    MM  MM 1025.8  16.7    MM  11.7   MM   MM    MM
2023 09 27 12 51 190  3.6   MM    MM    MM    MM  MM 1025.8  15.6    MM  12.8   MM   MM    MM
2023 09 27 11 51  MM  3.1   MM    MM    MM    MM  MM 1025.5  15.6    MM  12.8   MM   MM    MM
2023 09 27 10 51  MM  2.6   MM    MM    MM    MM  MM 1025.2  15.0    MM  13.3   MM   MM    MM
2023 09 27 09 51 190  2.1   MM    MM    MM    MM  MM 1025.0  15.0    MM  12.8   MM   MM    MM
2023 09 27 08 51 190  3.1   MM    MM    MM    MM  MM 1024.9  15.6    MM  12.8   MM   MM    MM
2023 09 27 07 51  MM  3.1   MM    MM    MM    MM  MM 1024.9  15.6    MM  12.2   MM   MM    MM
2023 09 27 06 51 180  2.6   MM    MM    MM    MM  MM 1025.1  15.6    MM  12.2   MM   MM    MM
2023 09 27 05 51 200  3.1   MM    MM    MM    MM  MM 1025.1  16.1    MM  12.2   MM   MM    MM
2023 09 27 04 51  MM  3.1   MM    MM    MM    MM  MM 1025.4  16.7    MM  11.7   MM   MM    MM
2023 09 27 03 51 190  1.5   MM    MM    MM    MM  MM 1025.6  16.1    MM  12.8   MM   MM    MM
2023 09 27 02 51 140  1.5   MM    MM    MM    MM  MM 1025.6  16.1    MM  12.2   MM   MM    MM
2023 09 27 01 51  MM    0   MM    MM    MM    MM  MM 1025.5  16.7    MM  12.8   MM   MM    MM
2023 09 27 00 51 150  2.1   MM    MM    MM    MM  MM 1025.5  16.1    MM  13.3   MM   MM    MM
2023 09 26 23 51 140  2.6   MM    MM    MM    MM  MM 1025.7  15.6    MM  12.8   MM   MM    MM
2023 09 26 22 51  MM  2.1   MM    MM    MM    MM  MM 1025.7  16.7    MM  12.8   MM   MM    MM
2023 09 26 21 51  MM  2.6   MM    MM    MM    MM  MM 1025.5  17.2    MM  12.8   MM   MM    MM
2023 09 26 20 51  MM  1.5   MM    MM    MM    MM  MM 1025.4  17.2    MM  12.8   MM   MM    MM
2023 09 26 19 51 110  3.6   MM    MM    MM    MM  MM 1025.9  16.7    MM  12.8   MM   MM    MM
2023 09 26 18 51 110  4.6  8.8    MM    MM    MM  MM 1025.9  16.7    MM  12.8   MM   MM    MM
2023 09 26 17 51  MM  3.1   MM    MM    MM    MM  MM 1026.2  18.3    MM  12.8   MM   MM    MM
2023 09 26 16 51  MM  2.6   MM    MM    MM    MM  MM 1026.6  18.3    MM  12.8   MM   MM    MM
2023 09 26 15 51  MM  3.1   MM    MM    MM    MM  MM 1026.5  18.3    MM  12.8   MM   MM    MM
2023 09 26 14 51  MM  3.1   MM    MM    MM    MM  MM 1026.4  17.2    MM  12.2   MM   MM    MM
2023 09 26 13 51 150  4.1   MM    MM    MM    MM  MM 1026.2  16.7    MM  12.8   MM   MM    MM
2023 09 26 12 51  MM    0   MM    MM    MM    MM  MM 1026.1  14.4    MM  12.8   MM   MM    MM
2023 09 26 11 51  MM    0   MM    MM    MM    MM  MM 1026.0  12.2    MM  11.1   MM   MM    MM
2023 09 26 10 51  MM    0   MM    MM    MM    MM  MM 1025.5  12.8    MM  11.1   MM   MM    MM
2023 09 26 09 51  MM  2.1   MM    MM    MM    MM  MM 1024.8  16.1    MM  11.1   MM   MM    MM
2023 09 26 08 51  MM  3.1   MM    MM    MM    MM  MM 1024.3  16.7    MM  11.1   MM   MM    MM
2023 09 26 07 51 200  3.6   MM    MM    MM    MM  MM 1024.0  17.2    MM  12.8   MM   MM    MM
2023 09 26 06 51 200  3.1   MM    MM    MM    MM  MM 1024.1  17.2    MM  13.9   MM   MM    MM
2023 09 26 05 51 190  3.1   MM    MM    MM    MM  MM 1024.0  17.8    MM  13.3   MM   MM    MM
2023 09 26 04 51 180  4.6  9.8    MM    MM    MM  MM 1023.9  17.2    MM  12.8   MM   MM    MM
2023 09 26 03 51 160  2.1  8.8    MM    MM    MM  MM 1024.0  17.2    MM  12.2   MM   MM    MM
2023 09 26 02 51 150  4.6  8.8    MM    MM    MM  MM 1023.5  18.3    MM  11.1   MM   MM    MM
2023 09 26 01 51 150  3.1   MM    MM    MM    MM  MM 1023.4  18.3    MM  11.7   MM   MM    MM
2023 09 26 00 51 150  2.1   MM    MM    MM    MM  MM 1023.1  18.3    MM  13.3   MM   MM    MM
2023 09 25 23 51  MM  2.1   MM    MM    MM    MM  MM 1022.9  17.8    MM  12.8   MM   MM    MM
2023 09 25 22 51 150  3.1   MM    MM    MM    MM  MM 1022.9  17.8    MM  13.3   MM   MM    MM
2023 09 25 21 51 140  2.1   MM    MM    MM    MM  MM 1022.6  17.8    MM  13.9   MM   MM    MM
2023 09 25 20 51 120  2.1   MM    MM    MM    MM  MM 1022.5  17.8    MM  13.9   MM   MM    MM
2023 09 25 19 51  MM  2.6   MM    MM    MM    MM  MM 1022.5  17.8    MM  13.9   MM   MM    MM
2023 09 25 18 51  MM  2.1   MM    MM    MM    MM  MM 1022.5  19.4    MM  13.9   MM   MM    MM
2023 09 25 17 51  MM  1.5   MM    MM    MM    MM  MM 1022.7  18.9    MM  13.9   MM   MM    MM
2023 09 25 16 51 160  3.1   MM    MM    MM    MM  MM 1022.8  18.3    MM  13.9   MM   MM    MM
2023 09 25 15 51 170  3.6   MM    MM    MM    MM  MM 1022.6  18.3    MM  13.9   MM   MM    MM
2023 09 25 14 51 180  2.1   MM    MM    MM    MM  MM 1022.4  17.8    MM  14.4   MM   MM    MM
2023 09 25 13 51 180  4.1   MM    MM    MM    MM  MM 1021.9  16.7    MM  14.4   MM   MM    MM
2023 09 25 12 51  MM  3.1   MM    MM    MM    MM  MM 1021.7  16.1    MM  14.4   MM   MM    MM
2023 09 25 11 51 180  3.1   MM    MM    MM    MM  MM 1021.7  16.1    MM  13.3   MM   MM    MM
2023 09 25 10 51 170  2.6   MM    MM    MM    MM  MM 1021.5  16.1    MM  12.8   MM   MM    MM
2023 09 25 09 51 160  2.6   MM    MM    MM    MM  MM 1021.1  16.7    MM  11.7   MM   MM    MM
