#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 00  MM   MM   MM    MM    MM    MM  MM 1014.0  27.6    MM  21.1   MM -1.9    MM
2023 09 28 20 00  MM   MM   MM    MM    MM    MM  MM 1014.9  27.0    MM  21.2   MM -1.4    MM
2023 09 28 19 00  MM   MM   MM    MM    MM    MM  MM 1014.9  26.6    MM  20.7   MM -2.0    MM
2023 09 28 18 00  MM   MM   MM    MM    MM    MM  MM 1015.9  26.2    MM  20.4   MM -1.4    MM
2023 09 28 17 00  MM   MM   MM    MM    MM    MM  MM 1016.3  26.5    MM  20.2   MM -0.8    MM
2023 09 28 16 00  MM   MM   MM    MM    MM    MM  MM 1016.9  25.1    MM  20.2   MM +0.0    MM
2023 09 28 15 00  MM   MM   MM    MM    MM    MM  MM 1017.3  24.4    MM  19.3   MM +0.9    MM
2023 09 28 14 00  MM   MM   MM    MM    MM    MM  MM 1017.1  22.8    MM  19.3   MM +1.4    MM
2023 09 28 13 00  MM   MM   MM    MM    MM    MM  MM 1017.0  21.7    MM  19.9   MM +2.0    MM
2023 09 28 12 00  MM   MM   MM    MM    MM    MM  MM 1016.4  21.6    MM  20.3   MM +1.8    MM
2023 09 28 11 00  MM   MM   MM    MM    MM    MM  MM 1015.7  21.6    MM  20.5   MM +0.7    MM
2023 09 28 10 00  MM   MM   MM    MM    MM    MM  MM 1015.0  21.3    MM  20.4   MM -0.0    MM
2023 09 28 09 00  MM   MM   MM    MM    MM    MM  MM 1014.6  21.3    MM  20.2   MM -1.1    MM
2023 09 28 08 00  MM   MM   MM    MM    MM    MM  MM 1015.0  21.5    MM  20.6   MM -1.1    MM
2023 09 28 07 00  MM   MM   MM    MM    MM    MM  MM 1015.1  22.1    MM  20.9   MM -1.1    MM
2023 09 28 06 00  MM   MM   MM    MM    MM    MM  MM 1015.7  22.6    MM  21.3   MM -0.6    MM
2023 09 28 05 00  MM   MM   MM    MM    MM    MM  MM 1016.1  23.2    MM  21.8   MM +0.0    MM
2023 09 28 04 00  MM   MM   MM    MM    MM    MM  MM 1016.2  23.1    MM  22.2   MM +0.5    MM
2023 09 28 03 00  MM   MM   MM    MM    MM    MM  MM 1016.3  23.7    MM  22.6   MM +0.9    MM
2023 09 28 02 00  MM   MM   MM    MM    MM    MM  MM 1016.0  24.2    MM  22.9   MM +1.6    MM
2023 09 28 01 00  MM   MM   MM    MM    MM    MM  MM 1015.7  24.2    MM  23.1   MM +1.1    MM
2023 09 28 00 00  MM   MM   MM    MM    MM    MM  MM 1015.4  24.3    MM  23.1   MM +0.9    MM
2023 09 27 23 00  MM   MM   MM    MM    MM    MM  MM 1014.4  25.4    MM  23.2   MM -0.6    MM
2023 09 27 22 00  MM   MM   MM    MM    MM    MM  MM 1014.6  25.4    MM  23.0   MM -0.6    MM
2023 09 27 21 00  MM   MM   MM    MM    MM    MM  MM 1014.5  26.2    MM  23.0   MM -1.6    MM
2023 09 27 20 00  MM   MM   MM    MM    MM    MM  MM 1015.0  26.8    MM  23.7   MM -1.8    MM
2023 09 27 19 00  MM   MM   MM    MM    MM    MM  MM 1015.2  26.4    MM  23.3   MM -2.3    MM
2023 09 27 18 00  MM   MM   MM    MM    MM    MM  MM 1016.1  26.1    MM  23.0   MM -1.6    MM
2023 09 27 17 00  MM   MM   MM    MM    MM    MM  MM 1016.8  26.1    MM  23.7   MM -0.4    MM
2023 09 27 16 00  MM   MM   MM    MM    MM    MM  MM 1017.5  24.2    MM  22.7   MM +0.9    MM
2023 09 27 15 00  MM   MM   MM    MM    MM    MM  MM 1017.7  23.5    MM  23.3   MM +1.0    MM
