#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 35  40  8.2   MM    MM    MM    MM  MM     MM    30    MM    22  8.7   MM    MM
2023 09 28 21 15  50  7.2   MM    MM    MM    MM  MM     MM    30    MM    23  8.7   MM    MM
2023 09 28 20 50  60  7.7   MM    MM    MM    MM  MM     MM    30    MM    22  8.7   MM    MM
2023 09 28 20 35  70  9.3   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 20 15  60  8.2   MM    MM    MM    MM  MM     MM    28    MM    21  7.0   MM    MM
2023 09 28 19 55  60  8.2   MM    MM    MM    MM  MM     MM    28    MM    20  8.7   MM    MM
2023 09 28 19 30  50 13.9 16.5    MM    MM    MM  MM     MM    30    MM    21  8.7   MM    MM
2023 09 28 19 15  50  7.2   MM    MM    MM    MM  MM     MM    31    MM    22  8.7   MM    MM
2023 09 28 18 50  50  7.2   MM    MM    MM    MM  MM     MM    31    MM    22  8.7   MM    MM
2023 09 28 18 30  50  6.7   MM    MM    MM    MM  MM     MM    30    MM    22  8.7   MM    MM
2023 09 28 18 15  50  6.7   MM    MM    MM    MM  MM     MM    30    MM    22  8.7   MM    MM
2023 09 28 17 55  60  5.7   MM    MM    MM    MM  MM     MM    31    MM    22  8.7   MM    MM
2023 09 28 17 30  70  4.6   MM    MM    MM    MM  MM     MM    31    MM    22  8.7   MM    MM
2023 09 28 17 15  50  5.7   MM    MM    MM    MM  MM     MM    31    MM    21  8.7   MM    MM
2023 09 28 16 55  60  6.7   MM    MM    MM    MM  MM     MM    30    MM    21  8.7   MM    MM
2023 09 28 16 30  60  7.7   MM    MM    MM    MM  MM     MM    31    MM    22  8.7   MM    MM
2023 09 28 16 15  50  7.2   MM    MM    MM    MM  MM     MM    30    MM    22  8.7   MM    MM
2023 09 28 15 50  40  6.7   MM    MM    MM    MM  MM     MM    31    MM    22  8.7   MM    MM
2023 09 28 15 35  40  6.2   MM    MM    MM    MM  MM     MM    30    MM    22  8.7   MM    MM
2023 09 28 15 15  40  5.7   MM    MM    MM    MM  MM     MM    30    MM    22  8.7   MM    MM
2023 09 28 14 55  40  6.2   MM    MM    MM    MM  MM     MM    30    MM    22  8.7   MM    MM
2023 09 28 14 35  50  5.7   MM    MM    MM    MM  MM     MM    31    MM    21  8.7   MM    MM
2023 09 28 14 15  50  4.6   MM    MM    MM    MM  MM     MM    30    MM    21  8.7   MM    MM
2023 09 28 13 55  40  5.7   MM    MM    MM    MM  MM     MM    30    MM    21  8.7   MM    MM
2023 09 28 13 30  50  4.6   MM    MM    MM    MM  MM     MM    30    MM    22  8.7   MM    MM
2023 09 28 13 15  50  5.1   MM    MM    MM    MM  MM     MM    30    MM    21  8.7   MM    MM
2023 09 28 12 50  70  4.1   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 12 35  70  3.6   MM    MM    MM    MM  MM     MM    29    MM    22  8.7   MM    MM
2023 09 28 12 15  60  3.6   MM    MM    MM    MM  MM     MM    29    MM    22  8.7   MM    MM
2023 09 28 11 55  60  4.1   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 11 35  70  4.6   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 11 15  50  3.6   MM    MM    MM    MM  MM     MM    28    MM    22  8.7   MM    MM
2023 09 28 10 55  MM    0   MM    MM    MM    MM  MM     MM    28    MM    21  8.7   MM    MM
2023 09 28 10 30  MM    0   MM    MM    MM    MM  MM     MM    28    MM    21  8.7   MM    MM
2023 09 28 10 15  MM    0   MM    MM    MM    MM  MM     MM    27    MM    21  8.7   MM    MM
2023 09 28 09 55  MM    0   MM    MM    MM    MM  MM     MM    28    MM    21  8.7   MM    MM
2023 09 28 09 35 230  5.1   MM    MM    MM    MM  MM     MM    27    MM    21  8.7   MM    MM
2023 09 28 09 15 210  5.7  9.3    MM    MM    MM  MM     MM    27    MM    21  8.7   MM    MM
2023 09 28 08 55  70  4.6   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 08 30  60  4.6   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 08 15  60  5.1   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 07 50  60  4.1   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 07 35  70  5.1   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 07 15  90  4.6   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 06 55  80  5.1   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 06 35 100  3.6   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 06 10  90  5.7   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 05 55  90  5.1   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 05 35  90  6.2   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 05 15  90  5.7   MM    MM    MM    MM  MM     MM    29    MM    22  8.7   MM    MM
2023 09 28 04 55 100  5.1   MM    MM    MM    MM  MM     MM    29    MM    22  8.7   MM    MM
2023 09 28 04 35  90  5.7   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 04 10  70  6.2   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 03 55  80  6.2   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 03 35  60  5.7   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 03 15  60  4.6   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 02 55  60  5.7   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 02 35  60  5.1   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 02 15  70  5.7   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 01 55  80  5.1   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
2023 09 28 01 35  70  5.1   MM    MM    MM    MM  MM     MM    29    MM    21  8.7   MM    MM
