#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 35  60 10.8   MM    MM    MM    MM  MM     MM    27    MM    22  8.7   MM    MM
2023 09 28 21 15  60 10.3   MM    MM    MM    MM  MM     MM    27    MM    23  8.7   MM    MM
2023 09 28 20 55  60 11.3   MM    MM    MM    MM  MM     MM    27    MM    23  8.7   MM    MM
2023 09 28 20 35  60 11.3   MM    MM    MM    MM  MM     MM    27    MM    23  8.7   MM    MM
2023 09 28 20 15  70 14.4   MM    MM    MM    MM  MM     MM    27    MM    24  8.7   MM    MM
2023 09 28 19 55  70 12.9   MM    MM    MM    MM  MM     MM    27    MM    24  6.1   MM    MM
2023 09 28 19 35  70 10.8   MM    MM    MM    MM  MM     MM    27    MM    24  4.3   MM    MM
2023 09 28 19 15  80 10.3   MM    MM    MM    MM  MM     MM    28    MM    24  3.5   MM    MM
2023 09 28 18 55  80  9.3   MM    MM    MM    MM  MM     MM    28    MM    24  3.5   MM    MM
2023 09 28 18 35  80  8.8   MM    MM    MM    MM  MM     MM    27    MM    24  3.5   MM    MM
2023 09 28 18 15  70 10.3 12.9    MM    MM    MM  MM     MM    27    MM    24  1.7   MM    MM
2023 09 28 17 55  80 13.4   MM    MM    MM    MM  MM     MM    28    MM    24  2.6   MM    MM
2023 09 28 17 35  80 12.9   MM    MM    MM    MM  MM     MM    28    MM    23  8.7   MM    MM
2023 09 28 17 15 130  6.7 12.9    MM    MM    MM  MM     MM    27    MM    23  7.0   MM    MM
2023 09 28 16 55  90 10.3   MM    MM    MM    MM  MM     MM    28    MM    24  8.7   MM    MM
2023 09 28 16 35  80 10.8 14.4    MM    MM    MM  MM     MM    28    MM    24  8.7   MM    MM
2023 09 28 16 15  70 12.9   MM    MM    MM    MM  MM     MM    27    MM    24  7.8   MM    MM
2023 09 28 15 55  60 12.4   MM    MM    MM    MM  MM     MM    27    MM    24  7.8   MM    MM
2023 09 28 15 35  60 12.4   MM    MM    MM    MM  MM     MM    27    MM    24  8.7   MM    MM
2023 09 28 15 15  60 11.8   MM    MM    MM    MM  MM     MM    27    MM    24  8.7   MM    MM
2023 09 28 14 55  70 11.3   MM    MM    MM    MM  MM     MM    28    MM    24  7.0   MM    MM
2023 09 28 14 35  90 10.8   MM    MM    MM    MM  MM     MM    29    MM    23  8.7   MM    MM
