#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 30 100  9.3 10.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 21 15 110  9.3 10.3    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 21 00 100  9.3  9.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 20 45 100  9.8 10.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 20 30 100 10.3 11.3    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 20 15 100  9.8 10.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 20 00 110  9.3 10.3    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 19 45 110  8.8  9.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 19 30 100  8.2  9.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 19 15 100  9.3 10.3    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 19 00 110  9.3 10.3    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 18 45 110  9.3 10.3    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 18 30 100  9.3 10.3    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 18 15 100  9.3 10.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 18 00 110  8.8 10.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 17 45 100  8.2  9.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 17 30 100  7.7  9.3    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 17 15 110  7.2  8.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 17 00 110  6.7  7.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 16 45 110  6.7  7.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 16 30 100  5.1  6.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 16 15  80  5.1  7.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 16 00  80  7.2  8.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 15 45  80  6.7  7.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 15 25  60  5.1  6.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 15 15  60  5.7  6.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 15 00  50  4.1  5.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 14 45  60  5.7  6.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 14 30  60  6.2  7.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 13 55  10  5.7  7.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 13 45  10  4.6  6.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 13 30  20  3.6  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 13 00  40  3.1  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 12 40  20  4.1  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
