#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 20 240  5.7  6.7   0.8     8    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 20 20 230  5.1  6.7   0.9     8    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 19 20 250  4.1  5.1   0.8     9    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 18 20 220  3.6  4.1   0.9     9    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 17 20 230  3.1  4.6   0.8    12    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 16 20 160  1.0  3.1   0.9     9    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 15 20 180  2.1  3.6   0.9     9    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 14 20 200  1.0  2.6   0.8     9    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 13 20 200  1.5  2.6   0.8    11    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 12 20 200  1.5  3.1   0.8     9    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 11 20 180  0.5  2.6   0.8     9    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 10 20 180  1.5  3.1   0.8    11    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 09 20  MM  0.0  1.5   0.7    11    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 08 20 200  1.5  3.6   0.8    13    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 07 20 150  1.0  2.6   0.9    12    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 06 20  MM  0.0  1.5   0.8    12    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 05 20 150  1.5  2.6   0.9    12    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 04 20 160  1.0  2.1   0.9    13    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 03 20 150  1.5  2.1   0.9    12    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 02 20 210  2.1  3.1   0.9    13    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 01 20 220  3.1  4.6   0.9    13    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 00 20 230  5.1  6.2   0.8    13    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 23 20 230  5.7  7.2   0.8    13    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 22 20 240  5.7  7.2   0.8    13    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 21 20 300  1.5  5.7   0.9     9    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 20 20 280  2.1  3.6   0.9     8    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 19 20 260  1.5  3.1   0.9    12    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 18 20 280  0.5  1.5   0.9     7    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 17 20 260  1.5  2.6   1.0     7    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 16 20 350  1.0  2.1   1.0     7    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 15 20  60  1.0  2.6   1.0     7    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 14 20 120  2.6  4.6   0.9    14    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 13 20 110  1.5  3.1   0.9    12    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 12 20 110  2.1  2.6   0.8    13    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 11 20 100  2.1  3.6   0.9    14    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 10 20 100  1.0  2.6   0.8    13    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 09 20  MM  0.0  1.5   0.9    12    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 08 20 160  0.5  1.5   0.8    12    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 07 20 170  0.5  1.5   0.9    10    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 06 20  MM  0.0  0.5   0.9    12    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 05 20  MM  0.0  0.5   0.8    11    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 04 20  MM  0.0  1.0   0.8    13    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 03 20  MM  0.0  1.5   0.8    13    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 02 20  MM  0.0  0.5   0.8    13    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 01 20  20  0.5  1.0   0.8     5    MM  MM     MM    MM    MM    MM   MM   MM    MM
