#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 20 57  MM  8.8 10.8   1.0    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 19 57  MM  5.7  6.7   0.9    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 18 57  MM  8.2  9.3   1.0    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 17 57  MM  8.2  9.3   1.0    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 16 57  MM 10.3 11.8   0.9    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 15 57  MM  7.2  9.3   0.7    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 14 57  MM  7.2  8.8   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 13 57  MM  5.7  7.7   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 12 57  MM  4.6  6.2   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 11 57  MM  6.2  7.2   0.8    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 10 57  MM  5.1  6.7   0.9    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 09 57  MM  7.2  8.2   1.1    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 08 52  MM  9.3 10.3   1.0    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 07 52  MM  9.8 10.8   1.0    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 06 52  MM  9.3 10.3   0.9    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 05 52  MM  9.3 10.3   1.1    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 04 52  MM  8.8 10.3   1.0    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 03 52  MM  9.8 11.3   1.0    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 02 52  MM  9.3 10.8   1.0    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 01 52  MM  7.7  9.3   0.9    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 00 52  MM  9.3 10.3   0.8    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 23 52  MM  6.7  8.2   0.7    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 22 52  MM  6.2  7.7   0.7    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 21 52  MM  5.7  6.7   0.7    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 20 52  MM  6.2  8.2   0.7    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 19 52  MM  5.7  7.2   0.7    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 18 52  MM  5.7  6.7   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 17 52  MM  5.7  6.7   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 16 52  MM  5.7  7.2   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 15 52  MM  5.1  6.7   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 14 52  MM  8.2  9.3   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 13 52  MM  7.2  8.2   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 12 52  MM  6.2  7.7   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 11 52  MM  5.7  6.2   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 10 52  MM  5.7  6.2   0.4    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 09 52  MM  2.1  3.1   0.4    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 08 52  MM  2.1  2.6   0.4    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 07 52  MM  1.0  1.0   0.4    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 06 52  MM  1.5  2.1   0.4    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 05 52  MM  1.5  2.1   0.4    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 04 52  MM  1.0  1.5   0.4    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 03 52  MM  1.5  2.1   0.4    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 02 52  MM  1.5  2.6   0.4    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 01 52  MM  2.1  3.1   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 00 52  MM  2.6  3.1   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 23 52  MM  3.1  4.1   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 22 52  MM  2.6  3.1   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 21 52  MM  3.1  4.1   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 20 52  MM  3.6  4.6   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 19 52  MM  3.6  4.6   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 18 52  MM  5.1  6.2   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 17 52  MM  5.1  8.2   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 16 52  MM  4.6  5.7   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 15 52  MM  4.1  5.1   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 14 52  MM  4.6  5.7   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 13 52  MM  3.1  3.6   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 12 52  MM  3.1  4.1   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 11 52  MM  3.1  4.1   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 10 52  MM  3.6  4.1   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 09 52  MM  2.6  3.6   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 08 52  MM  3.1  4.1   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 07 52  MM  4.1  5.1   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 06 52  MM  3.1  3.6   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 05 52  MM  2.1  2.6   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 04 52  MM  2.6  3.1   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 03 52  MM  4.1  4.6   0.7    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 02 52  MM  3.6  4.1   0.7    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 01 52  MM  4.1  4.6   0.7    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 26 00 52  MM  4.6  5.1   0.7    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 23 52  MM  4.6  5.7   0.7    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 22 52  MM  4.1  5.7   0.7    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 21 52  MM  4.6  5.1   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 20 52  MM  4.1  5.1   0.7    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 19 52  MM  3.6  5.1   0.7    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 18 52  MM  4.6  6.2   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 17 52  MM  4.6  5.7   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 16 52  MM  5.7  7.2   0.6    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 15 52  MM  4.6  5.7   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 14 52  MM  3.6  4.6   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 13 52  MM  3.6  4.6   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 12 52  MM  3.1  5.7   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 11 52  MM  2.6  3.6   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 10 52  MM  2.1  3.1   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 09 52  MM  2.6  3.1   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 08 52  MM  2.1  2.6   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 07 52  MM  2.6  3.6   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 06 52  MM  3.1  4.1   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 05 52  MM  3.6  5.1   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 04 52  MM  4.1  5.7   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 03 52  MM  4.6  5.7   0.5    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 02 52  MM  4.6  6.2   0.4    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 01 52  MM  4.6  5.7   0.4    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 25 00 52  MM  3.6  4.6   0.4    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 23 52  MM  4.6  5.7   0.4    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 22 52  MM  3.1  4.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 21 52  MM  4.1  5.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 20 52  MM  2.6  3.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 19 52  MM  4.1  4.6   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 18 52  MM  3.6  4.6   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 17 52  MM  3.6  4.6   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 16 52  MM  3.6  4.6   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 15 52  MM  2.6  3.6   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 14 52  MM  2.6  3.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 13 52  MM  3.1  4.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 12 52  MM  1.0  2.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 11 52  MM  1.5  2.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 10 52  MM  1.5  2.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 09 52  MM  1.5  2.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 08 52  MM  1.5  2.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 07 52  MM  2.1  2.6   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 06 52  MM  2.1  2.6   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 05 52  MM  1.5  2.6   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 04 52  MM  2.6  3.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 03 52  MM  2.6  3.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 02 52  MM  2.6  3.6   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 01 52  MM  1.5  2.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 24 00 52  MM  2.6  3.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 23 23 52  MM  1.5  2.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 23 22 52  MM  1.5  2.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 23 21 52  MM  1.5  2.1   0.3    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
