#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 38 140  2.1  2.6    MM    MM    MM  MM 1014.7   8.7    MM   7.8   MM   MM    MM
2023 09 28 21 28 150  2.1  2.6    MM    MM    MM  MM 1014.7   8.7    MM   7.8   MM   MM    MM
2023 09 28 21 18 150  2.1  2.6    MM    MM    MM  MM 1014.8   8.7    MM   7.9   MM   MM    MM
2023 09 28 21 08 150  2.6  3.1    MM    MM    MM  MM 1014.8   8.4    MM   7.6   MM   MM    MM
2023 09 28 20 58 150  2.6  3.1    MM    MM    MM  MM 1014.8   8.5    MM   7.7   MM   MM    MM
2023 09 28 20 48 130  2.1  2.6    MM    MM    MM  MM 1014.8   8.6    MM   7.7   MM   MM    MM
2023 09 28 20 38 140  2.1  3.1    MM    MM    MM  MM 1014.7   8.6    MM   7.7   MM   MM    MM
2023 09 28 20 28 140  2.1  2.6    MM    MM    MM  MM 1014.7   8.6    MM   7.7   MM   MM    MM
2023 09 28 20 18 140  2.1  2.6    MM    MM    MM  MM 1014.7   8.5    MM   7.6   MM   MM    MM
2023 09 28 20 08 150  2.1  2.6    MM    MM    MM  MM 1014.6   8.9    MM   8.0   MM   MM    MM
2023 09 28 19 58 170  1.5  2.6    MM    MM    MM  MM 1014.6   9.3    MM   8.1   MM   MM    MM
2023 09 28 19 48 180  1.5  2.6    MM    MM    MM  MM 1014.6   9.6    MM   8.7   MM   MM    MM
2023 09 28 19 38 180  2.1  2.6    MM    MM    MM  MM 1014.5   8.9    MM   8.0   MM   MM    MM
2023 09 28 19 27 190  1.5  2.1    MM    MM    MM  MM 1014.6   9.4    MM   8.3   MM   MM    MM
2023 09 28 19 18 170  2.1  2.6    MM    MM    MM  MM 1014.6   8.5    MM   7.6   MM   MM    MM
2023 09 28 19 07 160  2.6  3.1    MM    MM    MM  MM 1014.4   8.3    MM   7.7   MM   MM    MM
2023 09 28 18 58 130  3.1  3.6    MM    MM    MM  MM 1014.3   7.8    MM   7.2   MM   MM    MM
2023 09 28 18 48 120  3.6  4.1    MM    MM    MM  MM 1014.4   7.7    MM   6.9   MM   MM    MM
2023 09 28 18 38 120  3.6  4.6    MM    MM    MM  MM 1014.4   7.8    MM   7.0   MM   MM    MM
2023 09 28 18 28 130  3.1  3.6    MM    MM    MM  MM 1014.3   7.7    MM   6.9   MM   MM    MM
2023 09 28 18 18 130  3.1  4.1    MM    MM    MM  MM 1014.3   7.8    MM   7.0   MM   MM    MM
2023 09 28 18 08 140  3.1  3.6    MM    MM    MM  MM 1014.3   7.5    MM   6.8   MM   MM    MM
2023 09 28 17 56 140  3.1  3.6    MM    MM    MM  MM 1014.2   7.8    MM   7.2   MM   MM    MM
2023 09 28 17 49 140  3.1  3.6    MM    MM    MM  MM 1014.2   7.7    MM   7.1   MM   MM    MM
2023 09 28 17 38 130  2.6  3.6    MM    MM    MM  MM 1014.1   7.6    MM   7.0   MM   MM    MM
2023 09 28 17 28 100  2.1  2.6    MM    MM    MM  MM 1014.2   7.9    MM   7.1   MM   MM    MM
2023 09 28 17 18 100  2.1  2.6    MM    MM    MM  MM 1014.2   7.6    MM   6.8   MM   MM    MM
2023 09 28 17 08 100  2.1  3.1    MM    MM    MM  MM 1014.2   7.4    MM   7.0   MM   MM    MM
2023 09 28 16 58 110  3.1  3.6    MM    MM    MM  MM 1014.1   7.3    MM   6.9   MM   MM    MM
2023 09 28 16 48 130  3.6  4.1    MM    MM    MM  MM 1014.1   7.2    MM   6.9   MM   MM    MM
2023 09 28 16 38 130  3.6  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 16 28 130  3.1  4.1    MM    MM    MM  MM 1014.0   7.2    MM   6.9   MM   MM    MM
2023 09 28 16 18 120  3.1  3.6    MM    MM    MM  MM 1013.9   7.1    MM   6.8   MM   MM    MM
2023 09 28 16 08 130  3.6  4.6    MM    MM    MM  MM 1013.9   7.0    MM   6.9   MM   MM    MM
2023 09 28 15 58 130  3.6  4.6    MM    MM    MM  MM 1013.9   6.9    MM   6.8   MM   MM    MM
2023 09 28 15 48 140  3.6  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 15 37 140  3.6  4.1    MM    MM    MM  MM 1013.7   7.1    MM   6.8   MM   MM    MM
2023 09 28 15 28 140  3.6  4.6    MM    MM    MM  MM 1013.6   7.1    MM   6.8   MM   MM    MM
2023 09 28 15 18 150  4.1  5.1    MM    MM    MM  MM 1013.6   7.3    MM   7.0   MM   MM    MM
2023 09 28 15 08 170  3.6  4.1    MM    MM    MM  MM 1013.7   8.0    MM   7.4   MM   MM    MM
2023 09 28 14 58 170  3.1  3.6    MM    MM    MM  MM 1013.6   8.0    MM   7.2   MM   MM    MM
2023 09 28 14 48 160  3.1  4.1    MM    MM    MM  MM 1013.6   8.1    MM   7.3   MM   MM    MM
2023 09 28 14 38 170  2.6  3.1    MM    MM    MM  MM 1013.6   8.1    MM   7.5   MM   MM    MM
2023 09 28 14 28 170  3.1  3.6    MM    MM    MM  MM 1013.6   8.2    MM   7.4   MM   MM    MM
2023 09 28 14 18 150  3.1  4.1    MM    MM    MM  MM 1013.5   8.2    MM   7.4   MM   MM    MM
2023 09 28 14 07 140  2.6  3.6    MM    MM    MM  MM 1013.5   8.3    MM   7.5   MM   MM    MM
2023 09 28 13 58 140  3.1  4.1    MM    MM    MM  MM 1013.4   8.3    MM   7.5   MM   MM    MM
2023 09 28 13 48 140  3.6  4.6    MM    MM    MM  MM 1013.3   8.2    MM   7.4   MM   MM    MM
2023 09 28 13 38 140  3.6  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 13 28 140  3.6  4.1    MM    MM    MM  MM 1013.2   8.2    MM   7.6   MM   MM    MM
2023 09 28 13 17 130  3.6  4.6    MM    MM    MM  MM 1013.2   8.2    MM   7.6   MM   MM    MM
2023 09 28 13 08 130  3.6  4.6    MM    MM    MM  MM 1013.2   8.2    MM   7.6   MM   MM    MM
2023 09 28 12 58 140  3.6  4.6    MM    MM    MM  MM 1013.1   8.2    MM   7.3   MM   MM    MM
2023 09 28 12 47 160  3.1  4.6    MM    MM    MM  MM 1013.0   8.2    MM   7.3   MM   MM    MM
2023 09 28 12 38 160  4.1  5.1    MM    MM    MM  MM 1012.9   8.2    MM   7.6   MM   MM    MM
2023 09 28 12 28 150  3.6  4.6    MM    MM    MM  MM 1012.9   8.2    MM   7.8   MM   MM    MM
2023 09 28 12 18 150  3.6  4.6    MM    MM    MM  MM 1012.9   8.4    MM   7.8   MM   MM    MM
2023 09 28 12 07 150  4.6  5.7    MM    MM    MM  MM 1012.8   8.5    MM   7.6   MM   MM    MM
