#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 30  MM   MM   MM    MM    MM    MM  MM     MM    MM  17.4    MM   MM   MM    MM
2023 09 28 21 20  MM   MM   MM    MM    MM    MM  MM     MM    MM  17.2    MM   MM   MM    MM
2023 09 28 21 15  MM   MM   MM    MM    MM    MM  MM     MM    MM  17.1    MM   MM   MM    MM
2023 09 28 21 10  MM   MM   MM    MM    MM    MM  MM     MM    MM  17.2    MM   MM   MM    MM
2023 09 28 21 00  MM   MM   MM    MM    MM    MM  MM     MM    MM  17.2    MM   MM   MM    MM
2023 09 28 20 50 280  6.2   MM    MM    MM    MM  MM 1012.6  16.7    MM  14.1   MM   MM    MM
2023 09 28 20 45  MM   MM   MM    MM    MM    MM  MM     MM    MM  16.0    MM   MM   MM    MM
2023 09 28 20 40 280  6.2   MM    MM    MM    MM  MM 1012.7  16.5    MM  14.3   MM   MM    MM
2023 09 28 20 39 280  6.2   MM    MM    MM    MM  MM 1012.7  16.7    MM  14.2   MM   MM    MM
2023 09 28 20 30 280  6.7   MM    MM    MM    MM  MM 1012.8  16.5    MM  14.2   MM   MM    MM
2023 09 28 20 21 280  6.2   MM    MM    MM    MM  MM 1012.9  16.6    MM  14.3   MM   MM    MM
2023 09 28 20 20 290  5.7   MM    MM    MM    MM  MM 1012.9  16.6    MM  14.5   MM   MM    MM
2023 09 28 20 15  MM   MM   MM    MM    MM    MM  MM     MM    MM  14.4    MM   MM   MM    MM
2023 09 28 20 10 290  6.2   MM    MM    MM    MM  MM 1013.1  16.7    MM  14.6   MM   MM    MM
2023 09 28 20 09 290  5.1   MM    MM    MM    MM  MM 1013.1  16.5    MM  14.2   MM   MM    MM
2023 09 28 20 05  MM   MM   MM    MM    MM    MM  MM     MM    MM  14.3    MM   MM   MM    MM
2023 09 28 20 00 290  6.2   MM    MM    MM    MM  MM 1013.1  16.5    MM  14.0   MM -1.5    MM
2023 09 28 19 51 290  5.7   MM    MM    MM    MM  MM 1013.3  16.3    MM  13.5   MM   MM    MM
2023 09 28 19 50 290  6.2   MM    MM    MM    MM  MM 1013.3  16.7    MM  14.0   MM   MM    MM
2023 09 28 19 45  MM   MM   MM    MM    MM    MM  MM     MM    MM  14.1    MM   MM   MM    MM
2023 09 28 19 40 290  5.1   MM    MM    MM    MM  MM 1013.4  16.6    MM  13.9   MM   MM    MM
2023 09 28 19 39 290  5.1   MM    MM    MM    MM  MM 1013.3  16.4    MM  13.4   MM   MM    MM
2023 09 28 19 30 290  5.1   MM    MM    MM    MM  MM 1013.5  16.5    MM  13.5   MM   MM    MM
2023 09 28 19 21 280  4.6   MM    MM    MM    MM  MM 1013.5  16.8    MM  13.9   MM   MM    MM
2023 09 28 19 20 280  4.6   MM    MM    MM    MM  MM 1013.6  17.1    MM  14.4   MM   MM    MM
2023 09 28 19 15  MM   MM   MM    MM    MM    MM  MM     MM    MM  14.1    MM   MM   MM    MM
2023 09 28 19 10 280  4.6   MM    MM    MM    MM  MM 1013.6  16.4    MM  13.6   MM   MM    MM
2023 09 28 19 09 280  4.6   MM    MM    MM    MM  MM 1013.6  16.2    MM  13.2   MM   MM    MM
2023 09 28 19 00 280  4.6   MM    MM    MM    MM  MM 1013.8  16.8    MM  13.9   MM -1.1    MM
2023 09 28 18 51 290  4.6   MM    MM    MM    MM  MM 1013.9  16.8    MM  13.4   MM   MM    MM
2023 09 28 18 50 280  4.6   MM    MM    MM    MM  MM 1013.9  16.9    MM  13.6   MM   MM    MM
2023 09 28 18 45  MM   MM   MM    MM    MM    MM  MM     MM    MM  13.8    MM   MM   MM    MM
2023 09 28 18 40 280  3.6   MM    MM    MM    MM  MM 1014.0  16.8    MM  13.3   MM   MM    MM
2023 09 28 18 39 280  4.1   MM    MM    MM    MM  MM 1014.0  16.9    MM  13.7   MM   MM    MM
2023 09 28 18 35  MM   MM   MM    MM    MM    MM  MM     MM    MM  13.5    MM   MM   MM    MM
2023 09 28 18 30 280  4.1   MM    MM    MM    MM  MM 1014.1  16.8    MM  13.6   MM   MM    MM
2023 09 28 18 21 270  3.1   MM    MM    MM    MM  MM 1014.2  16.6    MM  13.5   MM   MM    MM
2023 09 28 18 20 280  3.6   MM    MM    MM    MM  MM 1014.2  16.6    MM  13.3   MM   MM    MM
2023 09 28 18 10 260  3.1   MM    MM    MM    MM  MM 1014.2  16.3    MM  13.2   MM   MM    MM
2023 09 28 18 09 260  3.1   MM    MM    MM    MM  MM 1014.2  16.6    MM  13.6   MM   MM    MM
2023 09 28 18 00 270  3.1   MM    MM    MM    MM  MM 1014.3  16.6    MM  13.5   MM -0.4    MM
2023 09 28 17 51 280  3.1   MM    MM    MM    MM  MM 1014.4  16.5    MM  13.7   MM   MM    MM
2023 09 28 17 50 280  2.6   MM    MM    MM    MM  MM 1014.4  16.4    MM  13.5   MM   MM    MM
2023 09 28 17 45  MM   MM   MM    MM    MM    MM  MM     MM    MM  13.0    MM   MM   MM    MM
2023 09 28 17 40 280  3.1   MM    MM    MM    MM  MM 1014.4  15.9    MM  13.1   MM   MM    MM
2023 09 28 17 39 290  3.6   MM    MM    MM    MM  MM 1014.5  15.9    MM  13.1   MM   MM    MM
2023 09 28 17 30 290  4.1   MM    MM    MM    MM  MM 1014.5  16.1    MM  13.3   MM   MM    MM
2023 09 28 17 21 280  3.6   MM    MM    MM    MM  MM 1014.6  16.6    MM  13.3   MM   MM    MM
2023 09 28 17 20 280  3.6   MM    MM    MM    MM  MM 1014.6  17.0    MM  13.8   MM   MM    MM
2023 09 28 17 15  MM   MM   MM    MM    MM    MM  MM     MM    MM  13.0    MM   MM   MM    MM
2023 09 28 17 10 270  3.6   MM    MM    MM    MM  MM 1014.6  16.3    MM  12.9   MM   MM    MM
2023 09 28 17 09 270  3.6   MM    MM    MM    MM  MM 1014.7  16.5    MM  13.3   MM   MM    MM
2023 09 28 17 00 270  3.1   MM    MM    MM    MM  MM 1014.6  16.1    MM  12.7   MM +0.0    MM
2023 09 28 16 51 270  3.1   MM    MM    MM    MM  MM 1014.6  16.3    MM  13.2   MM   MM    MM
2023 09 28 16 50 280  2.6   MM    MM    MM    MM  MM 1014.6  16.3    MM  13.2   MM   MM    MM
2023 09 28 16 45  MM   MM   MM    MM    MM    MM  MM     MM    MM  13.1    MM   MM   MM    MM
2023 09 28 16 40 270  2.1   MM    MM    MM    MM  MM 1014.7  16.2    MM  13.0   MM   MM    MM
2023 09 28 16 39 270  2.1   MM    MM    MM    MM  MM 1014.7  16.3    MM  13.2   MM   MM    MM
2023 09 28 16 30 270  1.5   MM    MM    MM    MM  MM 1014.8  16.3    MM  13.2   MM   MM    MM
2023 09 28 16 20 290  1.5   MM    MM    MM    MM  MM 1014.8  16.0    MM  12.8   MM   MM    MM
2023 09 28 16 19 280  1.5   MM    MM    MM    MM  MM 1014.8  16.0    MM  12.9   MM   MM    MM
2023 09 28 16 15  MM   MM   MM    MM    MM    MM  MM     MM    MM  13.0    MM   MM   MM    MM
2023 09 28 16 10 280  1.5   MM    MM    MM    MM  MM 1014.9  15.7    MM  12.7   MM   MM    MM
2023 09 28 16 09 280  1.5   MM    MM    MM    MM  MM 1014.9  15.7    MM  12.8   MM   MM    MM
2023 09 28 16 00 280  2.1   MM    MM    MM    MM  MM 1014.9  15.9    MM  13.0   MM +0.3    MM
2023 09 28 15 51 270  1.0   MM    MM    MM    MM  MM 1014.8  15.4    MM  12.9   MM   MM    MM
2023 09 28 15 50 270  1.5   MM    MM    MM    MM  MM 1014.8  15.3    MM  12.7   MM   MM    MM
2023 09 28 15 45  MM   MM   MM    MM    MM    MM  MM     MM    MM  13.3    MM   MM   MM    MM
2023 09 28 15 40 280  1.0   MM    MM    MM    MM  MM 1014.8  15.4    MM  12.9   MM   MM    MM
2023 09 28 15 39 280  0.5   MM    MM    MM    MM  MM 1014.8  15.4    MM  12.9   MM   MM    MM
2023 09 28 15 30 300  1.0   MM    MM    MM    MM  MM 1014.9  15.0    MM  12.4   MM   MM    MM
2023 09 28 15 21  MM  0.0   MM    MM    MM    MM  MM 1014.8  15.1    MM  12.6   MM   MM    MM
2023 09 28 15 20  MM  0.0   MM    MM    MM    MM  MM 1014.8  15.1    MM  12.5   MM   MM    MM
2023 09 28 15 15  MM   MM   MM    MM    MM    MM  MM     MM    MM  13.7    MM   MM   MM    MM
2023 09 28 15 10 150  0.5   MM    MM    MM    MM  MM 1014.6  15.5    MM  12.9   MM   MM    MM
2023 09 28 15 09  MM  0.0   MM    MM    MM    MM  MM 1014.6  15.3    MM  12.7   MM   MM    MM
