#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 35 280  1.0  2.6    MM    MM    MM  MM     MM  10.4    MM   6.3   MM   MM    MM
2023 09 28 21 25  90  1.0  2.1    MM    MM    MM  MM     MM  10.2    MM   6.0   MM   MM    MM
2023 09 28 21 15 110  2.1  3.1    MM    MM    MM  MM     MM  10.0    MM   6.0   MM   MM    MM
2023 09 28 21 05 120  2.1  3.6    MM    MM    MM  MM     MM  10.0    MM   6.1   MM   MM    MM
2023 09 28 20 55 130  2.1  3.6    MM    MM    MM  MM     MM  10.0    MM   6.2   MM   MM    MM
2023 09 28 20 45 120  2.1  3.6    MM    MM    MM  MM     MM  10.0    MM   6.2   MM   MM    MM
2023 09 28 20 35 120  2.6  3.6    MM    MM    MM  MM     MM   9.8    MM   6.0   MM   MM    MM
2023 09 28 20 25 120  2.6  3.6    MM    MM    MM  MM     MM   9.7    MM   6.0   MM   MM    MM
2023 09 28 20 15 120  2.6  4.1    MM    MM    MM  MM     MM   9.7    MM   6.0   MM   MM    MM
2023 09 28 20 05 130  2.6  4.1    MM    MM    MM  MM     MM   9.6    MM   6.0   MM   MM    MM
2023 09 28 19 55 130  2.6  3.6    MM    MM    MM  MM     MM   9.5    MM   6.1   MM   MM    MM
2023 09 28 19 45 110  2.6  4.6    MM    MM    MM  MM     MM   9.5    MM   6.2   MM   MM    MM
2023 09 28 19 35 100  2.6  3.6    MM    MM    MM  MM     MM   9.5    MM   6.2   MM   MM    MM
2023 09 28 19 24 100  2.6  3.6    MM    MM    MM  MM     MM   9.4    MM   6.2   MM   MM    MM
2023 09 28 19 15 100  2.1  4.1    MM    MM    MM  MM     MM   9.3    MM   6.2   MM   MM    MM
2023 09 28 19 04 100  2.6  4.6    MM    MM    MM  MM     MM   9.2    MM   6.2   MM   MM    MM
2023 09 28 18 55 110  2.6  4.6    MM    MM    MM  MM     MM   9.1    MM   6.2   MM   MM    MM
2023 09 28 18 45 110  2.6  4.6    MM    MM    MM  MM     MM   9.2    MM   6.1   MM   MM    MM
2023 09 28 18 35 120  2.1  3.6    MM    MM    MM  MM     MM   9.4    MM   6.2   MM   MM    MM
2023 09 28 18 25 120  2.1  3.1    MM    MM    MM  MM     MM   9.3    MM   6.4   MM   MM    MM
2023 09 28 18 15 120  2.1  3.1    MM    MM    MM  MM     MM   9.3    MM   6.2   MM   MM    MM
2023 09 28 18 05 110  2.1  3.6    MM    MM    MM  MM     MM   9.3    MM   6.2   MM   MM    MM
2023 09 28 17 54 110  2.1  2.6    MM    MM    MM  MM     MM   9.2    MM   6.2   MM   MM    MM
2023 09 28 17 45 120  1.5  2.6    MM    MM    MM  MM     MM   9.0    MM   6.4   MM   MM    MM
2023 09 28 17 35 130  1.5  2.1    MM    MM    MM  MM     MM   8.9    MM   6.6   MM   MM    MM
2023 09 28 17 25 140  1.5  2.1    MM    MM    MM  MM     MM   8.6    MM   6.6   MM   MM    MM
2023 09 28 17 15 140  1.5  2.1    MM    MM    MM  MM     MM   8.3    MM   6.6   MM   MM    MM
2023 09 28 17 05 140  1.5  2.1    MM    MM    MM  MM     MM   8.2    MM   6.5   MM   MM    MM
2023 09 28 16 55 150  1.5  2.6    MM    MM    MM  MM     MM   8.2    MM   6.5   MM   MM    MM
2023 09 28 16 45 120  1.0  2.1    MM    MM    MM  MM     MM   8.2    MM   6.5   MM   MM    MM
2023 09 28 16 35 110  1.5  2.1    MM    MM    MM  MM     MM   8.0    MM   6.5   MM   MM    MM
2023 09 28 16 25 130  1.5  2.6    MM    MM    MM  MM     MM   8.0    MM   6.3   MM   MM    MM
2023 09 28 16 15 130  1.5  2.1    MM    MM    MM  MM     MM   8.0    MM   6.3   MM   MM    MM
2023 09 28 16 05 120  1.5  2.1    MM    MM    MM  MM     MM   8.0    MM   6.3   MM   MM    MM
2023 09 28 15 54 140  1.5  2.1    MM    MM    MM  MM     MM   7.9    MM   6.2   MM   MM    MM
2023 09 28 15 45 140  1.5  2.1    MM    MM    MM  MM     MM   8.0    MM   6.3   MM   MM    MM
2023 09 28 15 34 100  1.0  1.5    MM    MM    MM  MM     MM   8.0    MM   6.4   MM   MM    MM
2023 09 28 15 25 100  1.5  2.6    MM    MM    MM  MM     MM   7.9    MM   6.4   MM   MM    MM
2023 09 28 15 15 110  1.5  2.1    MM    MM    MM  MM     MM   7.9    MM   6.4   MM   MM    MM
2023 09 28 15 05 120  1.5  2.1    MM    MM    MM  MM     MM   7.9    MM   6.3   MM   MM    MM
2023 09 28 14 55 130  1.5  2.1    MM    MM    MM  MM     MM   8.0    MM   6.3   MM   MM    MM
2023 09 28 14 45 120  2.1  2.6    MM    MM    MM  MM     MM   8.1    MM   6.2   MM   MM    MM
2023 09 28 14 35 110  1.5  2.1    MM    MM    MM  MM     MM   8.2    MM   6.3   MM   MM    MM
2023 09 28 14 25 100  1.5  2.1    MM    MM    MM  MM     MM   8.1    MM   6.2   MM   MM    MM
2023 09 28 14 15 110  1.0  1.5    MM    MM    MM  MM     MM   8.1    MM   6.2   MM   MM    MM
