#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 36 300  1.0  2.6    MM    MM    MM  MM     MM   8.6    MM   8.6   MM   MM    MM
2023 09 28 21 25 300  1.0  2.6    MM    MM    MM  MM     MM   8.5    MM   8.5   MM   MM    MM
2023 09 28 21 15 230  1.5  2.6    MM    MM    MM  MM     MM   9.3    MM   9.2   MM   MM    MM
2023 09 28 21 06 230  1.5  2.6    MM    MM    MM  MM     MM   9.5    MM   9.4   MM   MM    MM
2023 09 28 20 56 240  1.0  2.1    MM    MM    MM  MM     MM   9.2    MM   9.1   MM   MM    MM
2023 09 28 20 45 250  0.5  1.5    MM    MM    MM  MM     MM   8.8    MM   8.7   MM   MM    MM
2023 09 28 20 35 240  1.5  2.6    MM    MM    MM  MM     MM   8.6    MM   8.4   MM   MM    MM
2023 09 28 20 26 260  1.0  2.1    MM    MM    MM  MM     MM   8.5    MM   8.5   MM   MM    MM
2023 09 28 20 15 250  1.0  2.1    MM    MM    MM  MM     MM   8.9    MM   8.9   MM   MM    MM
2023 09 28 20 06 290  1.0  1.5    MM    MM    MM  MM     MM   8.7    MM   8.7   MM   MM    MM
2023 09 28 19 56 280  1.0  2.1    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 19 45 260  1.0  2.1    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 19 35 270  1.5  2.6    MM    MM    MM  MM     MM   8.0    MM   8.0   MM   MM    MM
2023 09 28 19 25 280  1.5  2.6    MM    MM    MM  MM     MM   7.8    MM   7.8   MM   MM    MM
2023 09 28 19 14 270  2.1  3.1    MM    MM    MM  MM     MM   7.8    MM   7.8   MM   MM    MM
2023 09 28 19 05 310  2.1  3.1    MM    MM    MM  MM     MM   7.7    MM   7.7   MM   MM    MM
2023 09 28 18 55 290  1.5  2.1    MM    MM    MM  MM     MM   7.7    MM   7.7   MM   MM    MM
2023 09 28 18 45 290  1.0  2.1    MM    MM    MM  MM     MM   7.6    MM   7.6   MM   MM    MM
2023 09 28 18 35 240  1.5  4.6    MM    MM    MM  MM     MM   7.4    MM   7.4   MM   MM    MM
2023 09 28 18 25 230  4.1  6.2    MM    MM    MM  MM     MM   7.4    MM   7.4   MM   MM    MM
2023 09 28 18 15 220  2.6  4.6    MM    MM    MM  MM     MM   7.6    MM   7.6   MM   MM    MM
2023 09 28 18 03 190  1.5  5.1    MM    MM    MM  MM     MM   7.8    MM   7.8   MM   MM    MM
2023 09 28 17 55 200  2.1  5.7    MM    MM    MM  MM     MM   7.9    MM   7.9   MM   MM    MM
2023 09 28 17 45  80  1.5  4.6    MM    MM    MM  MM     MM   7.9    MM   7.9   MM   MM    MM
2023 09 28 17 36  60  2.1  4.6    MM    MM    MM  MM     MM   7.9    MM   7.9   MM   MM    MM
2023 09 28 17 25 200  2.1  6.2    MM    MM    MM  MM     MM   7.9    MM   7.9   MM   MM    MM
2023 09 28 17 15 180  2.1  5.7    MM    MM    MM  MM     MM   7.9    MM   7.9   MM   MM    MM
2023 09 28 17 05 210  2.6  6.7    MM    MM    MM  MM     MM   7.8    MM   7.8   MM   MM    MM
2023 09 28 16 56 200  2.6  8.8    MM    MM    MM  MM     MM   7.9    MM   7.9   MM   MM    MM
2023 09 28 16 45 210  5.7 12.4    MM    MM    MM  MM     MM   7.9    MM   7.9   MM   MM    MM
2023 09 28 16 35  80  3.1  8.2    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 16 25  90  3.1  9.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
