#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 44 210 12.4 16.5    MM    MM    MM  MM     MM  10.8    MM   6.7   MM   MM    MM
2023 09 28 21 34 210 12.4 16.5    MM    MM    MM  MM     MM  10.9    MM   6.6   MM   MM    MM
2023 09 28 21 24 220 12.9 17.5    MM    MM    MM  MM     MM  10.9    MM   6.5   MM   MM    MM
2023 09 28 21 14 210 11.8 16.5    MM    MM    MM  MM     MM  11.0    MM   6.4   MM   MM    MM
2023 09 28 21 04 210 11.8 16.5    MM    MM    MM  MM     MM  11.0    MM   6.3   MM   MM    MM
2023 09 28 20 54 210 11.8 15.4    MM    MM    MM  MM     MM  11.0    MM   6.2   MM   MM    MM
2023 09 28 20 44 210 10.8 14.4    MM    MM    MM  MM     MM  10.9    MM   6.2   MM   MM    MM
2023 09 28 20 34 210 11.8 15.4    MM    MM    MM  MM     MM  10.9    MM   5.9   MM   MM    MM
2023 09 28 20 24 210  9.3 15.4    MM    MM    MM  MM     MM  10.9    MM   6.3   MM   MM    MM
2023 09 28 20 14 190  6.7  8.8    MM    MM    MM  MM     MM  10.6    MM   6.7   MM   MM    MM
2023 09 28 20 04 210  9.3 12.9    MM    MM    MM  MM     MM  10.7    MM   6.4   MM   MM    MM
2023 09 28 19 54 210  9.3 12.4    MM    MM    MM  MM     MM  10.6    MM   6.4   MM   MM    MM
2023 09 28 19 44 200  8.2 10.3    MM    MM    MM  MM     MM  10.5    MM   6.5   MM   MM    MM
2023 09 28 19 34 200  8.8 12.4    MM    MM    MM  MM     MM  10.5    MM   6.3   MM   MM    MM
2023 09 28 19 24 200  8.8 11.8    MM    MM    MM  MM     MM  10.5    MM   6.4   MM   MM    MM
2023 09 28 19 12 210 10.3 13.9    MM    MM    MM  MM     MM  10.4    MM   6.3   MM   MM    MM
2023 09 28 19 04 200  8.2 11.3    MM    MM    MM  MM     MM  10.1    MM   6.3   MM   MM    MM
2023 09 28 18 54 210  8.8 11.8    MM    MM    MM  MM     MM   9.9    MM   6.0   MM   MM    MM
2023 09 28 18 34 190  5.1  7.7    MM    MM    MM  MM     MM   9.2    MM   6.2   MM   MM    MM
2023 09 28 18 24 190  4.6  7.2    MM    MM    MM  MM     MM   9.0    MM   6.3   MM   MM    MM
2023 09 28 18 14 190  5.1  6.7    MM    MM    MM  MM     MM   8.7    MM   6.0   MM   MM    MM
2023 09 28 18 02 190  5.7  7.7    MM    MM    MM  MM     MM   8.7    MM   5.8   MM   MM    MM
2023 09 28 17 54 190  5.1  7.7    MM    MM    MM  MM     MM   8.7    MM   5.8   MM   MM    MM
2023 09 28 17 44 190  6.2  8.8    MM    MM    MM  MM     MM   8.4    MM   5.4   MM   MM    MM
2023 09 28 17 34 200  5.7  7.7    MM    MM    MM  MM     MM   8.3    MM   5.4   MM   MM    MM
2023 09 28 17 24 190  5.1  6.2    MM    MM    MM  MM     MM   8.3    MM   5.4   MM   MM    MM
2023 09 28 17 14 190  5.1  6.2    MM    MM    MM  MM     MM   8.1    MM   5.3   MM   MM    MM
2023 09 28 17 04 190  6.2  7.7    MM    MM    MM  MM     MM   8.5    MM   5.3   MM   MM    MM
2023 09 28 16 54 190  5.1  6.7    MM    MM    MM  MM     MM   8.1    MM   5.2   MM   MM    MM
2023 09 28 16 44 180  4.6  6.2    MM    MM    MM  MM     MM   7.9    MM   5.1   MM   MM    MM
2023 09 28 16 34 180  4.6  5.7    MM    MM    MM  MM     MM   8.1    MM   5.1   MM   MM    MM
2023 09 28 16 24 190  4.6  5.7    MM    MM    MM  MM     MM   8.2    MM   5.2   MM   MM    MM
2023 09 28 16 14 190  4.6  5.7    MM    MM    MM  MM     MM   8.5    MM   5.7   MM   MM    MM
2023 09 28 16 04 200  5.1  6.7    MM    MM    MM  MM     MM   8.6    MM   5.8   MM   MM    MM
2023 09 28 15 53 200  5.1  7.2    MM    MM    MM  MM     MM   8.5    MM   5.8   MM   MM    MM
2023 09 28 15 43 200  5.1  6.2    MM    MM    MM  MM     MM   8.5    MM   5.8   MM   MM    MM
2023 09 28 15 33 190  5.1  6.7    MM    MM    MM  MM     MM   8.3    MM   5.6   MM   MM    MM
2023 09 28 15 24 190  4.1  5.1    MM    MM    MM  MM     MM   8.0    MM   5.5   MM   MM    MM
2023 09 28 15 14 190  4.6  5.7    MM    MM    MM  MM     MM   8.1    MM   5.5   MM   MM    MM
2023 09 28 15 04 190  4.1  5.7    MM    MM    MM  MM     MM   8.1    MM   5.4   MM   MM    MM
2023 09 28 14 54 190  5.1  6.7    MM    MM    MM  MM     MM   8.3    MM   5.5   MM   MM    MM
2023 09 28 14 44 200  5.1  6.7    MM    MM    MM  MM     MM   8.4    MM   5.6   MM   MM    MM
2023 09 28 14 34 210  5.1  7.2    MM    MM    MM  MM     MM   8.3    MM   5.6   MM   MM    MM
2023 09 28 14 24 210  5.1  6.2    MM    MM    MM  MM     MM   8.2    MM   5.7   MM   MM    MM
2023 09 28 14 13 210  5.1  7.2    MM    MM    MM  MM     MM   8.4    MM   5.9   MM   MM    MM
2023 09 28 14 03 220  5.7  7.2    MM    MM    MM  MM     MM   8.5    MM   5.9   MM   MM    MM
2023 09 28 13 54 200  4.6  6.2    MM    MM    MM  MM     MM   8.5    MM   6.0   MM   MM    MM
2023 09 28 13 44 200  4.6  6.2    MM    MM    MM  MM     MM   8.6    MM   6.0   MM   MM    MM
2023 09 28 13 33 190  4.1  4.6    MM    MM    MM  MM     MM   8.6    MM   5.7   MM   MM    MM
2023 09 28 13 23 190  4.1  4.6    MM    MM    MM  MM     MM   8.7    MM   5.7   MM   MM    MM
2023 09 28 13 14 200  5.1  6.7    MM    MM    MM  MM     MM   8.9    MM   5.8   MM   MM    MM
2023 09 28 13 04 190  4.6  6.2    MM    MM    MM  MM     MM   8.8    MM   5.7   MM   MM    MM
2023 09 28 12 53 190  4.6  5.7    MM    MM    MM  MM     MM   8.7    MM   5.7   MM   MM    MM
2023 09 28 12 43 200  5.1  5.7    MM    MM    MM  MM     MM   8.8    MM   6.0   MM   MM    MM
2023 09 28 12 34 200  5.1  6.2    MM    MM    MM  MM     MM   8.5    MM   5.6   MM   MM    MM
2023 09 28 12 24 200  5.1  7.2    MM    MM    MM  MM     MM   8.8    MM   5.8   MM   MM    MM
2023 09 28 12 13 200  5.7  7.2    MM    MM    MM  MM     MM   8.9    MM   5.8   MM   MM    MM
2023 09 28 12 03 200  5.7  7.7    MM    MM    MM  MM     MM   8.9    MM   5.8   MM   MM    MM
2023 09 28 11 54 200  5.7  7.7    MM    MM    MM  MM     MM   8.9    MM   5.7   MM   MM    MM
2023 09 28 11 43 190  5.7  7.2    MM    MM    MM  MM     MM   8.9    MM   5.6   MM   MM    MM
2023 09 28 11 33 190  5.1  6.7    MM    MM    MM  MM     MM   8.8    MM   5.5   MM   MM    MM
2023 09 28 11 23 190  5.1  6.7    MM    MM    MM  MM     MM   8.8    MM   5.6   MM   MM    MM
2023 09 28 11 13 190  4.6  5.7    MM    MM    MM  MM     MM   8.7    MM   5.6   MM   MM    MM
2023 09 28 11 04 180  4.1  5.1    MM    MM    MM  MM     MM   8.5    MM   5.6   MM   MM    MM
2023 09 28 10 53 190  4.1  5.1    MM    MM    MM  MM     MM   8.6    MM   5.4   MM   MM    MM
2023 09 28 10 43 180  4.1  5.1    MM    MM    MM  MM     MM   8.6    MM   5.3   MM   MM    MM
2023 09 28 10 33 180  4.1  5.1    MM    MM    MM  MM     MM   8.5    MM   5.2   MM   MM    MM
2023 09 28 10 24 180  4.6  5.7    MM    MM    MM  MM     MM   8.6    MM   5.3   MM   MM    MM
2023 09 28 10 13 180  5.1  6.2    MM    MM    MM  MM     MM   8.7    MM   5.2   MM   MM    MM
2023 09 28 10 03 180  5.7  7.2    MM    MM    MM  MM     MM   8.7    MM   5.3   MM   MM    MM
2023 09 28 09 54 190  5.7  6.7    MM    MM    MM  MM     MM   8.7    MM   5.4   MM   MM    MM
2023 09 28 09 44 190  5.1  7.2    MM    MM    MM  MM     MM   8.8    MM   5.4   MM   MM    MM
2023 09 28 09 34 180  5.1  6.7    MM    MM    MM  MM     MM   8.9    MM   5.3   MM   MM    MM
2023 09 28 09 24 180  5.7  7.2    MM    MM    MM  MM     MM   9.0    MM   5.3   MM   MM    MM
2023 09 28 09 14 190  5.1  7.2    MM    MM    MM  MM     MM   8.9    MM   5.4   MM   MM    MM
2023 09 28 09 03 190  5.7  7.7    MM    MM    MM  MM     MM   8.9    MM   5.4   MM   MM    MM
2023 09 28 08 53 190  5.7  7.2    MM    MM    MM  MM     MM   8.8    MM   5.5   MM   MM    MM
2023 09 28 08 45 180  6.2  8.2    MM    MM    MM  MM     MM   8.9    MM   5.4   MM   MM    MM
2023 09 28 08 42 180  6.2  8.2    MM    MM    MM  MM     MM   8.9    MM   5.4   MM   MM    MM
2023 09 28 08 14 180  4.6  5.7    MM    MM    MM  MM     MM   9.0    MM   5.6   MM   MM    MM
2023 09 28 08 03 180  4.1  5.1    MM    MM    MM  MM     MM   8.9    MM   5.9   MM   MM    MM
2023 09 28 07 53 180  4.1  5.1    MM    MM    MM  MM     MM   8.8    MM   5.8   MM   MM    MM
2023 09 28 07 44 180  4.1  5.1    MM    MM    MM  MM     MM   8.9    MM   5.6   MM   MM    MM
2023 09 28 07 33 180  4.1  5.1    MM    MM    MM  MM     MM   8.9    MM   5.7   MM   MM    MM
2023 09 28 07 23 180  4.1  5.1    MM    MM    MM  MM     MM   8.9    MM   5.6   MM   MM    MM
2023 09 28 07 13 180  3.6  5.1    MM    MM    MM  MM     MM   9.1    MM   5.6   MM   MM    MM
2023 09 28 07 03 190  4.1  5.1    MM    MM    MM  MM     MM   9.2    MM   5.6   MM   MM    MM
2023 09 28 06 53 200  3.6  4.6    MM    MM    MM  MM     MM   9.3    MM   5.4   MM   MM    MM
2023 09 28 06 43 210  3.6  5.1    MM    MM    MM  MM     MM   9.5    MM   5.3   MM   MM    MM
2023 09 28 06 33 220  2.6  3.6    MM    MM    MM  MM     MM   9.6    MM   5.3   MM   MM    MM
2023 09 28 06 23 210  2.1  3.1    MM    MM    MM  MM     MM   9.6    MM   4.9   MM   MM    MM
2023 09 28 06 14 180  2.1  3.1    MM    MM    MM  MM     MM   9.7    MM   4.9   MM   MM    MM
2023 09 28 06 04 180  2.6  3.1    MM    MM    MM  MM     MM   9.6    MM   5.0   MM   MM    MM
2023 09 28 05 53 170  2.6  3.1    MM    MM    MM  MM     MM   9.6    MM   5.0   MM   MM    MM
2023 09 28 05 43 160  3.1  4.1    MM    MM    MM  MM     MM   9.6    MM   4.5   MM   MM    MM
2023 09 28 05 32 160  3.1  4.1    MM    MM    MM  MM     MM   9.7    MM   4.7   MM   MM    MM
