#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 41 130  4.6  7.2    MM    MM    MM  MM     MM   7.1    MM   5.6   MM   MM    MM
2023 09 28 21 31 130  5.1  7.2    MM    MM    MM  MM     MM   7.1    MM   5.4   MM   MM    MM
2023 09 28 21 21 140  4.6  8.8    MM    MM    MM  MM     MM   7.0    MM   5.5   MM   MM    MM
2023 09 28 21 11 130  5.1  7.7    MM    MM    MM  MM     MM   7.0    MM   5.5   MM   MM    MM
2023 09 28 21 01 130  4.1  7.7    MM    MM    MM  MM     MM   7.0    MM   5.6   MM   MM    MM
2023 09 28 20 51 140  3.6  6.7    MM    MM    MM  MM     MM   6.7    MM   5.5   MM   MM    MM
2023 09 28 20 41 130  5.1  7.2    MM    MM    MM  MM     MM   6.8    MM   5.5   MM   MM    MM
2023 09 28 20 31 120  6.2  8.2    MM    MM    MM  MM     MM   6.9    MM   5.5   MM   MM    MM
2023 09 28 20 21 130  4.1  7.2    MM    MM    MM  MM     MM   7.0    MM   5.3   MM   MM    MM
2023 09 28 20 11 130  3.6  6.2    MM    MM    MM  MM     MM   6.7    MM   5.5   MM   MM    MM
2023 09 28 20 01 130  4.1  8.2    MM    MM    MM  MM     MM   6.6    MM   5.5   MM   MM    MM
2023 09 28 19 51 130  5.1  8.8    MM    MM    MM  MM     MM   6.8    MM   5.4   MM   MM    MM
2023 09 28 19 41 130  5.1  8.2    MM    MM    MM  MM     MM   7.0    MM   5.4   MM   MM    MM
2023 09 28 19 30 130  4.6  7.2    MM    MM    MM  MM     MM   6.9    MM   5.3   MM   MM    MM
2023 09 28 19 21 130  5.1  7.7    MM    MM    MM  MM     MM   6.9    MM   5.2   MM   MM    MM
2023 09 28 19 09 120  6.2  8.2    MM    MM    MM  MM     MM   7.2    MM   5.0   MM   MM    MM
2023 09 28 19 02 120  6.2  8.2    MM    MM    MM  MM     MM   7.2    MM   5.0   MM   MM    MM
2023 09 28 18 50 130  6.2  8.2    MM    MM    MM  MM     MM   7.2    MM   5.0   MM   MM    MM
2023 09 28 18 41 130  5.7  8.8    MM    MM    MM  MM     MM   7.2    MM   4.9   MM   MM    MM
2023 09 28 18 31 130  5.7  8.2    MM    MM    MM  MM     MM   7.2    MM   5.0   MM   MM    MM
2023 09 28 18 21 130  5.1  8.2    MM    MM    MM  MM     MM   7.1    MM   4.9   MM   MM    MM
2023 09 28 18 11 130  5.1  7.7    MM    MM    MM  MM     MM   7.1    MM   4.9   MM   MM    MM
2023 09 28 17 59 140  6.2  9.8    MM    MM    MM  MM     MM   7.1    MM   4.9   MM   MM    MM
2023 09 28 17 51 140  6.2  9.8    MM    MM    MM  MM     MM   7.1    MM   4.9   MM   MM    MM
2023 09 28 17 41 130  6.2  9.8    MM    MM    MM  MM     MM   7.1    MM   4.9   MM   MM    MM
2023 09 28 17 31 140  5.7  8.8    MM    MM    MM  MM     MM   7.1    MM   5.0   MM   MM    MM
2023 09 28 17 21 140  6.2  9.8    MM    MM    MM  MM     MM   7.1    MM   5.1   MM   MM    MM
2023 09 28 17 11 140  5.7  9.3    MM    MM    MM  MM     MM   7.2    MM   5.2   MM   MM    MM
2023 09 28 17 01 140  6.7 10.3    MM    MM    MM  MM     MM   7.2    MM   5.2   MM   MM    MM
2023 09 28 16 51 140  6.7  9.8    MM    MM    MM  MM     MM   7.2    MM   5.2   MM   MM    MM
2023 09 28 16 41 150  6.2  9.3    MM    MM    MM  MM     MM   7.2    MM   5.3   MM   MM    MM
2023 09 28 16 31 150  6.2  9.3    MM    MM    MM  MM     MM   7.2    MM   5.3   MM   MM    MM
2023 09 28 16 21 150  6.2  9.8    MM    MM    MM  MM     MM   7.2    MM   5.5   MM   MM    MM
2023 09 28 16 01 150  6.2 10.3    MM    MM    MM  MM     MM   7.2    MM   5.7   MM   MM    MM
2023 09 28 15 51 140  5.1  8.2    MM    MM    MM  MM     MM   7.1    MM   5.7   MM   MM    MM
2023 09 28 15 40 140  5.7  8.2    MM    MM    MM  MM     MM   7.1    MM   5.6   MM   MM    MM
2023 09 28 15 31 140  6.2  8.8    MM    MM    MM  MM     MM   7.1    MM   5.6   MM   MM    MM
2023 09 28 15 21 150  6.2  9.3    MM    MM    MM  MM     MM   7.2    MM   5.7   MM   MM    MM
2023 09 28 15 11 150  6.2  8.8    MM    MM    MM  MM     MM   7.2    MM   5.7   MM   MM    MM
2023 09 28 15 01 150  5.7  9.3    MM    MM    MM  MM     MM   7.2    MM   5.7   MM   MM    MM
2023 09 28 14 51 150  5.7  8.2    MM    MM    MM  MM     MM   7.2    MM   5.7   MM   MM    MM
2023 09 28 14 41 150  5.7  9.3    MM    MM    MM  MM     MM   7.2    MM   5.6   MM   MM    MM
2023 09 28 14 31 150  6.2  9.8    MM    MM    MM  MM     MM   7.2    MM   5.6   MM   MM    MM
